ServerId,Timestamp,CpuUsagePct,MemoryUsagePct,DiskIoMbps,NetworkInMbps,NetworkOutMbps,ActiveConnections,ErrorRate,ResponseTimeMs
SRV-API-10,2024-03-16 08:31:14,61.3,57.3,74.8,188.4,132.6,1010,0.0082,53
SRV-CACHE-15,2024-10-05 21:11:23,25.1,46,75.9,114.3,47.7,1103,0.0001,263
SRV-DB-15,2024-06-29 18:17:18,62.6,54.4,84.5,118,33.8,591,0.0028,191
SRV-WEB-8,2024-06-03 10:21:22,32.2,42.5,84.7,156.3,95.9,1073,0.016,93
SRV-CACHE-6,2025-12-17 04:40:05,21.6,41.9,94.2,99.2,67.5,628,0.0131,222
SRV-CACHE-18,2024-08-13 05:27:20,51.3,78.5,16.6,23.9,82.7,459,0.0099,201
SRV-API-20,2024-03-23 16:56:22,52.5,76.7,55.3,163.9,138.2,114,0.0153,215
SRV-CACHE-4,2025-02-18 16:28:32,49,49,55,128.7,119.7,1255,0.0016,132
SRV-WEB-20,2025-11-02 03:00:05,63.1,62.3,31.5,12.7,73,1919,0.0099,146
SRV-DB-14,2025-03-21 17:12:28,73.8,73.1,57.2,118.8,138.3,1852,0.0141,27
SRV-DB-18,2025-06-02 06:40:34,67.4,31.6,48.1,131.8,69.8,673,0.0135,145
SRV-CACHE-5,2024-08-07 01:29:56,66.9,70.3,74.7,122.3,73.2,1463,0.0094,39
SRV-DB-5,2025-11-28 04:18:35,37.4,41.8,17.8,3.8,40.3,1644,0.0031,268
SRV-API-8,2025-07-25 15:01:04,45.3,61.3,45.5,120.3,35.6,1083,0.0105,55
SRV-WEB-2,2024-12-23 15:42:03,57.1,33.3,87.9,194.4,41.5,1974,0.0075,235
SRV-API-16,2024-02-13 06:47:51,35.4,71.1,17.2,34.7,47.1,749,0.0127,189
SRV-WEB-3,2024-08-14 06:35:10,16.3,53.6,27.9,98.4,127.9,917,0.0166,53
SRV-WEB-18,2024-10-27 12:24:48,74.8,78.3,61.2,98,145.3,1938,0.0074,271
SRV-API-3,2025-04-15 19:19:47,64,50.9,49.7,143.5,37.2,1679,0.0162,235
SRV-CACHE-14,2025-05-02 07:43:03,46.9,30.6,26.8,117.5,84.7,899,0.0032,289
SRV-WEB-8,2024-01-01 15:21:48,55.3,38.9,96.3,160.9,29.6,1350,0.0139,297
SRV-DB-2,2024-01-30 02:46:27,94.9,95.5,14.9,918.2,687.6,5214,0.2377,2114
SRV-WEB-18,2024-06-26 14:20:39,54.7,51.7,82.5,93.4,44,691,0.0165,102
SRV-WEB-10,2024-07-21 09:36:27,26.7,66.1,65.4,151.7,124.4,1845,0.0111,155
SRV-DB-15,2025-10-07 19:16:47,28.8,71.2,17,49.4,57.2,1089,0.0193,294
SRV-WEB-16,2025-01-01 07:02:12,41.7,34.6,9.3,47.8,65.3,1875,0.0066,36
SRV-WEB-4,2025-12-23 11:08:44,33.2,33.2,36.5,193.6,44.5,1299,0.0084,154
SRV-WEB-10,2025-01-24 13:15:06,15.4,75.2,88.1,196.9,51.6,1723,0.0183,293
SRV-WEB-17,2025-06-21 17:06:52,29.4,61.2,71.2,80.2,18.9,1597,0.0017,158
SRV-API-19,2024-04-12 09:04:48,70.7,53,77.8,38.4,88.5,666,0.0007,260
SRV-WEB-2,2024-06-25 15:05:31,17.8,53,72.5,95.6,41.8,565,0.0162,67
SRV-DB-5,2025-05-01 21:07:32,62,52.1,20.3,194.2,116.1,908,0.0183,26
SRV-API-20,2025-08-08 20:52:39,50.5,79.7,82.9,65.5,105,1394,0.0075,60
SRV-DB-7,2025-10-16 19:27:55,56.5,58.8,65.5,106.1,120.3,300,0.0114,291
SRV-DB-9,2024-03-30 05:02:03,25.6,41.8,40.4,194.1,123.2,1951,0.0091,217
SRV-DB-10,2024-10-12 02:48:38,29.6,54.4,41.5,90.6,84.2,745,0.0096,192
SRV-WEB-15,2024-04-09 12:17:42,25.1,32.5,62.8,56.2,103.4,1021,0.0113,53
SRV-WEB-20,2025-07-14 17:54:51,68.4,34.3,65.2,95.6,58.8,762,0.0138,149
SRV-WEB-14,2024-03-10 00:46:26,29.8,65.5,2.8,93.7,137.9,1691,0.0129,120
SRV-CACHE-5,2025-02-10 13:39:51,28.1,35.9,29.8,142.3,13.2,1645,0.0032,274
SRV-API-19,2025-06-05 23:56:18,49.9,37.3,47.2,127.8,95.5,1341,0.0031,229
SRV-WEB-6,2025-10-09 16:49:46,53.3,65.7,61.9,92.2,72.6,1666,0.0182,201
SRV-API-6,2024-06-01 04:00:07,59.7,75.6,33.5,151.7,126.6,1031,0.0134,229
SRV-CACHE-16,2024-10-25 08:56:18,56.4,75.6,71.7,195.6,60.4,465,0.0173,101
SRV-DB-11,2025-07-13 06:36:30,66,60.4,52.6,29.6,127.9,1192,0.0157,184
SRV-CACHE-8,2025-04-30 20:28:44,32.3,66.3,78.2,184.1,28.3,1709,0.0062,292
SRV-API-1,2024-05-17 11:45:16,32.5,49.2,66.9,145.3,3,524,0.0106,60
SRV-API-20,2025-03-03 20:53:09,23.1,43.9,35.1,108.2,20.2,1470,0.0069,33
SRV-API-8,2025-12-05 07:19:00,17,76.3,43.6,198.2,82.6,302,0.012,216
SRV-WEB-14,2025-09-29 15:56:41,24.4,72.2,36.8,185.2,61.7,725,0.0075,121
SRV-WEB-20,2024-09-25 04:02:55,57.1,74.8,68.7,147.3,105.6,1071,0.0172,75
SRV-API-13,2024-10-27 06:06:35,37.2,54.5,73.5,36.5,72.3,1706,0.0096,230
SRV-WEB-10,2024-03-26 04:47:22,40.1,58.4,26.2,96.6,75.6,326,0.0087,50
SRV-API-17,2024-03-01 20:19:35,70,52.3,94.3,24.8,73.2,390,0.0177,241
SRV-WEB-9,2024-01-09 00:06:41,74.6,39.4,42,164.2,148.7,669,0.0096,122
SRV-API-16,2025-10-20 07:25:26,31.4,70.6,88.8,36.7,107.7,1266,0.0082,61
SRV-WEB-11,2024-12-09 02:01:30,69.5,42.3,81.8,16.3,141.2,675,0.0128,27
SRV-API-9,2025-11-21 23:06:31,27.2,68.4,95.5,1.1,24.4,1715,0.0179,210
SRV-DB-6,2025-08-01 09:16:58,25.2,44.7,47.3,57.4,72.4,1442,0.0046,254
SRV-DB-15,2024-05-21 23:08:33,74.2,33.4,31.1,156.7,147.4,429,0.01,177
SRV-CACHE-14,2024-12-14 12:00:34,11.8,54,76.8,38.2,82.3,504,0.0181,46
SRV-WEB-12,2024-11-28 17:34:07,20.8,57,60.8,41.7,101.8,831,0.0057,244
SRV-WEB-7,2024-04-05 01:22:57,53.9,48.9,4.3,42.1,1.2,661,0.0145,275
SRV-DB-5,2024-03-25 15:56:11,86.8,94.6,432.9,667.2,564.6,7328,0.2801,1390
SRV-DB-15,2025-08-17 16:13:49,13.1,58.2,90.7,164.7,83.6,592,0.0149,115
SRV-API-3,2025-08-14 08:43:39,55.5,51.2,50.3,100.8,3.3,968,0.0169,108
SRV-DB-20,2025-03-11 12:44:31,16.6,31.1,82.6,132.7,96.5,1875,0.0113,73
SRV-DB-8,2024-01-06 08:56:12,49.8,71.8,45.9,86,51.5,1624,0.0114,153
SRV-WEB-16,2025-12-10 03:28:11,93.9,89.8,108.5,353.4,165.5,16460,0.2137,4137
SRV-DB-12,2024-12-26 11:09:41,22.8,47.2,30.1,171.3,86.2,1485,0.0178,68
SRV-API-7,2024-05-24 17:16:41,74.1,55,50.1,196.8,8.7,1351,0.0125,96
SRV-CACHE-7,2025-04-18 16:23:23,49.1,50,30.7,47.7,50.8,1847,0.0178,244
SRV-DB-8,2024-11-18 13:24:10,46,71.9,30.7,101.1,133.6,1722,0.0075,282
SRV-WEB-7,2024-06-11 00:46:45,46.6,54.7,93.8,83.3,113.5,227,0.0193,156
SRV-DB-11,2025-06-01 18:42:31,36.7,70.3,12.9,128.1,63.4,951,0.0017,192
SRV-CACHE-2,2025-05-12 04:31:03,43.4,56.5,81,121.3,45.7,115,0.0107,91
SRV-WEB-11,2025-06-15 01:32:14,21.6,69.2,93.9,68.6,56.9,589,0.0013,65
SRV-CACHE-10,2025-06-06 18:13:24,64.9,46.4,89.6,147.4,54.3,1402,0.0192,50
SRV-CACHE-18,2025-10-09 18:09:53,24.5,66.6,20.9,188.4,33.1,1116,0.0029,142
SRV-DB-12,2025-09-16 06:55:04,28.7,74.4,38.7,11.2,62.5,1128,0.0049,34
SRV-WEB-15,2025-04-11 11:25:59,52,62.5,33.7,118.5,112.2,416,0.0176,135
SRV-CACHE-19,2024-06-28 05:58:59,47.8,74,43.1,95.9,130.7,1889,0.0155,231
SRV-API-18,2024-12-20 15:38:52,16.6,41.5,1.6,172.2,23.5,450,0.0043,86
SRV-WEB-16,2024-05-16 23:20:08,73,37,50.7,102.9,92.2,222,0.0187,292
SRV-CACHE-7,2024-08-11 19:05:34,49.9,73.3,10.2,113.9,76.1,1446,0.0165,197
SRV-CACHE-9,2025-10-29 21:10:12,43.3,45.2,10.4,113.5,125.2,1541,0.003,170
SRV-WEB-13,2025-02-18 02:30:08,43.8,58.6,53.3,186.3,128.5,1521,0.0164,279
SRV-CACHE-1,2025-02-08 04:47:37,22.3,68.7,15.8,121.8,105.9,452,0.008,187
SRV-API-3,2025-12-10 13:02:18,31.3,54.7,94,149.9,8.8,721,0.016,124
SRV-API-13,2024-01-16 19:16:31,34,42.2,56.7,20.6,7.4,773,0.0132,186
SRV-API-18,2024-03-03 20:47:05,18.8,56.1,40.4,43.2,41.8,1096,0.0087,129
SRV-CACHE-16,2024-09-13 22:52:03,17,34.1,63.3,127.8,41.5,567,0.0149,268
SRV-API-9,2025-01-07 21:13:55,42.5,78.2,53.5,196.5,133,255,0.0187,269
SRV-CACHE-8,2024-05-30 06:22:13,29,78,58.1,87.3,36.7,1029,0.0125,103
SRV-API-9,2024-09-22 15:21:41,58.9,54.5,57.7,66.5,53.1,1220,0.0135,70
SRV-DB-13,2025-05-24 21:39:56,65.7,42.9,29,7.2,28.8,1372,0.0062,235
SRV-WEB-7,2024-10-23 15:41:11,73.4,59.3,54.9,42.7,9.5,1461,0.0137,95
SRV-CACHE-20,2024-09-28 16:21:48,26,36.8,32.8,95.6,14.9,490,0.0085,146
SRV-WEB-17,2025-05-09 07:01:44,39.4,61.1,34.8,34.5,49.4,908,0.012,198
SRV-DB-9,2025-05-20 01:36:58,11.8,33.1,73.3,187.6,14.5,1580,0.0055,138
SRV-CACHE-18,2025-08-20 17:06:43,28.8,57.9,56.7,168.6,9.2,1208,0.0103,112
SRV-DB-18,2024-10-05 22:07:58,42.6,49.3,5.2,66.7,23.6,545,0.0075,111
SRV-DB-4,2024-02-23 16:28:50,59.9,41.6,87.7,27.9,132.6,1906,0.016,261
SRV-API-6,2025-12-22 05:23:29,66.3,34.5,10.3,194,124.5,1353,0.0102,281
SRV-WEB-10,2025-11-14 10:40:09,45.2,41.9,39.8,22.1,56.5,277,0.0036,181
SRV-API-19,2025-04-19 11:00:32,56,60.2,98.3,53.6,46.9,250,0.0029,289
SRV-WEB-16,2024-02-20 14:29:27,45.5,72.9,85.9,7.5,140.2,1485,0.0081,85
SRV-CACHE-5,2024-07-22 10:21:48,10.9,60.3,94,76.7,77.2,135,0.0147,61
SRV-CACHE-9,2024-12-24 02:41:31,14.5,45.6,72.3,149.5,47.3,1561,0.0094,258
SRV-WEB-18,2024-08-21 15:35:45,40.8,61.6,71.9,38.3,28.6,1883,0.0195,206
SRV-DB-20,2024-04-27 06:15:38,34,34.1,51.4,170.1,125,1265,0.007,253
SRV-DB-14,2025-02-16 11:03:25,18.4,69.3,66.7,177.1,42.6,261,0.0175,90
SRV-WEB-2,2025-01-13 04:16:58,71.4,53,50.7,56.8,39.5,189,0.0103,63
SRV-CACHE-15,2025-06-29 06:00:42,45.9,53.4,87,6.6,30.1,1255,0.0181,142
SRV-DB-12,2024-04-25 23:21:15,23.8,69.4,75.4,60.4,78.1,1345,0.0123,299
SRV-WEB-18,2025-11-22 09:08:15,10.7,50.1,70.7,197.2,9.9,1941,0.013,92
SRV-API-12,2025-06-20 10:33:39,39.3,68.6,27.1,37.2,127.9,1812,0.0084,196
SRV-API-1,2024-01-20 06:01:52,73,41.6,45.8,135.9,110.4,1908,0.0179,46
SRV-API-19,2025-09-09 02:57:28,19.2,47.4,47.9,191.1,39.9,1933,0.0108,79
SRV-CACHE-2,2025-01-29 09:13:52,54.6,67.7,93.4,3.1,82.5,278,0.0194,186
SRV-CACHE-15,2024-08-21 04:40:04,47.4,53.4,48.4,37.3,118.5,1192,0.0034,178
SRV-WEB-9,2024-12-23 10:03:18,25.3,72.3,12.9,26.3,14.7,1992,0.0089,220
SRV-CACHE-20,2025-04-10 00:08:39,73.6,54.7,90.7,94.9,51,340,0.0092,169
SRV-CACHE-11,2025-04-30 21:47:49,71.4,72.9,88.5,13.3,97.4,1827,0.0074,216
SRV-DB-14,2025-02-02 13:00:51,23.4,54.2,28.6,49,100.2,289,0.0087,279
SRV-DB-9,2025-07-25 04:51:08,85.3,91.9,416.4,64.1,779.1,19105,0.2065,1817
SRV-CACHE-5,2024-12-21 10:53:09,65.5,74,14.3,20.7,27.1,170,0.0026,283
SRV-API-11,2025-03-16 04:23:22,49.7,62.6,7.6,119.6,75.1,560,0.0107,98
SRV-CACHE-5,2025-10-11 06:34:15,75,69.9,50.8,186.5,42.1,424,0.0073,299
SRV-API-15,2024-11-02 08:02:28,32.1,79.6,19.3,96,29.7,1441,0.0124,125
SRV-API-19,2024-07-19 09:31:46,22.3,43.2,46.5,111.4,29.4,1390,0.0041,240
SRV-WEB-2,2025-04-25 00:16:16,30.4,65.8,29.4,188.9,60.5,191,0.0022,230
SRV-CACHE-9,2024-03-31 22:36:43,68.9,49.3,81.7,126.4,101.7,975,0.017,275
SRV-CACHE-8,2025-07-11 13:24:39,93.1,90.6,244.7,549.8,409.3,13614,0.2311,2452
SRV-WEB-9,2025-04-19 17:23:41,88,93.3,454.5,677.4,422,19473,0.0646,4946
SRV-API-14,2025-06-07 19:05:26,60.7,54.4,12.6,15.8,52.7,1826,0.0021,83
SRV-API-3,2025-04-14 15:24:30,22.6,47.5,46,124.4,78.9,967,0.0098,276
SRV-API-11,2024-07-29 12:36:01,23.5,66.9,48,119,66.5,1097,0.0079,37
SRV-API-15,2025-07-16 12:49:40,15.8,52.3,69.9,134.6,55.6,1025,0.0003,243
SRV-API-12,2024-03-13 20:59:25,97.4,91.2,114.4,446,273.6,12551,0.2854,880
SRV-API-2,2025-09-20 15:05:26,39.4,75.5,31.5,105.3,109.7,1577,0.0038,65
SRV-CACHE-2,2025-04-21 23:11:23,64,53.8,36.7,184.1,107.4,1410,0.009,147
SRV-WEB-11,2025-06-08 14:12:42,92.9,96.7,143.9,25.3,213.9,18038,0.1765,2519
SRV-WEB-11,2024-08-11 11:29:43,59.9,79.8,45.1,142.7,46,1996,0.0159,98
SRV-API-1,2025-03-04 06:07:06,59.6,60.3,20.8,51.6,20.4,1998,0.0098,52
SRV-API-15,2025-12-28 16:46:32,73.7,41.8,27,153.6,65.8,829,0.0035,253
SRV-WEB-11,2025-08-03 17:00:38,27,58.3,71.2,147.8,130.8,1311,0.0017,80
SRV-API-7,2025-01-22 08:02:55,64.9,63.8,58,86.9,118.7,1139,0.0151,188
SRV-API-18,2024-03-13 21:28:05,73.4,77.8,64.9,117.1,111.3,1166,0.006,65
SRV-DB-8,2024-03-03 16:22:12,58.7,43.1,54.7,32,7.9,448,0.0022,166
SRV-WEB-9,2024-02-15 02:04:08,89.8,88.7,207.2,811.4,44.7,16395,0.1022,736
SRV-DB-16,2025-12-08 04:14:45,49.1,49.6,99.4,95.4,24,1063,0.0132,296
SRV-CACHE-8,2024-09-20 17:25:54,30.3,51.2,32.7,15.4,2.1,1815,0.0126,236
SRV-DB-7,2024-12-19 07:46:09,46.4,40.3,33.4,115.4,91.2,883,0.0198,108
SRV-CACHE-12,2025-06-12 14:04:45,25.2,55.2,5.7,158.6,56.7,1264,0.0166,135
SRV-WEB-1,2025-12-09 14:39:07,26.6,79.5,20.4,16.8,22.3,765,0.0104,260
SRV-DB-17,2024-02-05 19:25:28,35.7,74.5,72.1,84.8,32,1961,0.0099,52
SRV-API-1,2024-07-05 00:45:13,61.8,35.4,12.3,91.2,8.8,1014,0.0106,262
SRV-CACHE-3,2025-07-09 01:15:10,38.4,57.3,91.7,112.6,106.4,1070,0.0076,138
SRV-API-1,2024-04-12 19:13:56,55.6,31.8,57.2,90.8,63.8,1680,0.0167,95
SRV-API-12,2025-03-25 07:15:47,68.6,53.4,58,100.2,31.4,100,0.0183,155
SRV-WEB-18,2025-09-26 02:29:33,12.1,42,8.6,138.9,53.5,252,0.0069,193
SRV-WEB-10,2025-07-18 00:13:40,64.8,42.1,18.7,187.2,40.1,191,0.0103,45
SRV-DB-18,2025-01-17 00:56:09,39.3,66.2,16.7,178,75.1,449,0.0187,137
SRV-DB-19,2025-01-19 14:02:52,94.3,97.2,427.5,740.1,799.4,6347,0.0826,1054
SRV-DB-16,2024-10-26 12:40:17,39.5,50.4,45.8,19.2,4.1,1806,0.0145,250
SRV-CACHE-1,2024-03-22 15:34:24,53.7,42.1,30.4,158.9,120.6,1810,0.0034,146
SRV-WEB-20,2024-01-02 23:27:17,30,31.5,83.9,180.1,123.3,1179,0.0047,228
SRV-WEB-2,2025-10-10 07:04:49,15.5,56.4,3.4,163.7,65.2,133,0.0077,124
SRV-CACHE-15,2025-07-14 01:04:25,26.4,58.5,10.1,89.5,116.4,429,0.0197,178
SRV-CACHE-10,2024-08-15 17:25:04,54.4,37.9,75.2,176.6,108.8,960,0.0085,48
SRV-API-4,2024-08-27 07:50:59,45.8,61.4,23.5,92.6,75.1,1324,0.0188,152
SRV-API-16,2024-04-07 07:57:32,25.7,33.6,23.5,24.5,114.2,1718,0.0096,191
SRV-API-6,2025-03-04 13:50:37,54.5,51,1.3,128,95,1313,0.0023,26
SRV-API-17,2024-10-06 10:33:15,58.3,34.9,2.7,51.4,107.4,1063,0.0118,54
SRV-WEB-7,2024-08-01 05:24:41,22.9,31,20.5,121.6,5.8,656,0.0053,291
SRV-DB-10,2024-02-09 21:24:33,57,53,83.9,22.5,132.4,902,0.0147,65
SRV-CACHE-1,2025-03-15 02:03:27,18.5,73.2,15.3,99.3,79.5,1643,0.0185,142
SRV-WEB-5,2025-06-25 07:20:56,58.3,36,87.9,173.3,75.9,1355,0.0056,219
SRV-WEB-8,2024-10-06 00:16:27,95.8,96.5,150.8,987.3,350.2,18559,0.2884,4044
SRV-DB-8,2025-04-05 03:35:00,59.5,71.5,17.8,84.4,82.6,1575,0.0142,145
SRV-CACHE-13,2024-02-02 08:31:17,39,61.6,97.6,52.4,75.8,442,0.007,73
SRV-WEB-17,2025-11-19 11:43:59,47.3,61.6,11.4,125.3,53.7,991,0.0062,185
SRV-API-10,2025-05-30 08:38:23,69.1,51.6,4.9,156.7,32.3,480,0.0125,158
SRV-WEB-13,2025-02-04 02:02:05,58.9,45.8,11.6,76.1,38.4,154,0.0104,166
SRV-CACHE-15,2024-12-15 22:34:49,66.5,67.4,41.7,134.9,145.5,772,0.0024,33
SRV-API-2,2024-04-26 21:09:29,98.5,95.6,379.6,822,498,14190,0.1862,2864
SRV-API-8,2025-11-17 02:06:11,28.3,46.2,97.2,133.2,122.4,1293,0.0182,200
SRV-DB-15,2025-06-05 09:35:31,73.7,37.1,85.6,101.1,102.5,1323,0.0062,29
SRV-API-17,2024-04-09 17:17:43,39.6,33.1,39.5,21.4,112.3,1286,0.02,248
SRV-API-18,2025-02-13 05:41:47,52.3,78.1,72.4,27.7,8.2,1726,0.006,163
SRV-API-4,2025-02-08 05:36:50,64.9,79.5,24,67.9,17.4,924,0.0156,78
SRV-DB-16,2024-11-26 10:30:45,69,74.6,73.1,178.1,90.9,953,0.0118,34
SRV-CACHE-5,2024-12-25 15:10:03,11.5,54.5,40.3,31.5,45.8,377,0.0053,49
SRV-CACHE-10,2025-01-31 02:15:42,24.4,32.9,33.1,75.1,83.7,1320,0.0156,84
SRV-WEB-15,2024-03-06 20:55:36,16.6,57,92.8,157.8,84.8,1161,0.0127,166
SRV-WEB-12,2024-07-14 17:56:31,58.1,54,8.4,57.7,65.9,403,0.0113,152
SRV-CACHE-20,2024-01-11 06:34:55,58.3,56.4,7.9,72.2,69.3,507,0.0093,113
SRV-API-17,2024-08-11 18:31:00,20.3,49.8,45.1,193.7,105.4,1114,0.002,238
SRV-CACHE-4,2025-12-19 23:40:14,70.3,41,26.7,86.4,13.7,1785,0.0028,174
SRV-WEB-7,2025-05-08 18:48:56,16.6,47.7,21.2,111.1,91.8,877,0.018,165
SRV-WEB-10,2024-05-02 22:36:51,67.6,33.5,12.7,73.6,122.9,824,0.0056,266
SRV-WEB-9,2025-12-25 21:07:42,63.7,40.3,55.9,113.8,17.2,191,0.003,208
SRV-DB-8,2025-08-09 03:25:26,69.5,36,9.1,120.2,64.2,968,0.02,154
SRV-WEB-5,2025-02-18 10:39:06,68.9,30,4,120.4,121,675,0.0008,74
SRV-CACHE-2,2025-09-29 22:01:41,11.2,56.3,77.8,135,123.1,442,0.0163,204
SRV-CACHE-8,2025-02-08 08:49:51,69.8,58.6,52.1,64.2,114.4,1810,0.0052,142
SRV-WEB-1,2024-08-26 12:08:21,99.3,88.2,271.1,932.4,10,17639,0.2356,2977
SRV-DB-4,2025-05-28 21:26:10,15.7,77.3,56.4,145.7,78.3,1733,0.0107,39
SRV-WEB-2,2024-03-29 23:46:04,25.4,34.4,35,6,32.6,1027,0.006,209
SRV-WEB-15,2024-02-25 03:04:01,13.7,72,53.2,137,83.8,1606,0.0098,87
SRV-API-8,2025-02-22 21:08:44,66.4,49.5,6.9,38.5,145.1,492,0.0109,140
SRV-DB-19,2025-11-23 02:03:42,70.5,51,86,185.9,135.1,300,0.0094,162
SRV-API-17,2025-08-13 11:48:54,45.9,62.4,79,93.1,5,768,0.0087,282
SRV-DB-20,2024-03-03 23:00:24,17.8,49.2,64.8,20.2,147.7,88,0.0036,258
SRV-CACHE-1,2024-10-04 05:09:30,23.5,37.1,61.2,2.8,14.6,760,0.0083,56
SRV-API-9,2025-06-06 21:33:28,12.8,70.2,57.5,81.5,42.6,726,0.0156,138
SRV-CACHE-19,2025-09-22 14:20:55,20.5,54.9,3.9,197.8,93.6,1289,0.0015,40
SRV-CACHE-18,2024-07-30 04:11:11,52.2,58.1,93.3,157.2,133,1880,0.0091,27
SRV-DB-20,2024-02-01 03:36:33,62.7,49.2,50.2,98,23.9,1558,0.0163,89
SRV-CACHE-16,2025-04-04 09:29:35,65.8,51.6,25,44.5,80.1,1018,0.0134,134
SRV-WEB-2,2024-03-21 14:52:52,35,36,89,105.7,64.4,1622,0.0172,137
SRV-WEB-1,2024-07-23 11:26:57,54.9,39.9,91.5,158.5,83.5,246,0.013,155
SRV-CACHE-5,2024-04-11 13:02:53,59.5,65.5,28.1,151.5,121.3,1870,0.0184,198
SRV-API-9,2025-01-01 12:39:08,10.9,34.3,79.3,22.6,13.8,196,0.0025,119
SRV-API-9,2024-08-20 07:04:45,56.1,36.1,12,155.9,75.1,1739,0.0135,139
SRV-WEB-10,2024-07-23 21:58:02,61.1,35.6,68.5,71,132.2,1913,0.0003,217
SRV-CACHE-7,2025-11-08 21:23:03,41.2,58.3,8.2,157.5,4.8,243,0.0005,288
SRV-WEB-15,2024-05-02 00:08:19,73.7,79.2,93.4,71,137.7,167,0.0177,275
SRV-API-7,2024-12-27 19:42:54,18.2,76.1,46,73.6,85.3,469,0.0164,143
SRV-DB-9,2025-05-26 16:37:31,69,42,74.2,28.1,70.1,807,0.0136,276
SRV-WEB-14,2025-10-13 22:55:59,28.3,33.7,80.1,34.1,120.8,212,0.0191,169
SRV-CACHE-13,2024-09-04 20:27:19,59.8,34.4,42.3,81.9,138.5,1791,0.0001,159
SRV-CACHE-1,2025-04-21 02:26:13,20.6,59.2,49.1,29.4,57.4,197,0.0071,158
SRV-API-13,2025-11-04 09:45:23,39.7,63,70,109.6,9,1835,0.0177,276
SRV-WEB-8,2025-04-29 09:22:20,26.7,57.4,24.2,22.3,75,1882,0.011,41
SRV-CACHE-18,2025-03-01 23:08:08,18,50.9,59.6,199.9,111,1951,0.013,170
SRV-WEB-8,2024-07-10 18:16:11,15.2,37.7,42.9,23.6,77,601,0.0195,199
SRV-API-20,2025-08-12 10:55:43,72.1,75.3,72.4,104.8,26.3,192,0.0145,282
SRV-DB-4,2024-09-24 11:55:26,15.7,50.5,69.9,117.5,77.5,1773,0.0184,228
SRV-API-15,2025-11-02 21:35:55,31,59.8,18.2,185.2,138.2,1142,0.0052,120
SRV-WEB-19,2024-07-05 02:03:48,14.8,43.3,28.9,12,125,1897,0.016,179
SRV-WEB-3,2025-04-11 19:40:57,30,78.3,33,28.5,59.2,616,0.0173,33
