StoreId,MonthlyRevenue,FootTraffic,AvgTransactionValue,InventoryTurnover,StaffCount,StoreSizeSqFt,LocationType,ParkingSpaces,Region
STR-0079,328505,78271,45.04,9,39,16313,Suburban,229,West
STR-0080,1621003,61292,76.25,6.4,68,42218,Suburban,156,Central
STR-0081,265711,44973,53.86,4.3,62,18980,Suburban,289,East
STR-0082,375376,68893,75.2,7.6,69,33780,Urban,25,Central
STR-0083,1698678,56617,112.16,11.2,30,21653,Urban,199,East
STR-0084,1412725,51741,21.78,2.5,39,21222,Suburban,131,South
STR-0085,2181446,13029,112.34,2.5,16,17629,Airport,68,West
STR-0086,1939126,32650,28.17,7.3,55,6092,Suburban,264,West
STR-0087,1299544,56355,48.03,8.1,41,28669,Urban,,West
STR-0088,1505075,62353,44.08,13,26,34231,Mall,206,North
STR-0089,100292,43894,42.7,4.5,55,21095,Urban,276,South
STR-0090,847571,74181,114.48,8,20,34517,Mall,27,West
STR-0091,712392,12880,85.34,13.2,26,49383,Urban,87,South
STR-0092,796647,70235,48.31,8.7,55,3184,Urban,66,Central
STR-0093,1423974,38337,72.11,6.3,31,2274,Suburban,78,Central
STR-0094,831940,55739,45.6,7.9,31,36450,Urban,179,North
STR-0095,164862,20650,55.47,6.1,70,26219,Airport,294,South
STR-0096,2409018,5243,15.23,13.9,61,45425,Mall,220,West
STR-0097,283822,5124,72.45,6.8,74,2621,Airport,12,Central
STR-0098,1534130,65146,85.35,3.2,79,18488,Mall,5,South
STR-0099,588476,66858,41.59,6.3,59,4866,Urban,263,North
STR-0100,934959,55332,118.41,4.2,9,31472,Urban,196,East
STR-0101,1584657,11875,32.84,14.3,37,36170,Urban,275,South
STR-0102,1438673,42323,37.35,4.7,31,9148,Mall,234,North
STR-0103,2384549,12478,63.98,4.1,14,20317,Standalone,285,North
STR-0104,2392129,9181,35.83,5.6,52,19536,Airport,270,South
STR-0105,1753810,75354,52.38,12.9,80,23583,Mall,64,West
STR-0106,1617983,78697,85.4,9.4,31,31289,Airport,254,West
STR-0107,2259713,43939,97.13,7.4,79,15157,Standalone,180,Central
STR-0108,1940457,21928,91.51,3.5,76,20011,Airport,45,Central
STR-0109,1545462,54935,64.56,14.3,9,7403,Suburban,,West
STR-0110,738639,47430,34.88,8,13,20783,Airport,296,East
STR-0111,198248,12635,78.66,11.9,12,45652,Urban,213,Central
STR-0112,2149620,20529,82.95,4.6,18,45273,Mall,257,South
STR-0113,641484,57149,43.54,4.1,79,37238,Standalone,275,South
STR-0114,1567993,30460,67.83,10.9,15,15782,Standalone,208,West
STR-0115,1529544,31303,56.41,11,62,8057,Airport,196,West
STR-0116,1229638,16909,67.69,6.4,26,13655,Mall,6,West
STR-0117,1278490,10330,91.81,10.8,22,37020,Standalone,10,Central
STR-0118,1753461,43258,38.52,7.4,21,40592,Mall,84,North
STR-0119,340138,61988,104.84,8.7,27,8169,Airport,180,West
STR-0120,2045258,70822,81.54,9,10,17198,Urban,,South
STR-0121,854974,47246,83.27,7.2,45,14264,Suburban,39,North
STR-0122,1487523,59215,59.15,2.5,60,39667,Suburban,141,North
STR-0123,1281269,45099,114.78,6.2,9,23931,Mall,158,Central
STR-0124,1189442,71065,111.96,10.2,79,43142,Airport,144,Central
STR-0125,182848,71479,47.34,7.3,63,34897,Suburban,201,West
STR-0126,1581353,62243,27.92,14.1,19,48425,Suburban,122,North
STR-0127,88279,59152,99.53,11.5,30,31087,Standalone,105,East
STR-0128,2317135,48832,52.83,5.6,62,42310,Airport,262,West
STR-0129,1896873,50014,36.76,9.8,17,20167,Standalone,236,West
STR-0130,1985324,49145,21.67,2.1,23,43777,Suburban,,East
STR-0131,1550034,76691,112.55,9.2,70,22482,Suburban,188,East
STR-0132,1157445,67098,34.86,5.8,9,5639,Mall,249,North
STR-0133,1827518,14308,54.47,9.8,55,39021,Urban,125,West
STR-0134,1390856,12424,42.66,14.7,20,45894,Suburban,290,Central
STR-0135,405863,48788,49.64,12.6,68,13272,Standalone,197,South
STR-0136,1912027,48452,65.4,12.4,8,36669,Airport,91,West
STR-0137,1671000,47756,39.91,3.6,57,22150,Standalone,,West
STR-0138,921828,12361,60.71,14,59,6227,Mall,95,Central
STR-0139,2241067,66007,25.59,14.5,18,14088,Airport,54,Central
STR-0140,419224,29503,112.36,14.4,71,11879,Airport,46,Central
STR-0141,2154405,9496,71.24,4,35,48758,Suburban,4,South
STR-0142,1736691,43913,101.22,3.4,47,22565,Mall,248,North
STR-0143,1458427,42464,32.7,8.6,64,16692,Standalone,164,Central
STR-0144,2260418,58213,93.42,10.3,14,14706,Urban,84,Central
STR-0145,1634831,59108,65.25,3.7,50,36281,Urban,149,Central
STR-0146,1221715,46340,81.77,7,58,45758,Airport,155,West
STR-0147,1430232,26037,110.28,10.7,43,13952,Airport,25,East
STR-0148,934947,77780,20.72,3.3,44,9688,Urban,59,East
STR-0149,536623,26068,54.96,12.9,55,39456,Mall,,South
STR-0150,335557,74858,101.03,12.2,7,25807,Urban,,Central
STR-0151,1057002,41847,83.02,10.5,79,37531,Suburban,253,East
STR-0152,1889465,66669,21.42,14.1,40,41529,Standalone,42,North
STR-0153,1421019,77198,70.61,13.2,67,17265,Urban,176,South
STR-0154,671963,24866,16.31,12.6,25,31709,Suburban,132,North
STR-0155,2467710,26132,108.4,4.1,61,48860,Airport,172,Central
STR-0156,1531315,52822,41.23,6.4,21,30643,Mall,70,Central
STR-0157,1979971,49507,66.65,4.5,67,26174,Mall,,East
STR-0158,1637364,22479,111.2,14.6,33,27822,Standalone,252,Central
STR-0159,1371757,78067,107.23,2.5,62,7172,Urban,6,West
STR-0160,577291,63491,68.92,2.1,14,38523,Airport,46,West
STR-0161,1143895,56208,97.27,11.1,11,16248,Suburban,167,Central
STR-0162,998961,42772,72.21,3.5,8,40403,Mall,,Central
STR-0163,1899659,33284,95.03,9,67,38144,Standalone,26,North
STR-0164,2059352,53503,43.04,3.6,22,12358,Standalone,29,East
STR-0165,1718480,45255,75.06,9.7,63,9371,Suburban,161,South
STR-0166,1557350,65820,102.09,3.9,15,22928,Mall,227,North
STR-0167,1262141,79731,57.86,7.2,33,43688,Airport,191,North
STR-0168,1018437,9453,28.4,8.4,35,7197,Mall,127,Central
STR-0169,1040786,60130,52.14,11.2,16,46998,Urban,99,North
STR-0170,2108379,75516,93.07,8.8,25,20557,Suburban,222,East
STR-0171,1829757,22950,113.08,10.1,69,44714,Suburban,149,South
STR-0172,354743,9373,114.29,12.6,29,35298,Standalone,14,West
STR-0173,325494,14119,54.66,9.7,73,14441,Standalone,10,East
STR-0174,1424796,73186,87.03,8.4,42,49243,Airport,117,South
STR-0175,1533450,70326,26.62,3.9,61,13802,Urban,130,West
STR-0176,682241,35219,58,12.7,35,9496,Mall,288,Central
STR-0177,1974538,43246,86.55,2.8,72,45017,Airport,19,East
STR-0178,2121226,61454,27.35,6.3,33,31877,Standalone,28,North
STR-0179,2439548,79622,108.49,9.2,41,10373,Airport,75,East
STR-0180,1948572,78565,62.98,14.6,9,33595,Urban,110,South
STR-0181,625115,47179,23.63,13.4,10,19431,Suburban,239,South
STR-0182,1261030,38880,64.83,14,25,36505,Mall,267,Central
STR-0183,2429014,67277,55.73,4.9,36,32150,Mall,191,East
STR-0184,1346887,52646,73.37,3.2,30,12096,Suburban,245,East
STR-0185,1534035,71482,113.91,14.4,74,27357,Mall,295,West
STR-0186,1643240,26662,48.61,2.5,9,13670,Urban,48,East
STR-0187,1727628,7177,83.19,6.3,42,30281,Urban,208,North
STR-0188,740907,32641,52.93,8.1,54,36058,Mall,15,East
STR-0189,1042117,23401,97.75,14.8,49,48199,Standalone,288,West
STR-0190,526732,75696,61.15,3.1,61,49137,Airport,81,West
STR-0191,388850,56684,36.67,7.4,54,47432,Urban,113,East
STR-0192,168313,44249,80.93,13.3,48,48145,Urban,190,West
STR-0193,1985331,51288,84.19,4.8,9,29236,Suburban,199,West
STR-0194,705340,13235,76.87,14.3,37,18398,Suburban,271,North
STR-0195,295213,39136,96.04,9.8,63,19937,Standalone,56,East
STR-0196,772759,27003,86.83,3.4,76,32322,Mall,197,South
STR-0197,1894598,49535,104.37,14.5,15,28980,Standalone,155,West
STR-0198,740723,71446,67.35,10.6,35,9962,Suburban,47,East
STR-0199,1432357,51880,119.41,11.7,70,26028,Mall,155,East
STR-0200,890748,42448,80.11,5.6,42,49608,Airport,140,Central
STR-0201,2251043,47208,44.87,11.1,26,48775,Urban,59,South
STR-0202,1802955,61461,106.4,12,50,19602,Standalone,253,North
STR-0203,2269860,30324,86.91,8.6,78,14161,Urban,190,East
STR-0204,2339530,5203,102.56,6.5,65,37790,Suburban,246,West
STR-0205,1800000,54386,76.13,4.8,11,14591,Suburban,89,South
STR-0206,2027268,18062,109.77,13.9,65,17754,Suburban,181,South
STR-0207,589054,27851,17.65,4.8,18,22575,Airport,61,West
STR-0208,246484,58247,69.24,4.4,19,43705,Airport,155,Central
STR-0209,92509,42471,24.2,13.4,66,34619,Standalone,84,East
STR-0210,261531,72184,114.41,13.3,19,33422,Standalone,299,Central
STR-0211,1860532,62971,86.06,3.3,35,10403,Standalone,218,South
STR-0212,2332606,24442,28.32,4.1,8,32144,Urban,,South
STR-0213,823707,52732,116.43,7,78,11665,Airport,259,North
STR-0214,215934,39176,74.36,4.3,34,47865,Suburban,9,South
STR-0215,1801515,72424,111.53,4.2,7,27604,Airport,12,Central
STR-0216,500231,58862,94.82,5.6,80,43207,Standalone,85,East
STR-0217,912729,9359,20.29,2.9,50,40776,Mall,260,West
STR-0218,653027,68148,17.38,4.5,14,22535,Urban,223,South
STR-0219,1882779,9418,42.9,7.8,71,11090,Airport,77,West
STR-0220,1651928,26499,29.94,11,14,44310,Urban,230,Central
STR-0221,503277,15358,97.08,4.8,5,43187,Urban,214,Central
STR-0222,721530,44725,98.3,10.3,37,39810,Airport,83,South
STR-0223,460245,54824,48.44,2.9,29,12293,Suburban,240,East
STR-0224,1698073,13817,31.74,6.4,70,21891,Suburban,280,North
STR-0225,572407,20455,80.55,2.6,29,44675,Airport,122,South
STR-0226,1875134,58131,113.92,13,63,33131,Urban,171,West
STR-0227,776556,38596,80.19,5.3,79,41508,Mall,284,South
STR-0228,886460,16601,111.38,5.7,63,35456,Airport,218,East
STR-0229,1442424,75686,32.63,12.6,17,44344,Airport,154,South
STR-0230,2421270,9507,62,14.2,31,36218,Mall,236,South
STR-0231,265750,42368,72.47,2.4,28,28576,Suburban,152,Central
STR-0232,341609,13577,82.87,2.9,64,48570,Airport,289,East
STR-0233,2309430,26884,40.94,10.1,7,15933,Airport,123,Central
STR-0234,949269,55137,68.75,5.7,58,48125,Airport,178,North
STR-0235,2144896,26277,89.82,15,62,2498,Airport,,South
STR-0236,724342,55493,88.05,3,51,20101,Mall,20,Central
STR-0237,1456883,36810,23.96,10.2,23,48948,Urban,85,South
STR-0238,1926344,17818,106.85,5.6,27,41736,Urban,241,North
STR-0239,2486158,15702,21.76,6.1,66,48329,Airport,98,West
STR-0240,1439863,37564,45.62,9.8,14,30233,Airport,201,Central
STR-0241,1231042,16529,104.2,7.7,58,4487,Mall,300,East
STR-0242,176742,63546,39.91,9,43,31494,Suburban,67,South
STR-0243,196254,62293,49.01,8.4,71,9577,Mall,176,South
STR-0244,548188,63259,37.77,10.1,38,9995,Airport,228,West
STR-0245,2070135,45173,56.11,10.7,53,38927,Airport,255,West
STR-0246,762837,16497,76.81,14.1,67,34680,Standalone,45,Central
STR-0247,1078458,15191,74.03,4.3,50,6668,Mall,100,East
STR-0248,172282,67557,47.54,8.9,73,26623,Mall,232,West
STR-0249,455163,49709,75.13,6.4,38,48432,Standalone,278,West
STR-0250,90931,69835,56.42,14.2,23,48604,Airport,92,South
STR-0251,2323446,44932,88.12,11.1,7,42692,Airport,174,Central
STR-0252,1687896,45886,46.23,7.1,39,25398,Mall,5,Central
STR-0253,1886561,33092,54.66,7.5,65,25636,Airport,21,Central
STR-0254,2036873,14592,86.41,8.3,29,47693,Airport,249,North
STR-0255,2445066,21973,113.55,11.5,78,42723,Standalone,159,East
STR-0256,391476,31356,26.66,11.2,75,10215,Mall,59,East
STR-0257,1017886,11303,90.3,3,28,35015,Urban,19,East
STR-0258,2132039,50830,119.03,12.8,23,28456,Standalone,150,North
STR-0259,1777906,6350,88.7,5.4,72,17463,Standalone,35,West
STR-0260,1153892,7360,100.3,5.3,51,30583,Standalone,24,South
STR-0261,1028221,37707,17.07,9.1,73,3798,Standalone,,Central
STR-0262,2190543,9515,113.56,4.3,76,48672,Suburban,188,South
STR-0263,1063287,29220,36.93,4.7,47,5223,Airport,75,East
STR-0264,328544,53577,119.12,11.9,72,21522,Airport,183,North
STR-0265,1299058,49370,41.36,9.2,26,15614,Airport,110,West
STR-0266,1700403,30109,107.4,4.4,63,28459,Airport,146,North
STR-0267,577985,32627,66.24,5.5,80,36402,Airport,,East
STR-0268,1823184,11134,21.12,4.6,26,49956,Suburban,22,North
STR-0269,2173956,11959,36.06,6.2,23,11824,Urban,143,South
STR-0270,660664,41952,61.42,8,79,45508,Standalone,6,West
STR-0271,1999912,16852,20.73,7.4,37,43186,Standalone,132,East
STR-0272,243244,71481,114.34,11,51,46658,Airport,205,Central
STR-0273,1461159,78980,66.54,3.6,17,16802,Airport,231,West
STR-0274,1141158,66276,52.07,2.8,59,48972,Urban,108,South
STR-0275,280023,22932,84.49,11.3,25,29163,Urban,114,West
STR-0276,2373141,27247,87.22,7.8,76,27319,Mall,165,West
STR-0277,2039096,64321,118.97,9.2,57,20575,Standalone,61,South
STR-0278,298204,71450,57.97,12.8,66,21566,Mall,58,South
STR-0279,1721905,66166,51.14,6.8,22,47001,Airport,117,West
STR-0280,1416445,47622,79.31,5.1,14,22364,Standalone,167,West
STR-0281,1376689,13997,35.5,10.3,75,27630,Urban,123,Central
STR-0282,1148512,54761,54.69,7.4,11,28169,Airport,3,Central
STR-0283,962296,16633,98.41,6.3,71,33275,Standalone,169,North
STR-0284,888449,45895,111.26,6.9,39,18467,Urban,127,West
STR-0285,1381469,31251,66.99,10.9,55,20658,Standalone,101,East
STR-0286,2160842,47818,29.73,5.7,55,41736,Standalone,227,Central
STR-0287,2139243,71437,60.19,3.4,32,42138,Urban,35,North
STR-0288,2146271,19039,67.35,8.5,19,12762,Mall,176,North
STR-0289,111862,25352,108.09,13.9,35,15875,Standalone,180,West
STR-0290,494268,34988,39.8,12.5,48,42888,Urban,53,Central
STR-0291,444508,79227,30.96,10.1,48,13790,Urban,257,West
STR-0292,1399776,53328,116.3,10.2,66,32141,Airport,130,North
STR-0293,1879742,32931,25.79,2.9,70,8224,Suburban,146,Central
STR-0294,2411225,25551,86.99,2.2,58,10272,Suburban,85,North
STR-0295,152235,46445,109.73,13,38,15783,Mall,37,East
STR-0296,1192547,79885,29.81,2.6,65,33179,Urban,120,Central
STR-0297,180108,68684,119.49,13.5,22,9181,Standalone,71,South
STR-0298,1691967,8178,57.48,12.9,77,28504,Airport,87,East
STR-0299,91935,35040,18.74,14.6,59,6142,Airport,47,North
STR-0300,1279625,50530,102.28,5.6,78,43603,Urban,10,North
STR-0301,1444885,48042,29.7,12.2,37,43575,Standalone,246,Central
STR-0302,183741,74112,75.9,12,47,32979,Standalone,291,North
STR-0303,1264573,25403,75.19,6.3,56,16722,Airport,27,East
STR-0304,2236481,14613,67.34,2.3,80,3866,Mall,69,East
STR-0305,1808095,31239,75.9,13.5,17,6370,Standalone,265,West
STR-0306,1387112,19933,20,2.7,68,34178,Airport,48,Central
STR-0307,109284,11215,59.04,8.5,34,30370,Airport,114,East
STR-0308,1230802,38533,98.85,10.4,32,30141,Standalone,47,West
STR-0309,109616,39332,81.27,3.7,79,48529,Urban,70,North
STR-0310,1369441,43718,72.42,10.8,64,30771,Urban,206,Central
STR-0311,2173559,23357,74.01,2.4,52,6412,Mall,211,South
STR-0312,784452,51616,95.43,7.7,63,48233,Standalone,196,West
STR-0313,1569249,29998,72.3,11.7,39,45398,Urban,239,Central
STR-0314,2257368,53716,118.43,8.8,5,34934,Urban,148,East
STR-0315,1699800,67374,65.62,7,80,48600,Standalone,55,Central
STR-0316,1536080,24430,119.6,7.7,73,4155,Mall,55,South
STR-0317,1747085,37431,27.21,4.9,13,44116,Standalone,77,East
STR-0318,777463,33750,47.16,12,33,13015,Standalone,253,East
STR-0319,1166268,27075,107.23,11,6,49916,Urban,262,Central
STR-0320,2378647,64094,36.22,2.6,75,7557,Suburban,36,South
STR-0321,2265838,55704,78.74,7.6,69,42268,Airport,40,North
STR-0322,1472674,22658,59.95,7,14,14613,Airport,128,North
STR-0323,2487186,20140,23.77,2,76,37073,Urban,63,North
STR-0324,619282,48951,39.13,7.8,25,10943,Suburban,102,South
STR-0325,2356678,18244,51.29,12.5,54,30026,Standalone,73,Central
STR-0326,1114192,24738,49.87,14.2,25,27852,Mall,107,Central
STR-0327,688424,28557,62.18,2.7,16,15709,Mall,285,West
STR-0328,1773301,21658,73.96,9.8,9,18556,Suburban,106,East
STR-0329,801421,67788,88.03,8.5,29,12120,Suburban,208,West
STR-0330,2479389,57291,81.86,2.1,33,16422,Airport,227,West
STR-0331,1988920,18988,100.21,9.6,5,47735,Mall,18,Central
STR-0332,1504008,11295,32.05,13.7,56,26556,Mall,223,East
STR-0333,341716,17338,81.13,7.9,28,27737,Suburban,189,East
STR-0334,974611,22844,35.81,14.5,59,28441,Standalone,10,West
STR-0335,373045,26717,41.02,8,8,14088,Airport,255,South
STR-0336,283132,46966,73.32,5.7,7,46103,Urban,48,Central
STR-0337,419168,22489,65.41,4.1,33,24969,Suburban,292,East
STR-0338,955779,8971,67.32,6.9,13,19539,Suburban,198,North
STR-0339,1905846,70812,62.39,6.8,42,4828,Standalone,34,West
STR-0340,2323722,62997,16.45,8.2,8,14703,Mall,212,West
STR-0341,1461547,72011,113.73,12,24,4642,Mall,72,North
STR-0342,2041797,22709,45.66,13.4,64,15837,Suburban,71,West
STR-0343,1145047,33641,98.27,14.3,55,24190,Standalone,274,West
STR-0344,2306274,78036,75.38,12.3,77,12763,Suburban,102,South
STR-0345,1667929,47184,60.58,3.9,28,2188,Standalone,273,Central
STR-0346,177950,60647,92.07,10.5,25,47400,Suburban,168,Central
STR-0347,2078731,55913,87.33,5.5,41,43797,Urban,19,Central
STR-0348,659479,6404,85.43,14.9,79,49057,Standalone,143,West
STR-0349,1062597,45194,88.49,4.5,66,18265,Mall,168,West
STR-0350,1577881,10943,80.02,7.4,23,43948,Mall,107,East
