CustomerId,RecencyDays,Frequency,MonetaryTotal,AvgOrderValue,NumReturns,EmailOpenRate,LoyaltyPoints,PreferredChannel,AgeGroup,Region
CUST-00031,242,3,19485.51,46.14,7,0.47,51119,MobileApp,56+,West
CUST-00032,174,30,22019.97,290.02,4,0.6,55085,Phone,56+,West
CUST-00033,124,53,18603.73,532.91,5,0.53,48848,Online,18-25,East
CUST-00034,394,46,3209.13,278.68,0,0.42,49673,InStore,56+,West
CUST-00035,372,25,14055.16,393.2,6,0.49,58497,Phone,56+,West
CUST-00036,154,25,23254.45,262.51,1,0.62,12124,Online,18-25,East
CUST-00037,338,57,13600.67,317.92,5,0.61,50866,Phone,56+,North
CUST-00038,313,5,21713.34,336.53,0,0.46,35668,Phone,36-45,South
CUST-00039,365,56,13947.43,435.76,8,,16405,Online,18-25,South
CUST-00040,347,5,27036.54,21.71,6,0.23,57228,Phone,26-35,North
CUST-00041,317,57,21456.61,550.3,6,0.06,27639,InStore,36-45,West
CUST-00042,31,69,29384.17,287.78,4,0.51,11797,MobileApp,46-55,North
CUST-00043,358,42,23718.8,48.2,0,0.19,19800,InStore,56+,West
CUST-00044,308,56,29828.42,382.17,8,0.37,19573,Phone,56+,South
CUST-00045,373,59,16309.47,596.25,6,0.35,29619,Phone,46-55,West
CUST-00046,386,51,5283.76,398.41,5,0.34,27251,MobileApp,46-55,North
CUST-00047,76,44,28033.36,152.21,0,,8271,MobileApp,18-25,South
CUST-00048,11,73,512.7,162.99,5,0.69,56323,MobileApp,18-25,East
CUST-00049,361,68,19370.51,14.19,2,0.58,23893,Online,36-45,South
CUST-00050,52,30,5287.27,259.23,7,0.69,33743,InStore,26-35,West
CUST-00051,14,7,17236.87,53.81,1,0.12,49664,InStore,18-25,West
CUST-00052,237,16,1516.44,474.42,7,0.24,58422,MobileApp,46-55,West
CUST-00053,15,31,8291.7,295.59,5,0.18,24215,Online,46-55,North
CUST-00054,297,40,6090.59,244.22,9,,55571,MobileApp,46-55,South
CUST-00055,157,67,14743.23,278.41,8,,49236,Phone,46-55,South
CUST-00056,206,77,27304.23,561.08,9,,52089,MobileApp,56+,South
CUST-00057,188,30,11588,527.53,4,,165,Online,26-35,East
CUST-00058,358,17,23375.75,133.02,0,0.08,3807,Online,46-55,South
CUST-00059,228,25,5833.11,404,8,0.69,4379,MobileApp,18-25,East
CUST-00060,83,67,6994.24,43.38,1,0.35,4987,MobileApp,36-45,North
CUST-00061,139,7,13755.33,499.6,5,0.38,4051,Online,56+,East
CUST-00062,304,57,21735.81,588.4,4,0.15,7808,InStore,46-55,South
CUST-00063,189,52,14998.37,235.49,3,0.05,34984,InStore,36-45,South
CUST-00064,163,67,25021.71,551.53,7,0.57,52215,InStore,26-35,North
CUST-00065,321,76,4186.15,502.28,7,0.5,44988,InStore,56+,South
CUST-00066,358,5,575.53,159.47,5,0.2,13537,Phone,46-55,West
CUST-00067,338,65,22586.84,274.38,0,,40192,Online,26-35,North
CUST-00068,315,32,24934.56,118.48,6,0.42,52232,Online,46-55,West
CUST-00069,106,72,8141.23,155.44,10,0.65,26567,MobileApp,18-25,South
CUST-00070,101,14,13599.23,311.12,8,0.65,55595,MobileApp,56+,South
CUST-00071,52,58,26836.98,58.17,4,0.21,27815,InStore,18-25,East
CUST-00072,195,8,6427.25,22.91,0,0.41,40964,Phone,18-25,East
CUST-00073,261,9,20712.18,362.1,1,0.14,17461,Phone,18-25,West
CUST-00074,243,21,26310.79,296.59,8,0.58,59162,MobileApp,18-25,East
CUST-00075,53,66,22665.33,562.83,2,0.03,17957,InStore,18-25,South
CUST-00076,236,28,27818.26,217.35,6,,20390,MobileApp,18-25,East
CUST-00077,375,4,11585.06,233.6,9,0.13,53719,MobileApp,26-35,North
CUST-00078,4,44,19962.41,272.96,5,0.62,2154,Phone,36-45,West
CUST-00079,165,19,3282.05,282.65,6,,36761,Phone,46-55,North
CUST-00080,296,77,6673.86,320.74,10,0.29,39389,Phone,26-35,West
CUST-00081,363,72,13756.56,506.74,4,,41628,Online,18-25,South
CUST-00082,264,51,23822.15,275.39,5,0.65,40515,MobileApp,46-55,West
CUST-00083,354,2,4577.66,519.48,1,0.67,47412,InStore,26-35,East
CUST-00084,151,8,28669.59,295.64,3,,28923,Online,36-45,East
CUST-00085,313,27,6966.83,499.84,3,0.35,3060,MobileApp,18-25,East
CUST-00086,146,30,3897.65,496.58,4,0.29,14064,MobileApp,46-55,East
CUST-00087,382,77,11907.44,445.94,7,,12834,InStore,26-35,West
CUST-00088,105,8,13648.08,88.47,6,0.51,45965,Online,46-55,South
CUST-00089,64,29,1189.69,342.17,9,0.14,52356,Online,36-45,East
CUST-00090,223,44,16075.29,71.79,9,0.4,4319,Phone,56+,West
CUST-00091,292,19,25399.65,129.9,6,0.52,15587,InStore,26-35,East
CUST-00092,150,61,6536.48,517.32,5,0.3,6176,Phone,36-45,East
CUST-00093,144,35,18939.02,409.78,7,0.45,12701,InStore,18-25,North
CUST-00094,368,9,6372.8,525.97,2,0.05,43914,InStore,46-55,East
CUST-00095,132,79,8440.58,319.33,7,0.65,22243,Phone,36-45,East
CUST-00096,151,37,3583.44,550.39,2,0.07,25888,Online,36-45,South
CUST-00097,268,32,21002.03,315.3,3,0.1,5931,InStore,46-55,North
CUST-00098,193,67,21004.73,160.75,9,0.33,14040,InStore,46-55,South
CUST-00099,280,42,16364.81,471.99,6,0.66,6211,Online,26-35,South
CUST-00100,255,4,1467.56,489.3,6,0.08,23612,Online,18-25,North
CUST-00101,176,16,12315.48,529.06,8,,57398,Online,36-45,East
CUST-00102,25,55,24119.11,224.35,4,0.02,13966,Online,56+,North
CUST-00103,15,18,21184.13,322.05,5,0.1,38146,Online,36-45,South
CUST-00104,304,3,6499.37,155.46,4,0.68,37636,InStore,18-25,South
CUST-00105,24,42,5988.91,520.93,6,0.19,32668,Phone,26-35,East
CUST-00106,154,8,29819.7,504.91,7,0.33,26483,Phone,36-45,South
CUST-00107,334,62,2348.6,136.49,1,0.54,16899,MobileApp,46-55,South
CUST-00108,119,2,3224.1,280.2,8,0.34,30956,Phone,46-55,South
CUST-00109,295,57,19923.95,457.08,2,0.14,46353,Phone,56+,South
CUST-00110,159,35,15915.89,155.84,0,0.37,35682,Phone,18-25,South
CUST-00111,79,42,21069.96,239.95,9,0.15,57930,Online,56+,West
CUST-00112,335,62,5981.63,178.82,9,0.42,19927,InStore,26-35,East
CUST-00113,303,70,9555.29,375.97,7,0.45,33714,Phone,18-25,South
CUST-00114,130,17,7173.73,284.13,4,0.42,4186,Phone,18-25,East
CUST-00115,376,51,26781.09,459.66,9,0.51,59291,InStore,56+,West
CUST-00116,204,21,26885.56,91.23,9,0.29,24804,Online,56+,North
CUST-00117,93,24,993.9,107.87,2,0.23,56070,Online,18-25,North
CUST-00118,335,39,6751.01,571.49,8,0.22,27524,InStore,18-25,West
CUST-00119,167,16,13046.98,84.45,9,0.48,9213,MobileApp,36-45,West
CUST-00120,167,42,20553.77,18.34,6,0.59,24449,Online,18-25,East
CUST-00121,300,71,9611.18,357.17,9,0.67,50367,Online,46-55,East
CUST-00122,55,15,14709.57,243.18,9,0.37,35648,Online,18-25,South
CUST-00123,354,77,2269.92,380.85,1,0.56,20552,Phone,36-45,West
CUST-00124,175,41,7213.86,393.84,6,,52739,MobileApp,18-25,North
CUST-00125,71,3,9141.23,247.38,1,0.29,41198,Online,26-35,West
CUST-00126,219,21,26956.75,300.06,9,,418,Phone,36-45,West
CUST-00127,26,61,22636.34,538.89,4,0.05,28027,MobileApp,18-25,North
CUST-00128,266,18,4280.26,150.44,3,0.25,44822,InStore,26-35,East
CUST-00129,107,66,3591.47,477.26,9,0.6,5777,Online,18-25,East
CUST-00130,120,67,7305.12,380.13,10,0.58,19101,InStore,18-25,West
CUST-00131,125,5,23287.55,92.64,10,0.18,56028,MobileApp,56+,North
CUST-00132,168,43,24321.42,192.11,6,,7824,InStore,36-45,East
CUST-00133,335,5,12299.04,397.21,10,,54543,InStore,26-35,West
CUST-00134,312,10,9865.84,118.29,5,,51579,Online,36-45,North
CUST-00135,59,54,19455.08,45.51,4,0.09,19067,Online,18-25,West
CUST-00136,208,16,11593.99,350.37,0,0.45,44550,InStore,56+,South
CUST-00137,174,1,20660.66,60.62,2,0.63,1526,Phone,26-35,East
CUST-00138,201,52,2278.79,350.62,10,0.65,42577,MobileApp,56+,North
CUST-00139,2,4,248.84,311.42,7,0.48,34530,MobileApp,56+,West
CUST-00140,118,22,2441.36,529.54,0,,36879,InStore,36-45,North
CUST-00141,121,53,18204.13,538.69,6,0.08,38795,Phone,46-55,West
CUST-00142,175,70,4674.88,490.45,1,0.24,29962,Phone,56+,West
CUST-00143,245,5,8860.45,340.4,3,0.52,18848,MobileApp,46-55,East
CUST-00144,28,23,12102.42,240.24,8,0.49,22012,MobileApp,36-45,West
CUST-00145,375,60,14457.24,349.21,7,0.26,15221,InStore,36-45,East
CUST-00146,235,15,23274.82,448.3,5,0.62,2246,InStore,46-55,East
CUST-00147,61,10,3284.09,589.74,6,0.46,6440,MobileApp,46-55,South
CUST-00148,229,46,26858.24,510.29,6,0.48,52179,Online,56+,North
CUST-00149,266,26,19660.87,178.67,8,0.36,53058,Online,36-45,East
CUST-00150,32,49,25972.98,464.73,10,0.41,44774,Phone,36-45,South
CUST-00151,341,4,24658.27,178.49,7,0.36,59589,MobileApp,36-45,West
CUST-00152,144,57,26590.85,116.89,0,0.13,45597,MobileApp,46-55,South
CUST-00153,88,63,11882.38,443.51,5,0.35,45355,MobileApp,18-25,East
CUST-00154,304,38,29398.63,153.53,8,,44396,Phone,36-45,South
CUST-00155,83,71,5821.81,228.67,6,0.66,57414,InStore,56+,South
CUST-00156,319,72,16204.94,226.36,8,0.04,25265,MobileApp,18-25,East
CUST-00157,310,77,12362.98,520.94,9,0.46,260,InStore,26-35,South
CUST-00158,199,35,22534.09,471.23,8,0.11,51153,InStore,56+,North
CUST-00159,133,18,16192.27,308.41,0,0.27,54107,InStore,56+,South
CUST-00160,1,10,14372,346.08,7,0.44,5897,Phone,18-25,West
CUST-00161,222,14,8674.4,412.04,3,0.05,45346,MobileApp,18-25,South
CUST-00162,4,3,4144.94,428.95,7,0.59,28676,MobileApp,26-35,East
CUST-00163,322,44,10784.53,313.85,10,0.56,43830,MobileApp,26-35,East
CUST-00164,19,57,2039.25,136.18,8,,50455,InStore,36-45,North
CUST-00165,89,16,28507.98,530.52,9,0.7,37123,Phone,18-25,West
CUST-00166,248,70,8906.16,284.85,2,0.09,51384,InStore,56+,South
CUST-00167,382,31,8197.57,461.87,2,0.1,9621,Online,46-55,East
CUST-00168,111,34,22898.44,418.99,8,0.07,29735,Online,26-35,East
CUST-00169,371,66,9649.75,198.3,2,0.28,56384,Online,36-45,South
CUST-00170,322,57,18538.55,98.09,1,0.7,39466,Phone,36-45,West
CUST-00171,135,30,2601.83,154.94,5,0.25,11807,Phone,46-55,South
CUST-00172,176,77,3767.48,361.23,7,0.52,1884,Phone,18-25,South
CUST-00173,315,8,14902,16.48,6,0.2,34048,Online,56+,North
CUST-00174,82,55,20043.45,479.19,8,0.54,59195,MobileApp,56+,East
CUST-00175,57,6,2823.82,144.07,9,0.23,18624,Phone,36-45,North
CUST-00176,13,1,5025.56,528.28,7,0.41,4245,InStore,46-55,North
CUST-00177,36,80,8832.51,530.28,6,0.4,5721,Phone,36-45,East
CUST-00178,116,18,629.59,374.62,1,0.03,56591,InStore,36-45,South
CUST-00179,353,54,16963.78,364.05,8,0.68,50057,Phone,36-45,North
CUST-00180,293,60,9299.97,209.11,2,0.39,37298,MobileApp,36-45,North
CUST-00181,203,68,11259.9,15.78,0,0.41,44008,Online,18-25,South
CUST-00182,327,29,26921.5,308.04,5,0.02,33417,InStore,46-55,East
CUST-00183,349,1,19744.73,427.03,8,0.43,56769,InStore,46-55,West
CUST-00184,128,31,23682.11,164.79,0,0.64,52651,Phone,46-55,East
CUST-00185,167,70,9328.63,135.68,1,0.1,36154,MobileApp,56+,West
CUST-00186,276,31,11260.79,231.16,4,0.22,19957,Online,46-55,West
CUST-00187,335,3,27998.14,441.22,2,0.01,53314,InStore,36-45,East
CUST-00188,321,7,14731.61,443.04,1,0.07,2531,MobileApp,36-45,East
CUST-00189,81,7,8435.1,347.47,4,0.49,49532,Online,18-25,East
CUST-00190,250,30,26741.2,122.92,5,0.03,8438,MobileApp,18-25,West
CUST-00191,219,44,23215.76,206.46,5,0.65,34431,Online,36-45,North
CUST-00192,62,60,29442.36,168.45,8,,35851,Online,18-25,East
CUST-00193,335,25,13657.45,474.43,5,0.29,14849,Phone,36-45,West
CUST-00194,248,67,14219.97,214.96,4,0.41,35637,MobileApp,46-55,East
CUST-00195,197,21,22612.41,449.7,4,0.53,42959,InStore,56+,West
CUST-00196,315,65,5208.23,345.16,6,0.46,1560,Phone,26-35,East
CUST-00197,203,1,16489.61,322.59,4,0.21,9955,MobileApp,36-45,East
CUST-00198,35,47,25579.71,362.28,7,0.37,50064,MobileApp,18-25,North
CUST-00199,89,74,24045.1,488.55,3,0.52,2247,MobileApp,36-45,East
CUST-00200,73,55,16681.12,191.21,7,0.06,52208,InStore,36-45,West
CUST-00201,167,2,6068.09,558.35,0,0.16,39232,Online,26-35,West
CUST-00202,340,23,23617.6,377.27,5,0.68,31059,Phone,18-25,West
CUST-00203,321,11,13893.31,309.88,6,0.51,43081,Phone,26-35,West
CUST-00204,286,58,18115.39,539.86,3,0.26,38897,Phone,26-35,East
CUST-00205,196,8,15484.25,10.8,9,0.14,7154,Phone,18-25,East
CUST-00206,5,23,28557.88,497.15,6,0.69,13240,Online,18-25,North
CUST-00207,109,19,6384.4,25.67,5,,31636,Online,26-35,West
CUST-00208,33,4,2132.45,554.07,7,,45699,Phone,26-35,East
CUST-00209,18,42,25601.9,194.63,1,0.4,16499,Online,18-25,South
CUST-00210,329,65,17727.57,301.9,4,,10844,Phone,36-45,North
CUST-00211,219,75,24759.95,517.01,4,0.62,28320,Phone,18-25,South
CUST-00212,228,22,29236.75,240.49,10,0.43,12781,MobileApp,26-35,North
CUST-00213,70,66,15709.48,166.83,4,0.38,38413,Phone,26-35,North
CUST-00214,56,71,21480.12,304.56,9,0.2,38714,Online,18-25,East
CUST-00215,355,10,22292.7,424.13,4,0.41,44520,Phone,26-35,East
CUST-00216,167,15,23144.3,34.21,2,0.04,14286,MobileApp,26-35,West
CUST-00217,313,9,19558.56,44.32,1,0.66,49475,Online,36-45,South
CUST-00218,271,15,4730.95,42.87,3,0.3,2768,Online,56+,East
CUST-00219,282,62,4346.9,182.77,7,,52792,MobileApp,18-25,North
CUST-00220,286,13,10259.63,362.75,7,0.45,15324,Online,56+,East
CUST-00221,285,73,7479.25,361.74,7,0.26,33426,MobileApp,36-45,North
CUST-00222,259,22,8962.73,593.6,7,0.16,48918,Online,36-45,North
CUST-00223,100,10,5064.62,99.75,6,0.6,16136,Online,26-35,East
CUST-00224,244,24,8393.95,493.7,10,0.49,10903,Online,18-25,East
CUST-00225,101,65,15250.52,586.7,0,0.24,32794,MobileApp,36-45,West
CUST-00226,78,63,1459.18,599.23,7,0.18,58970,Online,18-25,South
CUST-00227,287,43,29567.34,597.12,7,0.06,3854,InStore,46-55,North
CUST-00228,203,24,15730.5,275.53,6,0.25,33516,Phone,46-55,East
CUST-00229,210,56,29583.96,157.72,5,0.09,35874,InStore,56+,East
CUST-00230,104,80,1165.76,285.48,1,0.3,42640,MobileApp,36-45,South
CUST-00231,63,42,26849.62,180.29,2,0.42,33359,MobileApp,26-35,East
CUST-00232,62,36,20265.32,40.5,5,0.68,26358,InStore,46-55,West
CUST-00233,109,50,11863.45,404.16,3,0.02,51510,Online,18-25,West
CUST-00234,359,66,10511.65,567.18,4,0.26,49204,Online,36-45,North
CUST-00235,244,75,22127.4,146.38,9,0.4,39374,MobileApp,46-55,West
CUST-00236,175,56,13081.66,507.99,8,0.45,44336,Phone,56+,North
CUST-00237,230,28,14405.01,588.53,2,0.02,49165,InStore,18-25,South
CUST-00238,85,35,11670.66,508.61,9,0.33,56895,InStore,36-45,North
CUST-00239,96,8,21776.54,530.29,5,0.15,33065,Phone,46-55,North
CUST-00240,280,12,18918.56,377.3,6,0.16,300,MobileApp,56+,South
CUST-00241,165,47,27782.59,411.46,10,0.4,22779,Online,18-25,North
CUST-00242,317,35,22989.75,434.01,0,0.47,28516,Online,18-25,East
CUST-00243,100,20,18857.55,241.62,9,0.06,35522,MobileApp,26-35,East
CUST-00244,205,73,20611.27,176.4,8,0.42,14219,InStore,46-55,North
CUST-00245,202,4,19889.87,516.72,4,0.67,32371,MobileApp,56+,West
CUST-00246,78,14,8495.63,412.04,5,0.31,31541,MobileApp,56+,North
CUST-00247,195,69,8794.92,113.05,10,,3624,InStore,18-25,North
CUST-00248,355,33,21939.92,348.93,4,0.22,415,Online,26-35,North
CUST-00249,65,18,19116.14,487.91,1,0.21,44882,InStore,26-35,North
CUST-00250,101,7,22739.16,144.65,10,0.4,48657,Online,36-45,East
CUST-00251,155,12,17689.32,258.78,6,,14953,InStore,56+,West
CUST-00252,265,34,16429.33,75.77,7,0.31,22931,MobileApp,56+,East
CUST-00253,316,62,16146.51,228.71,3,0.06,11984,Phone,46-55,South
CUST-00254,112,54,4410.03,38.92,8,0.14,56223,InStore,46-55,West
CUST-00255,359,49,12871.86,583.93,2,0.27,38272,Phone,46-55,East
CUST-00256,51,73,24986.52,378.95,0,0.4,54142,Phone,26-35,East
CUST-00257,399,13,19444.54,550.44,6,0.63,17962,MobileApp,46-55,West
CUST-00258,180,38,17435.65,458.81,3,,23572,InStore,18-25,South
CUST-00259,176,31,136.85,582.3,9,0.7,3732,InStore,26-35,North
CUST-00260,30,12,9489.97,586.77,0,0.4,18798,MobileApp,56+,East
CUST-00261,19,64,23318.93,274.48,9,0.04,52459,Online,46-55,East
CUST-00262,224,30,29578,153.81,6,0.55,11095,MobileApp,18-25,South
CUST-00263,79,22,17214.64,252.86,5,0.04,29389,MobileApp,18-25,South
CUST-00264,381,65,14907.9,463.83,8,0.31,47894,Online,36-45,East
CUST-00265,288,29,6312.6,338.46,3,0.58,47264,MobileApp,18-25,East
CUST-00266,61,49,2030.32,63.77,0,0.4,9071,MobileApp,56+,West
CUST-00267,318,27,13945.75,363.43,7,,56690,InStore,18-25,West
CUST-00268,254,60,10816.88,348.12,3,0.6,34133,MobileApp,46-55,North
CUST-00269,172,13,24311.09,66.33,6,0.35,9192,Online,36-45,North
CUST-00270,359,5,26666.42,105.34,1,0.38,55348,Phone,56+,South
CUST-00271,279,63,17916.22,586.36,8,0.68,27206,InStore,56+,West
CUST-00272,14,23,27107.52,79.11,6,0.35,44400,Online,36-45,South
CUST-00273,303,77,1417.85,250.98,1,0.24,14837,Phone,36-45,South
CUST-00274,177,49,28406.42,209.33,8,0.36,23199,Phone,18-25,East
CUST-00275,384,39,3997.74,12.4,4,0.06,43733,MobileApp,36-45,West
CUST-00276,301,58,29609.93,414.43,7,0.25,55942,Online,36-45,West
CUST-00277,197,75,24154.12,114.07,7,0.26,58404,Online,26-35,South
CUST-00278,171,49,29019.32,494.3,10,0.01,47837,Online,46-55,North
CUST-00279,373,9,29154.72,111.26,10,0.2,20826,Phone,18-25,West
CUST-00280,384,50,11263.64,380.92,1,0.61,34395,MobileApp,18-25,North
CUST-00281,368,53,5251.99,76.42,4,0.44,30678,MobileApp,18-25,East
CUST-00282,145,3,27452.69,596.46,1,0.4,56506,Phone,18-25,North
CUST-00283,113,63,28409.54,497.05,9,0.41,51541,Phone,56+,West
CUST-00284,78,45,1934.15,71.49,8,0.09,30405,Online,26-35,North
CUST-00285,31,36,27709.18,594.08,3,0,25687,MobileApp,56+,East
CUST-00286,118,50,9351.87,83.71,2,0.5,43624,Phone,46-55,East
CUST-00287,246,56,28185.81,280.98,4,0.1,10251,MobileApp,26-35,East
CUST-00288,11,34,2289.15,490.77,5,0.6,30444,Phone,26-35,West
CUST-00289,395,24,18532.41,292.49,7,0.41,59983,InStore,18-25,East
CUST-00290,188,6,25289.82,75.67,9,0.66,57386,Phone,46-55,East
CUST-00291,105,30,15377.36,453.47,2,0.17,36502,InStore,56+,West
CUST-00292,391,24,21282.54,422.56,2,0.38,5015,MobileApp,18-25,South
CUST-00293,16,25,15497.19,261.28,0,0.54,11477,Phone,46-55,North
CUST-00294,133,47,3981.81,45.78,3,0.3,13362,InStore,26-35,North
CUST-00295,324,38,6574.28,500.74,8,0,126,Online,36-45,East
CUST-00296,136,40,20938.6,82.5,5,0.33,4045,Phone,46-55,South
CUST-00297,146,12,16121.65,598.04,1,0.62,52152,InStore,26-35,East
CUST-00298,117,46,6935.56,495.62,2,0.51,24658,InStore,18-25,North
CUST-00299,159,15,7711.42,276.49,3,0.29,28509,Phone,56+,South
CUST-00300,375,30,24450.92,308.27,2,0.36,9263,MobileApp,18-25,East
CUST-00301,297,1,23040.49,358.2,8,0.17,1622,Online,56+,East
CUST-00302,93,71,7719.12,131.05,4,0.7,33781,InStore,56+,West
CUST-00303,375,2,14660.93,381.49,0,0.67,54127,Online,56+,West
CUST-00304,331,27,483.56,195.44,0,0.65,82,InStore,56+,East
CUST-00305,113,25,11715.26,79.99,8,0.32,56413,Online,56+,West
CUST-00306,216,80,2900.73,151.61,6,0.4,10243,Phone,26-35,North
CUST-00307,113,3,23144.03,11.41,6,0.06,12691,InStore,56+,East
CUST-00308,294,12,4621.18,206.64,9,0.36,55279,InStore,46-55,South
CUST-00309,325,44,10788,352.11,9,0.42,52865,InStore,56+,South
CUST-00310,10,54,25238.22,473.72,7,0.54,25464,MobileApp,56+,North
CUST-00311,226,22,25612.12,416.52,4,0.29,51845,Phone,26-35,East
CUST-00312,226,17,25665.73,276.57,0,,34124,MobileApp,56+,East
CUST-00313,43,68,22900.98,189.66,4,0.16,29937,Phone,18-25,South
CUST-00314,368,35,21319.35,460.97,1,0.56,13088,MobileApp,36-45,West
CUST-00315,27,7,12133,380.59,1,0.58,30614,Phone,56+,South
CUST-00316,173,48,23373.56,544.21,9,0.27,46883,Phone,26-35,North
CUST-00317,393,51,3374.03,466.84,8,,34115,InStore,46-55,South
CUST-00318,392,11,10318.03,593.66,3,0.39,12287,InStore,18-25,North
CUST-00319,349,29,6409.43,181.16,1,0.46,38334,MobileApp,46-55,West
CUST-00320,153,19,10413.18,331.37,10,0.58,24102,InStore,18-25,North
CUST-00321,172,34,7281.31,326.95,10,0.51,27104,Online,18-25,West
CUST-00322,67,40,28201.98,392.6,3,0.41,56428,Online,46-55,South
CUST-00323,349,31,13195.8,75.37,2,0.03,29816,Online,56+,East
CUST-00324,234,63,26554.88,26.28,4,0.54,51105,InStore,46-55,South
CUST-00325,112,76,24283.95,423.33,0,0.5,45200,Phone,56+,South
CUST-00326,100,16,5849.85,115.57,4,0.3,58651,MobileApp,26-35,South
CUST-00327,334,43,22121.11,564.18,5,0.01,18970,Phone,36-45,North
CUST-00328,342,74,1030.2,115.65,7,0.45,5550,InStore,56+,East
CUST-00329,286,22,25645.51,232.65,4,0.4,53221,InStore,56+,North
CUST-00330,392,19,21923.89,249.61,1,0.58,19740,MobileApp,36-45,West
CUST-00331,164,69,11962.43,392.5,1,0.48,17485,InStore,56+,South
CUST-00332,238,77,22640.63,321.07,9,0.48,9493,InStore,18-25,East
CUST-00333,363,54,14055.85,297.24,6,0.39,52258,Phone,46-55,North
CUST-00334,320,37,15957.43,263.52,9,0.47,9155,Online,46-55,South
CUST-00335,210,56,25244.03,155.19,1,0.57,35334,Online,26-35,East
CUST-00336,43,6,23636.79,71.84,0,0.25,6086,InStore,26-35,West
CUST-00337,358,26,6515.91,582.2,6,0.43,17235,MobileApp,26-35,South
CUST-00338,114,24,4566.22,436.08,4,0.53,35170,MobileApp,46-55,West
CUST-00339,213,16,2647.83,473.88,4,0.13,27800,MobileApp,36-45,West
CUST-00340,202,2,9607.37,275.73,10,0.08,48423,MobileApp,36-45,North
CUST-00341,342,15,11311.89,175.39,6,0.65,13941,Online,18-25,West
CUST-00342,397,22,23607.23,286.98,9,0.33,52095,InStore,46-55,East
CUST-00343,83,25,17583.45,288.95,3,0.2,25173,Phone,18-25,South
CUST-00344,269,70,13915.95,455.97,0,0.28,12762,Online,56+,North
CUST-00345,344,8,25669.95,454.39,4,0.22,43726,MobileApp,18-25,North
CUST-00346,70,21,19643.47,564.73,2,0.64,37800,Phone,26-35,North
CUST-00347,151,22,27067.72,114.26,7,0.11,26666,Phone,46-55,South
CUST-00348,10,20,18483.9,572.1,2,,4303,Phone,26-35,South
CUST-00349,357,5,9382.39,586.85,6,0.51,58231,Phone,46-55,East
CUST-00350,344,23,14001.58,17.99,7,0.23,7000,InStore,26-35,South
CUST-00351,157,80,9531.06,303.07,0,0.08,56083,Phone,18-25,West
CUST-00352,291,69,10105.56,393.75,0,0.37,6779,Online,26-35,North
CUST-00353,284,11,12173.19,74.88,4,0.52,42733,Online,26-35,West
CUST-00354,246,74,15025.81,397.13,2,0.28,26679,Phone,26-35,North
CUST-00355,320,6,23298.33,219.97,7,,4853,Online,26-35,South
CUST-00356,309,49,13103.32,494.13,9,0.52,47174,InStore,46-55,West
CUST-00357,339,68,4546.03,134.86,2,0.16,10106,Online,26-35,West
CUST-00358,101,24,25801.73,40.51,1,0.3,34093,InStore,26-35,West
