ContactId,Age,IncomeBracket,EmailEngagementRate,WebsiteVisits30d,PurchasesLastYear,CartAbandonmentRate,PreferredCategory,SubscribedToNewsletter,Region
CON-000087,28,30-60k,0.29,55,1,0.56,Food,1,US-Central
CON-000088,61,<30k,0.272,31,11,0.79,Home,1,US-Central
CON-000089,49,100-150k,0.422,23,18,0.66,Sports,0,UK
CON-000090,50,100-150k,0.463,12,20,0.52,Home,1,UK
CON-000091,39,60-100k,0.251,34,2,0.76,Home,1,Canada
CON-000092,38,60-100k,0.449,26,4,0.55,Beauty,0,US-West
CON-000093,24,100-150k,0.141,7,3,0.56,Home,0,Canada
CON-000094,35,<30k,0.362,50,9,0.16,Food,1,US-Central
CON-000095,25,<30k,0.302,39,3,0.73,Food,1,US-Central
CON-000096,47,30-60k,0.325,41,12,0.66,Food,1,US-East
CON-000097,62,100-150k,0.01,29,5,0.38,Fashion,0,US-East
CON-000098,18,150k+,0.487,20,9,0.77,Home,1,US-Central
CON-000099,52,60-100k,0.378,39,13,0.57,Home,0,US-Central
CON-000100,32,60-100k,0.16,32,7,0.01,Beauty,1,UK
CON-000101,23,100-150k,0.09,57,12,0.73,Food,0,US-West
CON-000102,29,30-60k,0.491,59,2,0.08,Home,0,US-East
CON-000103,58,<30k,0.385,15,15,0.49,Fashion,0,US-West
CON-000104,32,<30k,0.372,26,17,0.07,Beauty,1,US-West
CON-000105,50,150k+,0.373,17,8,0.2,Fashion,1,Canada
CON-000106,35,100-150k,0.426,60,9,0.48,Sports,1,US-East
CON-000107,60,100-150k,0.354,50,5,0.39,Home,1,US-Central
CON-000108,52,100-150k,0.176,1,24,0.74,Fashion,1,UK
CON-000109,58,150k+,0.401,10,11,0.46,Electronics,0,US-East
CON-000110,55,<30k,0.369,24,13,0.51,Home,0,US-West
CON-000111,19,30-60k,0.267,18,23,0.41,Sports,0,UK
CON-000112,60,60-100k,0.189,9,16,0.46,Sports,0,US-West
CON-000113,68,30-60k,0.134,5,14,0.42,Fashion,1,Canada
CON-000114,69,60-100k,0.475,54,5,0.49,Fashion,0,US-Central
CON-000115,27,150k+,0.197,26,11,0.25,Electronics,0,Canada
CON-000116,55,60-100k,0.202,0,19,0.53,Fashion,0,US-West
CON-000117,37,30-60k,0.44,30,18,0.33,Electronics,0,US-West
CON-000118,41,100-150k,0.472,28,21,0.47,Electronics,0,Canada
CON-000119,27,150k+,0.188,36,12,0.73,Home,0,US-East
CON-000120,33,<30k,0.035,48,6,0.47,Home,0,Canada
CON-000121,23,150k+,0.127,46,19,0.4,Home,1,US-West
CON-000122,23,100-150k,0.129,5,4,0.37,Electronics,1,US-Central
CON-000123,44,150k+,0.449,1,6,0.73,Home,0,UK
CON-000124,29,60-100k,0.466,33,16,0.69,Home,0,Canada
CON-000125,42,100-150k,0.08,33,22,0.67,Food,1,Canada
CON-000126,31,100-150k,0.305,2,21,0.4,Sports,1,UK
CON-000127,54,<30k,0.177,1,4,0.27,Home,1,US-Central
CON-000128,38,30-60k,0.434,28,18,0.63,Home,0,US-Central
CON-000129,37,150k+,0.414,13,1,0.43,Fashion,0,US-West
CON-000130,27,30-60k,0.251,52,23,0.4,Electronics,0,Canada
CON-000131,25,100-150k,0.116,26,20,0.11,Home,1,Canada
CON-000132,62,100-150k,0.423,3,18,0.47,Food,1,US-East
CON-000133,28,<30k,0.277,8,20,0.74,Sports,0,US-Central
CON-000134,31,60-100k,0.268,43,18,0.64,Food,0,UK
CON-000135,29,150k+,0.068,24,24,0.18,Food,1,Canada
CON-000136,32,60-100k,0.433,16,13,0.73,Home,0,UK
CON-000137,64,30-60k,0.057,20,5,0.47,Fashion,0,Canada
CON-000138,54,60-100k,0.445,31,12,0.24,Home,1,US-West
CON-000139,54,60-100k,0.136,47,12,0.36,Beauty,0,UK
CON-000140,40,60-100k,0.154,46,20,0.48,Food,1,UK
CON-000141,54,30-60k,0.48,17,1,0.27,Fashion,1,US-Central
CON-000142,34,<30k,0.317,4,7,0.64,Fashion,0,Canada
CON-000143,58,150k+,0.041,16,3,0.68,Fashion,0,US-Central
CON-000144,47,30-60k,0.023,29,14,0.12,Fashion,1,US-Central
CON-000145,55,150k+,0.279,2,3,0.44,Food,0,US-Central
CON-000146,31,100-150k,0.409,4,4,0.66,Electronics,0,US-Central
CON-000147,27,30-60k,0.397,30,12,0.48,Food,1,US-West
CON-000148,34,30-60k,0.068,36,16,0.18,Food,1,US-East
CON-000149,52,100-150k,0.128,2,19,0.36,Electronics,0,US-Central
CON-000150,32,100-150k,0.085,20,24,0.4,Beauty,1,Canada
CON-000151,57,60-100k,0.338,57,5,0.48,Beauty,1,US-East
CON-000152,18,60-100k,0.418,59,6,0.11,Sports,1,Canada
CON-000153,23,<30k,0.048,14,19,0.75,Fashion,0,UK
CON-000154,41,100-150k,0.289,48,7,0.63,Food,1,UK
CON-000155,36,100-150k,0.214,29,9,0.34,Sports,0,US-Central
CON-000156,52,30-60k,0.402,25,0,0.36,Beauty,0,US-East
CON-000157,55,100-150k,0.02,3,9,0.32,Electronics,0,US-East
CON-000158,41,<30k,0.159,28,3,0.14,Beauty,1,US-Central
CON-000159,66,30-60k,0.295,44,3,0.22,Food,0,US-Central
CON-000160,51,60-100k,0.288,30,6,0.8,Home,0,US-East
CON-000161,69,60-100k,0.4,21,15,0.3,Beauty,1,US-Central
CON-000162,27,150k+,0.39,21,16,0.38,Home,0,UK
CON-000163,62,100-150k,0.133,16,16,0.57,Sports,0,US-East
CON-000164,41,60-100k,0.235,0,21,0.28,Food,1,UK
CON-000165,43,60-100k,0.003,29,10,0.05,Electronics,1,US-West
CON-000166,40,30-60k,0.122,2,3,0.6,Sports,0,UK
CON-000167,66,150k+,0.398,16,7,0.62,Fashion,1,US-West
CON-000168,46,150k+,0.3,4,24,0.72,Sports,1,US-Central
CON-000169,52,<30k,0.014,53,21,0.08,Sports,1,US-East
CON-000170,69,<30k,0.309,52,8,0.61,Home,1,Canada
CON-000171,44,150k+,0.114,48,16,0.51,Beauty,1,Canada
CON-000172,35,60-100k,0.476,27,5,0.05,Beauty,1,US-Central
CON-000173,54,60-100k,0.007,33,20,0.3,Home,1,US-Central
CON-000174,54,30-60k,0.489,24,21,0.37,Beauty,0,US-East
CON-000175,61,30-60k,0.359,18,3,0.08,Sports,0,US-East
CON-000176,59,150k+,0.013,39,15,0.35,Fashion,1,US-Central
CON-000177,57,30-60k,0.379,35,5,0.41,Beauty,0,Canada
CON-000178,34,<30k,0.374,18,10,0.14,Fashion,1,US-Central
CON-000179,51,150k+,0.156,38,18,0.52,Sports,1,US-West
CON-000180,33,30-60k,0.235,26,0,0.35,Fashion,0,US-East
CON-000181,43,30-60k,0.174,9,24,0.59,Beauty,0,UK
CON-000182,48,30-60k,0.009,1,6,0.04,Home,1,Canada
CON-000183,55,150k+,0.431,35,19,0.09,Fashion,1,UK
CON-000184,27,150k+,0.149,16,23,0.53,Beauty,1,US-East
CON-000185,67,<30k,0.493,60,23,0.12,Food,1,US-East
CON-000186,26,<30k,0.253,28,17,0.16,Food,0,US-Central
CON-000187,18,60-100k,0.087,44,17,0.7,Electronics,0,US-Central
CON-000188,66,60-100k,0.45,55,6,0.35,Beauty,1,UK
CON-000189,37,30-60k,0.389,60,22,0.05,Home,1,US-West
CON-000190,55,<30k,0.455,45,16,0.52,Sports,0,US-West
CON-000191,34,60-100k,0.241,31,1,0.73,Beauty,0,US-West
CON-000192,27,100-150k,0.361,51,1,0.39,Fashion,1,US-West
CON-000193,44,<30k,0.13,60,7,0.6,Fashion,1,US-Central
CON-000194,66,150k+,0.479,60,8,0.04,Fashion,0,US-West
CON-000195,59,60-100k,0.24,30,21,0.54,Beauty,1,US-East
CON-000196,31,<30k,0.233,13,23,0.67,Sports,0,Canada
CON-000197,37,150k+,0.344,40,23,0.79,Electronics,0,UK
CON-000198,59,30-60k,0.035,14,14,0.34,Electronics,0,UK
CON-000199,61,<30k,0.344,10,8,0.67,Home,0,Canada
CON-000200,68,150k+,0.282,28,5,0.28,Beauty,1,US-West
CON-000201,52,150k+,0.413,26,20,0.72,Fashion,0,UK
CON-000202,23,60-100k,0.127,20,6,0.8,Home,1,UK
CON-000203,52,100-150k,0.15,12,4,0.32,Food,1,US-East
CON-000204,26,150k+,0.415,48,4,0.45,Sports,0,US-West
CON-000205,29,30-60k,0.333,41,12,0.65,Beauty,1,US-West
CON-000206,59,<30k,0.457,4,12,0.14,Food,0,US-Central
CON-000207,20,30-60k,0.012,46,13,0.02,Fashion,0,Canada
CON-000208,59,30-60k,0.491,60,10,0.18,Beauty,1,UK
CON-000209,67,150k+,0.245,5,18,0.79,Fashion,1,UK
CON-000210,20,150k+,0.135,27,13,0.46,Food,1,US-West
CON-000211,30,150k+,0.45,58,1,0.23,Fashion,1,US-Central
CON-000212,56,150k+,0.294,21,20,0.75,Fashion,0,UK
CON-000213,25,60-100k,0.145,36,11,0.54,Food,1,US-East
CON-000214,54,30-60k,0.022,58,23,0.5,Beauty,1,US-West
CON-000215,47,30-60k,0.009,18,8,0.16,Beauty,0,UK
CON-000216,30,60-100k,0.454,47,8,0.56,Electronics,1,US-East
CON-000217,20,150k+,0.482,57,12,0.43,Sports,0,Canada
CON-000218,52,150k+,0.043,45,0,0.57,Sports,0,UK
CON-000219,53,30-60k,0.313,58,0,0.15,Sports,0,US-West
CON-000220,33,150k+,0.473,30,4,0.27,Beauty,1,US-West
CON-000221,56,150k+,0.311,45,4,0.69,Fashion,0,Canada
CON-000222,70,150k+,0.171,45,15,0.4,Fashion,1,UK
CON-000223,51,150k+,0.067,39,23,0.01,Food,1,Canada
CON-000224,28,100-150k,0.234,10,1,0.23,Electronics,0,Canada
CON-000225,66,30-60k,0.236,19,22,0.22,Home,1,US-West
CON-000226,33,100-150k,0.295,58,24,0.37,Beauty,1,US-Central
CON-000227,61,<30k,0.187,12,20,0.45,Fashion,1,US-East
CON-000228,70,100-150k,0.425,49,12,0.71,Electronics,0,UK
CON-000229,50,60-100k,0.084,4,12,0.63,Sports,1,Canada
CON-000230,26,60-100k,0.183,16,16,0.39,Electronics,0,US-Central
CON-000231,19,60-100k,0.474,27,2,0.64,Electronics,0,US-East
CON-000232,61,100-150k,0.352,35,6,0.13,Sports,0,US-Central
CON-000233,49,150k+,0.017,17,2,0.25,Fashion,0,Canada
CON-000234,69,30-60k,0.49,35,20,0.74,Beauty,0,Canada
CON-000235,65,100-150k,0.062,45,10,0.12,Beauty,1,US-Central
CON-000236,57,30-60k,0.106,39,18,0.27,Beauty,1,UK
CON-000237,35,100-150k,0.029,17,19,0.41,Beauty,1,US-West
CON-000238,31,<30k,0.107,60,14,0.59,Beauty,1,UK
CON-000239,39,30-60k,0.193,15,1,0.76,Home,1,Canada
CON-000240,34,60-100k,0.314,44,20,0.33,Food,1,UK
CON-000241,50,<30k,0.424,16,10,0.26,Food,1,US-East
CON-000242,19,<30k,0.347,19,10,0.69,Food,0,US-East
CON-000243,56,60-100k,0.476,40,1,0.68,Food,0,Canada
CON-000244,35,150k+,0.092,37,13,0.26,Home,0,US-West
CON-000245,37,<30k,0.237,48,5,0.45,Sports,1,Canada
CON-000246,52,100-150k,0.077,11,23,0.27,Sports,1,US-West
CON-000247,38,<30k,0.468,37,21,0.73,Food,1,US-East
CON-000248,62,60-100k,0.237,25,15,0.07,Sports,0,US-East
CON-000249,34,30-60k,0.369,46,16,0.1,Fashion,1,Canada
CON-000250,61,30-60k,0.123,4,17,0.61,Electronics,1,US-East
CON-000251,70,30-60k,0.496,51,13,0.54,Electronics,1,UK
CON-000252,47,<30k,0.292,28,9,0.53,Fashion,0,US-East
CON-000253,26,100-150k,0.063,13,16,0.73,Beauty,0,US-East
CON-000254,30,150k+,0.491,18,19,0.7,Electronics,1,UK
CON-000255,42,30-60k,0.369,19,23,0.37,Fashion,1,US-West
CON-000256,70,60-100k,0.46,14,8,0.79,Electronics,1,UK
CON-000257,69,150k+,0.324,10,6,0.23,Electronics,0,US-East
CON-000258,34,30-60k,0.496,32,15,0.3,Food,0,UK
CON-000259,62,<30k,0.165,35,21,0.17,Electronics,0,UK
CON-000260,64,<30k,0.084,37,15,0.06,Beauty,0,UK
CON-000261,39,60-100k,0.128,5,2,0.75,Food,1,US-East
CON-000262,70,60-100k,0.367,41,22,0.14,Home,1,US-East
CON-000263,21,150k+,0.485,4,2,0.16,Home,1,US-Central
CON-000264,29,100-150k,0.167,17,9,0.6,Fashion,1,US-Central
CON-000265,54,60-100k,0.489,26,8,0.32,Fashion,0,Canada
CON-000266,36,30-60k,0.209,10,11,0.7,Food,1,Canada
CON-000267,45,150k+,0.167,7,3,0.52,Fashion,0,Canada
CON-000268,30,60-100k,0.072,13,22,0.49,Fashion,1,UK
CON-000269,64,60-100k,0.306,25,17,0.38,Sports,1,US-Central
CON-000270,30,150k+,0.469,46,5,0.65,Home,0,US-West
CON-000271,65,<30k,0.073,21,17,0.52,Beauty,1,Canada
CON-000272,18,<30k,0.398,28,4,0.02,Food,0,US-West
CON-000273,22,<30k,0.304,57,12,0.2,Sports,1,US-West
CON-000274,33,60-100k,0.38,15,21,0.07,Sports,0,Canada
CON-000275,39,100-150k,0.226,43,15,0.33,Food,0,UK
CON-000276,43,<30k,0.081,28,7,0.12,Home,0,US-West
CON-000277,65,30-60k,0.163,60,13,0.66,Sports,1,US-East
CON-000278,22,100-150k,0.213,4,13,0.19,Beauty,1,US-Central
CON-000279,45,150k+,0.407,49,16,0.69,Beauty,0,Canada
CON-000280,44,100-150k,0.026,43,5,0.14,Beauty,1,Canada
CON-000281,66,30-60k,0.143,3,13,0.62,Fashion,0,US-Central
CON-000282,24,30-60k,0.247,7,20,0.7,Electronics,0,UK
CON-000283,70,60-100k,0.371,36,14,0.53,Beauty,0,US-West
CON-000284,61,100-150k,0.09,46,9,0.38,Electronics,0,US-Central
CON-000285,50,150k+,0.247,55,21,0.54,Beauty,1,UK
CON-000286,51,100-150k,0.469,36,11,0.01,Beauty,0,Canada
CON-000287,64,60-100k,0.485,14,12,0.24,Fashion,1,US-East
CON-000288,25,60-100k,0.193,9,7,0.64,Home,1,US-Central
CON-000289,38,100-150k,0.44,39,18,0.57,Home,1,US-East
CON-000290,42,60-100k,0.277,8,0,0.03,Food,0,UK
CON-000291,53,30-60k,0.486,59,24,0.75,Beauty,0,US-Central
CON-000292,46,100-150k,0.401,8,6,0.52,Food,1,US-Central
CON-000293,29,30-60k,0.293,44,16,0.11,Food,0,US-East
CON-000294,63,100-150k,0.148,20,9,0.34,Electronics,1,Canada
CON-000295,41,30-60k,0.059,51,0,0.23,Food,0,UK
CON-000296,42,<30k,0.259,20,20,0.12,Home,0,US-East
CON-000297,70,60-100k,0.192,16,16,0.13,Beauty,1,US-Central
CON-000298,20,<30k,0.406,36,9,0.77,Sports,0,Canada
CON-000299,58,60-100k,0.369,52,15,0.37,Beauty,0,US-West
CON-000300,30,<30k,0.398,22,21,0.73,Food,0,US-West
CON-000301,51,100-150k,0.364,27,2,0.41,Food,0,US-East
CON-000302,42,<30k,0.27,20,8,0.43,Food,0,US-West
CON-000303,62,150k+,0.432,9,15,0.28,Home,0,UK
CON-000304,46,<30k,0.461,8,8,0.07,Beauty,0,Canada
CON-000305,35,100-150k,0.386,34,21,0.04,Food,1,US-East
CON-000306,38,30-60k,0.219,13,4,0.53,Electronics,0,US-Central
CON-000307,63,150k+,0.01,42,6,0.46,Home,1,US-Central
CON-000308,35,<30k,0.113,41,5,0.28,Food,1,US-West
CON-000309,23,30-60k,0.389,20,5,0.74,Fashion,1,Canada
CON-000310,24,60-100k,0.139,31,16,0.69,Beauty,1,UK
CON-000311,24,30-60k,0.112,50,12,0.59,Fashion,0,UK
CON-000312,48,60-100k,0.074,25,17,0.44,Food,1,Canada
CON-000313,56,<30k,0.039,39,20,0.5,Home,1,US-West
CON-000314,55,30-60k,0.499,31,16,0.7,Sports,1,US-West
CON-000315,53,30-60k,0.286,32,19,0.55,Sports,1,UK
CON-000316,41,60-100k,0.046,55,17,0.38,Beauty,1,US-East
CON-000317,22,30-60k,0.363,28,5,0.58,Sports,1,Canada
CON-000318,44,30-60k,0.108,23,15,0.05,Beauty,1,US-West
CON-000319,67,60-100k,0.098,53,4,0.66,Sports,1,Canada
CON-000320,40,100-150k,0.178,38,8,0.14,Sports,1,US-East
CON-000321,38,60-100k,0.167,23,18,0.21,Fashion,1,US-West
CON-000322,63,100-150k,0.264,21,8,0,Home,1,Canada
CON-000323,33,<30k,0.051,26,21,0.5,Beauty,0,US-West
CON-000324,22,60-100k,0.081,34,13,0.13,Electronics,0,Canada
CON-000325,46,100-150k,0.301,10,12,0.34,Food,1,US-East
CON-000326,69,30-60k,0.339,38,16,0.02,Fashion,1,US-Central
CON-000327,41,<30k,0.184,3,7,0.53,Fashion,1,UK
CON-000328,27,30-60k,0.374,58,13,0.76,Food,0,UK
CON-000329,66,30-60k,0.08,51,22,0.41,Sports,1,US-Central
CON-000330,48,150k+,0.049,18,10,0.7,Beauty,0,US-West
CON-000331,70,60-100k,0.22,43,4,0.71,Home,0,US-West
CON-000332,29,<30k,0.485,8,13,0.2,Sports,1,US-West
CON-000333,68,100-150k,0.472,1,2,0.15,Sports,1,UK
CON-000334,36,100-150k,0.014,12,4,0.18,Food,1,US-East
CON-000335,52,100-150k,0.141,42,6,0.49,Sports,1,US-West
CON-000336,42,150k+,0.21,24,10,0.33,Electronics,1,UK
CON-000337,23,60-100k,0.152,19,18,0.57,Fashion,0,US-Central
CON-000338,64,<30k,0.46,27,14,0.19,Sports,0,US-East
CON-000339,62,60-100k,0.387,20,10,0.17,Fashion,0,UK
CON-000340,69,60-100k,0.481,42,10,0.42,Electronics,1,US-Central
CON-000341,62,150k+,0.006,16,7,0.52,Electronics,0,US-West
CON-000342,36,30-60k,0.443,57,13,0.66,Food,1,UK
CON-000343,45,60-100k,0.045,54,11,0.51,Sports,1,US-West
CON-000344,26,150k+,0.106,46,5,0.75,Electronics,0,UK
CON-000345,61,<30k,0.338,54,20,0.46,Home,1,Canada
CON-000346,23,30-60k,0.206,7,6,0.35,Sports,0,US-Central
CON-000347,61,<30k,0.21,45,6,0.43,Fashion,1,US-Central
CON-000348,35,100-150k,0.307,22,3,0.49,Sports,0,Canada
CON-000349,31,150k+,0.307,18,21,0.27,Home,1,UK
CON-000350,63,<30k,0.014,34,21,0.61,Sports,1,US-West
CON-000351,39,30-60k,0.065,0,3,0.75,Home,0,US-East
CON-000352,56,60-100k,0.081,1,10,0.3,Beauty,1,Canada
CON-000353,58,60-100k,0.426,31,8,0.11,Sports,1,Canada
CON-000354,68,<30k,0.42,29,22,0.73,Sports,1,Canada
CON-000355,35,150k+,0.067,47,18,0.78,Fashion,1,US-West
CON-000356,53,100-150k,0.324,46,3,0.57,Food,1,Canada
CON-000357,52,100-150k,0.064,49,16,0.51,Sports,0,US-Central
CON-000358,29,60-100k,0.198,54,21,0.7,Food,1,US-Central
CON-000359,24,60-100k,0.048,40,3,0.59,Electronics,0,Canada
CON-000360,39,100-150k,0.435,29,10,0.66,Sports,1,UK
CON-000361,60,150k+,0.497,6,19,0.22,Food,1,US-Central
CON-000362,32,60-100k,0.155,39,1,0.23,Food,1,US-East
CON-000363,41,60-100k,0.065,52,11,0.78,Food,0,Canada
CON-000364,36,100-150k,0.155,29,4,0.56,Sports,1,Canada
CON-000365,43,60-100k,0.118,9,11,0.35,Home,0,Canada
CON-000366,58,150k+,0.059,44,11,0.8,Fashion,0,Canada
CON-000367,65,<30k,0.08,11,14,0.68,Home,1,US-East
CON-000368,21,<30k,0.053,37,3,0.15,Electronics,0,US-Central
CON-000369,61,30-60k,0.43,56,12,0.69,Electronics,1,US-West
CON-000370,25,60-100k,0.378,27,6,0.23,Home,0,Canada
CON-000371,25,150k+,0.139,43,1,0.16,Sports,0,Canada
CON-000372,28,60-100k,0.148,60,4,0.43,Fashion,1,UK
CON-000373,49,100-150k,0.14,21,7,0.03,Electronics,1,US-East
CON-000374,54,30-60k,0.372,56,16,0.74,Home,1,UK
CON-000375,23,100-150k,0.08,57,8,0.2,Electronics,1,US-West
CON-000376,59,30-60k,0.017,56,3,0.76,Electronics,1,UK
CON-000377,43,150k+,0.111,47,17,0.04,Beauty,0,Canada
CON-000378,57,150k+,0.315,22,20,0.43,Fashion,0,US-West
CON-000379,42,60-100k,0.232,9,5,0.45,Fashion,0,US-West
CON-000380,32,150k+,0.368,54,3,0.36,Sports,1,US-Central
CON-000381,38,<30k,0.251,42,18,0.77,Electronics,1,US-West
CON-000382,38,60-100k,0.055,54,4,0.16,Home,0,US-East
CON-000383,67,30-60k,0.39,54,11,0.73,Fashion,0,US-East
CON-000384,59,60-100k,0.155,33,8,0.65,Food,0,Canada
CON-000385,31,<30k,0.192,47,2,0.73,Beauty,0,Canada
CON-000386,42,<30k,0.022,4,11,0.04,Fashion,0,US-East
CON-000387,50,30-60k,0.198,33,5,0.33,Food,0,Canada
CON-000388,43,100-150k,0.205,42,21,0.05,Food,1,UK
CON-000389,53,60-100k,0.246,51,11,0.61,Home,0,US-Central
CON-000390,59,60-100k,0.247,24,6,0.01,Food,0,UK
CON-000391,57,100-150k,0.404,22,10,0.08,Beauty,1,UK
CON-000392,37,30-60k,0.112,22,5,0.15,Sports,1,Canada
CON-000393,59,30-60k,0.309,29,7,0.16,Beauty,1,UK
CON-000394,31,60-100k,0.093,51,7,0.51,Fashion,0,US-East
CON-000395,63,150k+,0.239,2,3,0.68,Food,0,UK
CON-000396,33,30-60k,0.241,1,22,0.07,Food,0,US-West
CON-000397,37,100-150k,0.297,54,0,0.58,Food,1,US-Central
CON-000398,69,<30k,0.302,38,19,0.42,Home,0,US-Central
