TransactionId,CardId,TransactionAmount,MerchantCategory,TransactionHour,DistanceFromHome,IsOnline,IsInternational,PreviousFraudFlag,AvgTransactionAmount30d,TransactionCount24h,DeviceType,IsFraud
TXN-0000044,CARD-5015,818.99,OnlineRetail,1,368.8,0,0,0,359.96,5,,0
TXN-0000045,CARD-5311,1454.9,Gas,20,371.4,1,0,0,190.49,1,Mobile,0
TXN-0000046,CARD-8974,613.79,Entertainment,6,200.3,0,1,0,174.68,12,,1
TXN-0000047,CARD-4153,2149.18,Gas,9,453.8,0,0,0,311.59,15,,0
TXN-0000048,CARD-8865,1785.34,OnlineRetail,22,457.3,1,0,0,370.91,9,Desktop,0
TXN-0000049,CARD-5317,1943.01,Healthcare,15,20.5,0,0,0,282.32,5,POS,0
TXN-0000050,CARD-7146,747.85,Gas,1,242.4,1,0,0,312.31,3,POS,0
TXN-0000051,CARD-7440,1238.22,Electronics,6,395.4,1,0,0,115.33,3,,0
TXN-0000052,CARD-1549,1758.42,Restaurant,21,394.6,0,0,0,128.3,15,ATM,0
TXN-0000053,CARD-7664,439.5,OnlineRetail,11,441,1,0,0,107.6,4,Desktop,0
TXN-0000054,CARD-2097,2294.06,OnlineRetail,15,266.5,1,0,0,155.41,4,Desktop,0
TXN-0000055,CARD-3952,308.61,Gas,1,237.9,0,0,0,139.24,3,,0
TXN-0000056,CARD-4586,1317.84,Healthcare,5,299.4,0,0,0,142.13,11,Desktop,0
TXN-0000057,CARD-4135,1115.32,OnlineRetail,15,32.5,1,0,0,99.83,2,ATM,0
TXN-0000058,CARD-6519,1190.17,Restaurant,12,82.9,0,0,0,162.89,3,POS,0
TXN-0000059,CARD-2447,378.22,Restaurant,14,,1,0,0,96.28,2,Mobile,0
TXN-0000060,CARD-9351,409.32,Electronics,3,477.5,0,0,0,235.46,1,POS,0
TXN-0000061,CARD-6709,18.04,Restaurant,13,488.3,0,0,0,203.81,11,POS,0
TXN-0000062,CARD-2797,1041.59,Grocery,11,61.5,1,1,0,345.58,14,ATM,0
TXN-0000063,CARD-3887,1987.31,Restaurant,13,259.6,0,0,0,147.79,6,ATM,0
TXN-0000064,CARD-9615,178.17,Grocery,22,77.3,1,1,0,204.37,11,Desktop,0
TXN-0000065,CARD-2071,124.9,Grocery,14,3.6,1,0,0,276.51,10,ATM,0
TXN-0000066,CARD-9754,41.83,Electronics,19,318.7,1,0,0,280.14,7,Mobile,0
TXN-0000067,CARD-3411,1210.9,Entertainment,21,157.7,1,0,0,49.89,8,Mobile,0
TXN-0000068,CARD-5376,1234.23,Gas,7,362.2,0,0,0,230.19,1,,0
TXN-0000069,CARD-1221,2143.16,OnlineRetail,2,478.5,0,1,0,214.66,5,Mobile,0
TXN-0000070,CARD-7083,270.03,Entertainment,6,429.3,0,0,0,397.79,2,Desktop,0
TXN-0000071,CARD-5447,2155.24,Entertainment,2,326.5,1,0,0,141.66,15,,0
TXN-0000072,CARD-4887,416.49,Restaurant,21,122.6,1,0,0,69.37,3,,0
TXN-0000073,CARD-8843,1351.04,Restaurant,17,471.5,0,0,0,233.61,14,,0
TXN-0000074,CARD-3949,2190.91,Travel,23,288,1,1,0,111.81,1,POS,0
TXN-0000075,CARD-1509,1636.59,Gas,4,133.3,1,0,0,295.7,2,Desktop,0
TXN-0000076,CARD-4021,1503.26,Restaurant,13,450.5,1,0,0,30.91,3,Mobile,0
TXN-0000077,CARD-7044,2204.02,Travel,20,343.1,0,0,0,381.7,2,Desktop,0
TXN-0000078,CARD-8657,2110.64,Restaurant,6,244.6,1,0,0,259.64,4,,0
TXN-0000079,CARD-6938,860.93,Healthcare,9,202.6,0,0,0,144.02,8,ATM,0
TXN-0000080,CARD-3173,815.19,Healthcare,22,431.4,1,0,0,72.51,3,POS,0
TXN-0000081,CARD-4234,1100.54,Grocery,12,246,0,0,0,42.45,15,ATM,0
TXN-0000082,CARD-9136,2346.41,Electronics,17,333.7,1,0,0,111.62,11,,0
TXN-0000083,CARD-9589,770.95,Entertainment,0,295.8,1,0,0,302.48,10,Desktop,0
TXN-0000084,CARD-5275,288.64,Electronics,3,82.9,1,0,0,364.66,11,POS,0
TXN-0000085,CARD-1484,328.72,Healthcare,8,291.3,1,0,0,134.41,8,ATM,0
TXN-0000086,CARD-7402,1234.26,Restaurant,7,301.6,0,0,0,241.17,3,POS,0
TXN-0000087,CARD-4064,9.47,OnlineRetail,20,291.2,1,0,0,269.51,15,ATM,0
TXN-0000088,CARD-2245,701.43,Electronics,0,137.8,1,0,0,297.55,15,ATM,0
TXN-0000089,CARD-9005,299.84,Entertainment,7,312.4,1,0,0,180.66,3,,0
TXN-0000090,CARD-3426,887.26,OnlineRetail,3,491.6,0,0,0,188.44,11,Mobile,0
TXN-0000091,CARD-4623,1110.07,Healthcare,20,210.1,0,0,0,123.4,9,ATM,0
TXN-0000092,CARD-3624,2454.94,Entertainment,0,45.6,0,0,0,77.89,7,POS,0
TXN-0000093,CARD-5870,1753.54,Grocery,4,318.7,1,0,0,375.79,8,ATM,0
TXN-0000094,CARD-3419,1631.15,Restaurant,19,240,1,0,0,394.7,11,Mobile,0
TXN-0000095,CARD-6813,1806.96,Electronics,23,173.6,1,0,0,225.07,1,ATM,0
TXN-0000096,CARD-7687,22.85,Healthcare,21,245.4,0,0,0,231.9,4,Desktop,0
TXN-0000097,CARD-9965,628.02,Grocery,8,,0,0,0,318.6,1,,0
TXN-0000098,CARD-8397,1063.23,Restaurant,23,118.5,1,0,0,173.54,10,,0
TXN-0000099,CARD-6119,1147.51,OnlineRetail,7,186.5,1,0,0,397.52,1,,0
TXN-0000100,CARD-4992,2287.4,Entertainment,20,179.7,1,0,0,37.64,13,Mobile,0
TXN-0000101,CARD-8778,2020.67,Travel,9,,1,0,0,151.98,12,ATM,1
TXN-0000102,CARD-8443,1218.53,OnlineRetail,4,259.2,0,0,0,179.31,7,ATM,0
TXN-0000103,CARD-8135,2262.08,Electronics,13,380.1,1,0,0,104.66,3,Desktop,0
TXN-0000104,CARD-5169,87.22,OnlineRetail,10,372.7,0,0,0,173.84,1,,0
TXN-0000105,CARD-4468,1114.98,Healthcare,22,145.4,1,0,0,300.95,7,POS,0
TXN-0000106,CARD-4684,1135.67,Grocery,14,173.5,0,0,0,153.73,2,Desktop,0
TXN-0000107,CARD-1582,593.37,OnlineRetail,18,189.8,1,0,0,343.52,12,,0
TXN-0000108,CARD-1458,2415.01,Entertainment,19,75.2,0,0,0,79.24,14,Desktop,0
TXN-0000109,CARD-4983,1985.95,Gas,4,354.6,0,0,0,265.94,5,POS,0
TXN-0000110,CARD-4856,946.82,Entertainment,23,493.4,0,0,0,158.16,12,Desktop,0
TXN-0000111,CARD-6868,1279.71,OnlineRetail,18,28.4,1,0,0,279.09,14,Mobile,0
TXN-0000112,CARD-6440,2483.64,Electronics,7,213.4,1,0,0,76.75,5,Mobile,0
TXN-0000113,CARD-2612,2361.06,Gas,21,344.6,0,0,0,332.92,13,POS,0
TXN-0000114,CARD-8508,1605.63,Electronics,17,66.4,0,0,0,297.08,15,ATM,0
TXN-0000115,CARD-7624,393.42,Grocery,23,113.5,1,0,0,197.18,14,Desktop,0
TXN-0000116,CARD-7985,1550.85,Electronics,18,186.3,1,0,0,308.58,8,,0
TXN-0000117,CARD-1671,16.97,Restaurant,5,246.1,1,0,0,129.77,13,Desktop,0
TXN-0000118,CARD-1162,1486.84,Healthcare,21,422.3,0,0,0,280.65,8,Desktop,0
TXN-0000119,CARD-1513,1700.03,Restaurant,11,384.5,0,0,0,359.13,11,ATM,0
TXN-0000120,CARD-3632,1988.32,Entertainment,10,,0,0,0,189.95,5,POS,0
TXN-0000121,CARD-8759,231.94,Travel,20,200.7,0,0,0,31.47,12,Desktop,1
TXN-0000122,CARD-3786,1880.88,Gas,15,404.7,0,0,0,280.53,5,ATM,0
TXN-0000123,CARD-3163,1169.7,Electronics,1,414,0,0,0,310.61,12,ATM,0
TXN-0000124,CARD-9193,1385.42,Restaurant,0,453.3,1,0,0,337.02,1,Desktop,0
TXN-0000125,CARD-8382,545.35,OnlineRetail,5,138.1,1,0,0,238.78,13,ATM,0
TXN-0000126,CARD-3486,2216.3,Gas,14,179.6,0,0,0,97.25,7,Mobile,0
TXN-0000127,CARD-9174,1115.14,Electronics,3,412,1,0,0,364.23,10,POS,0
TXN-0000128,CARD-3149,397.67,Healthcare,14,147.3,1,0,0,313.93,6,Desktop,0
TXN-0000129,CARD-6243,251.86,Gas,7,428.4,0,0,0,247.86,11,ATM,0
TXN-0000130,CARD-7525,1641.15,Electronics,10,191.9,0,0,0,114.02,1,POS,0
TXN-0000131,CARD-1400,344.77,OnlineRetail,10,265.4,1,0,0,375.21,2,Mobile,0
TXN-0000132,CARD-1395,1374.28,Travel,8,403.9,1,0,0,305,4,Desktop,0
TXN-0000133,CARD-5549,1436.46,Grocery,12,438.6,1,0,0,234.4,12,,0
TXN-0000134,CARD-5255,1242.56,OnlineRetail,6,303.8,1,0,0,40.36,15,POS,0
TXN-0000135,CARD-3335,2306.72,Travel,1,308.7,0,0,0,102.41,15,POS,0
TXN-0000136,CARD-2354,1347.93,Entertainment,4,30.1,1,0,0,335.14,5,ATM,0
TXN-0000137,CARD-7354,332.59,OnlineRetail,6,213.8,1,0,0,283.27,13,ATM,0
TXN-0000138,CARD-5373,592.84,Gas,1,139.5,0,1,0,160.44,12,Mobile,0
TXN-0000139,CARD-8167,312,Entertainment,23,185.5,0,0,0,383.38,13,Mobile,0
TXN-0000140,CARD-9651,625.28,Electronics,12,54.4,1,0,0,77.98,9,POS,0
TXN-0000141,CARD-8834,1670.08,Travel,4,,1,0,0,394.27,10,Mobile,0
TXN-0000142,CARD-7476,1873.47,Restaurant,13,485.1,0,0,0,301.01,14,POS,1
TXN-0000143,CARD-4597,1548.52,Electronics,12,284.3,1,0,0,58.1,13,,0
TXN-0000144,CARD-9123,2111.71,Gas,1,88.4,1,0,0,182.24,7,ATM,0
TXN-0000145,CARD-3003,780.61,Entertainment,18,19.4,1,0,0,102.82,5,Desktop,0
TXN-0000146,CARD-8560,167.86,Restaurant,3,45.3,1,0,0,59.94,2,,0
TXN-0000147,CARD-7773,475.35,Travel,12,377.8,0,0,0,354.73,9,ATM,0
TXN-0000148,CARD-8101,472.45,Healthcare,18,288.9,0,0,0,114.05,1,ATM,0
TXN-0000149,CARD-2223,2220.32,Gas,8,288.5,1,0,0,130.72,1,ATM,0
TXN-0000150,CARD-2177,1669.02,Electronics,17,180.5,1,0,0,264.86,2,POS,0
TXN-0000151,CARD-5645,940.19,Gas,9,207.4,0,0,0,32.58,7,ATM,0
TXN-0000152,CARD-9452,2004.87,Electronics,4,391.6,1,0,0,91.42,13,,0
TXN-0000153,CARD-1716,252.98,Restaurant,9,407.1,0,0,0,121.57,6,,0
TXN-0000154,CARD-4163,917.72,Healthcare,3,15.8,1,0,0,193.79,4,,0
TXN-0000155,CARD-2961,2313.16,Healthcare,1,321.1,1,0,0,227.45,8,Desktop,0
TXN-0000156,CARD-7385,392.86,Healthcare,22,68.2,0,1,0,90.16,14,POS,0
TXN-0000157,CARD-4088,1583.44,Entertainment,3,285.3,0,0,0,286.55,1,,0
TXN-0000158,CARD-9262,161.22,Grocery,19,171.3,1,1,0,304.95,8,Mobile,0
TXN-0000159,CARD-9956,661.58,Restaurant,1,59.5,1,0,0,375.75,10,ATM,0
TXN-0000160,CARD-3076,1086.83,Entertainment,13,228.9,1,0,0,296.5,1,Desktop,0
TXN-0000161,CARD-4611,2024.39,Healthcare,8,476.3,1,0,0,75.31,12,,0
TXN-0000162,CARD-9542,2491.75,Restaurant,4,378.3,1,0,0,159.8,10,ATM,0
TXN-0000163,CARD-8864,1410,Travel,10,47.6,0,0,0,126.61,13,Mobile,0
TXN-0000164,CARD-5947,724.28,Electronics,16,292.8,0,0,0,38.97,4,ATM,0
TXN-0000165,CARD-1239,2299.88,Entertainment,14,477.3,0,0,0,282.91,1,Desktop,0
TXN-0000166,CARD-5757,1776.88,Gas,5,395.7,1,0,0,182.75,14,POS,0
TXN-0000167,CARD-3745,752.9,Healthcare,16,380.1,1,1,0,22.18,5,Desktop,0
TXN-0000168,CARD-8964,1580.72,Entertainment,5,178,0,0,0,360.62,14,ATM,0
TXN-0000169,CARD-5476,621.82,Entertainment,13,463.5,1,0,0,334.33,3,POS,0
TXN-0000170,CARD-9385,1371.67,Restaurant,22,72.1,1,0,0,63.95,14,ATM,0
TXN-0000171,CARD-4980,1164.01,Travel,3,44.2,1,0,0,272.67,1,POS,0
TXN-0000172,CARD-9516,1685.42,Grocery,13,252.1,0,0,0,172.6,11,Desktop,0
TXN-0000173,CARD-2794,834.91,Electronics,22,,0,0,0,104.83,10,,0
TXN-0000174,CARD-8251,792,Grocery,4,286.4,0,0,0,319.05,2,ATM,0
TXN-0000175,CARD-7543,746.23,Electronics,22,333,1,0,0,356.36,12,POS,0
TXN-0000176,CARD-9211,1144.62,Healthcare,14,498.4,1,0,0,277.05,14,Desktop,0
TXN-0000177,CARD-3920,528.31,Grocery,2,428.3,0,0,0,73.3,11,ATM,0
TXN-0000178,CARD-3133,1.44,Electronics,3,223.7,0,1,0,50.16,6,POS,0
TXN-0000179,CARD-9008,450.71,OnlineRetail,10,258.6,1,0,0,331.53,3,ATM,0
TXN-0000180,CARD-8931,1433.86,OnlineRetail,7,243.4,0,0,0,236.69,2,ATM,0
TXN-0000181,CARD-4112,1736.3,Electronics,21,359.1,1,0,0,31.82,3,POS,0
TXN-0000182,CARD-3369,1910.4,Electronics,8,497.2,0,0,0,278.25,3,,1
TXN-0000183,CARD-9130,186.8,Electronics,15,307.1,1,0,0,362.19,15,ATM,0
TXN-0000184,CARD-1892,794.38,Gas,4,424,1,0,0,83.72,1,ATM,0
TXN-0000185,CARD-3023,1995.73,Gas,7,81.4,1,1,0,138.29,5,Mobile,0
TXN-0000186,CARD-6858,932.25,Electronics,9,249.5,1,1,0,394.4,3,Mobile,0
TXN-0000187,CARD-7023,483.14,Healthcare,16,,1,0,0,20.19,15,Mobile,0
TXN-0000188,CARD-8628,1168.57,Electronics,13,319.6,1,0,0,227.85,13,ATM,0
TXN-0000189,CARD-1066,2211.46,Gas,18,27.5,0,0,0,82.42,15,,0
TXN-0000190,CARD-3727,2080.84,Healthcare,6,258.5,1,0,0,34.56,7,Mobile,0
TXN-0000191,CARD-6026,1179.07,Electronics,8,,1,0,0,51.2,11,Desktop,0
TXN-0000192,CARD-4363,1028.96,Travel,15,350.2,1,0,0,47.51,5,ATM,0
TXN-0000193,CARD-7591,2273.8,Electronics,5,480.8,1,0,0,70.59,13,Desktop,1
TXN-0000194,CARD-5382,2023.42,Gas,13,327.1,1,1,0,321.08,12,Mobile,0
TXN-0000195,CARD-4163,1569.01,Entertainment,7,283.1,1,0,0,32.44,1,Desktop,0
TXN-0000196,CARD-5321,1635.01,Gas,4,440.7,1,0,0,165.43,10,Desktop,0
TXN-0000197,CARD-8712,1338.01,Travel,4,321.5,1,0,0,253.14,8,Desktop,0
TXN-0000198,CARD-5692,1062.8,Travel,10,85.3,1,0,0,195.02,8,Mobile,0
TXN-0000199,CARD-6075,1782.16,OnlineRetail,6,22.6,1,0,0,118.01,3,,0
TXN-0000200,CARD-8799,1807.26,Entertainment,8,377.8,0,0,0,169.04,13,POS,0
TXN-0000201,CARD-9966,1032.32,Electronics,19,184.4,0,0,0,298.83,9,POS,0
TXN-0000202,CARD-2836,1974.01,Healthcare,16,312.7,1,0,0,330.42,8,ATM,0
TXN-0000203,CARD-8229,1765.53,Gas,7,144.5,1,0,0,125.27,9,POS,0
TXN-0000204,CARD-8216,1392.48,Grocery,3,445.8,1,0,0,385.97,13,ATM,0
TXN-0000205,CARD-9507,1737.67,Electronics,23,149.3,1,0,0,250.38,14,ATM,1
TXN-0000206,CARD-8063,160.91,Travel,15,444.8,1,0,0,64.08,3,ATM,0
TXN-0000207,CARD-3470,1361.7,Travel,21,483.4,1,0,0,330.36,7,ATM,0
TXN-0000208,CARD-8454,1083.96,Entertainment,15,110.6,0,0,0,121.64,1,Desktop,0
TXN-0000209,CARD-5621,1380.84,Grocery,4,395.5,1,0,0,53.77,14,ATM,0
TXN-0000210,CARD-1399,409.58,Entertainment,10,,1,0,0,307.48,12,ATM,1
TXN-0000211,CARD-9727,1832.51,Electronics,11,208.9,1,0,1,198.56,15,Mobile,0
TXN-0000212,CARD-8078,527.01,Healthcare,18,387.2,0,0,0,178.17,14,Desktop,0
TXN-0000213,CARD-9001,1231.14,Travel,15,69.4,0,0,0,388.68,3,ATM,0
TXN-0000214,CARD-7411,421.59,Electronics,18,373.2,0,0,0,27.14,6,Desktop,0
TXN-0000215,CARD-2641,2488.99,OnlineRetail,11,495,0,0,0,166.39,2,POS,0
TXN-0000216,CARD-8218,2459.01,OnlineRetail,17,290.3,1,0,0,143.06,8,Desktop,0
TXN-0000217,CARD-4693,363.42,Restaurant,15,449.8,1,0,0,397.65,15,,0
TXN-0000218,CARD-2405,677.95,Gas,16,230.7,1,0,0,193.02,7,Mobile,0
TXN-0000219,CARD-8066,1074.93,Travel,3,446.6,1,0,0,166.56,14,,0
TXN-0000220,CARD-7712,1899.07,Travel,15,345.8,1,0,0,234.67,5,POS,0
TXN-0000221,CARD-2325,1277.06,Restaurant,4,248.2,1,0,0,84.51,6,ATM,0
TXN-0000222,CARD-4448,2491.31,Healthcare,10,315.3,1,0,0,243.25,1,Mobile,0
TXN-0000223,CARD-5596,607.88,Healthcare,12,222.9,0,0,0,136.71,10,Desktop,0
TXN-0000224,CARD-3786,1576.81,Gas,10,223.8,1,1,0,365.63,8,,1
TXN-0000225,CARD-1503,976.8,Healthcare,4,210.6,0,0,0,344.46,1,Desktop,0
TXN-0000226,CARD-4047,1295.3,Travel,3,233.9,1,0,0,128.77,14,Desktop,0
TXN-0000227,CARD-1862,788.66,Travel,4,210.9,1,0,0,232.71,1,Desktop,0
TXN-0000228,CARD-1089,1749.18,Restaurant,17,12.5,1,0,0,276.09,11,Mobile,1
TXN-0000229,CARD-2542,506.88,Healthcare,17,23.4,0,0,0,376.43,12,Desktop,0
TXN-0000230,CARD-6555,1664.73,Healthcare,23,302.3,1,0,0,359.98,13,Mobile,0
TXN-0000231,CARD-1091,2364.08,Entertainment,6,194.7,0,0,0,122.58,14,Mobile,0
TXN-0000232,CARD-8968,78.42,Travel,23,98.4,0,0,0,78.73,1,Mobile,0
TXN-0000233,CARD-2602,1306.05,Gas,10,163.7,1,0,0,287.3,2,Mobile,0
TXN-0000234,CARD-3537,1822.09,Restaurant,18,313,0,0,0,247.05,4,,0
TXN-0000235,CARD-5509,152.92,Restaurant,18,349,0,0,0,390.4,15,,0
TXN-0000236,CARD-1170,1507.44,OnlineRetail,15,289.9,0,0,0,104.84,13,Desktop,1
TXN-0000237,CARD-9986,938.94,Travel,7,408.5,0,0,0,237.9,14,Mobile,1
TXN-0000238,CARD-6828,167.16,Travel,6,246.8,0,0,0,270.68,10,,0
TXN-0000239,CARD-6132,2056.13,Entertainment,6,162.5,0,0,0,267.09,7,POS,0
TXN-0000240,CARD-7444,2024.22,Grocery,3,281.6,0,0,0,82.9,9,Mobile,0
TXN-0000241,CARD-2445,354.69,OnlineRetail,15,370.7,1,0,0,261.81,7,Mobile,0
TXN-0000242,CARD-9494,2175.24,Grocery,5,1.8,1,0,0,116.75,14,,0
TXN-0000243,CARD-4573,261.86,Healthcare,9,231.9,0,0,0,121.65,5,Mobile,0
TXN-0000244,CARD-5868,2019.25,Entertainment,5,437.2,1,1,0,202.15,8,Mobile,0
TXN-0000245,CARD-8491,1278.47,Entertainment,2,101.9,1,0,0,263.26,12,Mobile,0
TXN-0000246,CARD-8749,219.45,Entertainment,16,331.3,1,0,0,258.69,9,,0
TXN-0000247,CARD-4462,1234.9,Restaurant,21,202.4,1,0,0,69.72,9,ATM,0
TXN-0000248,CARD-4534,593.36,Entertainment,15,417.7,0,0,0,130.16,13,Mobile,0
TXN-0000249,CARD-3698,1282.25,OnlineRetail,9,,0,0,0,272.36,8,Mobile,0
TXN-0000250,CARD-8324,572.78,Gas,4,404.5,0,0,0,170.66,8,Mobile,0
TXN-0000251,CARD-7685,1902.09,Gas,3,491.8,0,0,0,125.07,13,Mobile,0
TXN-0000252,CARD-3534,1227.72,Restaurant,16,276.2,1,0,0,331.7,1,Desktop,0
TXN-0000253,CARD-2529,1028.47,Electronics,2,213.7,1,0,0,245.1,7,,0
TXN-0000254,CARD-2312,304.69,Grocery,17,94.6,1,0,0,242.66,15,Desktop,0
TXN-0000255,CARD-3712,2127.6,Gas,9,277,0,0,0,63.81,13,Mobile,0
TXN-0000256,CARD-3080,2000.68,Restaurant,0,380.5,1,0,0,340.95,7,ATM,0
TXN-0000257,CARD-7400,2487.89,Entertainment,18,317.2,1,0,0,136.95,14,ATM,0
TXN-0000258,CARD-7236,1080.32,Grocery,3,398.7,1,0,0,30.95,1,Desktop,0
TXN-0000259,CARD-2831,1937.94,Healthcare,23,476.5,0,0,0,398.82,13,,0
TXN-0000260,CARD-3436,433.86,OnlineRetail,2,335.2,1,0,0,319.83,13,Desktop,0
TXN-0000261,CARD-4992,1243.33,Healthcare,14,228.5,1,0,0,236.37,13,ATM,0
TXN-0000262,CARD-2611,1158.99,Entertainment,11,194.7,1,0,0,304.67,11,Desktop,0
TXN-0000263,CARD-3414,1942.33,OnlineRetail,13,382.8,1,0,0,102.36,13,,0
TXN-0000264,CARD-1450,2025.38,OnlineRetail,22,498.8,1,0,0,94.15,14,ATM,0
TXN-0000265,CARD-6127,1119.61,Entertainment,18,404.8,1,0,0,207.71,14,,0
TXN-0000266,CARD-5452,401.73,Grocery,8,213.4,1,0,0,399.22,6,POS,0
TXN-0000267,CARD-3163,821.99,Travel,9,262.4,1,0,0,111.3,12,POS,1
TXN-0000268,CARD-9116,252.49,Grocery,6,371.4,1,0,0,202.57,11,POS,0
TXN-0000269,CARD-8448,1027.32,Gas,14,447.4,1,1,0,50.1,12,,0
TXN-0000270,CARD-9490,1948.93,Healthcare,2,343.7,0,0,0,233.67,7,Desktop,0
TXN-0000271,CARD-3144,2291.46,Grocery,5,34.8,0,0,0,127.84,7,Desktop,0
TXN-0000272,CARD-3344,1008.39,OnlineRetail,23,272,1,0,0,204.95,5,ATM,0
TXN-0000273,CARD-4547,17.46,Restaurant,16,287.8,0,0,0,91.13,13,POS,0
TXN-0000274,CARD-9755,1457.27,Entertainment,10,312.4,0,0,0,65.14,12,Desktop,0
TXN-0000275,CARD-1133,288.96,Grocery,19,276.5,1,0,0,104.67,15,Mobile,1
TXN-0000276,CARD-6909,555.49,Gas,22,92.7,1,0,0,356.33,2,Mobile,0
TXN-0000277,CARD-5497,882.02,Grocery,20,119.9,1,0,0,144.12,8,ATM,0
TXN-0000278,CARD-3470,202.91,Restaurant,7,430.8,1,0,0,119.84,15,POS,0
TXN-0000279,CARD-8517,1942.53,Electronics,1,443.4,0,0,0,329.71,6,Desktop,0
TXN-0000280,CARD-5844,1218.64,Travel,10,296.3,1,0,0,72.49,8,Desktop,0
TXN-0000281,CARD-2043,1007.16,Grocery,10,17.5,1,0,0,328.42,11,ATM,0
TXN-0000282,CARD-2642,995.11,Grocery,6,84.1,1,0,0,146.64,9,ATM,0
TXN-0000283,CARD-1989,1579.6,Grocery,18,,0,0,0,332.66,8,,0
TXN-0000284,CARD-8482,2306.41,Electronics,20,205.7,0,0,0,394.04,15,,0
