UserId,ContentId,ContentType,WatchDurationPct,PreviousEngagements,ContentAgeDays,CreatorFollowers,HasSubtitles,DeviceType,EngagementScore
USR-2519,CNT-000065,Podcast,12,16,235,1692105,1,Desktop,0.308
USR-8495,CNT-000066,Podcast,73.8,30,611,2627972,0,Tablet,0.819
USR-4035,CNT-000067,Article,29.7,9,47,4357276,1,TV,0.4905
USR-6397,CNT-000068,Article,79.9,35,45,4060761,1,Desktop,0.8795
USR-8715,CNT-000069,LiveStream,22.2,17,319,2788258,0,TV,0.437
USR-1716,CNT-000070,Article,37.5,41,117,4863156,1,Mobile,0.6155
USR-1460,CNT-000071,Podcast,55.6,9,374,2994405,0,TV,0.6
USR-2121,CNT-000072,Article,91.9,25,712,398563,1,Tablet,0.7095
USR-8568,CNT-000073,Article,67.9,17,455,4384329,1,Mobile,0.5955
USR-2930,CNT-000074,LiveStream,18,27,405,1965354,1,Desktop,0.516
USR-2495,CNT-000075,Video,65.6,30,237,2800639,0,Mobile,0.598
USR-9615,CNT-000076,Podcast,10.2,20,333,3101517,0,TV,0.431
USR-5818,CNT-000077,Video,20.8,18,434,2808451,0,Desktop,0.278
USR-4474,CNT-000078,Podcast,87.5,35,194,3940087,0,Desktop,0.9275
USR-2993,CNT-000079,Article,16.2,19,358,3761408,1,Desktop,0.263
USR-3865,CNT-000080,LiveStream,0.1,18,552,605556,0,TV,0.1545
USR-5739,CNT-000081,LiveStream,46.1,12,321,2433419,0,Mobile,0.4465
USR-3516,CNT-000082,LiveStream,12.1,13,152,4050074,1,Desktop,0.3245
USR-4116,CNT-000083,Podcast,86.9,42,258,4672737,1,TV,0.8005
USR-6702,CNT-000084,LiveStream,92.1,41,694,2841980,1,Desktop,0.9885
USR-4363,CNT-000085,Video,17.4,8,112,2440382,1,Mobile,0.291
USR-5439,CNT-000086,Podcast,80.9,34,109,3347877,0,Tablet,0.6865
USR-4802,CNT-000087,Article,85.6,12,592,3884642,0,TV,0.714
USR-3937,CNT-000088,Podcast,60.4,8,696,2979652,1,Desktop,0.636
USR-6595,CNT-000089,Video,77.3,7,704,972013,0,Mobile,0.5025
USR-3424,CNT-000090,Video,7.8,9,610,2782712,0,Desktop,0.271
USR-8833,CNT-000091,Article,35.2,25,235,2702375,0,Tablet,0.406
USR-8779,CNT-000092,Article,68.1,26,357,2580064,0,Desktop,0.6185
USR-6153,CNT-000093,LiveStream,18.3,12,656,2277227,1,Tablet,0.4875
USR-4979,CNT-000094,Video,59,18,280,3136307,0,TV,0.609
USR-8252,CNT-000095,Article,95.7,40,470,262838,0,Tablet,0.8185
USR-8663,CNT-000096,Video,3.3,38,409,1035985,0,Tablet,0.4405
USR-6997,CNT-000097,Podcast,10.4,26,342,3644261,1,TV,0.43
USR-7786,CNT-000098,Podcast,30.7,15,267,4695794,1,Mobile,0.3335
USR-2740,CNT-000099,Podcast,14.6,27,565,2985635,0,TV,0.519
USR-5757,CNT-000100,LiveStream,3.1,36,197,4947068,0,Tablet,0.5235
USR-8940,CNT-000101,Article,26.1,34,591,4363990,1,Mobile,0.6925
USR-8542,CNT-000102,Video,43.2,1,390,1733853,0,Desktop,0.514
USR-5594,CNT-000103,Video,79.8,6,422,1562016,0,Tablet,0.597
USR-5623,CNT-000104,Podcast,29.8,23,607,3110844,1,Desktop,0.383
USR-5743,CNT-000105,Article,22.1,48,201,2145089,0,Tablet,0.5045
USR-4253,CNT-000106,Podcast,48.2,8,8,3390522,1,TV,0.525
USR-7670,CNT-000107,Article,24.7,21,181,2014097,0,Desktop,0.5215
USR-8033,CNT-000108,Article,74.1,29,259,3666480,0,TV,0.6225
USR-4068,CNT-000109,Video,3.8,39,486,1680668,1,Tablet,0.601
USR-4180,CNT-000110,Article,73.1,5,663,1427663,0,Mobile,0.6555
USR-3136,CNT-000111,Video,40.3,6,162,3659658,0,Mobile,0.2595
USR-9622,CNT-000112,Article,45.9,47,18,4918318,1,Tablet,0.6855
USR-6837,CNT-000113,Podcast,16.4,44,729,1066549,0,TV,0.474
USR-8666,CNT-000114,Article,56.6,4,333,4268085,1,Tablet,0.565
USR-2337,CNT-000115,Podcast,35.9,29,698,80973,0,Tablet,0.6915
USR-5253,CNT-000116,Video,4.6,4,581,3478596,0,Mobile,0.215
USR-5569,CNT-000117,LiveStream,71.9,45,145,583719,1,TV,0.8595
USR-7303,CNT-000118,LiveStream,86.1,15,98,4817470,0,Tablet,0.7105
USR-8155,CNT-000119,Article,47.3,20,42,3049195,0,Mobile,0.4765
USR-5373,CNT-000120,Podcast,79.2,21,608,1504280,1,Tablet,0.744
USR-2742,CNT-000121,LiveStream,73.7,39,436,3984177,0,Desktop,0.8105
USR-8360,CNT-000122,Article,44.1,11,614,3660053,1,Mobile,0.5985
USR-9195,CNT-000123,LiveStream,90.9,37,59,4385620,0,Tablet,0.9005
USR-1965,CNT-000124,LiveStream,53,42,317,1373946,1,Mobile,0.611
USR-7800,CNT-000125,Video,89.7,4,254,913110,1,Mobile,0.5805
USR-7795,CNT-000126,Article,29.9,9,134,2373383,1,TV,0.5115
USR-1512,CNT-000127,Article,81.7,46,346,3109334,1,TV,1
USR-6465,CNT-000128,Podcast,16.7,30,41,29339,1,Mobile,0.4835
USR-9509,CNT-000129,Video,96,49,463,2036067,0,Mobile,1
USR-9956,CNT-000130,Video,31.2,49,579,1770110,1,Tablet,0.728
USR-5595,CNT-000131,Podcast,9.3,45,550,1740906,1,Desktop,0.5665
USR-3624,CNT-000132,LiveStream,79.1,6,215,59513,1,Desktop,0.5835
USR-8666,CNT-000133,Video,99.5,3,13,2163510,0,Desktop,0.6315
USR-6791,CNT-000134,LiveStream,64.4,40,415,53270,0,Tablet,0.772
USR-4277,CNT-000135,LiveStream,7.7,16,624,4136993,0,Desktop,0.4065
USR-7695,CNT-000136,Article,50.8,14,576,2083425,0,TV,0.376
USR-1396,CNT-000137,LiveStream,91.8,4,539,2672611,1,Desktop,0.591
USR-1497,CNT-000138,Article,84.8,20,66,2426439,0,Tablet,0.794
USR-6754,CNT-000139,LiveStream,15.3,39,295,1310020,0,Mobile,0.6285
USR-2952,CNT-000140,Podcast,99.1,50,259,1826044,1,Desktop,1
USR-2631,CNT-000141,LiveStream,57.3,47,704,1965373,0,Mobile,0.8925
USR-4526,CNT-000142,Video,54,14,95,2529001,0,Mobile,0.652
USR-8864,CNT-000143,LiveStream,73.9,35,513,3068936,1,Tablet,0.7895
USR-8180,CNT-000144,LiveStream,54.9,34,477,1352085,0,Mobile,0.6565
USR-8447,CNT-000145,Article,17.3,17,678,1773471,0,Mobile,0.3925
USR-5179,CNT-000146,LiveStream,14.8,35,486,387065,1,Mobile,0.564
USR-8944,CNT-000147,Video,58.4,37,73,2795551,0,Mobile,0.798
USR-5232,CNT-000148,Article,36.9,34,22,666617,1,Tablet,0.6065
USR-5843,CNT-000149,Podcast,57.2,27,433,1298528,0,Mobile,0.532
USR-5976,CNT-000150,Video,44.1,31,326,1073082,1,Desktop,0.5285
USR-4788,CNT-000151,Podcast,47.1,28,208,4483388,1,Desktop,0.4695
USR-2399,CNT-000152,Video,30,21,623,4662154,0,Mobile,0.488
USR-4259,CNT-000153,Podcast,76.6,1,632,3734433,1,Desktop,0.641
USR-7264,CNT-000154,Article,67.8,4,12,2010246,0,Mobile,0.521
USR-2078,CNT-000155,Podcast,46.2,14,485,3305099,0,Desktop,0.363
USR-1282,CNT-000156,Video,12.2,7,575,2079658,0,TV,0.217
USR-9287,CNT-000157,Podcast,23.2,23,248,4795738,0,Tablet,0.44
USR-9886,CNT-000158,Video,23.3,46,582,1337579,1,Tablet,0.6645
USR-2444,CNT-000159,LiveStream,79.2,49,292,563452,0,Tablet,0.998
USR-6245,CNT-000160,Article,16,44,565,4392584,0,Tablet,0.702
USR-3144,CNT-000161,Video,14.7,23,442,2573096,1,TV,0.2775
USR-7619,CNT-000162,LiveStream,78.2,39,605,746957,1,Tablet,0.803
USR-5947,CNT-000163,Video,82,14,364,1711182,1,TV,0.762
USR-2735,CNT-000164,Article,22.4,8,357,3514205,0,TV,0.466
USR-4891,CNT-000165,Podcast,74.7,30,374,795515,1,Tablet,0.8035
USR-1921,CNT-000166,Article,67.3,43,387,1022483,0,TV,0.7305
USR-6553,CNT-000167,Video,90.1,7,247,3700081,0,Mobile,0.6065
USR-9680,CNT-000168,Video,20.9,31,622,3484751,1,TV,0.5625
USR-3203,CNT-000169,Article,20.4,22,589,2871608,1,TV,0.338
USR-1887,CNT-000170,Video,88.8,42,410,3668393,1,Tablet,1
USR-6027,CNT-000171,Article,31.5,42,408,4833835,0,Desktop,0.6735
USR-2321,CNT-000172,LiveStream,68.3,11,142,3534546,1,Desktop,0.4495
USR-3279,CNT-000173,Podcast,13.3,29,86,2067325,0,Tablet,0.4785
USR-9740,CNT-000174,Article,99.6,10,500,617919,1,Desktop,0.618
USR-2100,CNT-000175,Article,60.2,28,366,1474694,1,Desktop,0.635
USR-5962,CNT-000176,Podcast,3.7,39,183,649245,1,Tablet,0.5505
USR-8528,CNT-000177,Podcast,98,3,117,2888171,1,Mobile,0.644
USR-3970,CNT-000178,Article,69,15,388,765769,1,Mobile,0.675
USR-2365,CNT-000179,Podcast,34,2,241,4149828,1,Mobile,0.366
USR-5563,CNT-000180,LiveStream,29.9,37,135,2290049,0,Tablet,0.7355
USR-7476,CNT-000181,Podcast,95.5,10,3,3396216,1,TV,0.7775
USR-3814,CNT-000182,Video,10.3,48,356,2485247,1,Desktop,0.6155
USR-7457,CNT-000183,LiveStream,11.3,33,678,3722431,1,Mobile,0.5705
USR-2496,CNT-000184,LiveStream,52,30,452,3751913,0,TV,0.64
USR-5434,CNT-000185,Article,87.9,25,108,786726,0,Desktop,0.8595
USR-2813,CNT-000186,LiveStream,9,3,393,3443721,1,TV,0.319
USR-9436,CNT-000187,LiveStream,63.5,36,627,1323744,0,Desktop,0.6955
USR-4464,CNT-000188,Video,43.5,41,633,1162481,0,Mobile,0.5555
USR-2806,CNT-000189,Video,96.9,13,204,1761939,1,TV,0.8385
USR-3505,CNT-000190,Podcast,28.1,0,154,3355667,0,Desktop,0.2805
USR-9771,CNT-000191,Video,52.4,50,718,2717884,0,TV,0.752
USR-7626,CNT-000192,LiveStream,43.1,48,372,1476454,0,Tablet,0.8595
USR-4430,CNT-000193,LiveStream,10.1,5,334,2571666,0,Tablet,0.1105
USR-2051,CNT-000194,Podcast,51.5,49,338,2143483,0,Desktop,0.8095
USR-7929,CNT-000195,Article,54.6,22,609,2891896,1,TV,0.519
USR-5290,CNT-000196,Article,11.1,4,555,2414300,0,Desktop,0.3375
USR-3122,CNT-000197,LiveStream,5.7,4,284,3637849,1,Tablet,0.2105
USR-1103,CNT-000198,Video,80.7,35,211,1425662,1,Desktop,0.7535
USR-5891,CNT-000199,Podcast,52,43,69,4882248,1,Desktop,0.884
USR-7872,CNT-000200,Article,45.9,30,319,125265,0,TV,0.6295
USR-2797,CNT-000201,Video,84.5,35,183,3784669,1,Mobile,0.7425
USR-8892,CNT-000202,Podcast,36.5,24,232,1180711,1,Desktop,0.4445
USR-3098,CNT-000203,Video,94.1,43,553,4468829,0,Desktop,1
USR-2037,CNT-000204,Article,42.6,12,611,2581270,1,Desktop,0.309
USR-4034,CNT-000205,Video,39.7,13,699,666305,0,Desktop,0.4825
USR-8268,CNT-000206,Video,64.5,9,50,1654318,1,Tablet,0.6245
USR-1113,CNT-000207,Video,47,18,212,636774,1,Desktop,0.619
USR-7379,CNT-000208,LiveStream,79.4,24,434,4524084,0,Tablet,0.609
USR-9277,CNT-000209,Article,88,24,637,2047015,1,TV,0.732
USR-1775,CNT-000210,LiveStream,96.2,13,484,497946,0,Mobile,0.695
USR-3693,CNT-000211,Podcast,49.9,19,674,2813087,1,TV,0.6015
USR-2485,CNT-000212,Article,18.3,23,670,349037,1,Desktop,0.3255
USR-4886,CNT-000213,Article,51.3,7,372,4081158,0,Tablet,0.4225
USR-1687,CNT-000214,Podcast,33.3,32,602,142137,0,Tablet,0.4625
USR-4534,CNT-000215,Article,6.9,11,24,3260848,0,TV,0.3325
USR-9739,CNT-000216,LiveStream,8.3,40,74,1436673,1,Desktop,0.5815
USR-3170,CNT-000217,LiveStream,97,3,185,2126142,0,TV,0.749
USR-9173,CNT-000218,Podcast,89.5,42,69,3781884,1,Mobile,1
USR-9010,CNT-000219,Article,57.9,30,579,3299395,0,Desktop,0.6095
USR-4177,CNT-000220,Video,76.1,46,479,4999814,0,TV,1
USR-7385,CNT-000221,Podcast,93.9,10,39,800681,0,TV,0.6395
USR-4023,CNT-000222,Podcast,32,13,569,73113,1,Tablet,0.524
USR-2818,CNT-000223,Podcast,93.2,24,153,4358940,0,TV,0.888
USR-9285,CNT-000224,Podcast,31.4,34,582,2489091,1,Tablet,0.569
USR-4042,CNT-000225,LiveStream,55,11,382,3149564,0,Mobile,0.663
USR-2102,CNT-000226,Video,63.2,21,338,698320,1,TV,0.624
USR-8126,CNT-000227,Article,48.3,1,644,1674558,1,TV,0.4495
USR-4194,CNT-000228,Podcast,19.2,17,381,4326489,0,Tablet,0.332
USR-7100,CNT-000229,Podcast,45.4,7,250,4064756,0,Mobile,0.343
USR-1307,CNT-000230,LiveStream,62.6,42,337,4496996,1,Desktop,0.809
USR-6571,CNT-000231,LiveStream,28.5,29,314,474781,1,Tablet,0.6445
USR-4913,CNT-000232,LiveStream,68.4,8,661,3017567,1,TV,0.616
USR-5248,CNT-000233,Podcast,98.5,20,645,4940818,1,Mobile,0.8525
USR-4478,CNT-000234,LiveStream,55,43,476,154106,1,TV,0.909
USR-7499,CNT-000235,LiveStream,50.7,42,628,4591187,0,Desktop,0.7995
USR-8745,CNT-000236,Podcast,18.3,36,89,3789685,1,Mobile,0.5295
USR-7054,CNT-000237,Video,99.3,46,276,4091327,1,Mobile,0.9445
USR-3236,CNT-000238,Podcast,51.6,28,622,1558560,0,Tablet,0.732
USR-2769,CNT-000239,Podcast,12,22,200,667060,0,Mobile,0.506
USR-9069,CNT-000240,Podcast,77.5,36,589,752572,0,Desktop,0.6755
USR-1684,CNT-000241,Video,50.6,11,408,1710221,0,TV,0.431
USR-8122,CNT-000242,Podcast,93.9,36,424,3812074,0,TV,0.9275
USR-9049,CNT-000243,Podcast,55,31,85,3838213,1,Mobile,0.683
USR-2026,CNT-000244,Article,55.6,48,312,1004437,1,Mobile,0.742
USR-8218,CNT-000245,Article,37.4,43,39,2524475,1,Tablet,0.721
USR-8664,CNT-000246,Article,29.3,36,86,1581626,1,Mobile,0.6745
USR-4372,CNT-000247,Video,44.4,43,324,3717533,1,Tablet,0.736
USR-4931,CNT-000248,Article,84.1,42,31,2628955,1,Mobile,0.9065
USR-3113,CNT-000249,Article,38,15,437,2951591,1,Mobile,0.42
USR-6387,CNT-000250,Article,12.6,46,372,1712507,1,Desktop,0.581
USR-2707,CNT-000251,Podcast,59.4,35,679,2434353,0,Mobile,0.757
USR-4609,CNT-000252,Podcast,97.5,47,605,1744344,0,Mobile,0.9135
USR-8803,CNT-000253,Podcast,92,29,673,749743,0,Tablet,0.732
USR-1514,CNT-000254,LiveStream,89.1,9,146,4887170,0,TV,0.7275
USR-3941,CNT-000255,LiveStream,22.8,15,193,4238835,0,Desktop,0.424
USR-9429,CNT-000256,Article,35.6,46,231,3172675,1,TV,0.746
USR-8123,CNT-000257,LiveStream,95.4,0,343,3827917,1,Tablet,0.527
USR-6746,CNT-000258,Podcast,82.7,44,284,3468330,0,Mobile,0.8355
USR-5164,CNT-000259,Article,86,48,559,495889,1,Tablet,0.924
USR-2976,CNT-000260,LiveStream,38.2,7,49,2702350,1,TV,0.537
USR-9077,CNT-000261,Video,5.3,42,173,3114479,1,Mobile,0.4125
USR-2527,CNT-000262,Video,94.7,35,403,4079995,1,Mobile,0.9735
USR-6291,CNT-000263,Podcast,21.8,7,644,3181762,0,Desktop,0.345
USR-8685,CNT-000264,Podcast,31,50,571,4881615,1,TV,0.645
USR-2673,CNT-000265,Video,43.1,33,476,1692642,0,TV,0.5395
USR-6544,CNT-000266,Article,96.5,24,72,4142468,1,TV,0.9545
USR-6195,CNT-000267,LiveStream,68,48,359,3661476,1,Tablet,0.784
USR-5477,CNT-000268,Video,39.1,47,397,4593160,0,Mobile,0.6915
USR-1491,CNT-000269,Video,78.3,17,645,4504004,1,Mobile,0.7175
USR-1229,CNT-000270,LiveStream,93.7,27,401,3627393,0,Mobile,0.7845
USR-9890,CNT-000271,LiveStream,15.8,16,276,3822359,1,Tablet,0.297
USR-5688,CNT-000272,LiveStream,68.7,45,241,938461,0,TV,0.8635
USR-1251,CNT-000273,Podcast,8.3,39,530,3942127,0,Mobile,0.4035
USR-7985,CNT-000274,Video,91.5,6,342,1825962,0,Mobile,0.6355
USR-9896,CNT-000275,Video,54.8,41,307,3641744,0,Tablet,0.762
USR-4553,CNT-000276,LiveStream,11.4,27,349,1074703,0,Desktop,0.303
USR-8925,CNT-000277,Podcast,33.8,46,411,3815356,1,Tablet,0.657
USR-6867,CNT-000278,Video,88,44,274,372347,0,Tablet,0.812
USR-2516,CNT-000279,Article,83.9,49,368,1689939,0,Tablet,1
USR-2456,CNT-000280,Video,65,48,502,1948666,0,TV,0.749
USR-6462,CNT-000281,Podcast,52.7,45,410,3033641,0,Mobile,0.6535
USR-5621,CNT-000282,Podcast,41.4,43,270,1536496,1,Mobile,0.781
USR-8812,CNT-000283,Article,88,43,156,3757750,0,Mobile,0.864
USR-2818,CNT-000284,Podcast,29.7,20,460,3254236,1,Mobile,0.3885
USR-9408,CNT-000285,Podcast,90.6,46,20,1513857,1,Desktop,1
USR-9051,CNT-000286,Article,19.8,35,204,4153388,1,Mobile,0.619
USR-4887,CNT-000287,LiveStream,83.1,48,697,789667,1,Desktop,0.8395
USR-3549,CNT-000288,Article,33.9,39,352,4421330,1,Mobile,0.4915
USR-2783,CNT-000289,Video,58.2,8,93,604785,1,Desktop,0.495
USR-3702,CNT-000290,Video,16.8,10,50,4036882,0,Tablet,0.294
USR-9009,CNT-000291,LiveStream,42.7,49,309,4249720,0,Mobile,0.8055
USR-9982,CNT-000292,LiveStream,0.1,44,581,2226030,0,Desktop,0.6325
USR-7785,CNT-000293,Podcast,35.2,47,206,4098070,1,Desktop,0.782
USR-6562,CNT-000294,Video,46.4,4,348,1734057,0,Mobile,0.384
USR-2438,CNT-000295,Video,16.2,37,206,4671791,1,TV,0.547
USR-1796,CNT-000296,Video,39.4,0,683,4376604,0,Desktop,0.317
USR-3084,CNT-000297,Article,8.9,13,166,4624762,1,Tablet,0.2685
USR-3773,CNT-000298,Podcast,90,1,109,184083,1,Tablet,0.488
USR-1667,CNT-000299,Article,71.5,42,149,2920468,1,Desktop,0.8135
USR-8182,CNT-000300,Article,66.3,27,621,2537402,1,Mobile,0.5875
USR-4993,CNT-000301,LiveStream,6.5,40,349,887017,0,Desktop,0.4225
USR-7440,CNT-000302,Article,29.1,33,445,2995155,0,Mobile,0.5695
USR-1850,CNT-000303,Article,18.9,5,55,3839561,0,Mobile,0.4145
USR-1346,CNT-000304,Video,48.9,13,300,3518400,1,Tablet,0.5685
USR-6595,CNT-000305,Video,68.2,13,296,3290960,1,Desktop,0.475
USR-9932,CNT-000306,Podcast,65.3,45,123,247061,1,Desktop,0.8165
USR-9354,CNT-000307,LiveStream,54,8,173,220949,1,Mobile,0.374
USR-8259,CNT-000308,Podcast,20.5,30,162,3393546,0,TV,0.5925
USR-7186,CNT-000309,Podcast,83.2,30,249,4067269,0,TV,0.826
USR-4601,CNT-000310,Video,19.4,30,704,1728080,0,TV,0.487
USR-8061,CNT-000311,Video,73.8,45,389,2440439,0,Mobile,0.949
USR-2890,CNT-000312,Article,11.5,10,629,4213418,1,TV,0.2775
USR-1563,CNT-000313,Article,48.6,12,147,631690,1,TV,0.599
USR-2446,CNT-000314,Article,89.3,47,471,1215358,1,Mobile,1
USR-2162,CNT-000315,Video,77.6,1,484,2512350,0,Desktop,0.526
USR-4151,CNT-000316,Podcast,5.6,26,382,3114406,1,TV,0.266
USR-9913,CNT-000317,LiveStream,14.8,37,631,4847242,0,Desktop,0.56
USR-1838,CNT-000318,Video,67.4,39,650,1657919,1,Tablet,0.759
USR-5704,CNT-000319,Podcast,1.3,8,54,2025163,1,Tablet,0.2105
USR-4041,CNT-000320,LiveStream,9.9,42,179,3933709,0,Tablet,0.6555
USR-7425,CNT-000321,Video,58.7,48,90,2249605,0,Mobile,0.8875
USR-5915,CNT-000322,LiveStream,44,36,619,797880,0,Mobile,0.528
USR-3125,CNT-000323,LiveStream,82.7,16,65,2933163,1,TV,0.6115
USR-7325,CNT-000324,LiveStream,52.6,24,712,13549,0,Tablet,0.705
USR-3665,CNT-000325,Article,81.1,49,281,3144053,1,Mobile,1
USR-6931,CNT-000326,Podcast,71.2,14,511,2159714,0,Desktop,0.748
USR-8187,CNT-000327,Video,64.5,6,612,309171,1,TV,0.4805
USR-2403,CNT-000328,Article,14.4,47,474,121180,1,Desktop,0.558
USR-6027,CNT-000329,Podcast,78.1,44,191,3717392,1,Desktop,1
USR-4974,CNT-000330,Article,39.3,7,144,2514227,0,Tablet,0.3425
USR-5310,CNT-000331,Video,45.2,50,182,739800,1,Mobile,0.686
USR-4111,CNT-000332,Article,6.1,42,479,4083551,1,Desktop,0.4965
USR-4016,CNT-000333,Podcast,9.9,4,216,417336,1,Desktop,0.2615
USR-2976,CNT-000334,Video,20.3,49,355,4063192,1,TV,0.5235
USR-4931,CNT-000335,Article,91.2,49,516,462958,0,Mobile,1
USR-9724,CNT-000336,LiveStream,2.7,5,664,931263,0,Mobile,0.1635
USR-5704,CNT-000337,Podcast,65.2,46,339,2258207,0,TV,0.944
USR-1109,CNT-000338,Article,37.5,45,589,1416113,0,Mobile,0.5975
USR-4095,CNT-000339,Podcast,87.1,21,332,4265558,1,Tablet,0.8435
USR-4469,CNT-000340,Article,70.5,17,711,3860928,1,TV,0.7085
USR-2596,CNT-000341,Article,13.8,23,24,2109774,0,Mobile,0.323
USR-5856,CNT-000342,LiveStream,33.6,20,127,4582671,1,TV,0.358
USR-4535,CNT-000343,Podcast,65.5,50,297,2159993,0,Desktop,0.8775
USR-9457,CNT-000344,Article,10.8,31,316,2124936,1,Tablet,0.422
USR-1145,CNT-000345,Video,38.5,3,693,2145575,0,TV,0.3265
USR-9727,CNT-000346,LiveStream,29.2,48,318,3893279,0,TV,0.64
USR-3722,CNT-000347,Podcast,52.5,49,621,4382114,0,Desktop,0.8645
USR-3015,CNT-000348,Video,96.1,23,377,4190162,1,TV,0.7245
