SupplierId,OnTimeDeliveryRate,QualityScore,AvgLeadTimeDays,DefectRate,OrderVolumeAnnual,PriceCompetitiveness,ContractLengthYears,Region,IndustryCategory
SUP-00073,0.971,3.2,4,0.0186,2561378,0.91,2.9,AsiaPacific,Logistics
SUP-00074,0.96,3.3,3,0.0229,711751,0.9,3.4,AsiaPacific,Packaging
SUP-00075,0.657,5.3,34,0.0035,1561002,0.74,3.6,NorthAmerica,Electronics
SUP-00076,0.969,7.3,17,0.0374,1688608,0.86,0.8,AsiaPacific,Electronics
SUP-00077,0.779,5,33,0.0346,3939928,1.08,2.1,LatinAmerica,RawMaterials
SUP-00078,0.848,9.5,40,0.0745,4967107,1.2,2.9,NorthAmerica,RawMaterials
SUP-00079,0.952,6,16,0.013,1098331,0.9,3.6,AsiaPacific,Packaging
SUP-00080,0.92,6.3,25,0.0654,4873884,0.95,1.1,NorthAmerica,RawMaterials
SUP-00081,0.664,6.5,26,0.061,1125838,1.15,2.7,LatinAmerica,Logistics
SUP-00082,0.712,6.7,13,0.077,3982216,0.96,3.9,NorthAmerica,RawMaterials
SUP-00083,0.945,5.6,43,0.0209,1360874,0.88,0.8,LatinAmerica,Electronics
SUP-00084,0.749,2.9,42,0.0565,4823765,0.97,1.3,LatinAmerica,Electronics
SUP-00085,0.853,1.6,22,0.0516,4057881,1.02,2.2,LatinAmerica,Chemicals
SUP-00086,0.653,8.4,14,0.0518,3504258,0.89,4.1,NorthAmerica,Packaging
SUP-00087,0.925,4.8,44,0.0389,326844,0.92,3.9,LatinAmerica,RawMaterials
SUP-00088,0.72,9,29,0.0548,1048628,0.7,0.7,LatinAmerica,Electronics
SUP-00089,0.627,9.2,25,0.0134,4542907,0.71,3.2,Europe,Electronics
SUP-00090,0.684,8.1,38,0.0783,4370083,0.89,2.4,LatinAmerica,Electronics
SUP-00091,0.983,7.1,40,0.0703,2219649,1.15,3,Europe,Chemicals
SUP-00092,0.754,6.8,41,0.0243,2610353,1.19,2.6,AsiaPacific,Packaging
SUP-00093,0.741,2.9,25,0.0285,1398004,1.09,3.5,NorthAmerica,Packaging
SUP-00094,0.741,3.8,45,0.0216,4323766,0.75,4.8,LatinAmerica,Chemicals
SUP-00095,0.821,4.6,24,0.0729,4747585,0.76,4.7,NorthAmerica,Electronics
SUP-00096,0.751,6.8,33,0.0512,4921127,0.94,4.8,LatinAmerica,Chemicals
SUP-00097,0.679,9.9,23,0.071,1467522,0.72,4.3,Europe,Packaging
SUP-00098,0.938,3.2,13,0.0654,3609010,0.87,0.5,Europe,Chemicals
SUP-00099,0.624,1.2,14,0.0235,137001,1.15,1.4,AsiaPacific,Packaging
SUP-00100,0.702,9.9,31,0.0123,676611,1.04,0.8,LatinAmerica,Packaging
SUP-00101,0.939,8.5,25,0.0438,1591484,0.84,4.4,Europe,RawMaterials
SUP-00102,0.94,5.4,43,0.0104,3746422,1.15,0.6,NorthAmerica,Logistics
SUP-00103,0.662,2.3,28,0.0528,4520939,0.99,3.8,LatinAmerica,RawMaterials
SUP-00104,0.662,5.9,20,0.0279,812815,1.11,4.2,AsiaPacific,Packaging
SUP-00105,0.979,7.8,37,0.0361,3577083,0.87,2.1,LatinAmerica,Electronics
SUP-00106,0.887,6.2,27,0.0745,841693,0.94,1.2,LatinAmerica,RawMaterials
SUP-00107,0.646,8.4,9,0.0523,1250395,0.9,1.9,Europe,Logistics
SUP-00108,0.876,2.2,35,0.0034,3701377,0.96,4.6,AsiaPacific,Logistics
SUP-00109,0.959,5.3,34,0.0283,1752255,1.03,1.4,AsiaPacific,Chemicals
SUP-00110,0.62,3.1,35,0.0402,746559,1.03,4.2,Europe,Logistics
SUP-00111,0.653,3.5,43,0.068,287961,1.19,4.7,AsiaPacific,Chemicals
SUP-00112,0.807,5,5,0.0547,3791670,1.1,1.9,AsiaPacific,RawMaterials
SUP-00113,0.792,3.7,22,0.0293,258311,0.98,2.7,Europe,Chemicals
SUP-00114,0.888,1.8,11,0.0767,4236408,1.15,0.8,Europe,Electronics
SUP-00115,0.916,8.9,42,0.0057,1103306,0.77,0.8,NorthAmerica,Electronics
SUP-00116,0.638,5.1,26,0.0394,216068,0.83,3.6,Europe,Chemicals
SUP-00117,0.608,4,11,0.0056,4309935,1.05,4.3,Europe,Packaging
SUP-00118,0.717,8.3,36,0.015,1368631,0.86,4,AsiaPacific,Packaging
SUP-00119,0.918,8.8,34,0.0045,3095418,0.94,3.2,Europe,Logistics
SUP-00120,0.713,1,6,0.0059,4857900,0.71,2.3,Europe,Chemicals
SUP-00121,0.701,2.3,42,0.0603,2866639,0.83,4.9,Europe,RawMaterials
SUP-00122,0.876,3.6,6,0.0637,4972627,0.77,1.1,AsiaPacific,Chemicals
SUP-00123,0.602,2.5,18,0.0389,1291381,0.76,3.8,NorthAmerica,Electronics
SUP-00124,0.879,9.8,43,0.0534,3286765,0.82,2.9,Europe,Chemicals
SUP-00125,0.877,7.1,16,0.0684,946158,0.96,2.7,Europe,Chemicals
SUP-00126,0.925,4,26,0.0455,1538614,1.1,1.6,AsiaPacific,RawMaterials
SUP-00127,0.7,6.5,25,0.0434,3848630,1.2,3.7,NorthAmerica,Chemicals
SUP-00128,0.822,4.3,26,0.0498,3900838,0.94,1.3,NorthAmerica,Electronics
SUP-00129,0.707,5.1,44,0.0388,1498613,0.78,4.6,Europe,Packaging
SUP-00130,0.624,4,36,0.0645,3129311,0.76,4.7,Europe,Chemicals
SUP-00131,0.777,8.9,8,0.0706,127096,1.05,3.5,Europe,Logistics
SUP-00132,0.621,3.5,31,0.0522,1782401,0.79,1.4,Europe,Chemicals
SUP-00133,0.935,9.1,13,0.0431,2542860,0.87,4,NorthAmerica,RawMaterials
SUP-00134,0.775,7.1,42,0.0725,1237931,1.16,0.8,AsiaPacific,RawMaterials
SUP-00135,0.765,3.4,14,0.0707,408400,1.05,1.1,NorthAmerica,Chemicals
SUP-00136,0.765,4.4,35,0.067,3316654,1.04,1.2,NorthAmerica,Chemicals
SUP-00137,0.943,5.3,7,0.0509,2851383,1.05,2.8,LatinAmerica,Packaging
SUP-00138,0.9,1.6,10,0.0345,1539802,1.06,1.3,LatinAmerica,RawMaterials
SUP-00139,0.713,2.5,43,0.0544,1521293,0.73,0.6,Europe,Chemicals
SUP-00140,0.799,8.7,30,0.0708,4700659,0.84,4.2,AsiaPacific,Chemicals
SUP-00141,0.845,3.7,35,0.0642,3195695,0.82,2.1,Europe,Logistics
SUP-00142,0.934,8.3,33,0.0632,1124150,0.71,2,LatinAmerica,Electronics
SUP-00143,0.644,1.1,45,0.0301,2139558,1.06,2.3,LatinAmerica,RawMaterials
SUP-00144,0.838,3,37,0.0434,2067476,1.19,3.4,AsiaPacific,Chemicals
SUP-00145,0.959,7.4,35,0.0381,2473070,0.73,4.3,AsiaPacific,Electronics
SUP-00146,0.645,4,36,0.0692,2710660,1.11,4,LatinAmerica,Electronics
SUP-00147,0.788,1,16,0.0521,971591,1.19,3,NorthAmerica,RawMaterials
SUP-00148,0.727,5.7,45,0.0598,455455,0.79,1.2,NorthAmerica,RawMaterials
SUP-00149,0.911,3.5,14,0.0717,1275363,0.88,5,LatinAmerica,Chemicals
SUP-00150,0.867,7.4,7,0.0729,2193573,0.97,4.5,LatinAmerica,RawMaterials
SUP-00151,0.98,4.6,3,0.0674,72042,1.18,2,Europe,RawMaterials
SUP-00152,0.613,2.2,3,0.0109,1195009,0.73,3.1,NorthAmerica,Packaging
SUP-00153,0.894,6.7,15,0.0302,4648006,0.72,4.8,AsiaPacific,Electronics
SUP-00154,0.682,2.7,38,0.0116,319384,0.72,3.9,AsiaPacific,Chemicals
SUP-00155,0.805,4,3,0.0017,1088792,0.89,3.9,AsiaPacific,Packaging
SUP-00156,0.76,7.6,27,0.0537,3042740,0.71,4.6,AsiaPacific,RawMaterials
SUP-00157,0.853,8.1,5,0.0218,1919833,1.01,3.9,NorthAmerica,RawMaterials
SUP-00158,0.968,9,9,0.0348,1379050,0.89,3.4,NorthAmerica,Packaging
SUP-00159,0.836,3.5,19,0.0142,3885112,1.1,4.8,LatinAmerica,RawMaterials
SUP-00160,0.894,5.6,16,0.069,2498869,1.07,1.3,NorthAmerica,Packaging
SUP-00161,0.617,8.5,41,0.0658,50738,0.99,3.6,NorthAmerica,Packaging
SUP-00162,0.612,3.9,26,0.0695,4507604,1.14,0.7,NorthAmerica,Chemicals
SUP-00163,0.927,1.9,27,0.0316,3537295,0.99,3.6,AsiaPacific,Electronics
SUP-00164,0.822,2,36,0.0561,4225107,0.88,1.7,AsiaPacific,Packaging
SUP-00165,0.826,3.6,10,0.0256,2888058,1.18,1.9,NorthAmerica,Packaging
SUP-00166,0.688,9.6,4,0.065,2321793,0.93,3.1,LatinAmerica,Electronics
SUP-00167,0.772,3,23,0.0044,569077,1.12,3.3,NorthAmerica,Electronics
SUP-00168,0.861,6.2,44,0.0357,2819906,1.05,1,LatinAmerica,Packaging
SUP-00169,0.904,6.2,39,0.0144,3962515,0.92,4.3,Europe,Logistics
SUP-00170,0.873,1.6,34,0.0508,1191450,1.19,3.7,NorthAmerica,Packaging
SUP-00171,0.964,5.9,32,0.0661,1616888,1.14,4.8,NorthAmerica,Packaging
SUP-00172,0.889,5.8,20,0.0243,1939351,0.74,1.7,AsiaPacific,Chemicals
SUP-00173,0.853,3.7,27,0.0429,2249275,1.13,1.9,LatinAmerica,Chemicals
SUP-00174,0.921,6.1,11,0.0333,4666251,1.04,1,NorthAmerica,Chemicals
SUP-00175,0.894,5.3,29,0.0082,3430434,0.8,3,AsiaPacific,Chemicals
SUP-00176,0.901,4.4,41,0.0164,2518035,0.73,4.1,NorthAmerica,RawMaterials
SUP-00177,0.602,8.5,7,0.0632,2586128,0.75,1.2,NorthAmerica,Logistics
SUP-00178,0.892,3.8,36,0.0542,3341062,0.83,3.2,LatinAmerica,Electronics
SUP-00179,0.956,7.3,37,0.0687,4099828,1.18,1.7,NorthAmerica,Packaging
SUP-00180,0.876,5.5,23,0.0633,3996694,1.19,2.8,AsiaPacific,Logistics
SUP-00181,0.656,5.4,3,0.0109,660454,0.89,2.5,NorthAmerica,Electronics
SUP-00182,0.774,4.2,33,0.021,2414229,1.08,2.2,NorthAmerica,RawMaterials
SUP-00183,0.623,5.1,41,0.0704,3343973,0.77,3.1,Europe,Chemicals
SUP-00184,0.649,8.1,19,0.0344,1680228,0.81,2.8,NorthAmerica,Electronics
SUP-00185,0.815,1.6,30,0.0159,1229773,1.02,4.7,Europe,Logistics
SUP-00186,0.922,6.4,4,0.0784,3869088,1.15,2.5,NorthAmerica,Chemicals
SUP-00187,0.918,3.8,26,0.0165,2551651,0.79,1.2,NorthAmerica,RawMaterials
SUP-00188,0.827,2.5,26,0.0016,4118247,0.78,3.5,LatinAmerica,RawMaterials
SUP-00189,0.979,3.2,22,0.0406,4610346,1.06,4.9,LatinAmerica,RawMaterials
SUP-00190,0.962,5,33,0.0187,2943339,1.13,4.5,AsiaPacific,Packaging
SUP-00191,0.895,8.7,44,0.0357,3991492,0.97,4.5,AsiaPacific,RawMaterials
SUP-00192,0.656,1.8,8,0.07,3657105,0.88,1.2,Europe,Logistics
SUP-00193,0.603,9.4,6,0.0762,2222619,0.91,4.2,Europe,Packaging
SUP-00194,0.864,6.8,15,0.0309,4979769,0.84,3.1,NorthAmerica,Logistics
SUP-00195,0.912,2.9,13,0.0447,4376241,1.11,1.2,LatinAmerica,Logistics
SUP-00196,0.858,2.3,23,0.0678,3535666,0.89,3.9,AsiaPacific,Electronics
SUP-00197,0.757,6.3,6,0.0719,204722,0.73,4.4,LatinAmerica,RawMaterials
SUP-00198,0.984,6.5,8,0.0687,1102400,0.93,3.1,NorthAmerica,Logistics
SUP-00199,0.655,1.9,12,0.0654,4749055,0.93,3.6,Europe,Packaging
SUP-00200,0.847,3.4,18,0.0176,4336908,0.94,4.6,NorthAmerica,Logistics
SUP-00201,0.679,2.8,36,0.0385,3801155,0.74,0.8,AsiaPacific,Electronics
SUP-00202,0.989,8.2,9,0.0679,1029605,1.17,3.9,LatinAmerica,RawMaterials
SUP-00203,0.808,7.9,3,0.0376,1596736,1.09,1.3,LatinAmerica,Chemicals
SUP-00204,0.899,3.7,36,0.0468,711627,0.86,4,LatinAmerica,RawMaterials
SUP-00205,0.867,1.6,10,0.0658,4263980,1.08,1.6,Europe,Chemicals
SUP-00206,0.658,5.7,43,0.0365,2394642,1.1,3.8,NorthAmerica,Packaging
SUP-00207,0.658,8.3,44,0.0189,103029,0.84,3.4,NorthAmerica,RawMaterials
SUP-00208,0.939,10,16,0.0315,2155151,0.81,4.6,Europe,Electronics
SUP-00209,0.8,7.6,32,0.024,4194873,0.91,1.4,Europe,Chemicals
SUP-00210,0.758,8.6,20,0.0085,2818505,1.2,4.7,AsiaPacific,Electronics
SUP-00211,0.718,9.9,7,0.0576,3276034,0.97,3.3,LatinAmerica,Chemicals
SUP-00212,0.966,4.9,11,0.0178,4596649,0.76,1.4,LatinAmerica,Logistics
SUP-00213,0.643,4,20,0.0778,857543,0.84,2.2,AsiaPacific,Packaging
SUP-00214,0.818,4.3,32,0.0565,4779393,0.9,0.8,AsiaPacific,Chemicals
SUP-00215,0.64,8.7,10,0.0002,2664268,0.76,4.7,AsiaPacific,Chemicals
SUP-00216,0.773,7.9,31,0.0302,4333002,1.08,3.3,NorthAmerica,Packaging
SUP-00217,0.728,4.4,21,0.0499,1267972,0.76,3.6,AsiaPacific,RawMaterials
SUP-00218,0.609,8.9,41,0.0532,1147341,0.98,2.7,Europe,Electronics
SUP-00219,0.713,4,6,0.0793,916854,0.87,3.1,NorthAmerica,Electronics
SUP-00220,0.604,6.1,18,0.0408,1830668,0.86,4.8,Europe,RawMaterials
SUP-00221,0.786,2.3,36,0.028,2540221,0.85,3.7,Europe,Packaging
SUP-00222,0.748,5.2,37,0.0053,2599324,1.05,1.4,NorthAmerica,RawMaterials
SUP-00223,0.904,2.5,9,0.0287,3842641,0.79,3.7,AsiaPacific,Packaging
SUP-00224,0.797,8,6,0.0548,3222772,0.97,2.2,AsiaPacific,Chemicals
SUP-00225,0.691,9.3,16,0.0565,3185380,1.08,1.6,LatinAmerica,Packaging
SUP-00226,0.663,1.4,34,0.01,4267638,0.84,4.3,LatinAmerica,Electronics
SUP-00227,0.951,8.3,3,0.0472,180353,0.74,4.4,NorthAmerica,Chemicals
SUP-00228,0.809,4.2,5,0.0486,874952,1.16,3,NorthAmerica,Chemicals
SUP-00229,0.845,5.4,31,0.0395,1700993,1.07,0.9,AsiaPacific,RawMaterials
SUP-00230,0.957,6.7,9,0.0738,1517908,1.08,2.7,LatinAmerica,RawMaterials
SUP-00231,0.79,1.8,13,0.0572,129933,1.11,1,AsiaPacific,Logistics
SUP-00232,0.867,8,31,0.0166,2691172,1.01,2.9,Europe,Logistics
SUP-00233,0.884,4.6,21,0.0592,2039450,1.11,0.5,AsiaPacific,Packaging
SUP-00234,0.764,8.5,13,0.0386,4706257,1.12,3.1,NorthAmerica,Logistics
SUP-00235,0.639,2.2,44,0.0598,1450979,0.84,0.5,LatinAmerica,RawMaterials
SUP-00236,0.805,7.8,42,0.0708,2360254,0.72,0.7,NorthAmerica,Electronics
SUP-00237,0.845,8.2,17,0.0084,1212933,1.16,0.7,LatinAmerica,RawMaterials
SUP-00238,0.829,5.6,9,0.0676,2396790,0.92,0.6,Europe,Packaging
SUP-00239,0.89,2.1,9,0.0694,4093368,0.98,3.8,AsiaPacific,Packaging
SUP-00240,0.713,3.2,13,0.0669,4565855,0.88,1,LatinAmerica,Logistics
SUP-00241,0.892,2.6,34,0.035,2418946,0.9,3.7,LatinAmerica,Chemicals
SUP-00242,0.827,4.3,15,0.0722,3690359,0.99,4.8,LatinAmerica,Electronics
SUP-00243,0.92,3.6,38,0.0107,3404239,0.95,3.3,NorthAmerica,RawMaterials
SUP-00244,0.936,6.5,21,0.0753,2380935,0.9,2.3,Europe,RawMaterials
SUP-00245,0.88,1,29,0.0657,630328,1.15,2.2,AsiaPacific,Packaging
SUP-00246,0.957,3.8,43,0.0747,4632844,1.09,0.6,Europe,Packaging
SUP-00247,0.873,2.6,23,0.0437,2988602,1.16,0.8,LatinAmerica,Chemicals
SUP-00248,0.929,9,44,0.0598,980892,0.93,4.3,LatinAmerica,Packaging
SUP-00249,0.772,9.4,20,0.0219,2300275,1.18,4.2,LatinAmerica,Logistics
SUP-00250,0.737,3.2,10,0.0021,3364579,0.97,2.3,AsiaPacific,Electronics
SUP-00251,0.739,3.4,11,0.0227,3975216,0.87,4.6,AsiaPacific,RawMaterials
SUP-00252,0.69,5.6,17,0.0081,572349,0.71,3.6,NorthAmerica,RawMaterials
SUP-00253,0.756,7.2,8,0.0378,1710859,0.78,3.7,LatinAmerica,Packaging
SUP-00254,0.686,6.6,3,0.0383,4993412,1.04,2.1,LatinAmerica,Packaging
SUP-00255,0.776,1.2,13,0.0727,2847849,0.94,4,AsiaPacific,Logistics
SUP-00256,0.886,5.5,29,0.0779,4281611,0.98,3.4,LatinAmerica,Electronics
SUP-00257,0.644,4.4,5,0.0782,2524654,1.09,1.7,NorthAmerica,Electronics
SUP-00258,0.948,7.3,23,0.0299,3579291,0.7,5,AsiaPacific,Chemicals
SUP-00259,0.98,1.5,5,0.044,417958,1.05,1.6,NorthAmerica,Electronics
SUP-00260,0.964,7.9,10,0.0494,2164105,1.14,1.2,Europe,Electronics
SUP-00261,0.723,5.2,18,0.0704,2535053,1.01,0.9,AsiaPacific,RawMaterials
SUP-00262,0.78,3.6,13,0.0607,1238213,0.71,3.1,LatinAmerica,Packaging
SUP-00263,0.983,5,20,0.0609,664830,0.7,3.8,LatinAmerica,Electronics
SUP-00264,0.624,5.5,27,0.0472,1343163,1.11,2.1,LatinAmerica,Packaging
SUP-00265,0.796,8.5,20,0.0062,936189,1.06,1.3,LatinAmerica,Chemicals
SUP-00266,0.941,8.1,7,0.0276,2807942,1.13,1.4,Europe,RawMaterials
SUP-00267,0.8,9.5,24,0.0095,2188464,0.75,2.8,LatinAmerica,Packaging
SUP-00268,0.657,2.4,33,0.0044,4141843,0.76,1.2,Europe,RawMaterials
SUP-00269,0.873,9.4,18,0.0231,1340386,0.91,2.1,LatinAmerica,Packaging
SUP-00270,0.971,3.8,18,0.0502,2508893,0.94,1.2,NorthAmerica,Packaging
SUP-00271,0.702,6.7,27,0.0715,4351713,0.99,2.2,Europe,Logistics
SUP-00272,0.713,5.8,33,0.0396,2363788,1.05,3,LatinAmerica,Packaging
SUP-00273,0.764,7.8,26,0.0418,4598283,0.73,4,AsiaPacific,RawMaterials
SUP-00274,0.925,7.4,6,0.0477,3507644,0.87,1.3,Europe,Packaging
SUP-00275,0.69,7.9,20,0.0754,1918576,0.87,3.7,AsiaPacific,Packaging
SUP-00276,0.639,6.5,43,0.0427,2896582,1.12,4.1,NorthAmerica,Logistics
SUP-00277,0.736,3.7,18,0.0438,3430508,0.83,2.4,LatinAmerica,Packaging
SUP-00278,0.985,7,29,0.0758,4538576,1.13,0.8,Europe,Chemicals
SUP-00279,0.663,3.4,8,0.0597,4460118,1.08,1.2,NorthAmerica,RawMaterials
SUP-00280,0.726,2,4,0.0157,4927765,0.74,2.8,NorthAmerica,Chemicals
