RecordId,Timestamp,Region,DayOfWeek,IsHoliday,ClosePrice
TS-000048,2022-02-17,East,Thu,0,160
TS-000049,2022-02-18,Central,Fri,0,123
TS-000050,2022-02-19,Central,Sat,0,130
TS-000051,2022-02-20,Central,Sun,0,210
TS-000052,2022-02-21,Central,Mon,0,124
TS-000053,2022-02-22,Central,Tue,0,111
TS-000054,2022-02-23,Central,Wed,0,148
TS-000055,2022-02-24,East,Thu,0,144
TS-000056,2022-02-25,Central,Fri,0,131
TS-000057,2022-02-26,South,Sat,0,91
TS-000058,2022-02-27,West,Sun,1,88
TS-000059,2022-02-28,West,Mon,0,181
TS-000060,2022-03-01,Central,Tue,0,150
TS-000061,2022-03-02,West,Wed,0,110
TS-000062,2022-03-03,West,Thu,0,128
TS-000063,2022-03-04,North,Fri,0,186
TS-000064,2022-03-05,West,Sat,0,125
TS-000065,2022-03-06,South,Sun,0,138
TS-000066,2022-03-07,West,Mon,0,168
TS-000067,2022-03-08,East,Tue,0,143
TS-000068,2022-03-09,East,Wed,0,155
TS-000069,2022-03-10,South,Thu,0,158
TS-000070,2022-03-11,North,Fri,0,172
TS-000071,2022-03-12,West,Sat,0,167
TS-000072,2022-03-13,East,Sun,0,153
TS-000073,2022-03-14,East,Mon,0,219
TS-000074,2022-03-15,West,Tue,0,138
TS-000075,2022-03-16,Central,Wed,0,195
TS-000076,2022-03-17,North,Thu,0,183
TS-000077,2022-03-18,North,Fri,0,159
TS-000078,2022-03-19,West,Sat,0,187
TS-000079,2022-03-20,Central,Sun,0,169
TS-000080,2022-03-21,Central,Mon,0,172
TS-000081,2022-03-22,North,Tue,0,194
TS-000082,2022-03-23,West,Wed,0,160
TS-000083,2022-03-24,East,Thu,0,145
TS-000084,2022-03-25,North,Fri,0,183
TS-000085,2022-03-26,South,Sat,0,232
TS-000086,2022-03-27,West,Sun,0,153
TS-000087,2022-03-28,West,Mon,0,179
TS-000088,2022-03-29,Central,Tue,0,180
TS-000089,2022-03-30,North,Wed,0,120
TS-000090,2022-03-31,West,Thu,0,180
TS-000091,2022-04-01,North,Fri,0,205
TS-000092,2022-04-02,West,Sat,0,141
TS-000093,2022-04-03,East,Sun,0,160
TS-000094,2022-04-04,West,Mon,0,149
TS-000095,2022-04-05,North,Tue,0,120
TS-000096,2022-04-06,North,Wed,0,157
TS-000097,2022-04-07,Central,Thu,0,128
TS-000098,2022-04-08,West,Fri,0,167
TS-000099,2022-04-09,North,Sat,0,124
TS-000100,2022-04-10,West,Sun,1,117
TS-000101,2022-04-11,East,Mon,0,85
TS-000102,2022-04-12,East,Tue,0,152
TS-000103,2022-04-13,Central,Wed,0,157
TS-000104,2022-04-14,East,Thu,0,146
TS-000105,2022-04-15,Central,Fri,0,92
TS-000106,2022-04-16,East,Sat,0,128
TS-000107,2022-04-17,East,Sun,0,208
TS-000108,2022-04-18,Central,Mon,0,151
TS-000109,2022-04-19,South,Tue,0,129
TS-000110,2022-04-20,Central,Wed,0,146
TS-000111,2022-04-21,South,Thu,0,125
TS-000112,2022-04-22,North,Fri,0,105
TS-000113,2022-04-23,Central,Sat,0,128
TS-000114,2022-04-24,East,Sun,0,158
TS-000115,2022-04-25,Central,Mon,0,143
TS-000116,2022-04-26,West,Tue,0,179
TS-000117,2022-04-27,East,Wed,0,138
TS-000118,2022-04-28,West,Thu,0,87
TS-000119,2022-04-29,South,Fri,0,143
TS-000120,2022-04-30,North,Sat,0,119
TS-000121,2022-05-01,North,Sun,1,129
TS-000122,2022-05-02,West,Mon,0,144
TS-000123,2022-05-03,North,Tue,0,198
TS-000124,2022-05-04,West,Wed,0,172
TS-000125,2022-05-05,West,Thu,0,123
TS-000126,2022-05-06,South,Fri,0,109
TS-000127,2022-05-07,South,Sat,0,147
TS-000128,2022-05-08,South,Sun,0,176
TS-000129,2022-05-09,West,Mon,0,200
TS-000130,2022-05-10,East,Tue,0,179
TS-000131,2022-05-11,South,Wed,0,163
TS-000132,2022-05-12,North,Thu,0,167
TS-000133,2022-05-13,Central,Fri,0,222
TS-000134,2022-05-14,Central,Sat,0,213
TS-000135,2022-05-15,West,Sun,0,201
TS-000136,2022-05-16,North,Mon,0,163
TS-000137,2022-05-17,North,Tue,0,223
TS-000138,2022-05-18,South,Wed,0,177
TS-000139,2022-05-19,East,Thu,0,205
TS-000140,2022-05-20,Central,Fri,0,171
TS-000141,2022-05-21,Central,Sat,0,176
TS-000142,2022-05-22,East,Sun,0,156
TS-000143,2022-05-23,East,Mon,0,208
TS-000144,2022-05-24,West,Tue,0,179
TS-000145,2022-05-25,Central,Wed,0,136
TS-000146,2022-05-26,West,Thu,1,185
TS-000147,2022-05-27,West,Fri,0,178
TS-000148,2022-05-28,West,Sat,0,206
TS-000149,2022-05-29,Central,Sun,0,140
TS-000150,2022-05-30,West,Mon,0,111
TS-000151,2022-05-31,East,Tue,0,149
TS-000152,2022-06-01,South,Wed,0,186
TS-000153,2022-06-02,West,Thu,0,136
TS-000154,2022-06-03,Central,Fri,0,116
TS-000155,2022-06-04,West,Sat,0,141
TS-000156,2022-06-05,East,Sun,0,133
TS-000157,2022-06-06,Central,Mon,0,142
TS-000158,2022-06-07,East,Tue,0,168
TS-000159,2022-06-08,West,Wed,0,136
TS-000160,2022-06-09,Central,Thu,0,110
TS-000161,2022-06-10,East,Fri,0,147
TS-000162,2022-06-11,East,Sat,0,145
TS-000163,2022-06-12,East,Sun,0,155
TS-000164,2022-06-13,East,Mon,0,166
TS-000165,2022-06-14,Central,Tue,0,94
TS-000166,2022-06-15,South,Wed,0,200
TS-000167,2022-06-16,Central,Thu,0,121
TS-000168,2022-06-17,South,Fri,0,155
TS-000169,2022-06-18,Central,Sat,0,172
TS-000170,2022-06-19,West,Sun,0,101
TS-000171,2022-06-20,North,Mon,0,181
TS-000172,2022-06-21,North,Tue,0,145
TS-000173,2022-06-22,South,Wed,0,175
TS-000174,2022-06-23,Central,Thu,0,67
TS-000175,2022-06-24,East,Fri,0,157
TS-000176,2022-06-25,Central,Sat,0,136
TS-000177,2022-06-26,Central,Sun,0,121
TS-000178,2022-06-27,West,Mon,0,151
TS-000179,2022-06-28,East,Tue,0,198
TS-000180,2022-06-29,Central,Wed,0,194
TS-000181,2022-06-30,North,Thu,0,104
TS-000182,2022-07-01,South,Fri,0,141
TS-000183,2022-07-02,South,Sat,0,183
TS-000184,2022-07-03,Central,Sun,0,196
TS-000185,2022-07-04,Central,Mon,0,124
TS-000186,2022-07-05,West,Tue,0,161
TS-000187,2022-07-06,East,Wed,0,161
TS-000188,2022-07-07,East,Thu,0,148
TS-000189,2022-07-08,North,Fri,0,195
TS-000190,2022-07-09,West,Sat,0,143
TS-000191,2022-07-10,East,Sun,0,247
TS-000192,2022-07-11,West,Mon,0,208
TS-000193,2022-07-12,North,Tue,0,159
TS-000194,2022-07-13,West,Wed,0,162
TS-000195,2022-07-14,Central,Thu,0,193
TS-000196,2022-07-15,East,Fri,0,169
TS-000197,2022-07-16,North,Sat,0,190
TS-000198,2022-07-17,Central,Sun,0,176
TS-000199,2022-07-18,East,Mon,0,199
TS-000200,2022-07-19,Central,Tue,0,213
TS-000201,2022-07-20,West,Wed,0,157
TS-000202,2022-07-21,West,Thu,0,219
TS-000203,2022-07-22,North,Fri,0,180
TS-000204,2022-07-23,East,Sat,0,131
TS-000205,2022-07-24,East,Sun,0,196
TS-000206,2022-07-25,East,Mon,0,187
TS-000207,2022-07-26,North,Tue,0,199
TS-000208,2022-07-27,North,Wed,0,195
TS-000209,2022-07-28,East,Thu,0,187
TS-000210,2022-07-29,East,Fri,0,215
TS-000211,2022-07-30,West,Sat,0,143
TS-000212,2022-07-31,North,Sun,0,129
TS-000213,2022-08-01,South,Mon,0,142
TS-000214,2022-08-02,West,Tue,0,199
TS-000215,2022-08-03,Central,Wed,0,160
TS-000216,2022-08-04,West,Thu,0,142
TS-000217,2022-08-05,North,Fri,0,175
TS-000218,2022-08-06,North,Sat,0,159
TS-000219,2022-08-07,West,Sun,0,149
TS-000220,2022-08-08,West,Mon,0,140
TS-000221,2022-08-09,West,Tue,0,149
TS-000222,2022-08-10,East,Wed,0,125
TS-000223,2022-08-11,West,Thu,0,141
TS-000224,2022-08-12,West,Fri,1,98
TS-000225,2022-08-13,West,Sat,0,107
TS-000226,2022-08-14,Central,Sun,0,112
TS-000227,2022-08-15,South,Mon,0,130
TS-000228,2022-08-16,North,Tue,0,145
TS-000229,2022-08-17,West,Wed,0,141
TS-000230,2022-08-18,West,Thu,0,137
TS-000231,2022-08-19,Central,Fri,0,127
TS-000232,2022-08-20,North,Sat,0,106
TS-000233,2022-08-21,North,Sun,0,149
TS-000234,2022-08-22,West,Mon,0,162
TS-000235,2022-08-23,Central,Tue,0,179
TS-000236,2022-08-24,Central,Wed,0,140
TS-000237,2022-08-25,Central,Thu,0,174
TS-000238,2022-08-26,North,Fri,0,167
TS-000239,2022-08-27,West,Sat,0,136
TS-000240,2022-08-28,North,Sun,0,126
TS-000241,2022-08-29,West,Mon,0,142
TS-000242,2022-08-30,East,Tue,0,171
TS-000243,2022-08-31,Central,Wed,0,158
TS-000244,2022-09-01,Central,Thu,0,204
TS-000245,2022-09-02,Central,Fri,0,198
TS-000246,2022-09-03,South,Sat,0,172
TS-000247,2022-09-04,Central,Sun,0,176
TS-000248,2022-09-05,South,Mon,0,164
TS-000249,2022-09-06,East,Tue,0,138
TS-000250,2022-09-07,Central,Wed,0,196
TS-000251,2022-09-08,South,Thu,0,151
TS-000252,2022-09-09,North,Fri,0,155
TS-000253,2022-09-10,South,Sat,0,199
TS-000254,2022-09-11,West,Sun,1,211
TS-000255,2022-09-12,East,Mon,0,171
TS-000256,2022-09-13,East,Tue,0,140
TS-000257,2022-09-14,North,Wed,0,234
TS-000258,2022-09-15,West,Thu,0,188
TS-000259,2022-09-16,North,Fri,0,174
TS-000260,2022-09-17,West,Sat,0,200
TS-000261,2022-09-18,North,Sun,0,218
TS-000262,2022-09-19,North,Mon,0,201
TS-000263,2022-09-20,East,Tue,0,181
TS-000264,2022-09-21,East,Wed,0,188
TS-000265,2022-09-22,Central,Thu,0,196
TS-000266,2022-09-23,West,Fri,0,190
TS-000267,2022-09-24,West,Sat,0,216
TS-000268,2022-09-25,West,Sun,0,179
TS-000269,2022-09-26,West,Mon,0,223
TS-000270,2022-09-27,North,Tue,0,203
TS-000271,2022-09-28,South,Wed,0,133
TS-000272,2022-09-29,North,Thu,0,161
TS-000273,2022-09-30,East,Fri,0,176
TS-000274,2022-10-01,East,Sat,0,83
TS-000275,2022-10-02,South,Sun,0,152
TS-000276,2022-10-03,North,Mon,0,154
TS-000277,2022-10-04,North,Tue,0,171
TS-000278,2022-10-05,South,Wed,0,164
TS-000279,2022-10-06,East,Thu,0,142
TS-000280,2022-10-07,North,Fri,0,123
TS-000281,2022-10-08,East,Sat,0,152
TS-000282,2022-10-09,East,Sun,0,126
TS-000283,2022-10-10,East,Mon,0,122
TS-000284,2022-10-11,North,Tue,0,159
TS-000285,2022-10-12,Central,Wed,0,87
TS-000286,2022-10-13,West,Thu,0,149
TS-000287,2022-10-14,Central,Fri,0,87
TS-000288,2022-10-15,South,Sat,0,139
TS-000289,2022-10-16,East,Sun,0,115
TS-000290,2022-10-17,West,Mon,0,128
TS-000291,2022-10-18,North,Tue,0,164
TS-000292,2022-10-19,East,Wed,0,199
TS-000293,2022-10-20,South,Thu,0,147
TS-000294,2022-10-21,North,Fri,0,163
TS-000295,2022-10-22,North,Sat,0,142
TS-000296,2022-10-23,East,Sun,0,154
TS-000297,2022-10-24,South,Mon,0,191
TS-000298,2022-10-25,Central,Tue,0,134
TS-000299,2022-10-26,Central,Wed,0,173
TS-000300,2022-10-27,North,Thu,0,157
TS-000301,2022-10-28,West,Fri,0,168
TS-000302,2022-10-29,West,Sat,0,135
TS-000303,2022-10-30,West,Sun,0,108
TS-000304,2022-10-31,East,Mon,0,165
TS-000305,2022-11-01,East,Tue,0,154
TS-000306,2022-11-02,North,Wed,0,178
TS-000307,2022-11-03,West,Thu,0,215
TS-000308,2022-11-04,East,Fri,0,192
TS-000309,2022-11-05,Central,Sat,1,155
TS-000310,2022-11-06,East,Sun,0,143
TS-000311,2022-11-07,West,Mon,0,177
TS-000312,2022-11-08,North,Tue,0,166
TS-000313,2022-11-09,South,Wed,0,237
TS-000314,2022-11-10,West,Thu,0,139
TS-000315,2022-11-11,West,Fri,0,191
TS-000316,2022-11-12,West,Sat,0,161
TS-000317,2022-11-13,South,Sun,0,175
TS-000318,2022-11-14,Central,Mon,0,162
TS-000319,2022-11-15,Central,Tue,0,169
TS-000320,2022-11-16,South,Wed,0,145
TS-000321,2022-11-17,Central,Thu,0,264
TS-000322,2022-11-18,West,Fri,0,134
TS-000323,2022-11-19,North,Sat,1,186
TS-000324,2022-11-20,West,Sun,0,208
TS-000325,2022-11-21,Central,Mon,0,200
TS-000326,2022-11-22,North,Tue,0,176
TS-000327,2022-11-23,South,Wed,0,155
TS-000328,2022-11-24,South,Thu,0,178
TS-000329,2022-11-25,East,Fri,0,181
TS-000330,2022-11-26,East,Sat,0,229
TS-000331,2022-11-27,South,Sun,0,163
TS-000332,2022-11-28,South,Mon,0,140
TS-000333,2022-11-29,Central,Tue,0,164
TS-000334,2022-11-30,East,Wed,0,150
TS-000335,2022-12-01,South,Thu,0,172
TS-000336,2022-12-02,South,Fri,0,190
TS-000337,2022-12-03,North,Sat,0,167
TS-000338,2022-12-04,West,Sun,0,139
TS-000339,2022-12-05,Central,Mon,0,110
TS-000340,2022-12-06,East,Tue,0,151
TS-000341,2022-12-07,Central,Wed,0,129
TS-000342,2022-12-08,North,Thu,0,157
TS-000343,2022-12-09,West,Fri,1,100
TS-000344,2022-12-10,West,Sat,0,175
TS-000345,2022-12-11,East,Sun,0,142
TS-000346,2022-12-12,Central,Mon,0,129
TS-000347,2022-12-13,Central,Tue,0,152
TS-000348,2022-12-14,East,Wed,0,145
TS-000349,2022-12-15,Central,Thu,0,168
TS-000350,2022-12-16,West,Fri,0,197
TS-000351,2022-12-17,West,Sat,0,154
TS-000352,2022-12-18,Central,Sun,0,141
TS-000353,2022-12-19,Central,Mon,0,149
TS-000354,2022-12-20,North,Tue,0,171
TS-000355,2022-12-21,East,Wed,0,194
TS-000356,2022-12-22,East,Thu,0,176
TS-000357,2022-12-23,Central,Fri,0,216
TS-000358,2022-12-24,Central,Sat,0,142
TS-000359,2022-12-25,West,Sun,0,199
TS-000360,2022-12-26,North,Mon,0,190
TS-000361,2022-12-27,East,Tue,0,141
TS-000362,2022-12-28,North,Wed,0,176
TS-000363,2022-12-29,North,Thu,1,183
TS-000364,2022-12-30,South,Fri,0,188
TS-000365,2022-12-31,South,Sat,0,203
TS-000366,2023-01-01,East,Sun,0,212
TS-000367,2023-01-02,West,Mon,0,195
TS-000368,2023-01-03,North,Tue,0,192
TS-000369,2023-01-04,East,Wed,0,201
TS-000370,2023-01-05,Central,Thu,0,183
TS-000371,2023-01-06,North,Fri,0,223
TS-000372,2023-01-07,North,Sat,0,236
TS-000373,2023-01-08,North,Sun,0,184
TS-000374,2023-01-09,North,Mon,0,235
TS-000375,2023-01-10,Central,Tue,0,169
TS-000376,2023-01-11,West,Wed,0,201
TS-000377,2023-01-12,South,Thu,0,224
TS-000378,2023-01-13,South,Fri,0,165
TS-000379,2023-01-14,West,Sat,0,146
TS-000380,2023-01-15,East,Sun,0,244
TS-000381,2023-01-16,East,Mon,0,156
TS-000382,2023-01-17,South,Tue,0,226
TS-000383,2023-01-18,East,Wed,0,195
TS-000384,2023-01-19,West,Thu,0,193
TS-000385,2023-01-20,East,Fri,0,227
TS-000386,2023-01-21,West,Sat,0,187
TS-000387,2023-01-22,East,Sun,0,135
TS-000388,2023-01-23,Central,Mon,0,158
TS-000389,2023-01-24,Central,Tue,0,190
TS-000390,2023-01-25,Central,Wed,0,214
TS-000391,2023-01-26,South,Thu,0,133
TS-000392,2023-01-27,Central,Fri,0,204
TS-000393,2023-01-28,South,Sat,0,179
TS-000394,2023-01-29,Central,Sun,0,162
TS-000395,2023-01-30,South,Mon,0,175
TS-000396,2023-01-31,South,Tue,0,186
TS-000397,2023-02-01,North,Wed,0,126
TS-000398,2023-02-02,Central,Thu,1,156
TS-000399,2023-02-03,East,Fri,0,223
TS-000400,2023-02-04,South,Sat,0,162
TS-000401,2023-02-05,North,Sun,0,118
TS-000402,2023-02-06,East,Mon,0,114
TS-000403,2023-02-07,West,Tue,0,144
TS-000404,2023-02-08,South,Wed,0,161
TS-000405,2023-02-09,North,Thu,0,186
TS-000406,2023-02-10,North,Fri,0,132
TS-000407,2023-02-11,Central,Sat,0,137
TS-000408,2023-02-12,North,Sun,0,106
TS-000409,2023-02-13,Central,Mon,0,164
TS-000410,2023-02-14,North,Tue,0,144
TS-000411,2023-02-15,West,Wed,0,152
TS-000412,2023-02-16,North,Thu,0,180
TS-000413,2023-02-17,South,Fri,0,113
TS-000414,2023-02-18,East,Sat,0,167
TS-000415,2023-02-19,East,Sun,0,199
TS-000416,2023-02-20,East,Mon,0,175
TS-000417,2023-02-21,North,Tue,0,158
TS-000418,2023-02-22,Central,Wed,0,143
TS-000419,2023-02-23,East,Thu,0,104
TS-000420,2023-02-24,East,Fri,0,154
TS-000421,2023-02-25,South,Sat,0,177
TS-000422,2023-02-26,Central,Sun,0,158
TS-000423,2023-02-27,Central,Mon,0,162
TS-000424,2023-02-28,North,Tue,0,172
TS-000425,2023-03-01,Central,Wed,0,216
TS-000426,2023-03-02,East,Thu,0,137
TS-000427,2023-03-03,Central,Fri,0,182
TS-000428,2023-03-04,West,Sat,0,247
TS-000429,2023-03-05,North,Sun,0,209
TS-000430,2023-03-06,South,Mon,0,169
TS-000431,2023-03-07,West,Tue,0,195
TS-000432,2023-03-08,East,Wed,1,184
TS-000433,2023-03-09,South,Thu,0,187
TS-000434,2023-03-10,East,Fri,0,210
TS-000435,2023-03-11,North,Sat,1,217
TS-000436,2023-03-12,Central,Sun,0,147
TS-000437,2023-03-13,North,Mon,0,237
TS-000438,2023-03-14,Central,Tue,0,195
TS-000439,2023-03-15,North,Wed,0,159
TS-000440,2023-03-16,East,Thu,0,201
TS-000441,2023-03-17,East,Fri,0,193
TS-000442,2023-03-18,West,Sat,0,244
TS-000443,2023-03-19,East,Sun,0,176
TS-000444,2023-03-20,North,Mon,0,167
TS-000445,2023-03-21,West,Tue,0,186
TS-000446,2023-03-22,South,Wed,0,210
TS-000447,2023-03-23,North,Thu,0,193
TS-000448,2023-03-24,South,Fri,0,224
TS-000449,2023-03-25,Central,Sat,0,137
TS-000450,2023-03-26,North,Sun,0,196
TS-000451,2023-03-27,East,Mon,0,209
TS-000452,2023-03-28,East,Tue,0,188
TS-000453,2023-03-29,North,Wed,0,201
TS-000454,2023-03-30,West,Thu,0,162
TS-000455,2023-03-31,South,Fri,1,179
TS-000456,2023-04-01,South,Sat,0,182
TS-000457,2023-04-02,West,Sun,0,132
TS-000458,2023-04-03,Central,Mon,0,118
TS-000459,2023-04-04,South,Tue,0,144
TS-000460,2023-04-05,East,Wed,0,127
TS-000461,2023-04-06,West,Thu,0,133
TS-000462,2023-04-07,South,Fri,0,161
TS-000463,2023-04-08,South,Sat,0,185
TS-000464,2023-04-09,South,Sun,0,185
TS-000465,2023-04-10,North,Mon,0,157
TS-000466,2023-04-11,Central,Tue,0,173
TS-000467,2023-04-12,West,Wed,0,172
TS-000468,2023-04-13,Central,Thu,0,148
TS-000469,2023-04-14,Central,Fri,0,175
TS-000470,2023-04-15,East,Sat,0,114
TS-000471,2023-04-16,Central,Sun,0,169
TS-000472,2023-04-17,South,Mon,1,209
TS-000473,2023-04-18,South,Tue,0,227
TS-000474,2023-04-19,North,Wed,0,176
TS-000475,2023-04-20,West,Thu,0,171
TS-000476,2023-04-21,Central,Fri,0,184
TS-000477,2023-04-22,West,Sat,0,183
TS-000478,2023-04-23,North,Sun,0,152
TS-000479,2023-04-24,West,Mon,0,210
TS-000480,2023-04-25,East,Tue,0,146
