ClaimId,PolicyHolderAge,PolicyTenureYears,ClaimAmount,IncidentHour,IncidentType,VehicleAge,NumPreviousClaims,PoliceReportFiled,WitnessPresent,AgentId,ClaimDescription,SubmissionDelayDays,IsFraudulent
CLM-000066,69,2.4,75050,9,Collision,12,0,0,1,AGT-346,Single vehicle skid on wet road,33,0
CLM-000067,65,1.6,74312,6,Medical,11,2,1,0,AGT-861,Rear-end collision on highway,37,0
CLM-000068,68,14.8,18358,4,Medical,6,4,1,1,AGT-165,Vehicle stolen from parking lot,9,0
CLM-000069,26,19.3,15272,22,Medical,9,5,1,1,AGT-552,,11,0
CLM-000070,54,14.3,73521,21,Medical,9,1,0,0,AGT-439,Vehicle stolen from parking lot,4,0
CLM-000071,25,15.9,51863,19,Weather,13,2,0,0,AGT-550,Break-in damage to driver door,41,1
CLM-000072,29,13.9,19614,9,Medical,17,3,0,1,AGT-738,Single vehicle skid on wet road,22,0
CLM-000073,34,17.1,27874,12,Collision,17,2,1,0,AGT-896,,26,0
CLM-000074,58,8.6,72539,13,Theft,1,4,1,1,AGT-297,Single vehicle skid on wet road,35,1
CLM-000075,54,4.8,51263,22,Fire,3,3,1,1,AGT-474,Single vehicle skid on wet road,19,0
CLM-000076,59,16.4,28338,5,Collision,17,0,1,0,AGT-984,Vehicle stolen from parking lot,11,0
CLM-000077,61,11.1,33015,10,Fire,15,4,1,0,AGT-357,Break-in damage to driver door,15,0
CLM-000078,39,8.4,30395,20,Weather,15,4,0,1,AGT-552,,15,0
CLM-000079,77,13.7,78611,11,Medical,17,1,1,0,AGT-817,Hail damage to roof and hood,29,0
CLM-000080,63,9.3,40819,11,Weather,4,1,0,1,AGT-206,Vehicle stolen from parking lot,0,0
CLM-000081,76,9.1,8936,0,Weather,11,1,1,0,AGT-601,Vehicle stolen from parking lot,36,0
CLM-000082,46,13.5,35693,10,Collision,,4,1,1,AGT-844,,12,0
CLM-000083,53,6,75216,13,Medical,0,5,1,1,AGT-974,Break-in damage to driver door,33,1
CLM-000084,38,14,17573,20,Weather,,5,0,0,AGT-151,Rear-end collision on highway,41,1
CLM-000085,61,6.2,77034,5,Medical,13,5,0,1,AGT-508,Break-in damage to driver door,2,1
CLM-000086,63,5,5374,19,Theft,13,4,1,0,AGT-870,Hail damage to roof and hood,23,0
CLM-000087,53,14.5,30388,10,Medical,1,0,0,0,AGT-633,Single vehicle skid on wet road,37,0
CLM-000088,77,1,76331,12,Theft,2,5,0,1,AGT-273,Rear-end collision on highway,11,0
CLM-000089,72,11.7,45571,14,Collision,4,4,1,1,AGT-136,Single vehicle skid on wet road,21,1
CLM-000090,50,10.2,5747,14,Medical,13,3,1,0,AGT-929,Rear-end collision on highway,3,1
CLM-000091,70,11.9,74456,18,Fire,5,4,0,0,AGT-643,Break-in damage to driver door,43,1
CLM-000092,48,10.1,66855,0,Medical,,5,1,1,AGT-248,Break-in damage to driver door,8,0
CLM-000093,54,2.6,39178,9,Theft,8,0,1,1,AGT-207,Single vehicle skid on wet road,10,0
CLM-000094,31,5.1,43970,14,Collision,10,2,1,1,AGT-420,Hail damage to roof and hood,29,0
CLM-000095,78,15.5,52923,0,Fire,7,1,1,0,AGT-946,,45,0
CLM-000096,77,16.5,5207,17,Fire,8,2,1,1,AGT-271,Break-in damage to driver door,27,0
CLM-000097,22,19.4,48065,7,Collision,6,2,1,0,AGT-410,Single vehicle skid on wet road,31,1
CLM-000098,78,8.2,62279,11,Weather,1,3,0,1,AGT-742,Vehicle stolen from parking lot,7,1
CLM-000099,30,11.4,27073,1,Medical,18,3,0,0,AGT-941,Rear-end collision on highway,2,0
CLM-000100,25,13.6,14985,6,Theft,18,1,1,0,AGT-804,Single vehicle skid on wet road,44,0
CLM-000101,34,15,72345,17,Vandalism,15,4,0,0,AGT-157,Single vehicle skid on wet road,6,0
CLM-000102,37,3.2,77419,15,Collision,6,5,1,0,AGT-817,Vehicle stolen from parking lot,12,0
CLM-000103,48,1.8,15053,22,Theft,6,0,1,1,AGT-146,Hail damage to roof and hood,26,0
CLM-000104,44,13.1,54774,22,Vandalism,10,5,0,1,AGT-746,Vehicle stolen from parking lot,31,1
CLM-000105,54,1.8,33247,14,Theft,7,3,1,1,AGT-987,Hail damage to roof and hood,39,1
CLM-000106,64,9.7,78315,12,Weather,0,0,1,0,AGT-154,,20,0
CLM-000107,51,15.2,41619,13,Weather,3,3,1,1,AGT-279,Vehicle stolen from parking lot,9,1
CLM-000108,55,2,62447,23,Collision,9,4,1,0,AGT-164,Break-in damage to driver door,15,1
CLM-000109,78,19.8,39829,17,Collision,18,4,0,0,AGT-117,,40,1
CLM-000110,35,6.2,26738,5,Vandalism,3,4,1,1,AGT-458,Single vehicle skid on wet road,0,0
CLM-000111,53,12.6,81202,14,Collision,13,4,1,0,AGT-147,Rear-end collision on highway,43,1
CLM-000112,41,10.4,33219,2,Theft,5,3,1,0,AGT-490,Break-in damage to driver door,18,1
CLM-000113,72,16.7,70128,9,Weather,2,0,1,0,AGT-276,,33,1
CLM-000114,53,8.8,55211,14,Collision,17,2,1,1,AGT-772,Single vehicle skid on wet road,25,0
CLM-000115,72,18.1,54677,21,Theft,2,4,1,0,AGT-639,Break-in damage to driver door,13,1
CLM-000116,67,18.9,34296,16,Fire,15,3,0,1,AGT-874,,33,0
CLM-000117,59,7.3,18358,3,Medical,6,3,1,1,AGT-737,Rear-end collision on highway,31,0
CLM-000118,71,2.3,84852,18,Collision,4,2,1,1,AGT-710,Vehicle stolen from parking lot,27,0
CLM-000119,42,3.8,81496,20,Weather,12,0,0,0,AGT-697,,36,1
CLM-000120,48,5.8,41247,18,Weather,11,4,0,0,AGT-594,Break-in damage to driver door,40,1
CLM-000121,45,7.9,28551,17,Theft,8,4,0,0,AGT-937,,38,0
CLM-000122,72,11.5,67925,9,Fire,3,1,1,0,AGT-264,Break-in damage to driver door,14,1
CLM-000123,51,6,68027,6,Weather,5,5,0,1,AGT-229,,4,1
CLM-000124,78,19,38005,20,Vandalism,7,0,0,0,AGT-368,Break-in damage to driver door,29,0
CLM-000125,73,14.9,63068,3,Vandalism,13,1,0,1,AGT-910,Rear-end collision on highway,37,0
CLM-000126,73,8,19285,20,Fire,9,1,1,1,AGT-827,Rear-end collision on highway,39,1
CLM-000127,47,4.5,35641,11,Theft,10,4,1,1,AGT-263,Break-in damage to driver door,42,0
CLM-000128,25,4.2,64011,1,Weather,1,0,0,1,AGT-940,Single vehicle skid on wet road,20,1
CLM-000129,68,10.9,13957,12,Theft,2,3,1,0,AGT-278,Single vehicle skid on wet road,22,0
CLM-000130,37,13.6,81797,0,Medical,12,3,1,0,AGT-256,Break-in damage to driver door,34,0
CLM-000131,71,11.1,37755,2,Weather,8,3,1,0,AGT-671,Single vehicle skid on wet road,30,1
CLM-000132,76,7.8,44325,0,Fire,6,2,0,1,AGT-133,Vehicle stolen from parking lot,0,0
CLM-000133,24,2.7,51540,20,Theft,8,5,0,1,AGT-373,Single vehicle skid on wet road,15,1
CLM-000134,57,18.4,21231,10,Weather,10,2,0,1,AGT-232,Single vehicle skid on wet road,30,0
CLM-000135,77,19,79175,19,Weather,3,4,0,1,AGT-840,Break-in damage to driver door,41,1
CLM-000136,53,8,32391,12,Weather,,5,1,1,AGT-457,Single vehicle skid on wet road,18,1
CLM-000137,66,7.6,35405,6,Medical,7,0,1,0,AGT-682,Single vehicle skid on wet road,13,0
CLM-000138,72,18.8,5141,3,Medical,9,3,1,0,AGT-324,Rear-end collision on highway,41,1
CLM-000139,27,7.8,76218,9,Fire,17,1,0,1,AGT-588,Break-in damage to driver door,27,0
CLM-000140,47,9.9,10972,8,Collision,16,2,1,1,AGT-399,Rear-end collision on highway,14,0
CLM-000141,63,10.3,26787,10,Theft,,1,1,0,AGT-789,Break-in damage to driver door,33,0
CLM-000142,52,19.8,4517,7,Theft,10,5,1,1,AGT-855,Single vehicle skid on wet road,23,0
CLM-000143,62,12.9,78397,1,Collision,10,3,1,0,AGT-691,,23,0
CLM-000144,28,5.7,53393,19,Medical,8,1,0,0,AGT-389,Hail damage to roof and hood,9,0
CLM-000145,55,16.4,56795,2,Vandalism,5,2,1,0,AGT-214,Break-in damage to driver door,20,1
CLM-000146,45,8.9,48217,20,Vandalism,13,2,0,1,AGT-235,Rear-end collision on highway,21,0
CLM-000147,59,10.3,58354,13,Theft,15,0,1,1,AGT-781,Vehicle stolen from parking lot,42,1
CLM-000148,45,14.2,7634,22,Theft,5,2,0,1,AGT-840,Vehicle stolen from parking lot,8,0
CLM-000149,41,11.6,33245,10,Collision,15,5,0,1,AGT-525,Break-in damage to driver door,31,1
CLM-000150,32,19.8,22217,15,Collision,2,4,1,1,AGT-520,Rear-end collision on highway,14,0
CLM-000151,26,2.3,68381,5,Theft,13,4,1,0,AGT-276,Vehicle stolen from parking lot,41,1
CLM-000152,54,5.7,26606,11,Weather,3,3,1,1,AGT-754,Single vehicle skid on wet road,9,0
CLM-000153,74,10.4,28338,14,Medical,6,3,1,1,AGT-441,Rear-end collision on highway,4,0
CLM-000154,44,11.4,62559,14,Collision,11,2,1,0,AGT-429,Hail damage to roof and hood,19,1
CLM-000155,75,7.3,78178,14,Weather,15,2,1,1,AGT-604,Break-in damage to driver door,19,1
CLM-000156,25,19.3,23705,1,Fire,5,0,0,0,AGT-551,Rear-end collision on highway,42,1
CLM-000157,64,14,13375,16,Medical,4,2,0,0,AGT-636,Single vehicle skid on wet road,1,0
CLM-000158,66,18.6,50439,5,Weather,2,5,0,1,AGT-198,,38,0
CLM-000159,46,12.2,19861,20,Medical,10,5,0,1,AGT-922,Break-in damage to driver door,35,1
CLM-000160,72,19.5,7744,5,Vandalism,6,0,0,1,AGT-718,,31,0
CLM-000161,32,1.5,78981,9,Vandalism,18,2,1,1,AGT-735,Break-in damage to driver door,10,0
CLM-000162,45,0.5,65997,13,Vandalism,8,4,0,0,AGT-140,,43,0
CLM-000163,32,18.6,15599,23,Vandalism,5,2,0,0,AGT-358,Single vehicle skid on wet road,37,0
CLM-000164,49,2.1,14197,13,Weather,8,1,0,1,AGT-745,Hail damage to roof and hood,41,1
CLM-000165,66,5.3,32648,21,Medical,10,4,1,0,AGT-159,Single vehicle skid on wet road,19,0
CLM-000166,41,5.6,18736,20,Fire,15,3,0,0,AGT-470,Break-in damage to driver door,30,1
CLM-000167,30,5.9,36053,23,Theft,12,4,1,1,AGT-278,Hail damage to roof and hood,0,1
CLM-000168,35,16.9,76556,5,Vandalism,12,1,1,0,AGT-610,Hail damage to roof and hood,14,1
CLM-000169,52,16.9,74162,1,Fire,16,0,1,1,AGT-731,Rear-end collision on highway,11,0
CLM-000170,59,16.3,62623,19,Weather,2,5,0,0,AGT-259,Break-in damage to driver door,34,1
CLM-000171,22,5.7,50832,18,Medical,2,4,1,1,AGT-551,Break-in damage to driver door,45,1
CLM-000172,45,13.7,46195,9,Theft,3,5,1,0,AGT-638,Rear-end collision on highway,27,1
CLM-000173,38,1.2,78858,14,Theft,8,2,0,1,AGT-391,Vehicle stolen from parking lot,31,1
CLM-000174,50,3.9,48062,20,Weather,3,5,1,0,AGT-470,Rear-end collision on highway,34,0
CLM-000175,78,11.5,12347,13,Theft,16,5,1,0,AGT-700,Rear-end collision on highway,39,1
CLM-000176,27,10.1,33449,1,Vandalism,3,3,1,0,AGT-124,Rear-end collision on highway,21,1
CLM-000177,67,12.9,38659,5,Vandalism,8,0,0,1,AGT-815,Vehicle stolen from parking lot,15,0
CLM-000178,44,0.7,80106,11,Fire,2,2,0,0,AGT-292,Single vehicle skid on wet road,30,0
CLM-000179,33,2.5,40750,19,Fire,10,3,1,1,AGT-884,Hail damage to roof and hood,10,1
CLM-000180,72,2.2,27697,13,Weather,1,4,0,1,AGT-117,Vehicle stolen from parking lot,15,1
CLM-000181,60,5,1335,22,Theft,16,4,1,0,AGT-210,Rear-end collision on highway,7,1
CLM-000182,30,14.5,49260,23,Fire,4,0,1,1,AGT-949,Hail damage to roof and hood,6,0
CLM-000183,50,12.4,71787,21,Weather,12,4,0,1,AGT-963,,17,1
CLM-000184,42,8.3,42413,11,Fire,13,0,0,0,AGT-997,Single vehicle skid on wet road,6,0
CLM-000185,66,15.5,11706,14,Weather,9,5,0,1,AGT-404,Single vehicle skid on wet road,21,0
CLM-000186,69,11.8,38470,17,Collision,13,4,1,0,AGT-489,Rear-end collision on highway,34,0
CLM-000187,48,2.1,43538,2,Medical,9,1,1,1,AGT-864,Rear-end collision on highway,21,1
CLM-000188,38,11.8,19963,9,Theft,15,5,1,1,AGT-651,Vehicle stolen from parking lot,45,0
CLM-000189,34,18.1,60666,1,Fire,14,3,0,0,AGT-635,Vehicle stolen from parking lot,31,0
CLM-000190,64,3.5,19691,6,Fire,18,2,0,0,AGT-698,Break-in damage to driver door,38,0
CLM-000191,70,16,71077,22,Weather,14,0,1,0,AGT-291,Hail damage to roof and hood,43,1
CLM-000192,33,15.3,36561,23,Vandalism,5,5,0,1,AGT-813,Hail damage to roof and hood,24,0
CLM-000193,60,16.1,786,17,Theft,9,4,0,0,AGT-205,Break-in damage to driver door,3,0
CLM-000194,68,1.1,43441,10,Collision,8,2,0,1,AGT-256,Single vehicle skid on wet road,32,0
CLM-000195,43,12.3,45926,11,Weather,6,2,0,1,AGT-386,Break-in damage to driver door,32,1
CLM-000196,44,8.5,10277,21,Vandalism,13,3,1,0,AGT-284,Vehicle stolen from parking lot,41,0
CLM-000197,39,14.7,72797,14,Weather,17,1,1,1,AGT-333,Rear-end collision on highway,35,1
CLM-000198,71,2.9,3132,2,Medical,10,3,0,0,AGT-752,Break-in damage to driver door,4,0
CLM-000199,49,13.3,2283,17,Weather,0,1,0,1,AGT-902,Rear-end collision on highway,2,1
CLM-000200,39,12.5,17564,7,Theft,,1,1,0,AGT-835,Break-in damage to driver door,34,0
CLM-000201,58,9.3,57373,11,Theft,14,3,0,1,AGT-756,Vehicle stolen from parking lot,44,1
CLM-000202,60,11.1,58543,0,Theft,5,2,1,1,AGT-967,Break-in damage to driver door,1,0
CLM-000203,39,7.4,54993,16,Medical,6,0,1,1,AGT-302,Break-in damage to driver door,3,0
CLM-000204,28,6.2,11755,3,Vandalism,1,1,1,1,AGT-620,Break-in damage to driver door,18,0
CLM-000205,55,0.7,48286,15,Medical,1,5,1,1,AGT-882,,43,0
CLM-000206,50,1.5,38622,19,Vandalism,15,5,1,1,AGT-807,,44,1
CLM-000207,65,11.3,38037,17,Vandalism,11,2,1,1,AGT-222,,34,0
CLM-000208,57,14.7,6110,18,Collision,10,3,0,1,AGT-316,,1,0
CLM-000209,67,12.4,18185,1,Theft,18,2,1,1,AGT-936,,31,1
CLM-000210,30,12.8,11690,10,Fire,14,1,1,1,AGT-506,Single vehicle skid on wet road,44,1
CLM-000211,72,12.5,30566,6,Medical,18,3,0,1,AGT-388,Vehicle stolen from parking lot,7,0
CLM-000212,29,1.1,39880,15,Theft,6,4,0,0,AGT-141,Rear-end collision on highway,23,0
CLM-000213,63,15.1,68290,6,Fire,,0,0,1,AGT-927,Single vehicle skid on wet road,16,1
CLM-000214,35,3.4,14063,20,Fire,,3,1,1,AGT-921,Hail damage to roof and hood,5,0
CLM-000215,72,2.2,36089,3,Fire,10,4,0,1,AGT-941,Break-in damage to driver door,6,0
CLM-000216,51,18.5,81963,2,Theft,9,5,1,1,AGT-752,Break-in damage to driver door,32,0
CLM-000217,76,9,64880,18,Weather,8,3,0,0,AGT-720,Single vehicle skid on wet road,43,1
CLM-000218,35,18.8,3477,4,Fire,4,5,1,1,AGT-360,Break-in damage to driver door,44,0
CLM-000219,69,11.6,41768,8,Fire,9,3,1,0,AGT-690,,7,0
CLM-000220,37,12.6,2681,1,Weather,7,0,0,1,AGT-216,Rear-end collision on highway,27,0
CLM-000221,30,19.2,35796,1,Fire,18,5,0,0,AGT-569,Break-in damage to driver door,25,0
CLM-000222,51,4.5,71417,6,Collision,18,3,1,0,AGT-588,Single vehicle skid on wet road,9,0
CLM-000223,37,16.2,83750,20,Collision,11,3,0,1,AGT-889,Vehicle stolen from parking lot,16,0
CLM-000224,70,13.9,84478,2,Collision,3,4,0,0,AGT-455,Vehicle stolen from parking lot,18,0
CLM-000225,56,19.5,25824,14,Medical,2,0,1,0,AGT-864,,37,0
CLM-000226,66,1.4,67288,22,Medical,0,2,0,1,AGT-644,Single vehicle skid on wet road,23,1
CLM-000227,25,11.8,70315,14,Collision,0,2,1,1,AGT-304,Break-in damage to driver door,41,1
CLM-000228,44,4.2,27076,13,Collision,13,3,0,0,AGT-180,Single vehicle skid on wet road,22,1
CLM-000229,76,10.8,77920,2,Theft,15,4,1,0,AGT-166,Hail damage to roof and hood,20,0
CLM-000230,59,17,61658,21,Collision,8,3,1,0,AGT-335,Break-in damage to driver door,22,0
CLM-000231,71,3.2,75929,12,Vandalism,13,2,0,1,AGT-329,,33,1
CLM-000232,49,9.6,28542,19,Fire,7,5,0,0,AGT-414,Hail damage to roof and hood,32,1
CLM-000233,37,2.2,33939,14,Vandalism,6,1,1,1,AGT-793,Vehicle stolen from parking lot,10,0
CLM-000234,77,15.3,68500,4,Theft,15,3,1,0,AGT-452,,27,1
CLM-000235,43,11.6,5632,19,Medical,0,3,1,0,AGT-366,Rear-end collision on highway,39,0
CLM-000236,48,10.2,41110,21,Weather,10,3,1,0,AGT-181,Rear-end collision on highway,43,0
CLM-000237,37,13.3,3809,10,Fire,8,4,1,1,AGT-578,Break-in damage to driver door,14,0
CLM-000238,43,19.5,74655,13,Fire,0,3,1,1,AGT-156,Hail damage to roof and hood,33,1
CLM-000239,41,0.6,84836,9,Collision,11,4,1,1,AGT-847,Rear-end collision on highway,25,1
CLM-000240,40,9.7,15259,16,Fire,11,4,1,1,AGT-727,Break-in damage to driver door,36,0
CLM-000241,45,17.8,78255,16,Theft,2,4,0,0,AGT-682,Hail damage to roof and hood,22,1
CLM-000242,35,16.3,60169,3,Vandalism,1,5,1,1,AGT-622,Single vehicle skid on wet road,45,1
CLM-000243,42,17.7,47162,23,Theft,16,4,1,1,AGT-432,Break-in damage to driver door,39,1
CLM-000244,58,9.5,71312,0,Theft,7,0,1,0,AGT-874,Rear-end collision on highway,6,0
CLM-000245,42,4.3,77770,16,Weather,4,2,1,0,AGT-168,Rear-end collision on highway,1,0
CLM-000246,54,11.6,45238,17,Medical,17,3,1,1,AGT-661,Single vehicle skid on wet road,12,0
CLM-000247,43,1,18208,14,Collision,2,4,1,0,AGT-514,Vehicle stolen from parking lot,22,0
CLM-000248,54,4.7,78349,1,Weather,13,4,0,0,AGT-894,,16,0
CLM-000249,22,3.6,2033,3,Fire,4,2,0,0,AGT-495,Vehicle stolen from parking lot,1,1
CLM-000250,56,14,24364,7,Vandalism,0,4,0,1,AGT-811,Rear-end collision on highway,33,0
CLM-000251,66,11.4,78678,12,Theft,14,4,1,0,AGT-509,Vehicle stolen from parking lot,8,1
CLM-000252,50,9.9,30483,10,Vandalism,17,2,0,0,AGT-877,Rear-end collision on highway,38,1
CLM-000253,46,18.1,48373,10,Fire,2,2,1,0,AGT-904,Hail damage to roof and hood,0,1
CLM-000254,37,18.3,40265,12,Theft,18,1,0,1,AGT-458,,6,0
CLM-000255,37,6,67634,11,Collision,17,3,1,1,AGT-635,Break-in damage to driver door,43,1
CLM-000256,24,12.5,31967,19,Weather,2,0,1,1,AGT-165,Break-in damage to driver door,36,0
CLM-000257,55,14.3,28605,7,Collision,7,2,1,0,AGT-201,,33,0
CLM-000258,25,4.7,65901,14,Medical,14,0,1,1,AGT-794,Single vehicle skid on wet road,34,0
CLM-000259,39,14.4,35699,20,Medical,16,0,1,1,AGT-622,,37,1
CLM-000260,65,19.8,76944,20,Vandalism,5,2,1,1,AGT-732,Rear-end collision on highway,3,0
CLM-000261,51,17.7,51003,21,Medical,11,0,1,1,AGT-895,Rear-end collision on highway,16,1
CLM-000262,62,6.9,81235,18,Collision,5,1,1,1,AGT-805,,35,0
CLM-000263,61,5.5,65207,11,Collision,6,2,1,0,AGT-666,Single vehicle skid on wet road,13,0
CLM-000264,60,13.8,32063,23,Medical,8,1,1,0,AGT-318,Hail damage to roof and hood,29,0
CLM-000265,63,3.2,12727,10,Weather,4,2,1,1,AGT-862,Break-in damage to driver door,5,1
CLM-000266,76,19.3,38620,11,Medical,0,2,0,1,AGT-389,Rear-end collision on highway,8,0
CLM-000267,68,13.4,8951,2,Fire,,3,0,0,AGT-596,Single vehicle skid on wet road,20,0
CLM-000268,60,2,82787,18,Vandalism,16,1,1,1,AGT-113,Hail damage to roof and hood,11,1
CLM-000269,37,14.5,76880,8,Weather,13,3,0,1,AGT-567,Vehicle stolen from parking lot,7,1
CLM-000270,74,19.5,25063,19,Weather,4,1,1,0,AGT-715,,34,0
CLM-000271,53,2.5,62421,4,Weather,0,5,1,0,AGT-608,Rear-end collision on highway,7,0
CLM-000272,23,17.8,5621,4,Collision,16,3,0,1,AGT-995,Single vehicle skid on wet road,39,0
