CustomerId,TenureMonths,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingTV,SeniorCitizen,Partner,Dependents,NumSupportTickets,LastContactDate,IsChurned
CUST-00031,60,67.89,3557.27,Two year,Electronic check,None,Yes,No internet service,No,0,0,0,6,2024-11-05,1
CUST-00032,6,47.3,306.5,Month-to-month,Bank transfer,None,Yes,No internet service,No,0,1,1,2,2024-09-09,0
CUST-00033,62,38.58,2638.11,One year,Bank transfer,DSL,No internet service,No internet service,Yes,1,1,0,9,2023-06-21,0
CUST-00034,46,33.37,1536.63,Month-to-month,Electronic check,None,Yes,No,Yes,0,0,0,9,2024-05-03,1
CUST-00035,7,115.25,777.51,Month-to-month,Credit card,Fiber optic,No internet service,Yes,Yes,0,0,1,3,2025-05-01,1
CUST-00036,69,112.6,8195.58,One year,Electronic check,DSL,Yes,No,No,1,0,0,7,2023-12-31,1
CUST-00037,47,91.2,3778.29,One year,Bank transfer,None,No,No,No,0,1,0,10,2025-05-20,0
CUST-00038,67,89.06,5301.44,Two year,Credit card,None,No,Yes,Yes,1,0,0,9,2023-07-11,0
CUST-00039,21,59.64,1219.38,Two year,Electronic check,Fiber optic,Yes,No internet service,Yes,0,0,0,1,2023-10-11,0
CUST-00040,14,29.44,377.48,One year,Mailed check,None,No internet service,Yes,No,0,1,0,2,2025-05-02,0
CUST-00041,17,43.39,782.8,One year,Credit card,DSL,No internet service,No internet service,Yes,0,1,0,8,2025-08-15,1
CUST-00042,60,113.54,6714.6,Two year,Bank transfer,None,No,No internet service,No,0,1,1,2,2023-03-24,0
CUST-00043,43,68.93,2806.32,Two year,Bank transfer,Fiber optic,No,No internet service,Yes,0,1,0,12,2025-07-26,1
CUST-00044,32,49.03,1752.75,Two year,Credit card,Fiber optic,No internet service,No internet service,No,0,1,1,7,2025-10-16,0
CUST-00045,26,30.84,888.76,Month-to-month,Electronic check,DSL,No,Yes,No,0,0,1,10,2024-12-28,0
CUST-00046,26,36.83,1096.62,Two year,Electronic check,DSL,Yes,No internet service,Yes,0,1,0,11,2024-06-10,1
CUST-00047,50,97.26,4873.11,Two year,Mailed check,Fiber optic,No,No internet service,Yes,0,0,1,4,2024-11-27,0
CUST-00048,2,114.86,240.59,Two year,Electronic check,None,No internet service,Yes,No,0,0,0,12,2024-10-16,1
CUST-00049,30,71.27,2423.19,Two year,Electronic check,Fiber optic,Yes,No,No,0,0,0,0,2024-02-24,1
CUST-00050,29,67.28,1733.7,One year,Credit card,Fiber optic,No,No internet service,No,0,1,0,6,2023-04-20,0
CUST-00051,38,30.43,1224.79,One year,Credit card,Fiber optic,No internet service,No internet service,No,0,0,0,1,2024-11-04,0
CUST-00052,48,65.21,,Month-to-month,Credit card,Fiber optic,No internet service,Yes,Yes,0,0,0,2,2023-02-03,0
CUST-00053,44,118.21,4455.31,One year,Credit card,None,No,No,Yes,0,1,0,7,2024-09-27,1
CUST-00054,66,69.66,4104.86,Month-to-month,Electronic check,DSL,Yes,No,Yes,0,0,0,10,2024-01-05,1
CUST-00055,22,87.29,2203.26,Month-to-month,Bank transfer,None,Yes,No internet service,No,0,1,0,6,2024-11-02,1
CUST-00056,56,118.36,6275.42,Month-to-month,Electronic check,DSL,No,Yes,Yes,1,1,1,9,2025-05-27,1
CUST-00057,24,77.59,2134,One year,Mailed check,None,No internet service,Yes,No,0,0,0,12,2023-01-03,1
CUST-00058,52,93.53,4725.36,Two year,Bank transfer,DSL,No,No internet service,Yes,0,0,1,0,2023-07-11,0
CUST-00059,59,58.72,3023.86,Two year,Credit card,Fiber optic,Yes,No,No,1,1,0,8,2025-05-10,0
CUST-00060,47,90.21,4477.46,Month-to-month,Electronic check,None,No internet service,No,No,0,0,0,7,2025-06-05,1
CUST-00061,33,30.4,1053.36,Month-to-month,Mailed check,DSL,No internet service,Yes,Yes,0,0,1,8,2023-04-09,0
CUST-00062,60,68.72,4652.32,One year,Bank transfer,Fiber optic,No internet service,No internet service,No,1,1,1,8,2023-05-09,0
CUST-00063,6,50.41,317.77,Month-to-month,Credit card,None,Yes,No internet service,No,0,1,1,4,2023-04-08,1
CUST-00064,9,96.43,740.65,Two year,Credit card,DSL,No,No internet service,Yes,0,1,0,3,2025-11-21,1
CUST-00065,55,70.31,3842,Month-to-month,Electronic check,None,No,Yes,Yes,0,0,0,2,2025-06-07,0
CUST-00066,41,57.04,1988.39,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes,Yes,0,1,0,3,2024-02-05,1
CUST-00067,50,29.2,1450.5,Two year,Electronic check,Fiber optic,Yes,No internet service,No,0,0,0,3,2023-04-22,0
CUST-00068,19,116.73,1970.29,One year,Bank transfer,Fiber optic,No internet service,No internet service,Yes,0,1,1,5,2023-02-28,1
CUST-00069,15,58.73,892.39,Two year,Electronic check,None,Yes,No internet service,No,0,0,1,11,2025-12-23,0
CUST-00070,45,77.12,3160.4,Two year,Electronic check,None,No,No internet service,No,0,0,0,11,2023-07-30,0
CUST-00071,47,49.06,2492.27,One year,Electronic check,Fiber optic,Yes,No internet service,Yes,0,1,0,7,2023-06-12,0
CUST-00072,49,71.36,3774.68,One year,Electronic check,Fiber optic,No,Yes,No,0,0,0,5,2024-01-11,1
CUST-00073,30,47.6,1408.68,Two year,Electronic check,DSL,Yes,No internet service,Yes,0,0,0,6,2025-10-02,0
CUST-00074,19,53.39,1103.04,Month-to-month,Mailed check,Fiber optic,No internet service,No internet service,Yes,0,0,0,11,2024-05-09,1
CUST-00075,14,111.56,1610.45,One year,Electronic check,DSL,No internet service,No internet service,No,0,1,1,10,2025-08-12,0
CUST-00076,63,39.69,2631.06,One year,Bank transfer,Fiber optic,No internet service,No internet service,Yes,0,0,0,11,2025-03-08,0
CUST-00077,63,98.2,6658.8,Two year,Bank transfer,None,No internet service,No internet service,Yes,1,0,0,12,2025-10-14,0
CUST-00078,9,60.67,603.62,Two year,Electronic check,None,No,Yes,Yes,0,1,0,0,2024-06-17,0
CUST-00079,25,62.85,1640.7,Two year,Bank transfer,DSL,Yes,No internet service,Yes,0,1,0,4,2023-10-14,0
CUST-00080,42,85.06,3619.83,Month-to-month,Bank transfer,None,No internet service,No internet service,No,0,0,0,6,2023-08-04,0
CUST-00081,14,71.01,970.77,One year,Bank transfer,Fiber optic,No,No,Yes,0,0,1,0,2024-03-10,0
CUST-00082,15,118.92,1517.02,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,0,1,1,10,2025-07-12,1
CUST-00083,2,53.14,118.66,Two year,Mailed check,DSL,Yes,No internet service,Yes,0,1,0,10,2023-08-14,0
CUST-00084,43,84.96,4088.12,One year,Mailed check,Fiber optic,Yes,No internet service,Yes,0,0,1,9,2024-07-12,1
CUST-00085,71,119.74,9762.94,One year,Bank transfer,DSL,No internet service,Yes,No,0,1,0,4,2025-08-26,0
CUST-00086,9,30.89,296.05,One year,Electronic check,Fiber optic,Yes,No,Yes,1,1,0,6,2024-10-30,0
CUST-00087,66,45.74,2770.16,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,0,0,1,11,2025-04-25,1
CUST-00088,61,100.81,6353.19,Month-to-month,Bank transfer,None,No internet service,No,No,0,0,1,3,2025-02-09,0
CUST-00089,26,92.83,2204.69,Two year,Bank transfer,DSL,No internet service,No,Yes,0,1,1,6,2024-11-07,0
CUST-00090,21,50.41,1140.31,One year,Mailed check,None,Yes,No,Yes,0,0,0,2,2025-12-20,0
CUST-00091,40,78.69,3183.22,Month-to-month,Mailed check,DSL,Yes,No,Yes,0,0,0,4,2023-02-04,0
CUST-00092,40,67,2595.14,Month-to-month,Electronic check,None,Yes,Yes,No,0,0,1,12,2023-11-16,1
CUST-00093,58,62.08,3230.67,One year,Credit card,None,No,No,Yes,0,0,1,7,2024-08-30,0
CUST-00094,31,95.42,3252.09,Two year,Credit card,DSL,No internet service,No internet service,Yes,0,1,1,10,2024-11-08,0
CUST-00095,71,98.74,,One year,Credit card,Fiber optic,Yes,No internet service,Yes,0,1,0,3,2023-03-07,0
CUST-00096,55,102.52,5834.67,Two year,Bank transfer,DSL,No,No,No,0,0,0,12,2025-09-26,0
CUST-00097,33,37.24,1058.76,Month-to-month,Bank transfer,None,Yes,No internet service,No,0,0,0,2,2023-12-07,0
CUST-00098,16,81.56,1375.77,One year,Mailed check,DSL,No,No,Yes,0,1,0,1,2025-04-07,0
CUST-00099,55,57.89,3037.26,Two year,Mailed check,Fiber optic,No internet service,No internet service,No,0,0,1,10,2023-09-21,0
CUST-00100,39,25.55,948.13,One year,Mailed check,DSL,Yes,No internet service,Yes,0,0,0,11,2024-02-21,0
CUST-00101,71,56.36,3783.75,One year,Electronic check,None,No,No,Yes,0,0,0,2,2025-05-21,0
CUST-00102,64,57.23,3492.01,One year,Mailed check,DSL,No,No,Yes,0,0,1,11,2023-04-04,0
CUST-00103,54,93.51,5094.77,Two year,Mailed check,Fiber optic,No internet service,No internet service,Yes,1,0,0,3,2024-06-14,0
CUST-00104,9,57.86,586.15,One year,Mailed check,Fiber optic,Yes,No internet service,No,0,1,0,8,2024-05-13,0
CUST-00105,6,85.18,446.24,One year,Bank transfer,None,Yes,No,No,1,0,0,6,2025-07-22,1
CUST-00106,16,29.13,422.31,Two year,Credit card,DSL,Yes,Yes,No,0,1,0,9,2024-07-14,0
CUST-00107,18,30.43,531.98,One year,Credit card,None,No,No internet service,Yes,0,0,1,4,2025-04-26,0
CUST-00108,43,57.98,2238.89,Two year,Credit card,Fiber optic,Yes,Yes,No,0,0,0,6,2023-06-03,1
CUST-00109,29,101.13,2705.28,Two year,Mailed check,DSL,Yes,Yes,Yes,0,0,0,0,2024-12-10,0
CUST-00110,64,115.22,7068.66,Two year,Credit card,Fiber optic,No,Yes,No,0,0,1,3,2023-09-13,0
CUST-00111,71,77.65,5532.29,Two year,Mailed check,None,No internet service,No,Yes,0,0,1,1,2024-12-18,0
CUST-00112,56,50.14,3059.81,Two year,Bank transfer,Fiber optic,No,No internet service,No,1,1,1,9,2023-07-05,0
CUST-00113,71,102.46,6712.07,One year,Mailed check,None,No internet service,Yes,Yes,0,0,0,4,2025-05-15,1
CUST-00114,26,51.95,1346.83,Month-to-month,Bank transfer,None,No internet service,Yes,Yes,0,0,0,0,2023-12-08,1
CUST-00115,62,67.04,4707.76,Two year,Mailed check,DSL,No internet service,No,No,1,0,1,11,2024-02-15,0
CUST-00116,9,116.4,983.25,Two year,Bank transfer,None,No internet service,No internet service,No,0,0,1,0,2025-05-21,0
CUST-00117,36,39.18,1438.45,Month-to-month,Mailed check,Fiber optic,No internet service,No,No,0,0,0,4,2024-01-27,0
CUST-00118,46,83.39,3366.25,Two year,Credit card,Fiber optic,Yes,No internet service,No,0,0,1,0,2023-06-15,0
CUST-00119,10,59.56,577.34,Month-to-month,Mailed check,DSL,Yes,No internet service,No,0,1,0,9,2025-10-14,1
CUST-00120,19,106.86,1869.25,Month-to-month,Electronic check,Fiber optic,No,No,No,1,0,0,6,2024-12-15,0
CUST-00121,25,29.27,752.26,One year,Bank transfer,None,No,Yes,No,0,0,1,7,2023-07-22,0
CUST-00122,65,57.8,3847.21,Month-to-month,Credit card,Fiber optic,No,No,No,0,1,1,12,2024-03-07,0
CUST-00123,6,97.77,572.92,One year,Credit card,Fiber optic,No,No internet service,No,0,0,0,10,2024-12-29,1
CUST-00124,67,86.42,6639.51,Two year,Electronic check,DSL,No,No,Yes,0,0,0,11,2024-01-22,0
CUST-00125,64,99.97,5785.16,Month-to-month,Electronic check,Fiber optic,No internet service,No,Yes,0,0,1,4,2024-07-22,1
CUST-00126,15,113.14,1691,Month-to-month,Mailed check,None,No internet service,No,Yes,0,1,0,7,2024-04-25,1
CUST-00127,66,39.86,2524.88,Month-to-month,Credit card,None,No,No internet service,Yes,0,0,0,12,2023-03-16,1
CUST-00128,56,95.59,6126.99,One year,Credit card,DSL,Yes,No,No,0,1,1,1,2024-04-28,0
CUST-00129,29,62.84,1767.93,Two year,Credit card,DSL,Yes,No internet service,No,0,1,0,4,2024-08-20,0
CUST-00130,54,81.83,,One year,Credit card,DSL,No internet service,Yes,No,0,1,0,1,2025-02-28,0
CUST-00131,29,30.55,913.13,One year,Electronic check,None,No internet service,No internet service,No,0,1,0,4,2024-04-23,0
CUST-00132,67,116.28,8273.85,One year,Mailed check,DSL,Yes,No internet service,Yes,0,0,1,8,2024-10-07,1
CUST-00133,14,44.13,565.71,Month-to-month,Bank transfer,None,No internet service,Yes,Yes,0,1,0,2,2024-11-09,0
CUST-00134,30,102.34,2752.27,Month-to-month,Credit card,None,No,Yes,Yes,0,0,0,1,2023-06-19,0
CUST-00135,35,38.09,1364.6,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,0,1,0,1,2025-02-27,1
CUST-00136,51,108.73,6076.45,Two year,Credit card,DSL,No,No,No,0,1,1,11,2023-08-16,0
CUST-00137,25,53.25,1361.09,Two year,Mailed check,None,No internet service,Yes,No,0,0,0,0,2024-06-12,0
CUST-00138,29,38.49,1054.79,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,0,0,0,5,2023-12-14,0
CUST-00139,21,26.21,632.91,One year,Mailed check,DSL,No internet service,No,No,1,1,0,10,2023-08-14,1
CUST-00140,11,97.04,1121.68,Two year,Credit card,Fiber optic,Yes,No internet service,Yes,0,0,1,3,2024-04-29,0
CUST-00141,20,26.56,567.02,Month-to-month,Credit card,Fiber optic,No internet service,No,Yes,0,0,1,12,2025-12-27,0
CUST-00142,15,38.43,595.66,Two year,Bank transfer,None,No,No,No,0,0,0,3,2023-05-08,0
CUST-00143,55,44.11,2664.43,Two year,Credit card,DSL,No internet service,No,No,0,1,0,7,2025-08-29,1
CUST-00144,12,31.8,377.7,One year,Mailed check,DSL,Yes,No internet service,No,0,0,0,10,2025-08-10,1
CUST-00145,2,57.77,123.93,Month-to-month,Bank transfer,Fiber optic,No,No internet service,No,0,1,1,2,2023-04-15,1
CUST-00146,32,61.75,1979.83,One year,Electronic check,Fiber optic,No internet service,Yes,Yes,0,0,0,9,2024-12-25,0
CUST-00147,3,87.64,233.18,Two year,Electronic check,Fiber optic,Yes,Yes,Yes,0,1,1,7,2023-12-31,1
CUST-00148,28,75.86,,Two year,Mailed check,DSL,No,No,Yes,0,1,1,12,2023-05-12,1
CUST-00149,37,42.88,1620.58,Two year,Bank transfer,None,No internet service,Yes,No,0,1,0,3,2024-09-17,0
CUST-00150,6,117.27,804.43,Month-to-month,Mailed check,DSL,Yes,No,Yes,0,0,0,1,2025-07-12,0
CUST-00151,25,91.4,1963.22,Two year,Bank transfer,Fiber optic,No internet service,Yes,No,0,0,0,9,2024-02-26,0
CUST-00152,29,106.14,3049.98,Month-to-month,Credit card,DSL,No internet service,No,Yes,0,0,1,8,2023-10-05,1
CUST-00153,18,29.95,517.65,One year,Credit card,None,No internet service,No,Yes,0,1,0,0,2023-10-25,0
CUST-00154,10,115.14,1220.45,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,1,0,0,4,2025-08-23,0
CUST-00155,18,116.04,1807.27,Two year,Bank transfer,Fiber optic,No,Yes,No,0,0,1,1,2023-04-20,1
CUST-00156,3,78.36,264.4,Two year,Mailed check,DSL,No,Yes,Yes,0,1,0,11,2025-11-06,0
CUST-00157,31,56.47,1615.96,Month-to-month,Bank transfer,DSL,No,Yes,No,0,0,0,0,2023-07-16,1
CUST-00158,31,88,2802.03,Month-to-month,Bank transfer,Fiber optic,No,No,No,0,1,0,1,2025-03-18,0
CUST-00159,66,113.95,,Two year,Credit card,Fiber optic,No internet service,No internet service,Yes,0,1,0,4,2025-06-02,0
CUST-00160,49,70.71,3098.95,One year,Bank transfer,Fiber optic,No internet service,No internet service,No,1,0,0,2,2023-07-15,0
CUST-00161,1,42.07,36.38,Two year,Electronic check,DSL,Yes,No internet service,No,0,0,1,1,2023-04-23,1
CUST-00162,38,57.73,2379.41,Two year,Mailed check,Fiber optic,Yes,Yes,Yes,1,0,1,6,2025-01-22,1
CUST-00163,52,105.7,5431.47,Two year,Electronic check,None,Yes,No,Yes,1,1,1,11,2025-12-16,1
CUST-00164,41,36.84,1343.22,One year,Bank transfer,DSL,Yes,Yes,Yes,1,0,0,6,2025-05-24,0
CUST-00165,20,64.47,,One year,Mailed check,None,No,No,No,0,0,0,3,2025-09-01,0
CUST-00166,61,48.93,2900.02,Two year,Electronic check,DSL,No,Yes,No,0,1,0,8,2025-11-12,1
CUST-00167,24,54.41,1296.05,One year,Credit card,DSL,Yes,No,No,0,1,1,12,2025-06-13,1
CUST-00168,69,37.95,2995.88,One year,Electronic check,DSL,No,No internet service,No,0,0,1,5,2025-04-01,1
CUST-00169,54,75.86,4489.08,Month-to-month,Bank transfer,DSL,No internet service,No internet service,No,0,1,0,10,2024-03-03,0
CUST-00170,40,33.96,1233.35,Two year,Mailed check,DSL,No,Yes,No,0,1,0,7,2023-06-06,0
CUST-00171,32,28.54,1011.67,One year,Credit card,None,No internet service,No,Yes,0,1,0,9,2023-05-18,1
CUST-00172,41,85.37,3829.99,Month-to-month,Bank transfer,None,Yes,Yes,No,0,1,1,4,2025-03-13,1
CUST-00173,60,105.65,6137.75,Month-to-month,Credit card,Fiber optic,No,No,Yes,0,1,1,4,2023-05-24,1
CUST-00174,62,50.14,3411.63,One year,Bank transfer,Fiber optic,Yes,No,No,0,1,1,9,2024-07-04,1
CUST-00175,10,61.66,535.2,Month-to-month,Electronic check,DSL,No internet service,No,Yes,1,0,1,6,2023-02-13,1
CUST-00176,37,38.68,1606.53,Month-to-month,Mailed check,Fiber optic,No,Yes,No,0,1,1,3,2025-07-24,0
CUST-00177,4,53.87,236.55,Month-to-month,Bank transfer,DSL,No,No internet service,No,0,1,0,2,2024-01-02,1
CUST-00178,6,81.96,457.84,One year,Credit card,None,Yes,Yes,Yes,0,0,1,5,2024-02-27,1
CUST-00179,72,108.8,7632.24,One year,Electronic check,None,No,Yes,No,0,0,0,8,2025-12-29,0
CUST-00180,47,40.53,2082.49,Two year,Mailed check,DSL,No internet service,Yes,Yes,1,1,1,7,2024-03-08,0
CUST-00181,70,100.25,7307.55,One year,Bank transfer,Fiber optic,Yes,Yes,No,0,0,0,5,2023-08-05,1
CUST-00182,35,43.08,1296.7,One year,Bank transfer,Fiber optic,No internet service,Yes,Yes,0,0,1,12,2025-10-18,1
CUST-00183,33,102.1,3735.54,Two year,Bank transfer,DSL,No internet service,Yes,No,0,1,0,11,2024-03-09,1
CUST-00184,46,36.73,1791.25,Two year,Mailed check,DSL,No internet service,No internet service,No,0,1,0,8,2023-05-18,0
CUST-00185,9,116.38,908.69,One year,Bank transfer,DSL,Yes,Yes,Yes,0,0,1,8,2023-12-24,0
CUST-00186,5,110.69,503.86,Two year,Electronic check,Fiber optic,Yes,Yes,No,0,0,0,3,2025-06-20,0
CUST-00187,57,33.71,1763.46,One year,Electronic check,Fiber optic,No internet service,No,No,1,0,1,6,2023-09-28,0
CUST-00188,43,56.42,2653.08,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,0,1,0,4,2025-01-25,1
CUST-00189,32,29.56,834.88,Month-to-month,Credit card,DSL,No,Yes,No,0,1,1,7,2024-09-04,0
CUST-00190,20,78.41,1638.26,Two year,Electronic check,DSL,No internet service,No internet service,Yes,0,0,1,5,2024-06-08,0
CUST-00191,16,60.7,,Two year,Mailed check,None,Yes,Yes,No,1,1,1,11,2023-12-01,0
CUST-00192,62,56.25,3565.63,Two year,Credit card,DSL,No,No,Yes,1,1,0,4,2023-04-14,0
CUST-00193,66,56.77,3664.1,One year,Mailed check,DSL,No internet service,No internet service,Yes,0,0,0,7,2023-04-09,0
CUST-00194,12,81.59,1121.94,Two year,Electronic check,Fiber optic,No,No,No,0,0,0,2,2023-09-25,0
CUST-00195,6,79.11,541.43,One year,Credit card,DSL,No internet service,No,No,1,1,0,5,2023-12-13,0
CUST-00196,27,76.38,2326.87,One year,Bank transfer,DSL,Yes,No internet service,No,0,1,0,0,2023-12-08,0
CUST-00197,24,46.98,1226.55,Month-to-month,Mailed check,DSL,No,No,Yes,0,1,0,10,2023-01-14,1
CUST-00198,55,113.16,5904.82,Two year,Credit card,Fiber optic,No,No internet service,Yes,0,0,1,2,2024-07-19,0
CUST-00199,58,65.05,4219.29,Two year,Credit card,DSL,No,No,Yes,0,0,0,6,2024-11-23,0
CUST-00200,2,31.59,56.87,One year,Electronic check,Fiber optic,Yes,No,No,0,1,0,12,2023-09-23,0
CUST-00201,34,38.37,1479.26,Month-to-month,Credit card,Fiber optic,No internet service,No internet service,No,0,0,0,1,2023-07-01,1
CUST-00202,53,64.83,3677.4,One year,Bank transfer,None,No internet service,No,No,0,1,0,2,2024-07-01,0
CUST-00203,17,96.93,1892.88,Two year,Bank transfer,DSL,No internet service,No,Yes,0,0,0,9,2025-08-02,0
CUST-00204,68,25.93,1579.23,Two year,Electronic check,Fiber optic,No internet service,No,Yes,0,1,1,3,2024-09-15,0
CUST-00205,71,98.1,6267.15,Month-to-month,Mailed check,DSL,No internet service,No,Yes,0,1,0,4,2023-12-12,1
CUST-00206,48,65.03,2856.7,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,0,1,0,6,2025-07-08,1
CUST-00207,2,81.15,140.19,One year,Bank transfer,None,No,No internet service,Yes,0,0,0,9,2025-01-21,1
CUST-00208,59,86.49,4768.98,Two year,Mailed check,None,No,No internet service,Yes,0,0,1,9,2023-03-20,0
CUST-00209,20,94.66,1975.55,Month-to-month,Credit card,Fiber optic,No internet service,No,Yes,1,0,0,11,2025-09-04,0
CUST-00210,61,89.9,5670.63,Month-to-month,Bank transfer,None,No,Yes,Yes,0,0,0,12,2024-08-11,0
CUST-00211,22,58.63,1353.22,Month-to-month,Credit card,None,No internet service,No,Yes,0,1,0,12,2024-12-16,1
CUST-00212,22,71.5,1424.61,One year,Credit card,Fiber optic,Yes,No internet service,No,0,1,0,12,2023-02-04,0
CUST-00213,23,46.4,1036.91,Month-to-month,Mailed check,Fiber optic,No internet service,No,No,0,1,0,8,2025-11-15,1
CUST-00214,23,54.27,1410.84,One year,Bank transfer,None,No,No,Yes,0,0,1,10,2025-04-09,0
CUST-00215,32,109.61,3271.49,One year,Bank transfer,None,Yes,No internet service,Yes,0,1,0,7,2025-02-12,0
CUST-00216,65,87.77,6086.13,Two year,Electronic check,DSL,No internet service,Yes,Yes,0,1,0,8,2024-07-16,0
CUST-00217,51,40.94,1856.26,Two year,Credit card,None,Yes,Yes,Yes,0,0,1,9,2023-07-20,0
CUST-00218,37,92.5,3352.67,Two year,Electronic check,None,No internet service,No internet service,No,0,0,0,10,2025-09-23,0
CUST-00219,36,98.16,3493.13,Two year,Electronic check,DSL,No,Yes,No,0,1,1,5,2023-05-01,0
CUST-00220,34,60.95,1872.37,Two year,Mailed check,None,No,Yes,Yes,0,0,1,9,2025-09-01,0
CUST-00221,63,42.29,2654.07,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,0,1,1,1,2023-04-25,1
CUST-00222,34,56.44,2148.74,Two year,Electronic check,None,No,Yes,Yes,1,0,1,10,2025-03-06,0
CUST-00223,29,31.21,786.83,Month-to-month,Credit card,None,No,No internet service,No,0,1,0,4,2023-01-10,1
CUST-00224,14,100.17,1242.26,One year,Credit card,DSL,No internet service,No internet service,Yes,0,1,1,1,2024-03-05,0
CUST-00225,1,110.83,107.66,Month-to-month,Credit card,DSL,No,No internet service,Yes,0,0,0,2,2025-02-12,0
CUST-00226,39,100.03,3963.35,Two year,Electronic check,Fiber optic,No internet service,No,Yes,1,0,0,6,2023-04-02,0
CUST-00227,22,40.29,892.46,Two year,Bank transfer,DSL,Yes,Yes,No,1,0,1,7,2023-06-18,0
CUST-00228,70,115.28,6993.24,Two year,Mailed check,None,Yes,No,Yes,0,1,1,9,2025-07-02,1
CUST-00229,67,102.08,7129.59,One year,Electronic check,None,No,Yes,No,0,1,0,3,2025-03-25,0
