RecordId,Timestamp,Region,DayOfWeek,IsHoliday,InboundCallCount
TS-000046,2022-02-15,Central,Tue,0,3487
TS-000047,2022-02-16,South,Wed,0,2323
TS-000048,2022-02-17,Central,Thu,0,4921
TS-000049,2022-02-18,East,Fri,0,3145
TS-000050,2022-02-19,West,Sat,0,2476
TS-000051,2022-02-20,South,Sun,1,2428
TS-000052,2022-02-21,Central,Mon,0,4660
TS-000053,2022-02-22,South,Tue,0,3497
TS-000054,2022-02-23,East,Wed,0,3083
TS-000055,2022-02-24,East,Thu,0,3432
TS-000056,2022-02-25,Central,Fri,0,3145
TS-000057,2022-02-26,East,Sat,0,2838
TS-000058,2022-02-27,North,Sun,0,4141
TS-000059,2022-02-28,Central,Mon,0,5392
TS-000060,2022-03-01,West,Tue,0,4861
TS-000061,2022-03-02,North,Wed,1,3059
TS-000062,2022-03-03,Central,Thu,0,4132
TS-000063,2022-03-04,Central,Fri,0,4157
TS-000064,2022-03-05,East,Sat,0,4673
TS-000065,2022-03-06,South,Sun,0,4924
TS-000066,2022-03-07,Central,Mon,0,5654
TS-000067,2022-03-08,North,Tue,0,4988
TS-000068,2022-03-09,Central,Wed,0,6901
TS-000069,2022-03-10,Central,Thu,0,5257
TS-000070,2022-03-11,North,Fri,0,6521
TS-000071,2022-03-12,West,Sat,0,5165
TS-000072,2022-03-13,East,Sun,0,4698
TS-000073,2022-03-14,Central,Mon,0,8018
TS-000074,2022-03-15,South,Tue,0,6088
TS-000075,2022-03-16,East,Wed,0,6165
TS-000076,2022-03-17,North,Thu,0,5436
TS-000077,2022-03-18,East,Fri,0,5970
TS-000078,2022-03-19,South,Sat,0,5181
TS-000079,2022-03-20,Central,Sun,0,6069
TS-000080,2022-03-21,South,Mon,0,7325
TS-000081,2022-03-22,South,Tue,0,5606
TS-000082,2022-03-23,West,Wed,0,5072
TS-000083,2022-03-24,North,Thu,1,6379
TS-000084,2022-03-25,West,Fri,0,5640
TS-000085,2022-03-26,South,Sat,0,5189
TS-000086,2022-03-27,East,Sun,0,4728
TS-000087,2022-03-28,Central,Mon,0,6663
TS-000088,2022-03-29,South,Tue,0,4196
TS-000089,2022-03-30,Central,Wed,0,4156
TS-000090,2022-03-31,South,Thu,0,4052
TS-000091,2022-04-01,Central,Fri,0,5179
TS-000092,2022-04-02,South,Sat,0,5222
TS-000093,2022-04-03,East,Sun,0,3386
TS-000094,2022-04-04,Central,Mon,0,5285
TS-000095,2022-04-05,North,Tue,1,3906
TS-000096,2022-04-06,North,Wed,0,2758
TS-000097,2022-04-07,West,Thu,0,3704
TS-000098,2022-04-08,South,Fri,0,3560
TS-000099,2022-04-09,West,Sat,0,4390
TS-000100,2022-04-10,West,Sun,0,4079
TS-000101,2022-04-11,South,Mon,0,4418
TS-000102,2022-04-12,West,Tue,0,3309
TS-000103,2022-04-13,South,Wed,0,2533
TS-000104,2022-04-14,West,Thu,0,3648
TS-000105,2022-04-15,East,Fri,0,3846
TS-000106,2022-04-16,East,Sat,0,2707
TS-000107,2022-04-17,South,Sun,0,3059
TS-000108,2022-04-18,West,Mon,0,5092
TS-000109,2022-04-19,Central,Tue,0,1805
TS-000110,2022-04-20,South,Wed,0,1324
TS-000111,2022-04-21,East,Thu,0,3025
TS-000112,2022-04-22,North,Fri,0,3299
TS-000113,2022-04-23,South,Sat,0,3016
TS-000114,2022-04-24,West,Sun,0,3150
TS-000115,2022-04-25,East,Mon,0,5691
TS-000116,2022-04-26,West,Tue,0,2295
TS-000117,2022-04-27,South,Wed,0,3424
TS-000118,2022-04-28,West,Thu,0,4425
TS-000119,2022-04-29,East,Fri,0,3935
TS-000120,2022-04-30,South,Sat,0,3501
TS-000121,2022-05-01,East,Sun,0,3082
TS-000122,2022-05-02,Central,Mon,0,5355
TS-000123,2022-05-03,North,Tue,0,5014
TS-000124,2022-05-04,West,Wed,0,5104
TS-000125,2022-05-05,North,Thu,0,4619
TS-000126,2022-05-06,Central,Fri,0,5642
TS-000127,2022-05-07,Central,Sat,0,4022
TS-000128,2022-05-08,East,Sun,1,6640
TS-000129,2022-05-09,Central,Mon,0,7544
TS-000130,2022-05-10,South,Tue,1,5162
TS-000131,2022-05-11,North,Wed,0,5729
TS-000132,2022-05-12,East,Thu,1,4952
TS-000133,2022-05-13,West,Fri,0,5858
TS-000134,2022-05-14,Central,Sat,0,6254
TS-000135,2022-05-15,South,Sun,0,6524
TS-000136,2022-05-16,North,Mon,0,7702
TS-000137,2022-05-17,West,Tue,0,5445
TS-000138,2022-05-18,Central,Wed,0,6729
TS-000139,2022-05-19,Central,Thu,0,5588
TS-000140,2022-05-20,North,Fri,0,6263
TS-000141,2022-05-21,South,Sat,0,6016
TS-000142,2022-05-22,North,Sun,0,5314
TS-000143,2022-05-23,West,Mon,0,8260
TS-000144,2022-05-24,South,Tue,0,5239
TS-000145,2022-05-25,West,Wed,0,5792
TS-000146,2022-05-26,North,Thu,0,5834
TS-000147,2022-05-27,South,Fri,0,3692
TS-000148,2022-05-28,North,Sat,0,5233
TS-000149,2022-05-29,North,Sun,0,5770
TS-000150,2022-05-30,Central,Mon,0,8188
TS-000151,2022-05-31,Central,Tue,0,3250
TS-000152,2022-06-01,North,Wed,0,4771
TS-000153,2022-06-02,North,Thu,0,2465
TS-000154,2022-06-03,South,Fri,0,3305
TS-000155,2022-06-04,Central,Sat,0,4077
TS-000156,2022-06-05,North,Sun,0,2583
TS-000157,2022-06-06,Central,Mon,0,4808
TS-000158,2022-06-07,East,Tue,0,3458
TS-000159,2022-06-08,South,Wed,0,2869
TS-000160,2022-06-09,East,Thu,0,2700
TS-000161,2022-06-10,Central,Fri,0,3754
TS-000162,2022-06-11,West,Sat,0,3082
TS-000163,2022-06-12,Central,Sun,0,3041
TS-000164,2022-06-13,Central,Mon,0,6382
TS-000165,2022-06-14,North,Tue,0,3147
TS-000166,2022-06-15,North,Wed,0,2398
TS-000167,2022-06-16,Central,Thu,0,2152
TS-000168,2022-06-17,West,Fri,0,2915
TS-000169,2022-06-18,West,Sat,0,4208
TS-000170,2022-06-19,South,Sun,1,2655
TS-000171,2022-06-20,North,Mon,0,5216
TS-000172,2022-06-21,South,Tue,0,2093
TS-000173,2022-06-22,South,Wed,0,2738
TS-000174,2022-06-23,West,Thu,0,2505
TS-000175,2022-06-24,North,Fri,0,3039
TS-000176,2022-06-25,East,Sat,0,3895
TS-000177,2022-06-26,North,Sun,0,3622
TS-000178,2022-06-27,South,Mon,0,5946
TS-000179,2022-06-28,West,Tue,0,4613
TS-000180,2022-06-29,Central,Wed,0,3176
TS-000181,2022-06-30,East,Thu,0,4595
TS-000182,2022-07-01,West,Fri,0,4464
TS-000183,2022-07-02,Central,Sat,0,4101
TS-000184,2022-07-03,South,Sun,0,5281
TS-000185,2022-07-04,Central,Mon,0,7822
TS-000186,2022-07-05,South,Tue,0,5202
TS-000187,2022-07-06,North,Wed,0,4837
TS-000188,2022-07-07,West,Thu,0,5372
TS-000189,2022-07-08,West,Fri,0,4701
TS-000190,2022-07-09,Central,Sat,0,5900
TS-000191,2022-07-10,Central,Sun,0,6676
TS-000192,2022-07-11,North,Mon,0,7316
TS-000193,2022-07-12,South,Tue,0,5712
TS-000194,2022-07-13,North,Wed,0,6902
TS-000195,2022-07-14,East,Thu,0,6111
TS-000196,2022-07-15,North,Fri,0,6688
TS-000197,2022-07-16,South,Sat,0,6502
TS-000198,2022-07-17,West,Sun,0,5793
TS-000199,2022-07-18,North,Mon,0,7814
TS-000200,2022-07-19,West,Tue,0,5546
TS-000201,2022-07-20,East,Wed,0,5442
TS-000202,2022-07-21,North,Thu,0,5352
TS-000203,2022-07-22,North,Fri,0,5146
TS-000204,2022-07-23,South,Sat,0,4835
TS-000205,2022-07-24,Central,Sun,0,4690
TS-000206,2022-07-25,East,Mon,0,6564
TS-000207,2022-07-26,Central,Tue,0,3849
TS-000208,2022-07-27,South,Wed,0,4612
TS-000209,2022-07-28,South,Thu,0,5332
TS-000210,2022-07-29,East,Fri,0,4032
TS-000211,2022-07-30,Central,Sat,0,4779
TS-000212,2022-07-31,West,Sun,1,3692
TS-000213,2022-08-01,East,Mon,0,6959
TS-000214,2022-08-02,South,Tue,0,4341
TS-000215,2022-08-03,East,Wed,0,4537
TS-000216,2022-08-04,South,Thu,0,3335
TS-000217,2022-08-05,Central,Fri,0,3342
TS-000218,2022-08-06,Central,Sat,0,2568
TS-000219,2022-08-07,West,Sun,0,4301
TS-000220,2022-08-08,West,Mon,0,4387
TS-000221,2022-08-09,South,Tue,0,3205
TS-000222,2022-08-10,North,Wed,0,3949
TS-000223,2022-08-11,Central,Thu,0,3903
TS-000224,2022-08-12,East,Fri,0,3280
TS-000225,2022-08-13,North,Sat,0,4524
TS-000226,2022-08-14,East,Sun,0,2055
TS-000227,2022-08-15,Central,Mon,0,4656
TS-000228,2022-08-16,Central,Tue,0,2963
TS-000229,2022-08-17,North,Wed,0,2046
TS-000230,2022-08-18,South,Thu,0,2340
TS-000231,2022-08-19,East,Fri,0,3710
TS-000232,2022-08-20,South,Sat,0,2754
TS-000233,2022-08-21,West,Sun,0,1696
TS-000234,2022-08-22,Central,Mon,0,4624
TS-000235,2022-08-23,West,Tue,0,3190
TS-000236,2022-08-24,North,Wed,0,4455
TS-000237,2022-08-25,North,Thu,0,3850
TS-000238,2022-08-26,South,Fri,0,5143
TS-000239,2022-08-27,North,Sat,0,4898
TS-000240,2022-08-28,West,Sun,0,4172
TS-000241,2022-08-29,East,Mon,0,6489
TS-000242,2022-08-30,West,Tue,0,5035
TS-000243,2022-08-31,South,Wed,0,5169
TS-000244,2022-09-01,West,Thu,0,4845
TS-000245,2022-09-02,West,Fri,0,4636
TS-000246,2022-09-03,North,Sat,0,3718
TS-000247,2022-09-04,Central,Sun,0,4833
TS-000248,2022-09-05,East,Mon,0,6930
TS-000249,2022-09-06,South,Tue,0,4544
TS-000250,2022-09-07,Central,Wed,0,5869
TS-000251,2022-09-08,West,Thu,1,6103
TS-000252,2022-09-09,East,Fri,0,5906
TS-000253,2022-09-10,East,Sat,0,5415
TS-000254,2022-09-11,South,Sun,0,5779
TS-000255,2022-09-12,South,Mon,0,8109
TS-000256,2022-09-13,East,Tue,0,6095
TS-000257,2022-09-14,North,Wed,0,5907
TS-000258,2022-09-15,North,Thu,0,5653
TS-000259,2022-09-16,Central,Fri,0,6157
TS-000260,2022-09-17,Central,Sat,0,5923
TS-000261,2022-09-18,South,Sun,0,4717
TS-000262,2022-09-19,West,Mon,0,7300
TS-000263,2022-09-20,West,Tue,0,5908
TS-000264,2022-09-21,Central,Wed,0,5303
TS-000265,2022-09-22,North,Thu,0,5443
TS-000266,2022-09-23,East,Fri,0,5140
TS-000267,2022-09-24,North,Sat,0,5202
TS-000268,2022-09-25,West,Sun,0,4703
TS-000269,2022-09-26,East,Mon,0,7148
TS-000270,2022-09-27,East,Tue,0,5088
TS-000271,2022-09-28,North,Wed,0,3370
TS-000272,2022-09-29,Central,Thu,0,3969
TS-000273,2022-09-30,South,Fri,0,4173
TS-000274,2022-10-01,East,Sat,0,3053
TS-000275,2022-10-02,Central,Sun,0,3129
TS-000276,2022-10-03,West,Mon,0,6104
TS-000277,2022-10-04,West,Tue,0,3233
TS-000278,2022-10-05,East,Wed,0,3311
TS-000279,2022-10-06,North,Thu,0,3036
TS-000280,2022-10-07,North,Fri,0,3130
TS-000281,2022-10-08,South,Sat,0,2721
TS-000282,2022-10-09,West,Sun,0,3159
TS-000283,2022-10-10,Central,Mon,0,4503
TS-000284,2022-10-11,Central,Tue,1,3456
TS-000285,2022-10-12,West,Wed,0,2732
TS-000286,2022-10-13,South,Thu,0,3261
TS-000287,2022-10-14,North,Fri,0,2417
TS-000288,2022-10-15,North,Sat,0,4030
TS-000289,2022-10-16,East,Sun,1,2125
TS-000290,2022-10-17,North,Mon,0,6082
TS-000291,2022-10-18,Central,Tue,0,2850
TS-000292,2022-10-19,South,Wed,0,4040
TS-000293,2022-10-20,North,Thu,0,3362
TS-000294,2022-10-21,Central,Fri,0,3599
TS-000295,2022-10-22,South,Sat,1,3628
TS-000296,2022-10-23,West,Sun,0,2763
TS-000297,2022-10-24,North,Mon,0,5807
TS-000298,2022-10-25,South,Tue,0,4430
TS-000299,2022-10-26,West,Wed,0,5060
TS-000300,2022-10-27,North,Thu,0,3994
TS-000301,2022-10-28,South,Fri,0,4186
TS-000302,2022-10-29,South,Sat,0,5976
TS-000303,2022-10-30,South,Sun,0,5332
TS-000304,2022-10-31,West,Mon,0,7126
TS-000305,2022-11-01,North,Tue,0,5201
TS-000306,2022-11-02,West,Wed,0,5139
TS-000307,2022-11-03,East,Thu,0,5181
TS-000308,2022-11-04,West,Fri,0,5258
TS-000309,2022-11-05,East,Sat,0,6328
TS-000310,2022-11-06,East,Sun,0,5956
TS-000311,2022-11-07,West,Mon,0,6927
TS-000312,2022-11-08,West,Tue,0,4693
TS-000313,2022-11-09,South,Wed,0,6139
TS-000314,2022-11-10,East,Thu,0,5116
TS-000315,2022-11-11,North,Fri,0,7217
TS-000316,2022-11-12,South,Sat,0,5422
TS-000317,2022-11-13,West,Sun,0,5647
TS-000318,2022-11-14,West,Mon,0,9894
TS-000319,2022-11-15,Central,Tue,0,5622
TS-000320,2022-11-16,Central,Wed,0,4361
TS-000321,2022-11-17,West,Thu,0,4372
TS-000322,2022-11-18,East,Fri,0,5020
TS-000323,2022-11-19,South,Sat,0,4489
TS-000324,2022-11-20,South,Sun,0,5689
TS-000325,2022-11-21,Central,Mon,0,8243
TS-000326,2022-11-22,South,Tue,0,4638
TS-000327,2022-11-23,North,Wed,0,5720
TS-000328,2022-11-24,West,Thu,0,5350
TS-000329,2022-11-25,West,Fri,0,5220
TS-000330,2022-11-26,Central,Sat,0,4285
TS-000331,2022-11-27,East,Sun,0,4684
TS-000332,2022-11-28,South,Mon,0,5962
TS-000333,2022-11-29,Central,Tue,0,4542
TS-000334,2022-11-30,West,Wed,0,3974
TS-000335,2022-12-01,Central,Thu,0,4248
TS-000336,2022-12-02,East,Fri,0,2893
TS-000337,2022-12-03,South,Sat,0,3292
TS-000338,2022-12-04,Central,Sun,0,4277
TS-000339,2022-12-05,North,Mon,0,6985
TS-000340,2022-12-06,East,Tue,0,2807
TS-000341,2022-12-07,South,Wed,0,2910
TS-000342,2022-12-08,North,Thu,0,3393
TS-000343,2022-12-09,Central,Fri,0,3753
TS-000344,2022-12-10,South,Sat,0,3042
TS-000345,2022-12-11,West,Sun,0,2971
TS-000346,2022-12-12,East,Mon,0,5060
TS-000347,2022-12-13,West,Tue,0,1845
TS-000348,2022-12-14,East,Wed,0,3009
TS-000349,2022-12-15,South,Thu,0,2891
TS-000350,2022-12-16,South,Fri,0,2749
TS-000351,2022-12-17,West,Sat,0,3058
TS-000352,2022-12-18,South,Sun,0,2515
TS-000353,2022-12-19,Central,Mon,0,5243
TS-000354,2022-12-20,West,Tue,0,4234
TS-000355,2022-12-21,South,Wed,0,4464
TS-000356,2022-12-22,East,Thu,0,2408
TS-000357,2022-12-23,North,Fri,0,4748
TS-000358,2022-12-24,North,Sat,0,4678
TS-000359,2022-12-25,East,Sun,0,3209
TS-000360,2022-12-26,West,Mon,0,7009
TS-000361,2022-12-27,North,Tue,0,4795
TS-000362,2022-12-28,West,Wed,0,4257
TS-000363,2022-12-29,North,Thu,0,4162
TS-000364,2022-12-30,North,Fri,0,6008
TS-000365,2022-12-31,West,Sat,0,4794
TS-000366,2023-01-01,South,Sun,0,4743
TS-000367,2023-01-02,North,Mon,0,7498
TS-000368,2023-01-03,South,Tue,0,5489
TS-000369,2023-01-04,Central,Wed,0,5458
TS-000370,2023-01-05,South,Thu,0,5213
TS-000371,2023-01-06,Central,Fri,0,5507
TS-000372,2023-01-07,Central,Sat,0,5564
TS-000373,2023-01-08,South,Sun,0,5602
TS-000374,2023-01-09,North,Mon,0,6878
TS-000375,2023-01-10,Central,Tue,0,4955
TS-000376,2023-01-11,North,Wed,0,6586
TS-000377,2023-01-12,East,Thu,0,5099
TS-000378,2023-01-13,Central,Fri,0,5611
TS-000379,2023-01-14,North,Sat,0,6352
TS-000380,2023-01-15,West,Sun,0,6681
TS-000381,2023-01-16,East,Mon,0,7294
TS-000382,2023-01-17,South,Tue,0,4967
TS-000383,2023-01-18,West,Wed,0,5314
TS-000384,2023-01-19,East,Thu,0,5139
TS-000385,2023-01-20,West,Fri,0,3821
TS-000386,2023-01-21,East,Sat,0,4821
TS-000387,2023-01-22,West,Sun,0,5428
TS-000388,2023-01-23,West,Mon,0,6570
TS-000389,2023-01-24,East,Tue,0,4799
TS-000390,2023-01-25,Central,Wed,0,4347
TS-000391,2023-01-26,North,Thu,0,4320
TS-000392,2023-01-27,South,Fri,0,4681
TS-000393,2023-01-28,West,Sat,1,3392
TS-000394,2023-01-29,East,Sun,0,4831
TS-000395,2023-01-30,Central,Mon,0,6236
TS-000396,2023-01-31,South,Tue,0,3872
TS-000397,2023-02-01,North,Wed,0,4173
TS-000398,2023-02-02,West,Thu,0,3230
TS-000399,2023-02-03,East,Fri,0,3093
TS-000400,2023-02-04,North,Sat,1,3285
TS-000401,2023-02-05,Central,Sun,0,3497
TS-000402,2023-02-06,Central,Mon,0,5295
TS-000403,2023-02-07,North,Tue,0,2984
TS-000404,2023-02-08,East,Wed,0,2758
TS-000405,2023-02-09,East,Thu,0,3703
TS-000406,2023-02-10,Central,Fri,0,3072
TS-000407,2023-02-11,Central,Sat,0,2060
TS-000408,2023-02-12,Central,Sun,0,3637
TS-000409,2023-02-13,South,Mon,0,3996
TS-000410,2023-02-14,Central,Tue,1,1740
TS-000411,2023-02-15,South,Wed,0,4636
TS-000412,2023-02-16,Central,Thu,0,3074
TS-000413,2023-02-17,Central,Fri,0,2649
TS-000414,2023-02-18,South,Sat,0,3854
TS-000415,2023-02-19,Central,Sun,0,2928
TS-000416,2023-02-20,North,Mon,0,5562
TS-000417,2023-02-21,West,Tue,0,3520
TS-000418,2023-02-22,West,Wed,0,2580
TS-000419,2023-02-23,West,Thu,0,5210
TS-000420,2023-02-24,East,Fri,0,3127
TS-000421,2023-02-25,South,Sat,0,4638
TS-000422,2023-02-26,East,Sun,0,3782
TS-000423,2023-02-27,Central,Mon,0,6258
TS-000424,2023-02-28,West,Tue,0,6041
TS-000425,2023-03-01,Central,Wed,0,5429
TS-000426,2023-03-02,Central,Thu,0,6661
TS-000427,2023-03-03,Central,Fri,0,4360
TS-000428,2023-03-04,North,Sat,0,5304
TS-000429,2023-03-05,North,Sun,0,6566
TS-000430,2023-03-06,South,Mon,0,8195
TS-000431,2023-03-07,West,Tue,0,6094
TS-000432,2023-03-08,North,Wed,0,5593
TS-000433,2023-03-09,East,Thu,0,4771
TS-000434,2023-03-10,Central,Fri,0,5565
TS-000435,2023-03-11,Central,Sat,0,4318
TS-000436,2023-03-12,North,Sun,0,6369
TS-000437,2023-03-13,Central,Mon,0,8244
TS-000438,2023-03-14,West,Tue,0,5818
TS-000439,2023-03-15,North,Wed,1,6737
TS-000440,2023-03-16,South,Thu,0,7024
TS-000441,2023-03-17,East,Fri,0,4626
TS-000442,2023-03-18,South,Sat,0,4699
TS-000443,2023-03-19,Central,Sun,0,6061
TS-000444,2023-03-20,North,Mon,0,7782
TS-000445,2023-03-21,South,Tue,0,4344
TS-000446,2023-03-22,West,Wed,0,4602
TS-000447,2023-03-23,South,Thu,0,5267
TS-000448,2023-03-24,West,Fri,0,5505
TS-000449,2023-03-25,West,Sat,0,3729
TS-000450,2023-03-26,West,Sun,0,4672
TS-000451,2023-03-27,East,Mon,0,7740
TS-000452,2023-03-28,West,Tue,0,3227
TS-000453,2023-03-29,South,Wed,0,3794
TS-000454,2023-03-30,South,Thu,0,2955
TS-000455,2023-03-31,East,Fri,0,2554
TS-000456,2023-04-01,East,Sat,0,4516
TS-000457,2023-04-02,Central,Sun,0,4223
TS-000458,2023-04-03,Central,Mon,0,7015
TS-000459,2023-04-04,West,Tue,0,4467
TS-000460,2023-04-05,Central,Wed,0,2849
TS-000461,2023-04-06,North,Thu,0,1966
TS-000462,2023-04-07,Central,Fri,0,2878
TS-000463,2023-04-08,North,Sat,0,2490
TS-000464,2023-04-09,East,Sun,0,2773
TS-000465,2023-04-10,South,Mon,0,4243
TS-000466,2023-04-11,West,Tue,0,3419
TS-000467,2023-04-12,South,Wed,0,2916
TS-000468,2023-04-13,West,Thu,0,2742
TS-000469,2023-04-14,Central,Fri,0,2710
TS-000470,2023-04-15,West,Sat,0,2672
TS-000471,2023-04-16,South,Sun,0,2993
TS-000472,2023-04-17,Central,Mon,0,4331
TS-000473,2023-04-18,South,Tue,0,2627
TS-000474,2023-04-19,West,Wed,0,4712
TS-000475,2023-04-20,North,Thu,0,2181
TS-000476,2023-04-21,South,Fri,0,3257
TS-000477,2023-04-22,West,Sat,0,3589
TS-000478,2023-04-23,East,Sun,0,3505
TS-000479,2023-04-24,West,Mon,0,5698
TS-000480,2023-04-25,Central,Tue,0,4520
TS-000481,2023-04-26,West,Wed,0,5882
TS-000482,2023-04-27,Central,Thu,0,4348
TS-000483,2023-04-28,East,Fri,0,4946
TS-000484,2023-04-29,Central,Sat,1,5402
TS-000485,2023-04-30,Central,Sun,0,5448
TS-000486,2023-05-01,East,Mon,0,7412
TS-000487,2023-05-02,Central,Tue,0,4844
TS-000488,2023-05-03,West,Wed,0,5154
TS-000489,2023-05-04,East,Thu,0,4991
TS-000490,2023-05-05,North,Fri,0,4289
TS-000491,2023-05-06,Central,Sat,0,5203
TS-000492,2023-05-07,South,Sun,0,6908
TS-000493,2023-05-08,Central,Mon,0,7194
TS-000494,2023-05-09,North,Tue,0,6366
TS-000495,2023-05-10,East,Wed,0,6176
TS-000496,2023-05-11,South,Thu,0,6013
TS-000497,2023-05-12,East,Fri,0,4618
TS-000498,2023-05-13,Central,Sat,0,5316
TS-000499,2023-05-14,East,Sun,0,6127
TS-000500,2023-05-15,West,Mon,0,7459
TS-000501,2023-05-16,South,Tue,0,5295
TS-000502,2023-05-17,West,Wed,0,6008
TS-000503,2023-05-18,South,Thu,0,6152
TS-000504,2023-05-19,North,Fri,0,4851
TS-000505,2023-05-20,East,Sat,0,4992
TS-000506,2023-05-21,Central,Sun,0,5220
TS-000507,2023-05-22,East,Mon,0,8156
TS-000508,2023-05-23,West,Tue,0,5379
TS-000509,2023-05-24,South,Wed,0,5117
TS-000510,2023-05-25,West,Thu,0,3121
TS-000511,2023-05-26,West,Fri,0,4157
TS-000512,2023-05-27,East,Sat,0,5305
TS-000513,2023-05-28,East,Sun,0,4363
TS-000514,2023-05-29,North,Mon,0,6455
TS-000515,2023-05-30,West,Tue,0,2289
TS-000516,2023-05-31,West,Wed,0,4412
TS-000517,2023-06-01,West,Thu,0,3464
TS-000518,2023-06-02,Central,Fri,0,4114
TS-000519,2023-06-03,North,Sat,0,3965
TS-000520,2023-06-04,South,Sun,0,2340
TS-000521,2023-06-05,South,Mon,0,4980
TS-000522,2023-06-06,Central,Tue,0,2120
TS-000523,2023-06-07,Central,Wed,0,2601
TS-000524,2023-06-08,North,Thu,0,3319
TS-000525,2023-06-09,South,Fri,0,3258
TS-000526,2023-06-10,Central,Sat,0,2515
TS-000527,2023-06-11,West,Sun,0,3397
TS-000528,2023-06-12,South,Mon,0,4567
TS-000529,2023-06-13,West,Tue,0,3089
TS-000530,2023-06-14,West,Wed,0,3200
TS-000531,2023-06-15,South,Thu,0,3034
TS-000532,2023-06-16,South,Fri,0,4531
TS-000533,2023-06-17,West,Sat,0,1534
TS-000534,2023-06-18,Central,Sun,0,2468
TS-000535,2023-06-19,North,Mon,0,6033
TS-000536,2023-06-20,West,Tue,0,3793
TS-000537,2023-06-21,South,Wed,0,4213
TS-000538,2023-06-22,East,Thu,0,4392
TS-000539,2023-06-23,West,Fri,0,4653
TS-000540,2023-06-24,West,Sat,0,2791
TS-000541,2023-06-25,East,Sun,0,4031
TS-000542,2023-06-26,East,Mon,0,6947
TS-000543,2023-06-27,North,Tue,0,3365
TS-000544,2023-06-28,North,Wed,0,2693
TS-000545,2023-06-29,East,Thu,0,4112
TS-000546,2023-06-30,North,Fri,0,4921
TS-000547,2023-07-01,East,Sat,0,7346
TS-000548,2023-07-02,South,Sun,0,4314
TS-000549,2023-07-03,West,Mon,1,7634
TS-000550,2023-07-04,West,Tue,0,4843
TS-000551,2023-07-05,North,Wed,0,5448
TS-000552,2023-07-06,Central,Thu,0,5904
TS-000553,2023-07-07,Central,Fri,0,6037
TS-000554,2023-07-08,Central,Sat,0,5175
TS-000555,2023-07-09,West,Sun,0,4227
TS-000556,2023-07-10,West,Mon,0,8519
TS-000557,2023-07-11,Central,Tue,0,5762
TS-000558,2023-07-12,Central,Wed,0,6692
TS-000559,2023-07-13,Central,Thu,0,5678
TS-000560,2023-07-14,South,Fri,0,6024
TS-000561,2023-07-15,Central,Sat,0,6508
TS-000562,2023-07-16,West,Sun,1,6082
TS-000563,2023-07-17,East,Mon,0,6329
TS-000564,2023-07-18,West,Tue,0,5821
TS-000565,2023-07-19,East,Wed,0,6158
TS-000566,2023-07-20,East,Thu,0,4289
TS-000567,2023-07-21,North,Fri,0,5771
TS-000568,2023-07-22,West,Sat,0,3092
TS-000569,2023-07-23,West,Sun,0,3675
TS-000570,2023-07-24,North,Mon,0,6755
TS-000571,2023-07-25,Central,Tue,0,5419
TS-000572,2023-07-26,South,Wed,0,4601
TS-000573,2023-07-27,West,Thu,0,5107
TS-000574,2023-07-28,West,Fri,0,4454
TS-000575,2023-07-29,West,Sat,0,3100
