RecordId,Timestamp,Region,DayOfWeek,IsHoliday,OccupiedBeds
TS-000094,2022-04-04,East,Mon,0,811
TS-000095,2022-04-05,South,Tue,0,746
TS-000096,2022-04-06,West,Wed,0,869
TS-000097,2022-04-07,East,Thu,0,770
TS-000098,2022-04-08,South,Fri,0,680
TS-000099,2022-04-09,East,Sat,0,760
TS-000100,2022-04-10,South,Sun,0,596
TS-000101,2022-04-11,East,Mon,0,729
TS-000102,2022-04-12,South,Tue,0,752
TS-000103,2022-04-13,Central,Wed,0,707
TS-000104,2022-04-14,East,Thu,0,732
TS-000105,2022-04-15,South,Fri,0,779
TS-000106,2022-04-16,North,Sat,0,750
TS-000107,2022-04-17,Central,Sun,0,716
TS-000108,2022-04-18,East,Mon,0,740
TS-000109,2022-04-19,Central,Tue,0,609
TS-000110,2022-04-20,Central,Wed,0,716
TS-000111,2022-04-21,North,Thu,0,679
TS-000112,2022-04-22,South,Fri,0,849
TS-000113,2022-04-23,Central,Sat,1,965
TS-000114,2022-04-24,East,Sun,0,722
TS-000115,2022-04-25,West,Mon,0,893
TS-000116,2022-04-26,South,Tue,0,709
TS-000117,2022-04-27,Central,Wed,0,805
TS-000118,2022-04-28,Central,Thu,0,971
TS-000119,2022-04-29,Central,Fri,0,779
TS-000120,2022-04-30,East,Sat,0,1014
TS-000121,2022-05-01,North,Sun,0,985
TS-000122,2022-05-02,Central,Mon,0,900
TS-000123,2022-05-03,North,Tue,0,992
TS-000124,2022-05-04,East,Wed,0,936
TS-000125,2022-05-05,West,Thu,0,1057
TS-000126,2022-05-06,South,Fri,0,1015
TS-000127,2022-05-07,South,Sat,0,939
TS-000128,2022-05-08,East,Sun,0,852
TS-000129,2022-05-09,East,Mon,0,961
TS-000130,2022-05-10,North,Tue,0,975
TS-000131,2022-05-11,North,Wed,0,957
TS-000132,2022-05-12,North,Thu,0,1097
TS-000133,2022-05-13,North,Fri,0,1038
TS-000134,2022-05-14,Central,Sat,0,1078
TS-000135,2022-05-15,North,Sun,0,1080
TS-000136,2022-05-16,South,Mon,0,1203
TS-000137,2022-05-17,East,Tue,0,1333
TS-000138,2022-05-18,East,Wed,0,1033
TS-000139,2022-05-19,Central,Thu,0,813
TS-000140,2022-05-20,North,Fri,0,1099
TS-000141,2022-05-21,West,Sat,0,1085
TS-000142,2022-05-22,East,Sun,0,1056
TS-000143,2022-05-23,East,Mon,0,860
TS-000144,2022-05-24,Central,Tue,0,981
TS-000145,2022-05-25,North,Wed,0,1056
TS-000146,2022-05-26,West,Thu,0,989
TS-000147,2022-05-27,East,Fri,0,933
TS-000148,2022-05-28,Central,Sat,0,1043
TS-000149,2022-05-29,West,Sun,0,856
TS-000150,2022-05-30,East,Mon,0,864
TS-000151,2022-05-31,North,Tue,0,799
TS-000152,2022-06-01,Central,Wed,0,896
TS-000153,2022-06-02,East,Thu,0,921
TS-000154,2022-06-03,West,Fri,0,854
TS-000155,2022-06-04,East,Sat,0,892
TS-000156,2022-06-05,Central,Sun,0,756
TS-000157,2022-06-06,North,Mon,0,898
TS-000158,2022-06-07,West,Tue,0,656
TS-000159,2022-06-08,Central,Wed,0,646
TS-000160,2022-06-09,North,Thu,0,752
TS-000161,2022-06-10,East,Fri,0,617
TS-000162,2022-06-11,Central,Sat,0,734
TS-000163,2022-06-12,East,Sun,0,711
TS-000164,2022-06-13,East,Mon,0,763
TS-000165,2022-06-14,Central,Tue,0,822
TS-000166,2022-06-15,West,Wed,0,746
TS-000167,2022-06-16,Central,Thu,0,675
TS-000168,2022-06-17,East,Fri,0,849
TS-000169,2022-06-18,South,Sat,0,888
TS-000170,2022-06-19,Central,Sun,0,812
TS-000171,2022-06-20,East,Mon,0,790
TS-000172,2022-06-21,North,Tue,0,918
TS-000173,2022-06-22,Central,Wed,0,853
TS-000174,2022-06-23,Central,Thu,0,794
TS-000175,2022-06-24,East,Fri,0,902
TS-000176,2022-06-25,Central,Sat,0,770
TS-000177,2022-06-26,East,Sun,0,816
TS-000178,2022-06-27,Central,Mon,0,799
TS-000179,2022-06-28,East,Tue,1,854
TS-000180,2022-06-29,South,Wed,0,884
TS-000181,2022-06-30,West,Thu,0,846
TS-000182,2022-07-01,Central,Fri,0,1021
TS-000183,2022-07-02,East,Sat,0,1046
TS-000184,2022-07-03,North,Sun,0,801
TS-000185,2022-07-04,South,Mon,0,1016
TS-000186,2022-07-05,Central,Tue,0,950
TS-000187,2022-07-06,North,Wed,0,1088
TS-000188,2022-07-07,South,Thu,0,1062
TS-000189,2022-07-08,East,Fri,0,1046
TS-000190,2022-07-09,East,Sat,0,957
TS-000191,2022-07-10,South,Sun,0,1007
TS-000192,2022-07-11,South,Mon,0,939
TS-000193,2022-07-12,East,Tue,0,1032
TS-000194,2022-07-13,South,Wed,0,1001
TS-000195,2022-07-14,West,Thu,0,1200
TS-000196,2022-07-15,North,Fri,0,962
TS-000197,2022-07-16,Central,Sat,0,1099
TS-000198,2022-07-17,West,Sun,0,919
TS-000199,2022-07-18,East,Mon,0,875
TS-000200,2022-07-19,West,Tue,0,999
TS-000201,2022-07-20,North,Wed,0,862
TS-000202,2022-07-21,East,Thu,0,963
TS-000203,2022-07-22,East,Fri,0,1012
TS-000204,2022-07-23,Central,Sat,0,934
TS-000205,2022-07-24,North,Sun,0,989
TS-000206,2022-07-25,North,Mon,0,906
TS-000207,2022-07-26,East,Tue,0,1056
TS-000208,2022-07-27,West,Wed,0,1073
TS-000209,2022-07-28,South,Thu,0,932
TS-000210,2022-07-29,South,Fri,0,765
TS-000211,2022-07-30,West,Sat,0,822
TS-000212,2022-07-31,Central,Sun,0,974
TS-000213,2022-08-01,East,Mon,0,861
TS-000214,2022-08-02,South,Tue,0,760
TS-000215,2022-08-03,East,Wed,0,805
TS-000216,2022-08-04,West,Thu,0,842
TS-000217,2022-08-05,South,Fri,0,767
TS-000218,2022-08-06,Central,Sat,0,741
TS-000219,2022-08-07,South,Sun,0,795
TS-000220,2022-08-08,Central,Mon,0,831
TS-000221,2022-08-09,East,Tue,0,741
TS-000222,2022-08-10,West,Wed,0,693
TS-000223,2022-08-11,East,Thu,0,748
TS-000224,2022-08-12,Central,Fri,0,739
TS-000225,2022-08-13,North,Sat,0,805
TS-000226,2022-08-14,Central,Sun,0,896
TS-000227,2022-08-15,South,Mon,0,701
TS-000228,2022-08-16,West,Tue,0,777
TS-000229,2022-08-17,East,Wed,0,837
TS-000230,2022-08-18,North,Thu,0,683
TS-000231,2022-08-19,West,Fri,0,760
TS-000232,2022-08-20,South,Sat,0,686
TS-000233,2022-08-21,West,Sun,0,941
TS-000234,2022-08-22,Central,Mon,0,712
TS-000235,2022-08-23,South,Tue,0,813
TS-000236,2022-08-24,North,Wed,0,675
TS-000237,2022-08-25,Central,Thu,0,975
TS-000238,2022-08-26,East,Fri,0,795
TS-000239,2022-08-27,North,Sat,0,875
TS-000240,2022-08-28,South,Sun,0,796
TS-000241,2022-08-29,North,Mon,0,884
TS-000242,2022-08-30,East,Tue,0,940
TS-000243,2022-08-31,East,Wed,0,813
TS-000244,2022-09-01,East,Thu,0,874
TS-000245,2022-09-02,South,Fri,0,886
TS-000246,2022-09-03,South,Sat,0,967
TS-000247,2022-09-04,South,Sun,0,883
TS-000248,2022-09-05,Central,Mon,0,1052
TS-000249,2022-09-06,Central,Tue,0,970
TS-000250,2022-09-07,South,Wed,0,1057
TS-000251,2022-09-08,West,Thu,0,1017
TS-000252,2022-09-09,Central,Fri,0,1000
TS-000253,2022-09-10,Central,Sat,0,1130
TS-000254,2022-09-11,South,Sun,0,1002
TS-000255,2022-09-12,Central,Mon,0,1128
TS-000256,2022-09-13,South,Tue,0,973
TS-000257,2022-09-14,East,Wed,0,1045
TS-000258,2022-09-15,North,Thu,0,945
TS-000259,2022-09-16,West,Fri,0,977
TS-000260,2022-09-17,South,Sat,0,1021
TS-000261,2022-09-18,West,Sun,0,1118
TS-000262,2022-09-19,East,Mon,0,911
TS-000263,2022-09-20,South,Tue,0,987
TS-000264,2022-09-21,West,Wed,0,956
TS-000265,2022-09-22,West,Thu,0,875
TS-000266,2022-09-23,South,Fri,0,1044
TS-000267,2022-09-24,West,Sat,0,880
TS-000268,2022-09-25,North,Sun,0,1036
TS-000269,2022-09-26,West,Mon,0,995
TS-000270,2022-09-27,South,Tue,1,871
TS-000271,2022-09-28,North,Wed,0,868
TS-000272,2022-09-29,Central,Thu,1,785
TS-000273,2022-09-30,Central,Fri,0,748
TS-000274,2022-10-01,North,Sat,0,633
TS-000275,2022-10-02,East,Sun,0,734
TS-000276,2022-10-03,West,Mon,0,830
TS-000277,2022-10-04,South,Tue,0,826
TS-000278,2022-10-05,Central,Wed,0,736
TS-000279,2022-10-06,South,Thu,0,696
TS-000280,2022-10-07,East,Fri,0,847
TS-000281,2022-10-08,East,Sat,0,820
TS-000282,2022-10-09,North,Sun,0,671
TS-000283,2022-10-10,Central,Mon,0,752
TS-000284,2022-10-11,West,Tue,0,631
TS-000285,2022-10-12,Central,Wed,0,763
TS-000286,2022-10-13,Central,Thu,0,802
TS-000287,2022-10-14,East,Fri,0,739
TS-000288,2022-10-15,West,Sat,0,818
TS-000289,2022-10-16,North,Sun,0,682
TS-000290,2022-10-17,West,Mon,0,705
TS-000291,2022-10-18,West,Tue,0,750
TS-000292,2022-10-19,Central,Wed,0,789
TS-000293,2022-10-20,Central,Thu,0,800
TS-000294,2022-10-21,East,Fri,0,644
TS-000295,2022-10-22,East,Sat,0,701
TS-000296,2022-10-23,Central,Sun,0,839
TS-000297,2022-10-24,South,Mon,0,930
TS-000298,2022-10-25,East,Tue,0,771
TS-000299,2022-10-26,South,Wed,0,752
TS-000300,2022-10-27,East,Thu,0,886
TS-000301,2022-10-28,South,Fri,0,1009
TS-000302,2022-10-29,North,Sat,0,908
TS-000303,2022-10-30,West,Sun,0,904
TS-000304,2022-10-31,South,Mon,0,953
TS-000305,2022-11-01,Central,Tue,0,1024
TS-000306,2022-11-02,South,Wed,0,857
TS-000307,2022-11-03,Central,Thu,0,1057
TS-000308,2022-11-04,Central,Fri,0,897
TS-000309,2022-11-05,West,Sat,0,1031
TS-000310,2022-11-06,North,Sun,0,1079
TS-000311,2022-11-07,West,Mon,1,1030
TS-000312,2022-11-08,East,Tue,0,959
TS-000313,2022-11-09,West,Wed,0,1009
TS-000314,2022-11-10,South,Thu,0,958
TS-000315,2022-11-11,North,Fri,0,1033
TS-000316,2022-11-12,North,Sat,0,954
TS-000317,2022-11-13,West,Sun,0,971
TS-000318,2022-11-14,North,Mon,0,1113
TS-000319,2022-11-15,West,Tue,0,939
TS-000320,2022-11-16,North,Wed,0,999
TS-000321,2022-11-17,Central,Thu,0,1125
TS-000322,2022-11-18,East,Fri,0,949
TS-000323,2022-11-19,North,Sat,0,820
TS-000324,2022-11-20,South,Sun,0,1128
TS-000325,2022-11-21,East,Mon,0,1022
TS-000326,2022-11-22,South,Tue,0,901
TS-000327,2022-11-23,West,Wed,0,982
TS-000328,2022-11-24,North,Thu,0,866
TS-000329,2022-11-25,East,Fri,0,820
TS-000330,2022-11-26,East,Sat,0,923
TS-000331,2022-11-27,East,Sun,0,919
TS-000332,2022-11-28,Central,Mon,0,797
TS-000333,2022-11-29,West,Tue,0,816
TS-000334,2022-11-30,East,Wed,0,880
TS-000335,2022-12-01,West,Thu,0,874
TS-000336,2022-12-02,North,Fri,0,851
TS-000337,2022-12-03,South,Sat,0,897
TS-000338,2022-12-04,South,Sun,0,803
TS-000339,2022-12-05,North,Mon,0,1000
TS-000340,2022-12-06,South,Tue,0,630
TS-000341,2022-12-07,Central,Wed,0,809
TS-000342,2022-12-08,South,Thu,0,891
TS-000343,2022-12-09,East,Fri,0,554
TS-000344,2022-12-10,East,Sat,0,787
TS-000345,2022-12-11,East,Sun,0,801
TS-000346,2022-12-12,Central,Mon,0,798
TS-000347,2022-12-13,West,Tue,0,765
TS-000348,2022-12-14,Central,Wed,1,861
TS-000349,2022-12-15,South,Thu,0,717
TS-000350,2022-12-16,East,Fri,0,922
TS-000351,2022-12-17,East,Sat,0,898
TS-000352,2022-12-18,West,Sun,0,802
TS-000353,2022-12-19,West,Mon,0,886
TS-000354,2022-12-20,West,Tue,0,730
TS-000355,2022-12-21,North,Wed,0,811
TS-000356,2022-12-22,East,Thu,0,821
TS-000357,2022-12-23,South,Fri,0,826
TS-000358,2022-12-24,East,Sat,0,954
TS-000359,2022-12-25,South,Sun,0,806
TS-000360,2022-12-26,South,Mon,0,840
TS-000361,2022-12-27,East,Tue,0,913
TS-000362,2022-12-28,West,Wed,0,930
TS-000363,2022-12-29,West,Thu,0,879
TS-000364,2022-12-30,East,Fri,0,1035
TS-000365,2022-12-31,North,Sat,0,1026
