ApplicationId,AnnualRevenue,YearsInBusiness,IndustrySector,NumEmployees,ExistingDebtRatio,CollateralValue,CreditScore,LatePayments12m,Region,RiskGrade
APP-000028,293426,6.1,Technology,276,0.76,1449842,668,2,South,D
APP-000029,1314062,28.1,Construction,464,0.32,1443864,570,5,Central,E
APP-000030,2238301,20.7,Technology,370,0.79,1242638,476,6,West,E
APP-000031,3340300,2.1,Construction,210,0.81,393218,626,6,East,E
APP-000032,1942138,4.1,Technology,101,0.47,1142546,615,2,East,D
APP-000033,2626896,5.6,Agriculture,253,0.66,742078,790,4,South,D
APP-000034,3649586,16.8,Agriculture,286,0.82,611368,634,2,North,E
APP-000035,3978513,14.5,Agriculture,458,0.14,163580,609,4,North,D
APP-000036,3526865,28.5,Retail,149,0.48,597134,652,4,West,D
APP-000037,3620925,9.5,Retail,339,0.84,1604156,665,4,South,E
APP-000038,250173,27.5,Construction,316,0.74,1520676,671,6,Central,E
APP-000039,4516692,12,Retail,394,0.88,684056,634,6,South,E
APP-000040,4857534,15.1,Technology,365,0.55,1968560,650,6,North,E
APP-000041,4599476,17.7,Healthcare,195,0.11,547964,567,6,South,E
APP-000042,4118984,26.3,Agriculture,21,0.42,81260,644,0,East,C
APP-000043,4872607,20.5,Manufacturing,180,0.19,1196362,661,2,East,C
APP-000044,4577423,7.9,Manufacturing,143,0.78,,609,5,Central,E
APP-000045,1866719,2.9,Construction,249,0.18,314318,668,5,North,D
APP-000046,3305293,19.5,Manufacturing,316,0.52,1472372,583,6,East,E
APP-000047,3179628,5.9,Technology,406,0.77,1669718,554,3,South,D
APP-000048,592416,25.4,Technology,113,0.37,1485830,715,5,East,D
APP-000049,481630,27.5,Construction,454,0.85,55406,693,6,South,E
APP-000050,1486485,2.1,Technology,19,0.17,1297502,654,3,West,C
APP-000051,4635730,8.3,Construction,493,0.63,1731314,850,0,East,C
APP-000052,1165334,20.4,Agriculture,397,0.76,77230,704,6,East,E
APP-000053,4505743,12.7,Manufacturing,436,0.41,497816,745,1,Central,C
APP-000054,4820691,26.3,Agriculture,192,0.63,1886788,750,0,Central,C
APP-000055,4835873,16.5,Agriculture,216,0.69,291556,505,5,East,E
APP-000056,2693325,15.7,Agriculture,453,0.5,1036866,622,3,North,E
APP-000057,571314,18.2,Agriculture,59,0.38,1528640,645,4,Central,D
APP-000058,131809,17.4,Retail,136,0.58,1285718,779,1,North,C
APP-000059,3512901,0.9,Manufacturing,171,0.4,918802,838,4,West,C
APP-000060,3734562,20.2,Agriculture,180,0.24,568806,677,4,West,D
APP-000061,3192582,25.4,Retail,152,0.53,492818,741,0,North,C
APP-000062,869502,11.4,Construction,95,0.6,881436,494,2,South,D
APP-000063,138362,13.7,Agriculture,295,0.41,161916,689,0,North,C
APP-000064,3615307,20.4,Retail,359,0.38,817626,594,6,Central,E
APP-000065,791480,29.3,Technology,59,0.23,1898474,572,2,Central,C
APP-000066,4405406,15.5,Construction,323,0.76,1879180,611,4,East,E
APP-000067,1494143,6.3,Manufacturing,470,0.11,1378640,823,5,South,C
APP-000068,3458981,11.7,Retail,238,0.62,1935110,731,3,Central,D
APP-000069,2425753,27.8,Manufacturing,206,0.76,1770444,705,2,South,D
APP-000070,4577577,14,Healthcare,38,0.59,1316818,545,5,East,E
APP-000071,3062362,10.6,Retail,28,0.69,1538910,681,5,West,E
APP-000072,2737058,21.7,Technology,386,0.66,1612440,524,5,East,E
APP-000073,155707,21.7,Manufacturing,97,0.83,1263224,718,0,North,D
APP-000074,4101412,14.4,Agriculture,409,0.51,304228,604,5,Central,D
APP-000075,4885734,14.1,Healthcare,79,0.13,654318,584,1,North,B
APP-000076,1181521,27.7,Retail,445,0.17,1528412,726,5,South,B
APP-000077,4235364,16.4,Retail,36,0.14,1785908,800,5,East,D
APP-000078,1896271,8.9,Manufacturing,165,0.12,1337556,665,1,East,B
APP-000079,4847743,11.5,Manufacturing,189,0.7,1581182,776,1,North,C
APP-000080,809444,5.6,Technology,226,0.19,1090944,680,4,West,C
APP-000081,4921364,21.7,Agriculture,9,0.64,,586,0,West,D
APP-000082,2539909,15,Agriculture,215,0.21,616814,663,2,East,C
APP-000083,3481345,15.9,Technology,27,0.32,875090,698,5,South,D
APP-000084,688258,18.6,Manufacturing,415,0.74,1836878,670,5,West,E
APP-000085,1638643,3.2,Construction,101,0.45,193082,749,5,West,D
APP-000086,3552630,17.3,Retail,68,0.24,1443550,743,2,Central,C
APP-000087,4763722,3.2,Construction,415,0.57,351688,516,3,East,D
APP-000088,4741630,5.3,Healthcare,407,0.78,36960,657,4,Central,E
APP-000089,1568061,26.6,Healthcare,343,0.26,,621,4,West,D
APP-000090,2265704,6.6,Retail,269,0.85,1629542,633,6,South,E
APP-000091,1205726,8.5,Agriculture,146,0.88,1089234,695,2,Central,D
APP-000092,4022340,9.4,Healthcare,157,0.32,1167452,669,6,South,D
APP-000093,3454877,2.8,Healthcare,181,0.4,646038,636,2,West,C
APP-000094,3576390,8,Agriculture,214,0.39,1598820,601,6,South,E
APP-000095,2342563,26.8,Agriculture,394,0.73,89046,617,1,North,D
APP-000096,3195725,12.5,Healthcare,118,0.79,824474,765,6,South,E
APP-000097,3940725,29.5,Healthcare,113,0.67,1692930,634,2,North,D
APP-000098,1259409,18.4,Construction,40,0.64,1250714,708,5,North,E
APP-000099,2745636,3.1,Healthcare,222,0.13,1332214,615,0,East,B
APP-000100,1835024,8.8,Agriculture,391,0.34,1235564,658,5,South,D
APP-000101,3149819,7.2,Construction,98,0.78,,801,3,Central,D
APP-000102,4390457,25.4,Agriculture,290,0.79,868762,640,5,West,E
APP-000103,3150527,4.3,Retail,293,0.69,940246,590,1,Central,D
APP-000104,4535878,16.4,Agriculture,20,0.8,414624,717,4,North,E
APP-000105,2573287,0.9,Healthcare,498,0.7,1548524,633,6,North,E
APP-000106,1790598,5.9,Retail,23,0.21,1990096,477,1,Central,C
APP-000107,1633040,13.5,Construction,329,0.45,120388,651,0,Central,B
APP-000108,1315799,23.3,Healthcare,414,0.27,788930,669,0,South,B
APP-000109,4302654,9.9,Manufacturing,203,0.84,846106,601,5,West,E
APP-000110,1976090,10.7,Healthcare,363,0.52,657382,659,3,East,D
APP-000111,4012777,13.6,Agriculture,254,0.31,940188,850,3,West,C
APP-000112,709241,11.2,Healthcare,441,0.14,1008932,739,0,North,B
APP-000113,1444069,20.2,Retail,248,0.34,1115156,616,1,East,D
APP-000114,4856029,28.3,Agriculture,472,0.86,1272338,599,5,East,E
APP-000115,4759499,19,Manufacturing,467,0.2,849018,587,0,West,C
APP-000116,3984824,23.8,Agriculture,351,0.76,306566,725,0,Central,C
APP-000117,4017742,5.8,Healthcare,495,0.42,1538030,673,1,North,C
APP-000118,4897535,0.9,Healthcare,128,0.23,530648,581,3,East,D
APP-000119,4306272,18.9,Agriculture,66,0.21,670274,611,1,East,C
APP-000120,473215,14.9,Agriculture,389,0.37,,595,6,East,E
APP-000121,758484,17.6,Retail,451,0.12,1928824,549,1,Central,C
APP-000122,1994202,26.4,Healthcare,433,0.34,667886,683,2,South,C
APP-000123,3412411,20.5,Agriculture,401,0.24,648268,632,5,Central,D
APP-000124,2568233,10.7,Technology,360,0.34,1146226,629,0,North,C
APP-000125,2421199,2.1,Healthcare,5,0.14,,585,0,Central,C
APP-000126,3682587,25.4,Manufacturing,73,0.61,746868,594,1,North,C
APP-000127,1776194,13.7,Agriculture,309,0.54,771820,690,1,North,C
APP-000128,998113,24.4,Healthcare,187,0.43,1510296,799,4,Central,D
APP-000129,3912005,24.1,Manufacturing,331,0.44,543886,597,2,East,D
APP-000130,2419189,2.2,Manufacturing,148,0.72,1567788,733,6,East,C
APP-000131,916874,20.5,Construction,54,0.44,1464632,724,1,West,C
APP-000132,4041418,1.8,Retail,473,0.18,1125280,746,0,North,B
APP-000133,1640890,5.6,Retail,112,0.68,517016,646,2,Central,D
APP-000134,162885,22.6,Construction,85,0.29,809712,747,2,East,D
APP-000135,1853112,18.6,Construction,56,0.58,1852152,713,0,North,C
APP-000136,2322778,23.6,Healthcare,340,0.2,819626,705,4,North,B
APP-000137,2330326,15.4,Healthcare,408,0.67,1070708,581,4,South,E
APP-000138,4079216,5.6,Technology,404,0.87,1219832,576,6,West,E
APP-000139,2365828,1.2,Manufacturing,369,0.73,1013728,581,1,Central,D
APP-000140,3742853,6.9,Manufacturing,23,0.58,535336,630,6,North,B
APP-000141,613409,14.3,Manufacturing,480,0.23,736834,578,2,South,C
APP-000142,3131439,28.4,Agriculture,24,0.86,1461954,679,3,West,E
APP-000143,3634072,2.4,Technology,452,0.32,1019726,737,0,South,B
APP-000144,527225,21.3,Construction,191,0.16,237962,681,6,North,D
APP-000145,1249984,29.1,Agriculture,499,0.42,1880624,654,3,South,D
APP-000146,3050393,8.9,Retail,479,0.64,1152548,726,5,East,D
APP-000147,1686787,18.8,Technology,422,0.43,322916,828,5,East,D
APP-000148,252123,29.4,Technology,307,0.51,1328078,453,6,Central,E
APP-000149,1233030,23.5,Construction,472,0.34,529014,618,0,South,C
APP-000150,1294975,4.1,Agriculture,232,0.33,87232,739,2,North,C
APP-000151,653796,19.2,Retail,205,0.81,1977144,649,4,Central,E
APP-000152,1791346,19.7,Technology,452,0.78,931910,735,3,West,C
APP-000153,1845484,7.2,Construction,205,0.77,1921438,605,4,South,D
APP-000154,4847357,19.2,Construction,167,0.51,1091104,541,6,East,E
APP-000155,3802971,0.9,Agriculture,473,0.61,,670,1,East,C
APP-000156,3932171,21.1,Retail,208,0.6,1104300,593,4,West,D
APP-000157,2253874,18.7,Construction,101,0.6,111046,566,3,West,D
APP-000158,1269759,27.5,Technology,311,0.78,1294734,666,6,North,E
APP-000159,2955036,16.7,Technology,185,0.17,1745506,649,0,North,B
APP-000160,659187,17.4,Agriculture,258,0.9,1281018,813,4,South,D
APP-000161,994717,21.6,Technology,409,0.18,41312,577,0,South,B
APP-000162,3948264,15.4,Retail,284,0.3,221576,639,4,East,C
APP-000163,880531,11,Manufacturing,282,0.33,1333070,707,1,West,B
APP-000164,2398270,22.8,Agriculture,76,0.27,1422628,601,0,South,C
APP-000165,2324050,29,Manufacturing,139,0.37,1877564,635,2,South,C
APP-000166,4639195,9.3,Construction,382,0.11,539720,587,4,Central,D
APP-000167,2962238,17.2,Technology,147,0.6,1848548,587,5,Central,E
APP-000168,3526350,22.8,Healthcare,380,0.19,1022504,720,2,South,C
APP-000169,2692295,20.2,Manufacturing,411,0.69,390694,845,5,Central,D
APP-000170,229626,18.3,Construction,293,0.51,1491726,481,6,Central,E
APP-000171,2197657,10.5,Healthcare,453,0.67,152018,766,6,South,E
APP-000172,3457738,21.5,Healthcare,346,0.84,29168,649,2,West,D
APP-000173,2164957,13.4,Retail,351,0.21,1973538,618,1,East,C
APP-000174,1847617,22.2,Agriculture,464,0.71,1622392,658,3,North,D
APP-000175,610800,18.3,Agriculture,430,0.2,1898732,629,2,East,C
APP-000176,3808486,10.9,Construction,455,0.37,1293556,566,3,Central,D
APP-000177,3713015,20.9,Healthcare,287,0.17,1839354,746,3,South,C
APP-000178,3980953,27.8,Manufacturing,84,0.82,1778040,788,2,South,D
APP-000179,1113037,14.2,Agriculture,27,0.53,1345672,636,1,South,C
APP-000180,2915892,14.6,Manufacturing,282,0.88,1814188,598,4,East,E
APP-000181,89313,15.5,Agriculture,478,0.5,1514892,629,1,North,D
APP-000182,2595201,13.5,Manufacturing,448,0.52,1050194,726,6,South,E
APP-000183,3745056,24.3,Agriculture,11,0.24,1277900,430,2,South,D
APP-000184,897490,5.9,Manufacturing,409,0.64,1812624,607,3,North,E
APP-000185,1505642,13.3,Construction,317,0.32,,566,2,West,C
APP-000186,3054502,22,Manufacturing,246,0.4,516800,734,2,South,C
APP-000187,2583593,14.7,Manufacturing,377,0.13,1185268,636,0,North,B
APP-000188,248891,26.5,Technology,367,0.71,673524,619,4,Central,E
APP-000189,2855942,3.2,Construction,423,0.18,543652,626,1,East,C
APP-000190,967765,1.6,Retail,205,0.44,625664,612,3,West,D
APP-000191,268696,19.2,Retail,409,0.76,1893346,654,4,East,D
APP-000192,453049,25.5,Agriculture,104,0.49,1680862,644,5,West,E
APP-000193,870453,5.1,Technology,89,0.35,1815716,830,5,East,D
APP-000194,916755,9.5,Healthcare,214,0.64,1770390,675,1,East,C
APP-000195,3904540,4.5,Retail,443,0.16,791996,757,5,West,D
APP-000196,1191267,8.2,Retail,270,0.21,1779058,620,6,East,D
APP-000197,4163866,12.8,Retail,361,0.9,283530,739,2,East,D
APP-000198,675819,29.5,Agriculture,255,0.9,1968668,747,5,East,E
APP-000199,4479958,20.1,Manufacturing,429,0.69,398430,648,4,Central,E
APP-000200,4652970,4.9,Manufacturing,420,0.33,1567818,600,1,South,C
APP-000201,4746634,22.8,Agriculture,25,0.66,770882,697,5,East,E
APP-000202,2967446,15.3,Construction,89,0.15,1586234,449,2,Central,C
APP-000203,2760432,14.9,Healthcare,298,0.34,1401452,629,0,North,B
APP-000204,1789385,18.1,Retail,133,0.38,625560,542,6,East,E
APP-000205,4854406,24.9,Healthcare,139,0.39,1158330,609,1,West,D
APP-000206,1285475,17.3,Technology,415,0.68,418718,708,1,West,D
APP-000207,3709486,30,Retail,356,0.13,535098,610,6,Central,E
APP-000208,2994701,1.3,Agriculture,162,0.66,349580,637,3,East,D
APP-000209,1830728,2.6,Manufacturing,17,0.5,316138,540,4,West,E
APP-000210,2891547,1.5,Healthcare,136,0.35,1513370,595,5,North,E
APP-000211,3527548,19.6,Retail,241,0.48,42044,540,0,West,C
APP-000212,4158817,13.2,Manufacturing,122,0.41,192930,703,4,North,D
APP-000213,54173,23.7,Healthcare,435,0.63,1985990,790,5,South,D
APP-000214,673225,27.7,Manufacturing,278,0.17,1527338,700,3,North,C
APP-000215,4853767,27.4,Construction,40,0.86,1347706,625,5,West,E
APP-000216,1832827,1.5,Healthcare,73,0.29,1440906,680,3,Central,D
APP-000217,1260280,17.5,Retail,22,0.72,1605412,576,4,North,E
APP-000218,584353,29.3,Technology,369,0.85,1315570,720,1,West,C
APP-000219,1905978,5.6,Construction,424,0.43,134466,633,5,South,D
APP-000220,4852238,2.9,Construction,215,0.87,1621626,687,5,South,E
APP-000221,986901,18.9,Healthcare,16,0.6,779018,713,1,South,C
APP-000222,1221665,26.8,Technology,191,0.44,1765120,568,0,West,C
APP-000223,2426287,3.7,Construction,275,0.1,31520,558,4,Central,D
APP-000224,3522479,0.5,Retail,49,0.36,1583300,689,1,East,C
APP-000225,3811807,7.2,Agriculture,417,0.53,4492,537,2,South,D
APP-000226,2798141,18.9,Healthcare,170,0.25,1975930,610,5,Central,A
APP-000227,2949750,12.4,Agriculture,286,0.36,264670,618,0,West,C
APP-000228,3062318,15.8,Healthcare,218,0.85,1504788,739,1,East,D
APP-000229,141045,22.8,Healthcare,432,0.45,834874,563,4,North,E
APP-000230,2789785,6.5,Technology,453,0.81,,681,2,West,D
APP-000231,4972369,22,Retail,351,0.81,924140,740,1,West,C
APP-000232,4854663,17.6,Construction,75,0.87,1574108,642,6,North,E
APP-000233,4025157,4.5,Agriculture,2,0.1,685772,646,4,Central,C
APP-000234,1505444,11.2,Construction,435,0.51,1781144,707,4,East,D
APP-000235,3680028,24.7,Retail,462,0.35,373966,606,2,South,D
APP-000236,1664680,29.6,Technology,498,0.7,493920,495,0,South,D
APP-000237,4628790,28.8,Construction,182,0.79,1945804,622,3,East,E
APP-000238,1002395,20.8,Agriculture,114,0.23,976734,669,4,North,D
APP-000239,796222,27.8,Healthcare,189,0.12,771902,591,6,North,D
APP-000240,2806650,17.9,Technology,374,0.8,726640,651,0,Central,C
APP-000241,668705,18.2,Manufacturing,348,0.73,161198,617,3,North,E
APP-000242,3610995,10.2,Retail,317,0.72,833888,733,5,East,E
APP-000243,2418585,20.8,Healthcare,265,0.53,1747038,695,5,Central,E
APP-000244,1697444,29.5,Agriculture,410,0.88,52560,770,2,East,D
APP-000245,4802614,19.7,Manufacturing,152,0.56,994864,715,2,West,D
APP-000246,1380421,17.7,Agriculture,499,0.33,1791772,637,3,South,D
APP-000247,1402790,8.5,Retail,186,0.42,1987444,788,6,West,D
APP-000248,309533,16.4,Agriculture,107,0.86,1353476,713,5,South,E
APP-000249,4459648,0.9,Construction,84,0.83,976644,749,5,South,E
APP-000250,718656,23.8,Agriculture,495,0.82,746834,637,3,East,E
APP-000251,4456302,5.1,Healthcare,90,0.86,94176,512,5,Central,E
APP-000252,4725290,1.7,Agriculture,315,0.37,606806,606,5,East,A
APP-000253,1122259,20.4,Retail,19,0.84,1550034,625,0,Central,D
APP-000254,3423232,0.8,Retail,364,0.25,643990,538,3,South,D
APP-000255,3999570,11.8,Agriculture,96,0.21,762184,703,6,North,D
APP-000256,4258401,20.4,Healthcare,290,0.16,930452,600,5,North,D
APP-000257,186105,3.8,Agriculture,179,0.38,1770494,599,5,East,E
APP-000258,4487655,23.6,Construction,168,0.54,50878,571,1,South,D
APP-000259,4627582,24.2,Healthcare,416,0.72,1159078,789,0,South,C
APP-000260,1665863,16.6,Technology,497,0.33,13144,633,0,East,C
APP-000261,3279954,11.5,Construction,472,0.61,382144,652,2,East,D
APP-000262,2857670,8.2,Retail,324,0.58,,538,2,South,D
APP-000263,3611827,18.5,Manufacturing,397,0.5,,640,4,North,E
APP-000264,2313749,27.2,Manufacturing,69,0.22,1453560,519,2,West,C
APP-000265,1006142,29.1,Construction,315,0.57,1884402,587,5,North,E
APP-000266,3836824,19.6,Construction,89,0.23,1535854,673,2,West,C
APP-000267,2352200,3.3,Technology,395,0.78,350792,589,5,East,E
APP-000268,3461357,19.8,Technology,429,0.2,378588,614,3,North,C
APP-000269,3797393,9.8,Technology,314,0.63,,653,5,North,E
APP-000270,4522097,10.3,Manufacturing,319,0.75,1706490,672,3,West,D
APP-000271,216419,16.5,Technology,313,0.78,1252408,577,4,West,E
APP-000272,4764019,11.3,Retail,322,0.54,1177524,635,3,South,D
APP-000273,2730816,4.8,Technology,30,0.86,1036330,733,1,South,C
APP-000274,828586,6.1,Agriculture,229,0.42,728682,670,0,West,C
APP-000275,395213,21.6,Healthcare,180,0.13,185502,646,5,South,D
APP-000276,2612570,19.4,Healthcare,349,0.82,1278632,632,2,South,D
APP-000277,2237544,28.6,Healthcare,143,0.18,531388,692,0,East,C
APP-000278,1222665,12.4,Healthcare,439,0.83,1005640,736,1,South,D
APP-000279,2727945,7.5,Retail,363,0.52,128204,808,1,Central,C
APP-000280,1258701,5.8,Agriculture,18,0.72,820270,684,3,West,D
APP-000281,2631014,1.3,Healthcare,364,0.68,523560,675,6,Central,E
APP-000282,788258,26.6,Construction,299,0.39,,697,1,West,C
APP-000283,3400893,10.9,Technology,43,0.22,312168,647,1,West,B
APP-000284,528893,1.5,Construction,401,0.27,1540768,725,4,North,D
APP-000285,2484336,16.2,Construction,190,0.64,181716,664,6,Central,E
APP-000286,2414927,5,Retail,132,0.39,1887142,673,4,East,D
APP-000287,4842798,24.7,Construction,231,0.42,682518,522,2,North,D
APP-000288,4670196,3.6,Manufacturing,140,0.51,1424032,722,0,Central,C
APP-000289,364543,12.4,Manufacturing,244,0.26,1738514,552,1,North,C
APP-000290,1186000,18.5,Technology,432,0.28,1052382,700,3,North,C
APP-000291,718027,16.6,Manufacturing,67,0.28,1047236,594,5,East,D
APP-000292,2344538,16.4,Manufacturing,469,0.4,341030,618,2,Central,D
APP-000293,492089,9.5,Agriculture,370,0.14,1715724,605,3,South,D
APP-000294,4065039,26.3,Manufacturing,148,0.43,1240892,582,2,North,D
APP-000295,2579034,1.5,Technology,52,0.85,986196,579,2,South,E
APP-000296,3334563,27,Healthcare,384,0.23,1062312,589,6,North,E
APP-000297,2889360,6.2,Technology,192,0.79,272690,646,6,North,E
APP-000298,503420,5.9,Healthcare,363,0.64,216252,372,5,South,D
APP-000299,1048168,6.1,Healthcare,139,0.26,1056122,430,4,West,E
APP-000300,1784732,7,Technology,249,0.39,1089116,703,6,East,D
APP-000301,4102322,17.9,Manufacturing,2,0.8,1172116,664,1,North,D
APP-000302,1039881,5.9,Construction,415,0.16,83056,598,4,North,D
APP-000303,391555,26.7,Manufacturing,103,0.14,721926,669,1,West,C
APP-000304,500391,15.8,Construction,226,0.43,204892,646,5,South,E
APP-000305,3881795,1.1,Healthcare,391,0.39,1918594,616,5,East,D
APP-000306,501376,22.9,Manufacturing,325,0.83,344810,593,0,West,D
APP-000307,2068551,25.3,Manufacturing,4,0.21,327146,595,6,Central,D
APP-000308,4285938,28.7,Technology,205,0.25,1891842,637,1,South,C
APP-000309,3340117,5.9,Manufacturing,77,0.14,1380922,757,1,West,B
APP-000310,2183465,21.8,Retail,209,0.41,1253906,507,1,East,D
APP-000311,3425143,14.6,Technology,277,0.62,1010192,671,4,South,D
APP-000312,3904525,8.7,Manufacturing,3,0.27,1161300,715,2,East,C
APP-000313,1260399,10.7,Technology,407,0.72,1632864,677,6,South,E
APP-000314,3884166,2.4,Retail,186,0.72,1269208,497,2,West,D
APP-000315,4983630,24.7,Construction,34,0.76,1027194,710,5,North,C
APP-000316,3254333,13.1,Healthcare,231,0.89,1503318,591,5,South,E
APP-000317,4443991,23.4,Manufacturing,230,0.78,315758,651,3,West,E
APP-000318,835184,4.8,Manufacturing,407,0.21,876226,623,4,West,D
APP-000319,588377,30,Agriculture,299,0.3,1289480,669,4,South,C
APP-000320,1524120,1.7,Construction,260,0.31,827326,637,6,Central,E
APP-000321,4044308,8,Construction,170,0.73,655384,781,2,Central,D
APP-000322,812246,24.1,Technology,99,0.79,619848,635,1,South,D
APP-000323,2475693,2.2,Agriculture,274,0.78,,673,6,North,E
APP-000324,3083518,19.3,Agriculture,372,0.64,1106418,541,3,East,E
APP-000325,690911,10.3,Manufacturing,60,0.61,1733346,662,0,South,D
APP-000326,95461,27.8,Retail,305,0.71,700576,767,4,West,D
APP-000327,4773013,14.6,Healthcare,447,0.58,488996,623,0,West,C
APP-000328,2480396,28.6,Agriculture,24,0.32,1392016,698,2,North,D
APP-000329,1417324,22.2,Technology,130,0.25,1548496,609,2,Central,D
APP-000330,4633066,24,Construction,303,0.8,836240,655,5,West,E
APP-000331,606806,18.4,Agriculture,427,0.25,1834868,581,0,East,C
APP-000332,648990,6.7,Retail,373,0.51,282012,548,6,West,E
APP-000333,3426266,5.8,Retail,245,0.34,77524,755,0,South,B
APP-000334,1482609,10.5,Retail,347,0.72,576426,531,5,East,E
APP-000335,3214109,28.7,Healthcare,277,0.28,1670648,650,2,North,D
APP-000336,3953689,24.6,Healthcare,123,0.5,1261122,606,4,East,D
APP-000337,4690061,26.9,Healthcare,327,0.75,,633,3,East,E
APP-000338,1952978,26.8,Manufacturing,406,0.27,608122,758,2,North,C
APP-000339,157737,13.4,Healthcare,238,0.36,1134082,730,2,Central,C
APP-000340,773457,27.7,Healthcare,16,0.71,1088334,711,2,South,D
APP-000341,4593214,1.5,Healthcare,171,0.53,1995278,696,2,South,D
APP-000342,2672272,29.7,Agriculture,98,0.47,673612,725,3,East,C
APP-000343,4802129,10.1,Healthcare,417,0.89,1731702,727,3,West,B
APP-000344,1587648,16.6,Technology,362,0.33,772956,617,4,Central,E
APP-000345,136863,26.5,Manufacturing,252,0.8,,614,3,South,D
APP-000346,53371,16.4,Healthcare,486,0.71,1064288,744,2,South,D
APP-000347,4952851,3.6,Manufacturing,239,0.34,892660,745,4,South,C
APP-000348,1530253,12.4,Construction,429,0.6,1301866,620,2,East,D
APP-000349,3394527,14.2,Construction,268,0.81,1409570,658,5,South,E
APP-000350,1412171,1.3,Construction,35,0.47,133594,564,0,South,C
APP-000351,616839,3.5,Manufacturing,419,0.5,181612,569,6,West,E
APP-000352,2201938,15.4,Technology,179,0.88,1281462,539,5,South,E
APP-000353,3801773,16,Manufacturing,477,0.71,1273794,850,1,West,C
APP-000354,3668341,3.2,Manufacturing,35,0.46,1824016,719,6,North,D
APP-000355,4610321,22.8,Healthcare,179,0.7,1113430,672,1,East,C
APP-000356,2481994,26.9,Construction,348,0.23,1256286,653,6,East,E
APP-000357,4802554,22.5,Healthcare,87,0.25,244662,664,2,South,C
APP-000358,2627628,19.3,Retail,460,0.19,1850566,591,3,West,D
APP-000359,4712108,3.4,Agriculture,345,0.12,1744562,722,6,South,D
APP-000360,3927484,12.3,Healthcare,474,0.35,1310580,690,3,West,C
APP-000361,825932,7,Retail,118,0.42,1542640,706,5,East,A
APP-000362,4054278,6,Agriculture,431,0.36,27590,640,1,South,C
APP-000363,3302660,17.8,Technology,99,0.62,1945956,678,0,West,C
APP-000364,4872122,8.8,Healthcare,87,0.77,335746,578,0,South,D
APP-000365,4419405,6.2,Retail,490,0.38,83386,747,0,Central,C
APP-000366,2728910,29.2,Technology,258,0.86,1583684,694,6,South,E
APP-000367,1985297,27.5,Retail,461,0.88,872626,765,3,West,D
APP-000368,4629166,22.7,Manufacturing,187,0.85,292098,643,2,South,E
APP-000369,1643964,26.6,Retail,338,0.41,1960328,576,5,East,E
APP-000370,3011927,26.8,Agriculture,221,0.24,1330082,626,5,East,E
APP-000371,3537339,22.7,Technology,384,0.27,778640,784,3,South,C
APP-000372,633763,15.2,Healthcare,307,0.19,772184,631,6,East,A
APP-000373,496054,5.1,Construction,322,0.39,,554,2,North,C
APP-000374,3060422,16.5,Technology,396,0.59,504952,661,6,South,E
APP-000375,3220925,18.3,Technology,37,0.11,1512832,620,4,North,D
APP-000376,1926327,15.7,Technology,294,0.84,1991334,670,4,East,E
APP-000377,911251,5.9,Agriculture,298,0.47,721608,553,1,East,C
APP-000378,1318091,21.4,Construction,378,0.81,1965890,816,3,North,D
APP-000379,2264650,13.2,Construction,430,0.58,,530,3,North,E
