JobId,CandidateId,YearsExperience,EducationLevel,SkillMatchPct,InterviewScore,SalaryExpectation,ReferralSource,RemotePreference,CandidateFitScore
JOB-116,CND-00021,18.7,HighSchool,64.5,1.8,115026,LinkedIn,Onsite,0.7165
JOB-110,CND-00022,16.3,HighSchool,99.9,9.6,122445,CompanySite,Remote,1
JOB-106,CND-00023,15.1,Bachelors,67.2,4.8,134062,CompanySite,Onsite,0.8833
JOB-104,CND-00024,8,Masters,53.8,4,61447,JobBoard,Remote,0.5452
JOB-107,CND-00025,13,PhD,40.9,7.9,164784,CompanySite,Remote,0.9026
JOB-119,CND-00026,10.4,PhD,79.8,4.5,129889,JobBoard,Onsite,0.7752
JOB-118,CND-00027,6.3,Bootcamp,68.7,5.5,87419,Referral,Onsite,0.7393
JOB-102,CND-00028,3.8,Bachelors,51,7.1,129269,Recruiter,Hybrid,0.827
JOB-116,CND-00029,15.1,Bachelors,83.4,7.8,117109,CompanySite,Hybrid,1
JOB-101,CND-00030,11,HighSchool,56.2,9.5,74746,JobBoard,Onsite,1
JOB-103,CND-00031,15.1,Bachelors,97.3,4.4,69448,JobBoard,Onsite,0.9597
JOB-114,CND-00032,8,Bootcamp,47.4,3.7,173927,LinkedIn,Onsite,0.5116
JOB-100,CND-00033,5.9,PhD,86.5,1.5,110597,Referral,Remote,0.6445
JOB-116,CND-00034,0.4,Masters,83.5,9.2,128770,JobBoard,Hybrid,0.992
JOB-118,CND-00035,1.6,PhD,40.8,5,123539,Recruiter,Remote,0.5272
JOB-105,CND-00036,13.8,HighSchool,90.6,2.2,142607,CompanySite,Hybrid,0.7014
JOB-109,CND-00037,1.9,PhD,67.3,2.5,176103,Referral,Hybrid,0.4977
JOB-109,CND-00038,1.9,HighSchool,59.1,3.8,87243,Recruiter,Onsite,0.4929
JOB-114,CND-00039,17.2,Bachelors,86.8,8,125600,Referral,Remote,1
JOB-110,CND-00040,11.5,PhD,80.7,7.7,112501,JobBoard,Hybrid,1
JOB-118,CND-00041,19.8,PhD,73.4,1.8,83687,Referral,Onsite,0.7786
JOB-101,CND-00042,4.2,Bachelors,81.4,3.3,163446,CompanySite,Onsite,0.5866
JOB-101,CND-00043,10.7,PhD,63.1,6.9,71473,Recruiter,Onsite,0.9669
JOB-111,CND-00044,8,Masters,62.7,8.5,79174,LinkedIn,Hybrid,0.8408
JOB-110,CND-00045,6,Masters,55.3,2,76234,Referral,Onsite,0.5712
JOB-108,CND-00046,4.5,Masters,51.7,9.4,40894,CompanySite,Onsite,0.9183
JOB-101,CND-00047,5,Bachelors,44,6.1,134671,CompanySite,Hybrid,0.537
JOB-114,CND-00048,3.3,Masters,43.2,4.8,70219,Referral,Hybrid,0.6303
JOB-105,CND-00049,8.6,HighSchool,91.5,3.3,124543,Referral,Onsite,0.803
JOB-120,CND-00050,3.6,Bootcamp,88.3,3.6,99751,Recruiter,Onsite,0.7132
JOB-104,CND-00051,7.5,HighSchool,97.3,1.5,100238,Recruiter,Hybrid,0.7417
JOB-101,CND-00052,0.7,PhD,81.6,3.1,81064,Referral,Remote,0.6329
JOB-106,CND-00053,14.5,PhD,68.3,1.2,111287,CompanySite,Remote,0.6427
JOB-105,CND-00054,1.2,Masters,99.9,7.4,79507,CompanySite,Remote,0.8916
JOB-114,CND-00055,5.5,HighSchool,63.6,4.4,141840,JobBoard,Onsite,0.7409
JOB-101,CND-00056,8.8,HighSchool,78,9.7,137689,LinkedIn,Remote,1
JOB-114,CND-00057,17.9,Bachelors,90.6,2.8,108947,CompanySite,Onsite,0.7689
JOB-117,CND-00058,2.4,Bachelors,72.2,7.3,134013,CompanySite,Remote,0.8028
JOB-108,CND-00059,7.4,Bootcamp,99,2,119974,JobBoard,Remote,0.657
JOB-100,CND-00060,12.6,Bootcamp,51.9,2.3,45058,JobBoard,Remote,0.6546
JOB-113,CND-00061,7,HighSchool,88.7,2.4,43640,Recruiter,Hybrid,0.7338
JOB-108,CND-00062,5.4,PhD,68.3,3.7,169712,Referral,Remote,0.6062
JOB-110,CND-00063,12.4,PhD,72.7,8,57569,JobBoard,Hybrid,1
JOB-115,CND-00064,4.2,Bootcamp,78.3,8.3,128260,LinkedIn,Hybrid,0.9942
JOB-108,CND-00065,7.6,Bootcamp,97.7,2.5,131673,LinkedIn,Onsite,0.7148
JOB-118,CND-00066,2.8,Bootcamp,87.5,1.6,122881,LinkedIn,Remote,0.618
JOB-119,CND-00067,2.1,Bachelors,55.2,1.4,118426,CompanySite,Remote,0.2563
JOB-118,CND-00068,13,Bachelors,99.9,9.8,142912,JobBoard,Onsite,1
JOB-109,CND-00069,18.2,Bootcamp,52.4,8.1,147804,Referral,Onsite,1
JOB-118,CND-00070,12.4,PhD,73.9,7.4,153253,Referral,Remote,0.9956
JOB-114,CND-00071,3.8,PhD,91.9,9.5,124493,JobBoard,Remote,0.9246
JOB-120,CND-00072,14.9,Bachelors,75.1,6,95024,Recruiter,Remote,0.8239
JOB-110,CND-00073,14.7,Masters,44.6,7.8,148910,Referral,Hybrid,0.8969
JOB-108,CND-00074,16.6,HighSchool,55,9.2,85178,Referral,Hybrid,0.931
JOB-117,CND-00075,4.3,HighSchool,62.1,1.6,172460,LinkedIn,Onsite,0.5589
JOB-111,CND-00076,10.3,HighSchool,42.2,9.6,162421,CompanySite,Hybrid,0.9493
JOB-108,CND-00077,0.5,HighSchool,56.2,9,164582,Recruiter,Remote,0.7623
JOB-107,CND-00078,13.7,PhD,76.2,1.9,121888,JobBoard,Hybrid,0.6143
JOB-116,CND-00079,6.9,HighSchool,56.1,1.7,140843,LinkedIn,Remote,0.5799
JOB-108,CND-00080,5.4,HighSchool,97.1,9.5,102320,CompanySite,Hybrid,1
JOB-108,CND-00081,15,Bachelors,51.7,8.7,80076,Recruiter,Remote,0.9238
JOB-109,CND-00082,16.9,Bootcamp,68.5,7.7,102770,Referral,Hybrid,1
JOB-105,CND-00083,8.6,HighSchool,70.4,3.4,109742,Recruiter,Hybrid,0.7246
JOB-120,CND-00084,0.4,Bootcamp,74.1,8.7,53404,CompanySite,Remote,0.9644
JOB-103,CND-00085,4.7,PhD,48.3,4.9,64644,Referral,Onsite,0.6277
JOB-103,CND-00086,13.6,Bachelors,58.4,3.7,99338,Referral,Onsite,0.7796
JOB-103,CND-00087,12.6,Masters,48.1,2.7,147579,LinkedIn,Hybrid,0.4934
JOB-117,CND-00088,16.4,PhD,54.3,4.5,143426,CompanySite,Hybrid,0.8132
JOB-120,CND-00089,0.1,Masters,83.5,4.4,107063,CompanySite,Hybrid,0.6795
JOB-104,CND-00090,5.4,Bootcamp,96.4,8.7,48725,CompanySite,Onsite,1
JOB-101,CND-00091,1.1,Masters,96.3,3.6,70650,CompanySite,Hybrid,0.5277
JOB-103,CND-00092,5.7,Bootcamp,49.4,1.1,73488,Referral,Onsite,0.2691
JOB-111,CND-00093,19.9,Masters,97.7,7.6,154720,Referral,Remote,1
JOB-104,CND-00094,17,Bachelors,51.5,1.9,76365,CompanySite,Hybrid,0.655
JOB-112,CND-00095,0,Bachelors,75,1,60357,Referral,Onsite,0.32
JOB-106,CND-00096,4.8,PhD,79.3,3.1,47854,CompanySite,Remote,0.6752
JOB-112,CND-00097,7,Bootcamp,75.3,2.3,48376,Referral,Remote,0.5642
JOB-100,CND-00098,14.2,Masters,85.8,9.4,156794,CompanySite,Hybrid,1
JOB-120,CND-00099,9.2,Bootcamp,59.7,4.3,177504,Referral,Remote,0.5748
JOB-109,CND-00100,0.4,Masters,81.2,1,156851,CompanySite,Hybrid,0.4908
JOB-106,CND-00101,17.6,Bachelors,46.3,6.9,153087,CompanySite,Onsite,0.8632
JOB-109,CND-00102,10.5,Masters,60.5,3.2,140263,Recruiter,Onsite,0.5015
JOB-110,CND-00103,3.7,Masters,58.2,3.4,52814,JobBoard,Hybrid,0.5123
JOB-113,CND-00104,10.5,HighSchool,55.8,1,143196,Referral,Remote,0.5707
JOB-104,CND-00105,15.2,HighSchool,52.4,2.8,92453,Referral,Hybrid,0.5656
JOB-101,CND-00106,10.7,Bootcamp,42.8,4,95543,Referral,Hybrid,0.6017
JOB-107,CND-00107,6.2,Masters,93,9.1,163280,Recruiter,Remote,1
JOB-117,CND-00108,15,HighSchool,90.1,4.1,152732,CompanySite,Hybrid,0.7814
JOB-114,CND-00109,3.4,PhD,73.1,7.4,123645,Referral,Hybrid,0.8674
JOB-117,CND-00110,0.3,Masters,63.8,1.5,154769,JobBoard,Hybrid,0.3197
JOB-120,CND-00111,10.8,Bachelors,49.8,3.4,125623,Referral,Hybrid,0.5952
JOB-106,CND-00112,5.3,PhD,40.2,7.4,160612,LinkedIn,Onsite,0.6543
JOB-109,CND-00113,12.3,PhD,44.5,2.5,179823,CompanySite,Onsite,0.6525
JOB-107,CND-00114,4.5,HighSchool,75.8,5.8,105452,CompanySite,Remote,0.6987
JOB-104,CND-00115,3.8,PhD,90.5,7.3,61295,Recruiter,Hybrid,0.787
JOB-101,CND-00116,3.4,Masters,81,2.4,62406,JobBoard,Remote,0.419
JOB-115,CND-00117,0.5,Masters,52,3.1,103151,LinkedIn,Onsite,0.3615
JOB-101,CND-00118,12.5,HighSchool,76.5,9.3,51888,LinkedIn,Onsite,1
JOB-108,CND-00119,13.3,Bachelors,86.5,3.9,72521,JobBoard,Remote,0.8695
JOB-103,CND-00120,18,PhD,55.4,6.1,178365,JobBoard,Onsite,0.9876
JOB-100,CND-00121,13.9,PhD,74.2,1.1,168953,JobBoard,Remote,0.6513
JOB-105,CND-00122,19.2,Masters,56.1,1.4,72127,Referral,Hybrid,0.7464
JOB-116,CND-00123,6,Masters,43.5,3.7,118791,JobBoard,Onsite,0.436
JOB-108,CND-00124,8.2,Masters,77.4,3.6,101345,Referral,Remote,0.5586
JOB-113,CND-00125,12.1,Masters,91.8,5.8,146721,Referral,Remote,1
JOB-100,CND-00126,7.2,PhD,84,6.5,89735,Recruiter,Remote,0.884
JOB-101,CND-00127,0.5,HighSchool,94.9,7.2,171305,JobBoard,Remote,0.8291
JOB-107,CND-00128,1.3,Bachelors,73.5,5,150481,LinkedIn,Hybrid,0.5235
JOB-100,CND-00129,17.4,Bachelors,69.1,8.6,91601,JobBoard,Remote,1
JOB-110,CND-00130,0.3,Bachelors,48.5,6.1,162840,CompanySite,Onsite,0.4845
JOB-109,CND-00131,5.4,PhD,48.1,4.4,105275,CompanySite,Hybrid,0.6674
JOB-108,CND-00132,16.8,PhD,69.4,6,40525,JobBoard,Remote,1
JOB-120,CND-00133,5.4,PhD,81,4.3,133668,Recruiter,Remote,0.593
JOB-101,CND-00134,12.1,Masters,89.3,6.9,107849,JobBoard,Remote,1
JOB-118,CND-00135,5.8,PhD,74.9,4.7,119931,Referral,Hybrid,0.6486
JOB-113,CND-00136,0.3,Bootcamp,60.7,6.6,49272,LinkedIn,Hybrid,0.5833
JOB-119,CND-00137,10.7,HighSchool,91.1,7.3,151069,LinkedIn,Remote,0.9729
JOB-113,CND-00138,17.7,Bachelors,91.1,8.2,179643,JobBoard,Hybrid,1
JOB-115,CND-00139,9.6,Masters,97.9,6.4,51705,LinkedIn,Remote,0.9596
JOB-107,CND-00140,1.8,Bootcamp,53.5,8.6,157712,CompanySite,Hybrid,0.887
JOB-111,CND-00141,3.3,Bootcamp,98.8,6.6,41907,LinkedIn,Hybrid,0.7907
JOB-117,CND-00142,18.3,Bootcamp,53.5,5.7,67214,Recruiter,Hybrid,0.7705
JOB-114,CND-00143,12.9,Bootcamp,80.5,6.2,138611,Referral,Onsite,1
JOB-106,CND-00144,16.6,HighSchool,69.5,7.8,100752,CompanySite,Onsite,0.905
JOB-104,CND-00145,9.3,Masters,51.9,8.5,68977,Referral,Remote,0.8371
JOB-114,CND-00146,4.4,HighSchool,97.5,9.2,110293,LinkedIn,Hybrid,1
JOB-103,CND-00147,7.5,PhD,92.6,7,73116,JobBoard,Onsite,0.9629
JOB-119,CND-00148,12.5,PhD,83.8,4.1,116835,Recruiter,Remote,0.8287
JOB-118,CND-00149,7.4,Masters,89.7,7.4,50728,Recruiter,Remote,0.9938
JOB-120,CND-00150,8.7,Masters,98.9,4.9,99017,Referral,Onsite,0.8201
JOB-109,CND-00151,10,PhD,85.3,6,54976,Recruiter,Hybrid,0.8512
JOB-116,CND-00152,3.9,Bootcamp,98.1,9.3,167896,Referral,Onsite,0.9689
JOB-111,CND-00153,13,Bachelors,44.2,7.5,42470,Recruiter,Hybrid,0.8318
JOB-100,CND-00154,18.1,HighSchool,90.6,7.7,68534,CompanySite,Remote,1
JOB-112,CND-00155,11.4,Bachelors,59.6,8.4,169707,CompanySite,Remote,0.9334
JOB-110,CND-00156,14.8,HighSchool,44.2,3.2,42630,Recruiter,Hybrid,0.6008
JOB-107,CND-00157,3.4,HighSchool,62.1,4.8,168758,JobBoard,Remote,0.5174
JOB-105,CND-00158,8.2,Masters,45.2,1.2,126783,Recruiter,Remote,0.3058
JOB-101,CND-00159,17.2,Masters,82.7,3.9,55080,Recruiter,Onsite,0.7928
JOB-103,CND-00160,19.6,Masters,64.7,4.8,172681,CompanySite,Remote,0.7608
JOB-106,CND-00161,1.9,HighSchool,49.4,8.8,163715,Referral,Hybrid,0.8441
JOB-117,CND-00162,12.3,PhD,98.2,7.7,45939,CompanySite,Onsite,1
JOB-101,CND-00163,9,Masters,68.6,2.7,124657,CompanySite,Hybrid,0.6314
JOB-113,CND-00164,0.6,Bootcamp,90.5,6.3,163726,Recruiter,Onsite,0.699
JOB-100,CND-00165,10.9,Bachelors,56.8,4.2,97480,CompanySite,Hybrid,0.6527
JOB-114,CND-00166,18.5,Bachelors,88.4,8.3,41933,Referral,Remote,1
JOB-101,CND-00167,18.1,HighSchool,67.9,7.2,62115,LinkedIn,Hybrid,0.9251
JOB-112,CND-00168,3.2,Masters,53,8.9,65090,JobBoard,Hybrid,0.794
JOB-120,CND-00169,4.4,HighSchool,78.9,4.3,109628,LinkedIn,Hybrid,0.7696
JOB-110,CND-00170,9.5,PhD,56,7.8,76261,LinkedIn,Onsite,0.7545
JOB-117,CND-00171,5.8,Masters,60.2,3.4,139849,Recruiter,Hybrid,0.6118
JOB-102,CND-00172,13.9,HighSchool,95.6,9.8,179402,JobBoard,Onsite,1
JOB-107,CND-00173,13.9,Masters,55.8,6.5,93193,Recruiter,Remote,0.8417
JOB-115,CND-00174,15.9,PhD,79.4,8.4,59621,CompanySite,Onsite,1
JOB-116,CND-00175,9.4,Bootcamp,90.7,4.4,170425,Recruiter,Remote,0.7078
JOB-120,CND-00176,17.6,PhD,58.7,4.5,144302,LinkedIn,Remote,0.6788
JOB-109,CND-00177,17.3,HighSchool,87.4,9.4,113607,CompanySite,Hybrid,1
JOB-105,CND-00178,3.1,Bootcamp,56.3,4,63163,Recruiter,Onsite,0.6317
JOB-106,CND-00179,7.2,Masters,74.9,8.3,117452,CompanySite,Hybrid,0.9256
JOB-106,CND-00180,16,Bootcamp,94.6,1.7,152383,Referral,Hybrid,0.6404
JOB-116,CND-00181,15.6,Masters,85.5,5.8,107170,JobBoard,Hybrid,0.924
JOB-105,CND-00182,18,Masters,99.1,1,111958,LinkedIn,Hybrid,0.8664
JOB-114,CND-00183,18,PhD,53.5,9.5,143848,Referral,Hybrid,0.994
JOB-111,CND-00184,19.1,PhD,93.5,6.3,178461,Recruiter,Remote,1
JOB-103,CND-00185,0.2,Bachelors,78.3,10,130771,CompanySite,Hybrid,0.9062
JOB-118,CND-00186,10.4,Bootcamp,43.2,2.4,141048,Recruiter,Remote,0.5028
JOB-103,CND-00187,4.2,Bootcamp,97.7,4.7,47259,LinkedIn,Remote,0.7858
JOB-115,CND-00188,16.4,PhD,70.9,1.5,116958,JobBoard,Onsite,0.5696
JOB-109,CND-00189,4.1,PhD,83,7.6,144637,Recruiter,Hybrid,0.7595
JOB-106,CND-00190,15.6,PhD,63.2,5.5,107467,LinkedIn,Remote,0.7268
JOB-114,CND-00191,3.3,PhD,80.1,4.7,137949,Referral,Onsite,0.6819
JOB-109,CND-00192,11.1,PhD,88.4,8.1,60699,LinkedIn,Remote,1
JOB-100,CND-00193,14.9,HighSchool,67.9,7.1,68348,CompanySite,Remote,0.9211
JOB-106,CND-00194,9.1,Bootcamp,70.6,3.7,80510,CompanySite,Remote,0.5709
JOB-107,CND-00195,16.6,Bachelors,45.7,6.6,44574,JobBoard,Hybrid,0.7478
JOB-120,CND-00196,7.7,Masters,87.3,4.7,179701,CompanySite,Hybrid,0.7067
JOB-107,CND-00197,19.7,HighSchool,78.6,1.4,72694,Recruiter,Onsite,0.6139
JOB-114,CND-00198,3.5,HighSchool,96,3.5,167148,Referral,Onsite,0.5665
JOB-104,CND-00199,2.7,PhD,44.4,3.5,83444,Referral,Onsite,0.5081
JOB-100,CND-00200,0.8,Masters,41.3,6.6,104088,LinkedIn,Remote,0.6032
JOB-118,CND-00201,12.9,Bootcamp,91.1,9.6,145218,CompanySite,Onsite,1
JOB-108,CND-00202,13,PhD,88,6.7,105118,JobBoard,Remote,0.969
JOB-104,CND-00203,4.2,PhD,94.9,2.7,45040,Recruiter,Hybrid,0.6746
JOB-107,CND-00204,0.3,HighSchool,46.3,4.2,176125,JobBoard,Hybrid,0.4217
JOB-103,CND-00205,18.3,Bootcamp,95.7,7.1,118615,JobBoard,Remote,1
JOB-105,CND-00206,4.5,Bachelors,65.6,4.3,68276,Recruiter,Onsite,0.6479
JOB-101,CND-00207,17.9,Masters,95.3,3,129653,Recruiter,Hybrid,0.7697
JOB-106,CND-00208,16.9,Bootcamp,75.7,6.3,44355,Recruiter,Hybrid,0.9043
JOB-110,CND-00209,10.4,PhD,44,1.1,110917,LinkedIn,Remote,0.318
JOB-118,CND-00210,15.3,Bachelors,53.5,1.1,111177,Referral,Hybrid,0.6295
JOB-100,CND-00211,19.5,Bootcamp,98.9,7.8,170225,CompanySite,Hybrid,1
JOB-119,CND-00212,15.9,Bootcamp,54.3,5,65971,Recruiter,Remote,0.8557
JOB-103,CND-00213,0.2,Bootcamp,82.1,5.9,133158,Referral,Onsite,0.7954
JOB-107,CND-00214,0.8,Masters,71.8,8.9,101431,JobBoard,Hybrid,0.7532
JOB-106,CND-00215,4.2,Masters,78.5,8.5,127306,Recruiter,Onsite,0.967
JOB-118,CND-00216,5.2,Masters,73.7,9.6,129314,CompanySite,Onsite,0.9588
JOB-116,CND-00217,14,Masters,51.9,6.7,52843,Recruiter,Remote,0.7296
JOB-103,CND-00218,2.5,HighSchool,50.3,2.9,156859,Referral,Remote,0.4027
JOB-103,CND-00219,12.5,PhD,66.1,5.7,114023,CompanySite,Onsite,0.7639
JOB-110,CND-00220,5.5,Bachelors,78.3,7.3,109104,Referral,Remote,0.9037
JOB-103,CND-00221,7.3,HighSchool,69.7,5.6,43687,Recruiter,Remote,0.6843
JOB-120,CND-00222,4,Bootcamp,70.6,3.2,58547,JobBoard,Hybrid,0.5844
JOB-102,CND-00223,0.6,Bootcamp,62.2,7,100953,LinkedIn,Hybrid,0.7578
JOB-117,CND-00224,0.3,PhD,97,2.4,161065,Recruiter,Onsite,0.5465
JOB-102,CND-00225,15.2,PhD,68.4,4.2,103648,CompanySite,Hybrid,0.8736
JOB-108,CND-00226,11.8,Masters,96.7,6.7,136517,Referral,Remote,0.9258
JOB-100,CND-00227,7.3,HighSchool,57.7,1.8,142622,Recruiter,Remote,0.4783
JOB-112,CND-00228,3.5,PhD,50.4,2.9,102425,Referral,Onsite,0.4881
JOB-119,CND-00229,3.1,PhD,52.6,7.8,118203,CompanySite,Remote,0.6749
JOB-119,CND-00230,3.2,HighSchool,78.9,6.1,48164,Referral,Hybrid,0.8396
JOB-118,CND-00231,5.1,Bootcamp,80.6,8.6,62838,CompanySite,Onsite,1
JOB-116,CND-00232,5.5,HighSchool,64.4,2.8,141914,LinkedIn,Hybrid,0.4981
JOB-106,CND-00233,0.4,Masters,54.8,7.4,173981,Recruiter,Remote,0.6892
JOB-102,CND-00234,9.5,Masters,49.4,8,48974,JobBoard,Onsite,0.9001
JOB-115,CND-00235,12.6,Masters,91.1,2.4,60928,Recruiter,Remote,0.6174
JOB-115,CND-00236,11.7,HighSchool,44.5,8,120888,Referral,Remote,0.8735
JOB-114,CND-00237,13.2,Bachelors,87.1,2.2,102151,LinkedIn,Remote,0.6184
JOB-117,CND-00238,16.6,Masters,40.5,6.1,125815,CompanySite,Remote,0.687
JOB-117,CND-00239,2.4,Masters,81.7,1.2,84298,Recruiter,Hybrid,0.4848
JOB-110,CND-00240,17.6,PhD,54.5,1.8,43119,Referral,Onsite,0.73
JOB-105,CND-00241,2.4,HighSchool,99.2,8.9,168004,Recruiter,Remote,0.9568
JOB-103,CND-00242,10,Bootcamp,70.1,3,142539,CompanySite,Onsite,0.5404
JOB-104,CND-00243,10.5,Bachelors,84.7,3.4,78838,LinkedIn,Hybrid,0.6903
JOB-113,CND-00244,16.4,PhD,98.8,6.8,46232,CompanySite,Onsite,1
JOB-111,CND-00245,11.2,Masters,54.9,2.2,75018,Referral,Onsite,0.5696
JOB-119,CND-00246,17.2,HighSchool,60.2,5.8,50617,JobBoard,Hybrid,0.8268
JOB-114,CND-00247,14.5,Masters,51.3,7.6,63137,JobBoard,Onsite,0.8287
JOB-100,CND-00248,9.8,HighSchool,43.9,9.1,151433,LinkedIn,Onsite,0.7986
JOB-110,CND-00249,4.6,Bootcamp,72.7,6.9,175930,Referral,Hybrid,0.7438
JOB-118,CND-00250,6.5,Bootcamp,96.3,1.5,57310,LinkedIn,Onsite,0.7027
JOB-116,CND-00251,18.7,Bachelors,95.8,2.6,155799,CompanySite,Hybrid,0.8097
JOB-116,CND-00252,7.7,Bachelors,67.5,3,109577,CompanySite,Onsite,0.5955
JOB-114,CND-00253,16.7,HighSchool,90.4,8.2,77861,Recruiter,Remote,1
JOB-103,CND-00254,0.9,Masters,92.8,8.4,80419,Recruiter,Hybrid,0.9287
JOB-109,CND-00255,6.2,Bootcamp,62.7,5.9,114614,CompanySite,Onsite,0.6078
JOB-115,CND-00256,9.7,PhD,80.6,2.2,128742,JobBoard,Hybrid,0.6799
JOB-112,CND-00257,14.2,PhD,84.4,10,98955,JobBoard,Remote,1
JOB-100,CND-00258,6.2,Masters,73.4,9,111958,Referral,Onsite,0.8266
JOB-116,CND-00259,4.7,HighSchool,95.4,5.5,100820,Recruiter,Remote,0.7221
JOB-109,CND-00260,10.3,PhD,86.3,3.6,63533,Recruiter,Hybrid,0.7957
JOB-118,CND-00261,15.7,Bachelors,78,7.4,139992,Recruiter,Remote,1
JOB-118,CND-00262,3.2,Bachelors,98.5,2.3,76612,Referral,Remote,0.55
JOB-117,CND-00263,17.7,Masters,65.6,1.2,117519,CompanySite,Remote,0.7099
JOB-103,CND-00264,16.5,Bachelors,81.2,8.6,52789,Recruiter,Hybrid,1
JOB-110,CND-00265,11.5,Masters,88.6,10,70295,JobBoard,Hybrid,1
JOB-106,CND-00266,15.2,Masters,70.6,2.1,53356,LinkedIn,Hybrid,0.7664
JOB-118,CND-00267,15.4,Bootcamp,63.2,8.1,160280,LinkedIn,Remote,0.9998
JOB-107,CND-00268,8,Masters,58.7,3.1,41982,JobBoard,Hybrid,0.5208
JOB-112,CND-00269,4.1,Bootcamp,67.8,5.1,97974,LinkedIn,Remote,0.6187
JOB-104,CND-00270,16.4,Masters,94.2,1.6,44096,Recruiter,Onsite,0.7088
JOB-100,CND-00271,9.6,Bachelors,69.3,5.7,161331,CompanySite,Onsite,0.7132
JOB-119,CND-00272,5,PhD,98.1,7.5,65293,Referral,Hybrid,0.8474
JOB-114,CND-00273,12.5,PhD,47.7,8.4,125804,JobBoard,Remote,0.9923
JOB-110,CND-00274,17.3,Bachelors,60.6,1.2,106321,CompanySite,Onsite,0.5439
JOB-113,CND-00275,2.2,Bachelors,51.7,9.9,141951,LinkedIn,Onsite,0.9538
JOB-118,CND-00276,18.8,HighSchool,55.6,1.3,63369,JobBoard,Remote,0.5124
JOB-102,CND-00277,1.3,HighSchool,64.3,1.4,40343,CompanySite,Onsite,0.4907
JOB-101,CND-00278,12.2,HighSchool,54.3,9.7,165875,Recruiter,Remote,1
JOB-102,CND-00279,7.1,Bachelors,73.8,3.8,150274,LinkedIn,Remote,0.6497
JOB-101,CND-00280,0.5,Bachelors,44,9.3,57593,CompanySite,Remote,0.6815
JOB-104,CND-00281,8.2,Bootcamp,46.1,5.9,123247,LinkedIn,Onsite,0.6714
JOB-117,CND-00282,16.1,PhD,55.6,9.1,124563,JobBoard,Onsite,0.9399
JOB-101,CND-00283,5.2,PhD,82.3,9.7,170308,LinkedIn,Remote,1
JOB-118,CND-00284,4.2,Masters,71.1,2,118321,JobBoard,Onsite,0.5974
JOB-116,CND-00285,2.2,Bootcamp,79.1,3.2,171302,LinkedIn,Onsite,0.5714
JOB-113,CND-00286,0,Bachelors,54.2,1.6,170709,Recruiter,Onsite,0.3328
JOB-108,CND-00287,18,Bootcamp,95.8,8.5,57997,Referral,Onsite,1
JOB-115,CND-00288,8.7,Masters,48.2,7.4,62645,Referral,Onsite,0.8273
JOB-112,CND-00289,8.4,Masters,42.8,3.3,102140,JobBoard,Remote,0.6152
JOB-116,CND-00290,9.7,PhD,72.2,6.9,78185,JobBoard,Remote,0.8183
JOB-113,CND-00291,1.5,PhD,77.9,2.1,177007,Recruiter,Onsite,0.6001
JOB-103,CND-00292,1.8,HighSchool,63.8,6.6,114131,CompanySite,Remote,0.7682
JOB-110,CND-00293,15.6,HighSchool,56.9,8.2,114515,LinkedIn,Hybrid,0.8536
JOB-105,CND-00294,4,PhD,98.9,1,63242,Recruiter,Hybrid,0.4256
JOB-102,CND-00295,10.7,HighSchool,72.6,3,97865,JobBoard,Remote,0.6909
