RecordId,Timestamp,Region,DayOfWeek,IsHoliday,EnergyDemandKwh
TS-000112,2022-04-22,East,Fri,0,15237
TS-000113,2022-04-23,South,Sat,0,14785
TS-000114,2022-04-24,East,Sun,0,15074
TS-000115,2022-04-25,North,Mon,0,16753
TS-000116,2022-04-26,Central,Tue,0,15185
TS-000117,2022-04-27,South,Wed,0,15290
TS-000118,2022-04-28,South,Thu,0,16252
TS-000119,2022-04-29,East,Fri,0,15700
TS-000120,2022-04-30,West,Sat,0,17673
TS-000121,2022-05-01,South,Sun,0,17866
TS-000122,2022-05-02,West,Mon,0,17068
TS-000123,2022-05-03,North,Tue,0,17522
TS-000124,2022-05-04,South,Wed,0,18961
TS-000125,2022-05-05,South,Thu,0,18544
TS-000126,2022-05-06,North,Fri,0,19193
TS-000127,2022-05-07,North,Sat,0,18292
TS-000128,2022-05-08,North,Sun,0,17710
TS-000129,2022-05-09,West,Mon,0,19520
TS-000130,2022-05-10,South,Tue,0,18048
TS-000131,2022-05-11,Central,Wed,0,18049
TS-000132,2022-05-12,West,Thu,0,19068
TS-000133,2022-05-13,South,Fri,0,18905
TS-000134,2022-05-14,East,Sat,0,16758
TS-000135,2022-05-15,East,Sun,1,17349
TS-000136,2022-05-16,North,Mon,0,19060
TS-000137,2022-05-17,East,Tue,0,18508
TS-000138,2022-05-18,East,Wed,0,19920
TS-000139,2022-05-19,West,Thu,0,18040
TS-000140,2022-05-20,Central,Fri,0,17909
TS-000141,2022-05-21,South,Sat,0,19819
TS-000142,2022-05-22,West,Sun,0,17086
TS-000143,2022-05-23,South,Mon,0,18132
TS-000144,2022-05-24,Central,Tue,0,17469
TS-000145,2022-05-25,West,Wed,0,19353
TS-000146,2022-05-26,East,Thu,0,17926
TS-000147,2022-05-27,South,Fri,0,17024
TS-000148,2022-05-28,West,Sat,0,18325
TS-000149,2022-05-29,Central,Sun,0,18323
TS-000150,2022-05-30,East,Mon,0,16257
TS-000151,2022-05-31,North,Tue,0,17094
TS-000152,2022-06-01,East,Wed,0,16288
TS-000153,2022-06-02,East,Thu,0,15950
TS-000154,2022-06-03,East,Fri,0,17191
TS-000155,2022-06-04,Central,Sat,0,16300
TS-000156,2022-06-05,North,Sun,0,16142
TS-000157,2022-06-06,South,Mon,0,15680
TS-000158,2022-06-07,South,Tue,0,15497
TS-000159,2022-06-08,South,Wed,0,16425
TS-000160,2022-06-09,Central,Thu,0,14719
TS-000161,2022-06-10,Central,Fri,0,16044
TS-000162,2022-06-11,North,Sat,0,15956
TS-000163,2022-06-12,North,Sun,0,14773
TS-000164,2022-06-13,West,Mon,0,15370
TS-000165,2022-06-14,Central,Tue,0,14440
TS-000166,2022-06-15,Central,Wed,0,15536
TS-000167,2022-06-16,Central,Thu,0,14912
TS-000168,2022-06-17,East,Fri,0,14746
TS-000169,2022-06-18,Central,Sat,0,16468
TS-000170,2022-06-19,Central,Sun,0,14758
TS-000171,2022-06-20,West,Mon,0,14473
TS-000172,2022-06-21,South,Tue,0,13425
TS-000173,2022-06-22,East,Wed,0,14782
TS-000174,2022-06-23,West,Thu,0,17523
TS-000175,2022-06-24,South,Fri,0,14660
TS-000176,2022-06-25,West,Sat,0,16460
TS-000177,2022-06-26,South,Sun,0,17118
TS-000178,2022-06-27,West,Mon,0,16984
TS-000179,2022-06-28,East,Tue,0,17148
TS-000180,2022-06-29,West,Wed,0,17216
TS-000181,2022-06-30,North,Thu,0,16815
TS-000182,2022-07-01,East,Fri,0,16445
TS-000183,2022-07-02,East,Sat,0,17018
TS-000184,2022-07-03,East,Sun,0,19575
TS-000185,2022-07-04,South,Mon,0,17066
TS-000186,2022-07-05,East,Tue,0,18471
TS-000187,2022-07-06,North,Wed,0,17996
TS-000188,2022-07-07,West,Thu,0,18531
TS-000189,2022-07-08,East,Fri,0,17618
TS-000190,2022-07-09,Central,Sat,0,17781
TS-000191,2022-07-10,South,Sun,0,19595
TS-000192,2022-07-11,North,Mon,0,18972
TS-000193,2022-07-12,Central,Tue,0,17442
TS-000194,2022-07-13,North,Wed,0,18612
TS-000195,2022-07-14,West,Thu,0,17123
TS-000196,2022-07-15,Central,Fri,0,17911
TS-000197,2022-07-16,West,Sat,0,18264
TS-000198,2022-07-17,West,Sun,0,19587
TS-000199,2022-07-18,East,Mon,0,18617
TS-000200,2022-07-19,East,Tue,0,19488
TS-000201,2022-07-20,South,Wed,0,18477
TS-000202,2022-07-21,Central,Thu,0,18629
TS-000203,2022-07-22,East,Fri,1,17404
TS-000204,2022-07-23,West,Sat,0,17458
TS-000205,2022-07-24,Central,Sun,0,17369
TS-000206,2022-07-25,East,Mon,0,18204
TS-000207,2022-07-26,North,Tue,0,18777
TS-000208,2022-07-27,South,Wed,0,18040
TS-000209,2022-07-28,West,Thu,0,16453
TS-000210,2022-07-29,Central,Fri,0,16821
TS-000211,2022-07-30,North,Sat,0,17149
TS-000212,2022-07-31,South,Sun,0,17329
TS-000213,2022-08-01,West,Mon,0,16150
TS-000214,2022-08-02,Central,Tue,0,16837
TS-000215,2022-08-03,North,Wed,0,15482
TS-000216,2022-08-04,West,Thu,0,15602
TS-000217,2022-08-05,North,Fri,0,14766
TS-000218,2022-08-06,South,Sat,0,16083
TS-000219,2022-08-07,North,Sun,0,16205
TS-000220,2022-08-08,East,Mon,0,15714
TS-000221,2022-08-09,West,Tue,0,14485
TS-000222,2022-08-10,Central,Wed,0,16297
TS-000223,2022-08-11,North,Thu,0,15247
TS-000224,2022-08-12,West,Fri,0,15577
TS-000225,2022-08-13,Central,Sat,0,14808
TS-000226,2022-08-14,Central,Sun,0,15638
TS-000227,2022-08-15,East,Mon,0,16210
TS-000228,2022-08-16,West,Tue,0,14849
TS-000229,2022-08-17,Central,Wed,0,13811
TS-000230,2022-08-18,West,Thu,0,16377
TS-000231,2022-08-19,North,Fri,0,14509
TS-000232,2022-08-20,West,Sat,0,15418
TS-000233,2022-08-21,East,Sun,0,14626
TS-000234,2022-08-22,Central,Mon,0,15145
TS-000235,2022-08-23,East,Tue,0,15667
TS-000236,2022-08-24,West,Wed,0,15918
TS-000237,2022-08-25,East,Thu,0,16520
TS-000238,2022-08-26,East,Fri,0,16330
TS-000239,2022-08-27,East,Sat,0,17320
TS-000240,2022-08-28,East,Sun,0,18185
TS-000241,2022-08-29,North,Mon,0,17495
TS-000242,2022-08-30,North,Tue,0,16439
TS-000243,2022-08-31,North,Wed,0,16721
TS-000244,2022-09-01,Central,Thu,0,16673
TS-000245,2022-09-02,East,Fri,0,18005
TS-000246,2022-09-03,South,Sat,0,18688
TS-000247,2022-09-04,North,Sun,1,15253
TS-000248,2022-09-05,South,Mon,0,17381
TS-000249,2022-09-06,West,Tue,0,18686
TS-000250,2022-09-07,South,Wed,0,17895
TS-000251,2022-09-08,West,Thu,0,18383
TS-000252,2022-09-09,South,Fri,0,17978
TS-000253,2022-09-10,East,Sat,0,17719
TS-000254,2022-09-11,North,Sun,0,19864
TS-000255,2022-09-12,West,Mon,0,18712
TS-000256,2022-09-13,South,Tue,0,18191
TS-000257,2022-09-14,Central,Wed,0,19026
TS-000258,2022-09-15,Central,Thu,0,18554
TS-000259,2022-09-16,South,Fri,0,19556
TS-000260,2022-09-17,South,Sat,0,19775
TS-000261,2022-09-18,Central,Sun,0,18265
TS-000262,2022-09-19,West,Mon,0,18492
TS-000263,2022-09-20,West,Tue,0,18540
TS-000264,2022-09-21,South,Wed,0,18240
TS-000265,2022-09-22,North,Thu,0,16306
TS-000266,2022-09-23,South,Fri,0,17111
TS-000267,2022-09-24,West,Sat,0,18133
TS-000268,2022-09-25,South,Sun,0,17739
TS-000269,2022-09-26,East,Mon,0,17610
TS-000270,2022-09-27,North,Tue,0,16869
TS-000271,2022-09-28,East,Wed,0,16803
TS-000272,2022-09-29,West,Thu,0,16578
TS-000273,2022-09-30,West,Fri,0,16789
TS-000274,2022-10-01,West,Sat,0,16926
TS-000275,2022-10-02,North,Sun,1,13616
TS-000276,2022-10-03,North,Mon,0,17178
TS-000277,2022-10-04,East,Tue,0,16939
TS-000278,2022-10-05,East,Wed,0,16754
TS-000279,2022-10-06,Central,Thu,0,16952
TS-000280,2022-10-07,West,Fri,0,16652
TS-000281,2022-10-08,North,Sat,0,16136
TS-000282,2022-10-09,East,Sun,0,15376
TS-000283,2022-10-10,North,Mon,0,15388
TS-000284,2022-10-11,East,Tue,0,16656
TS-000285,2022-10-12,Central,Wed,0,15350
TS-000286,2022-10-13,North,Thu,0,16072
TS-000287,2022-10-14,Central,Fri,0,14648
TS-000288,2022-10-15,East,Sat,0,15790
TS-000289,2022-10-16,South,Sun,0,15838
TS-000290,2022-10-17,West,Mon,0,15782
TS-000291,2022-10-18,West,Tue,0,15508
TS-000292,2022-10-19,North,Wed,0,15267
TS-000293,2022-10-20,East,Thu,0,15747
TS-000294,2022-10-21,West,Fri,0,15929
TS-000295,2022-10-22,Central,Sat,0,14413
TS-000296,2022-10-23,South,Sun,0,14753
TS-000297,2022-10-24,East,Mon,0,15461
TS-000298,2022-10-25,West,Tue,0,16881
TS-000299,2022-10-26,North,Wed,0,17241
TS-000300,2022-10-27,Central,Thu,0,15525
TS-000301,2022-10-28,Central,Fri,0,18384
TS-000302,2022-10-29,South,Sat,0,17265
TS-000303,2022-10-30,South,Sun,0,17824
TS-000304,2022-10-31,North,Mon,0,16991
TS-000305,2022-11-01,Central,Tue,0,18376
TS-000306,2022-11-02,West,Wed,0,18945
TS-000307,2022-11-03,South,Thu,0,18122
TS-000308,2022-11-04,Central,Fri,0,17893
TS-000309,2022-11-05,North,Sat,0,20093
TS-000310,2022-11-06,East,Sun,0,17939
TS-000311,2022-11-07,West,Mon,0,20082
TS-000312,2022-11-08,East,Tue,0,20927
TS-000313,2022-11-09,North,Wed,0,18124
TS-000314,2022-11-10,North,Thu,0,18898
TS-000315,2022-11-11,Central,Fri,0,19471
TS-000316,2022-11-12,Central,Sat,0,18895
TS-000317,2022-11-13,East,Sun,0,18499
TS-000318,2022-11-14,West,Mon,0,18377
TS-000319,2022-11-15,Central,Tue,0,18641
TS-000320,2022-11-16,North,Wed,0,18180
TS-000321,2022-11-17,North,Thu,0,18042
TS-000322,2022-11-18,South,Fri,1,16681
TS-000323,2022-11-19,East,Sat,0,19539
TS-000324,2022-11-20,East,Sun,0,16896
TS-000325,2022-11-21,Central,Mon,0,17204
TS-000326,2022-11-22,East,Tue,0,16281
TS-000327,2022-11-23,South,Wed,0,19153
TS-000328,2022-11-24,North,Thu,0,18838
TS-000329,2022-11-25,South,Fri,0,17107
TS-000330,2022-11-26,North,Sat,0,18131
TS-000331,2022-11-27,West,Sun,0,17154
TS-000332,2022-11-28,West,Mon,0,16497
TS-000333,2022-11-29,South,Tue,1,14568
TS-000334,2022-11-30,North,Wed,0,17801
TS-000335,2022-12-01,West,Thu,0,15379
TS-000336,2022-12-02,Central,Fri,0,15142
TS-000337,2022-12-03,East,Sat,0,16146
TS-000338,2022-12-04,West,Sun,0,16705
TS-000339,2022-12-05,West,Mon,0,16723
TS-000340,2022-12-06,Central,Tue,0,15191
TS-000341,2022-12-07,East,Wed,0,14316
TS-000342,2022-12-08,Central,Thu,0,16543
TS-000343,2022-12-09,South,Fri,0,15134
TS-000344,2022-12-10,East,Sat,0,15817
TS-000345,2022-12-11,Central,Sun,0,14918
TS-000346,2022-12-12,East,Mon,0,14753
TS-000347,2022-12-13,Central,Tue,0,16765
TS-000348,2022-12-14,Central,Wed,0,14802
TS-000349,2022-12-15,South,Thu,0,15678
TS-000350,2022-12-16,West,Fri,0,14911
TS-000351,2022-12-17,West,Sat,0,16062
TS-000352,2022-12-18,Central,Sun,0,16446
TS-000353,2022-12-19,Central,Mon,0,15334
TS-000354,2022-12-20,Central,Tue,0,16584
TS-000355,2022-12-21,South,Wed,0,14537
TS-000356,2022-12-22,Central,Thu,0,13976
TS-000357,2022-12-23,South,Fri,0,16333
TS-000358,2022-12-24,West,Sat,0,17420
TS-000359,2022-12-25,Central,Sun,0,16439
TS-000360,2022-12-26,South,Mon,0,15171
TS-000361,2022-12-27,West,Tue,0,17617
TS-000362,2022-12-28,West,Wed,0,17290
TS-000363,2022-12-29,South,Thu,0,16944
TS-000364,2022-12-30,Central,Fri,0,17759
TS-000365,2022-12-31,East,Sat,0,16968
TS-000366,2023-01-01,East,Sun,0,18713
TS-000367,2023-01-02,South,Mon,0,17759
TS-000368,2023-01-03,West,Tue,0,17383
TS-000369,2023-01-04,North,Wed,0,18525
TS-000370,2023-01-05,West,Thu,0,17357
TS-000371,2023-01-06,South,Fri,0,18672
TS-000372,2023-01-07,North,Sat,1,17444
TS-000373,2023-01-08,Central,Sun,0,18260
TS-000374,2023-01-09,North,Mon,0,17457
TS-000375,2023-01-10,East,Tue,0,19017
TS-000376,2023-01-11,Central,Wed,0,18289
TS-000377,2023-01-12,North,Thu,0,18419
TS-000378,2023-01-13,Central,Fri,0,19039
TS-000379,2023-01-14,East,Sat,0,19414
TS-000380,2023-01-15,East,Sun,0,18513
TS-000381,2023-01-16,South,Mon,0,19628
TS-000382,2023-01-17,West,Tue,0,19379
TS-000383,2023-01-18,West,Wed,0,16695
TS-000384,2023-01-19,South,Thu,0,17133
TS-000385,2023-01-20,North,Fri,0,18009
TS-000386,2023-01-21,West,Sat,0,17891
TS-000387,2023-01-22,North,Sun,0,18588
TS-000388,2023-01-23,North,Mon,1,15252
TS-000389,2023-01-24,West,Tue,0,18592
TS-000390,2023-01-25,East,Wed,0,18032
TS-000391,2023-01-26,South,Thu,0,18526
TS-000392,2023-01-27,Central,Fri,0,16851
TS-000393,2023-01-28,Central,Sat,0,16076
TS-000394,2023-01-29,East,Sun,0,17252
TS-000395,2023-01-30,West,Mon,0,17242
TS-000396,2023-01-31,East,Tue,1,14423
TS-000397,2023-02-01,North,Wed,0,16087
TS-000398,2023-02-02,Central,Thu,0,15713
TS-000399,2023-02-03,Central,Fri,0,15417
TS-000400,2023-02-04,North,Sat,0,16995
TS-000401,2023-02-05,East,Sun,0,15841
TS-000402,2023-02-06,East,Mon,0,15764
TS-000403,2023-02-07,South,Tue,0,16311
TS-000404,2023-02-08,South,Wed,0,13890
TS-000405,2023-02-09,Central,Thu,0,16234
TS-000406,2023-02-10,South,Fri,0,16515
TS-000407,2023-02-11,South,Sat,0,15620
TS-000408,2023-02-12,South,Sun,0,16296
TS-000409,2023-02-13,West,Mon,0,14742
TS-000410,2023-02-14,Central,Tue,0,16059
TS-000411,2023-02-15,East,Wed,0,15138
TS-000412,2023-02-16,Central,Thu,0,15712
TS-000413,2023-02-17,South,Fri,0,16243
TS-000414,2023-02-18,North,Sat,0,15387
TS-000415,2023-02-19,Central,Sun,0,16708
TS-000416,2023-02-20,Central,Mon,1,13994
TS-000417,2023-02-21,Central,Tue,0,15590
TS-000418,2023-02-22,South,Wed,0,16973
TS-000419,2023-02-23,North,Thu,0,15994
TS-000420,2023-02-24,West,Fri,0,16335
TS-000421,2023-02-25,West,Sat,0,16700
TS-000422,2023-02-26,East,Sun,0,18585
TS-000423,2023-02-27,East,Mon,0,16737
TS-000424,2023-02-28,West,Tue,0,17930
TS-000425,2023-03-01,Central,Wed,0,16919
TS-000426,2023-03-02,North,Thu,0,17596
TS-000427,2023-03-03,Central,Fri,0,18172
TS-000428,2023-03-04,East,Sat,0,17664
TS-000429,2023-03-05,North,Sun,0,19766
TS-000430,2023-03-06,South,Mon,0,19875
TS-000431,2023-03-07,East,Tue,0,19292
TS-000432,2023-03-08,West,Wed,0,18290
TS-000433,2023-03-09,South,Thu,0,18085
TS-000434,2023-03-10,Central,Fri,0,17790
TS-000435,2023-03-11,West,Sat,0,18668
TS-000436,2023-03-12,Central,Sun,0,18699
TS-000437,2023-03-13,Central,Mon,0,19913
TS-000438,2023-03-14,Central,Tue,0,18273
TS-000439,2023-03-15,Central,Wed,0,18398
TS-000440,2023-03-16,East,Thu,0,19143
TS-000441,2023-03-17,South,Fri,0,19463
TS-000442,2023-03-18,South,Sat,0,16814
TS-000443,2023-03-19,South,Sun,0,19499
TS-000444,2023-03-20,North,Mon,0,19125
TS-000445,2023-03-21,North,Tue,0,17416
TS-000446,2023-03-22,South,Wed,0,17770
TS-000447,2023-03-23,South,Thu,0,18023
TS-000448,2023-03-24,East,Fri,0,18288
TS-000449,2023-03-25,North,Sat,1,16284
TS-000450,2023-03-26,South,Sun,0,18856
TS-000451,2023-03-27,West,Mon,0,16405
TS-000452,2023-03-28,East,Tue,0,15815
TS-000453,2023-03-29,West,Wed,0,16920
TS-000454,2023-03-30,East,Thu,0,17115
TS-000455,2023-03-31,Central,Fri,0,16622
TS-000456,2023-04-01,North,Sat,0,16485
TS-000457,2023-04-02,North,Sun,0,16383
TS-000458,2023-04-03,South,Mon,0,16018
TS-000459,2023-04-04,South,Tue,0,16363
TS-000460,2023-04-05,Central,Wed,0,14175
TS-000461,2023-04-06,North,Thu,0,16124
TS-000462,2023-04-07,West,Fri,0,14956
TS-000463,2023-04-08,East,Sat,0,15024
TS-000464,2023-04-09,South,Sun,0,16244
TS-000465,2023-04-10,East,Mon,0,15491
TS-000466,2023-04-11,Central,Tue,0,13760
TS-000467,2023-04-12,East,Wed,0,16170
TS-000468,2023-04-13,West,Thu,0,15185
TS-000469,2023-04-14,South,Fri,0,17021
TS-000470,2023-04-15,West,Sat,0,14596
TS-000471,2023-04-16,West,Sun,0,14899
TS-000472,2023-04-17,West,Mon,0,15554
TS-000473,2023-04-18,South,Tue,0,15672
TS-000474,2023-04-19,East,Wed,0,15504
TS-000475,2023-04-20,Central,Thu,0,16110
TS-000476,2023-04-21,South,Fri,0,16719
TS-000477,2023-04-22,South,Sat,0,16704
TS-000478,2023-04-23,North,Sun,0,16300
TS-000479,2023-04-24,West,Mon,0,15813
TS-000480,2023-04-25,South,Tue,0,16661
TS-000481,2023-04-26,North,Wed,0,16452
TS-000482,2023-04-27,North,Thu,0,18064
TS-000483,2023-04-28,West,Fri,0,17485
TS-000484,2023-04-29,West,Sat,0,17355
TS-000485,2023-04-30,North,Sun,0,16828
TS-000486,2023-05-01,West,Mon,0,18899
TS-000487,2023-05-02,Central,Tue,0,19285
TS-000488,2023-05-03,South,Wed,0,19159
TS-000489,2023-05-04,East,Thu,0,19164
TS-000490,2023-05-05,South,Fri,0,17692
TS-000491,2023-05-06,East,Sat,0,19082
TS-000492,2023-05-07,North,Sun,0,19453
TS-000493,2023-05-08,South,Mon,0,18190
TS-000494,2023-05-09,North,Tue,0,19047
TS-000495,2023-05-10,Central,Wed,0,18928
TS-000496,2023-05-11,North,Thu,0,19327
TS-000497,2023-05-12,Central,Fri,0,18707
TS-000498,2023-05-13,Central,Sat,0,18604
TS-000499,2023-05-14,West,Sun,0,18842
TS-000500,2023-05-15,East,Mon,0,18475
TS-000501,2023-05-16,West,Tue,0,18603
TS-000502,2023-05-17,Central,Wed,0,17836
TS-000503,2023-05-18,West,Thu,0,18436
TS-000504,2023-05-19,East,Fri,0,18450
TS-000505,2023-05-20,North,Sat,0,17670
TS-000506,2023-05-21,Central,Sun,0,18109
TS-000507,2023-05-22,North,Mon,0,18606
TS-000508,2023-05-23,Central,Tue,0,18181
TS-000509,2023-05-24,South,Wed,0,17931
TS-000510,2023-05-25,Central,Thu,0,16969
TS-000511,2023-05-26,North,Fri,0,19254
TS-000512,2023-05-27,East,Sat,0,16423
TS-000513,2023-05-28,West,Sun,0,17571
TS-000514,2023-05-29,South,Mon,0,17120
TS-000515,2023-05-30,West,Tue,0,17281
TS-000516,2023-05-31,West,Wed,0,16760
TS-000517,2023-06-01,North,Thu,0,16452
TS-000518,2023-06-02,Central,Fri,0,16137
TS-000519,2023-06-03,North,Sat,0,16261
TS-000520,2023-06-04,East,Sun,0,14308
TS-000521,2023-06-05,West,Mon,0,16498
TS-000522,2023-06-06,Central,Tue,0,16427
TS-000523,2023-06-07,Central,Wed,0,16614
TS-000524,2023-06-08,West,Thu,0,13651
TS-000525,2023-06-09,West,Fri,0,15793
TS-000526,2023-06-10,Central,Sat,0,17419
TS-000527,2023-06-11,Central,Sun,0,15947
TS-000528,2023-06-12,West,Mon,0,14834
TS-000529,2023-06-13,Central,Tue,0,16394
TS-000530,2023-06-14,East,Wed,0,15392
TS-000531,2023-06-15,West,Thu,0,15713
TS-000532,2023-06-16,West,Fri,0,16141
TS-000533,2023-06-17,West,Sat,0,14973
TS-000534,2023-06-18,West,Sun,0,15614
TS-000535,2023-06-19,South,Mon,0,15695
TS-000536,2023-06-20,Central,Tue,0,15825
TS-000537,2023-06-21,East,Wed,0,18370
TS-000538,2023-06-22,West,Thu,0,16377
TS-000539,2023-06-23,East,Fri,0,16930
TS-000540,2023-06-24,East,Sat,0,16496
TS-000541,2023-06-25,North,Sun,0,17424
TS-000542,2023-06-26,Central,Mon,0,17340
TS-000543,2023-06-27,South,Tue,0,19202
TS-000544,2023-06-28,North,Wed,0,17443
TS-000545,2023-06-29,South,Thu,0,18172
TS-000546,2023-06-30,South,Fri,0,18984
TS-000547,2023-07-01,North,Sat,0,18160
TS-000548,2023-07-02,North,Sun,0,17733
TS-000549,2023-07-03,North,Mon,0,18925
TS-000550,2023-07-04,West,Tue,0,19129
TS-000551,2023-07-05,West,Wed,0,20260
TS-000552,2023-07-06,South,Thu,0,19926
TS-000553,2023-07-07,West,Fri,0,18211
TS-000554,2023-07-08,East,Sat,0,19224
TS-000555,2023-07-09,South,Sun,0,20011
TS-000556,2023-07-10,West,Mon,0,18511
TS-000557,2023-07-11,East,Tue,0,19416
TS-000558,2023-07-12,East,Wed,0,19884
TS-000559,2023-07-13,South,Thu,0,17401
TS-000560,2023-07-14,Central,Fri,1,17457
TS-000561,2023-07-15,South,Sat,0,18980
TS-000562,2023-07-16,East,Sun,0,19091
TS-000563,2023-07-17,West,Mon,0,19091
TS-000564,2023-07-18,West,Tue,0,18973
TS-000565,2023-07-19,Central,Wed,0,17347
TS-000566,2023-07-20,North,Thu,0,18503
TS-000567,2023-07-21,North,Fri,0,17498
TS-000568,2023-07-22,South,Sat,0,18947
TS-000569,2023-07-23,Central,Sun,0,18031
TS-000570,2023-07-24,East,Mon,0,17568
TS-000571,2023-07-25,South,Tue,0,16594
TS-000572,2023-07-26,North,Wed,0,16314
TS-000573,2023-07-27,West,Thu,0,17558
TS-000574,2023-07-28,East,Fri,0,17369
TS-000575,2023-07-29,West,Sat,0,15942
