TransactionId,AccountId,Timestamp,Amount,MerchantCategory,TransactionHour,DistanceFromHomeKm,IsOnline,IsInternational,BalanceAfterTransaction
TXN-0000054,ACC-5875,2025-01-05 19:45:04,191.77,Travel,18,10.9,1,1,31083.21
TXN-0000055,ACC-5159,2025-12-11 06:19:40,446.45,Gas,14,0.4,0,0,4298.61
TXN-0000056,ACC-9773,2024-05-02 03:59:57,379.7,Electronics,14,34.1,0,0,30535.48
TXN-0000057,ACC-6179,2024-05-20 04:18:36,240.06,Restaurant,12,3.2,0,0,22006.59
TXN-0000058,ACC-7921,2025-01-31 00:34:14,297.77,Electronics,22,20.7,0,0,25056.33
TXN-0000059,ACC-1671,2024-06-29 15:15:30,60.26,ATM,19,0.9,1,0,29751.62
TXN-0000060,ACC-4376,2024-10-16 23:15:24,9668.76,Grocery,23,977,0,1,42354
TXN-0000061,ACC-5928,2024-09-21 06:10:35,251.18,Grocery,10,12.5,0,0,10903.05
TXN-0000062,ACC-7569,2025-03-20 11:34:40,324.96,Online,16,0.5,1,0,13209.79
TXN-0000063,ACC-2021,2024-11-08 09:26:55,39.16,Online,19,8.9,0,0,6409.16
TXN-0000064,ACC-6978,2024-02-10 13:27:00,90.56,Gas,22,31.5,0,0,35404.84
TXN-0000065,ACC-3910,2024-12-18 00:13:53,382.89,Gas,20,19.5,1,0,9114.64
TXN-0000066,ACC-4270,2024-02-14 14:12:10,174.23,Grocery,18,19.2,0,0,4499.7
TXN-0000067,ACC-2512,2025-10-26 22:45:46,159.86,Gas,15,28.1,0,0,37447.77
TXN-0000068,ACC-5491,2025-10-11 04:22:54,406.63,Gas,8,4.8,0,0,49499.34
TXN-0000069,ACC-3058,2024-06-18 17:44:45,398.45,Online,14,29.7,1,1,26847.26
TXN-0000070,ACC-1169,2024-09-06 04:21:19,12469.63,Electronics,4,1285,1,1,4787.05
TXN-0000071,ACC-7761,2024-11-07 12:08:26,59.75,Gas,16,33.2,0,0,46851.38
TXN-0000072,ACC-2485,2024-07-16 13:39:00,5.92,Grocery,16,27.4,0,0,27430.89
TXN-0000073,ACC-6871,2024-07-26 20:04:45,491.89,Gas,14,46.8,1,0,35716.43
TXN-0000074,ACC-5608,2025-04-10 00:38:22,231.72,Gas,17,21.4,1,0,42056.91
TXN-0000075,ACC-7409,2024-08-15 10:23:51,382.74,Online,7,28.5,0,0,20058.8
TXN-0000076,ACC-1369,2024-10-04 20:56:53,35.62,Electronics,15,7.7,0,0,30117.29
TXN-0000077,ACC-8629,2024-03-24 20:44:16,108.64,ATM,20,27.8,1,0,4120.19
TXN-0000078,ACC-3491,2025-09-19 16:21:11,351.59,Travel,22,0.7,0,0,49807.8
TXN-0000079,ACC-4131,2024-04-06 17:24:47,215.85,ATM,17,40.3,1,0,33530.38
TXN-0000080,ACC-3908,2025-09-29 00:07:50,253.64,Grocery,18,17.3,0,0,31743.49
TXN-0000081,ACC-8427,2024-04-27 04:32:14,454.52,Grocery,17,38.3,0,0,47312.19
TXN-0000082,ACC-9708,2025-04-15 23:58:35,14.66,Gas,18,23.8,0,0,23128.19
TXN-0000083,ACC-2850,2024-11-14 16:12:22,273.35,Online,10,25.5,0,0,13965.57
TXN-0000084,ACC-4677,2024-07-03 18:31:29,363.62,Grocery,21,11.9,0,0,1010.05
TXN-0000085,ACC-7632,2024-08-28 21:42:27,151.86,Restaurant,8,43,1,0,6103.08
TXN-0000086,ACC-4769,2025-11-14 01:32:07,363.91,Electronics,11,11.6,1,0,38139.42
TXN-0000087,ACC-7759,2025-01-27 03:09:24,91.97,Gas,10,32.1,0,0,9918.1
TXN-0000088,ACC-1142,2024-03-14 10:11:00,291.67,Travel,13,14.5,0,0,342.14
TXN-0000089,ACC-9010,2025-03-11 04:08:48,28.42,Online,18,48.6,0,0,4706.1
TXN-0000090,ACC-6823,2024-05-09 22:26:32,259.44,Electronics,18,3.3,0,0,938.39
TXN-0000091,ACC-4724,2024-06-18 21:28:31,23.59,Gas,17,9.2,0,0,42631.49
TXN-0000092,ACC-7540,2024-05-17 22:20:51,114.71,ATM,15,1.2,1,0,10814.83
TXN-0000093,ACC-9849,2024-07-18 07:47:19,268.53,Gas,15,16.7,0,0,34391.06
TXN-0000094,ACC-9346,2025-08-18 04:00:11,462.13,Grocery,10,14.3,1,0,40347.58
TXN-0000095,ACC-2221,2024-11-14 15:34:45,426.35,Restaurant,19,24.2,1,0,17844.93
TXN-0000096,ACC-4979,2025-06-24 12:09:38,492.2,Online,16,2.3,0,0,19758.93
TXN-0000097,ACC-7179,2025-07-12 08:29:28,33.63,ATM,13,4.5,1,0,12356.09
TXN-0000098,ACC-5068,2025-02-13 06:17:50,27.52,Restaurant,21,11,0,0,26996.29
TXN-0000099,ACC-7065,2024-07-28 19:24:04,381.38,Restaurant,22,14.5,0,0,29773.94
TXN-0000100,ACC-8243,2025-11-28 20:04:20,146.92,Travel,9,3,1,0,487.78
TXN-0000101,ACC-8900,2025-04-12 20:00:13,313.82,Travel,17,46.4,1,0,31645.77
TXN-0000102,ACC-7675,2025-05-11 17:40:13,40.54,Grocery,19,2.3,0,0,35110.18
TXN-0000103,ACC-8222,2024-09-07 20:15:50,98.81,Online,7,19.2,0,0,38552.46
TXN-0000104,ACC-2606,2024-08-26 23:09:27,482.3,Online,19,36.6,1,0,13590
TXN-0000105,ACC-5216,2025-04-03 07:22:12,47.6,Grocery,21,25.1,1,0,1223.11
TXN-0000106,ACC-2962,2025-04-11 14:19:09,215.1,Grocery,15,28.7,1,0,47832.09
TXN-0000107,ACC-5163,2024-09-24 16:39:32,330.44,Travel,17,10.9,0,0,45637.25
TXN-0000108,ACC-7532,2025-12-17 21:55:53,143.38,Gas,15,42.9,1,0,30470.34
TXN-0000109,ACC-3531,2025-07-28 00:38:01,193.91,Travel,18,31.7,0,0,28177.59
TXN-0000110,ACC-5116,2024-09-09 13:01:51,417.54,Online,9,30.2,0,0,30441.75
TXN-0000111,ACC-5179,2025-07-01 21:02:25,209.85,Travel,9,27.8,0,0,41539.23
TXN-0000112,ACC-5243,2024-01-12 04:59:24,134.9,Travel,13,24,0,0,42080.99
TXN-0000113,ACC-8615,2024-10-27 05:00:03,316.94,Restaurant,15,32.5,0,0,21850.04
TXN-0000114,ACC-6673,2024-05-11 23:42:05,81.37,Travel,15,21.5,1,0,21687.33
TXN-0000115,ACC-7383,2024-03-15 22:24:46,310.01,Electronics,20,18.1,0,0,9978.75
TXN-0000116,ACC-6498,2025-06-14 01:54:08,164.32,Grocery,14,35,0,0,44907.33
TXN-0000117,ACC-2735,2024-04-20 10:56:46,128.91,Travel,8,40.4,0,0,29502.66
TXN-0000118,ACC-6774,2025-12-03 06:48:45,11025.04,Travel,2,1783,1,1,21760.15
TXN-0000119,ACC-2557,2024-09-15 10:24:43,433.44,Online,18,4.9,1,0,48262.75
TXN-0000120,ACC-3638,2025-01-09 10:06:15,3533.58,Travel,4,573,1,0,2635.24
TXN-0000121,ACC-8407,2024-10-04 04:04:34,391.39,Online,12,11.2,1,0,3343.3
TXN-0000122,ACC-4294,2024-06-25 15:35:26,407.08,Online,8,19.7,0,0,13752.61
TXN-0000123,ACC-8657,2025-07-23 17:06:35,215.06,Restaurant,21,38.4,0,0,2914.31
TXN-0000124,ACC-2178,2024-06-21 17:54:00,397.25,ATM,7,23.1,1,0,15858.11
TXN-0000125,ACC-2612,2024-12-05 12:05:24,347.04,Electronics,11,30.2,0,0,41909.09
TXN-0000126,ACC-2713,2025-10-16 14:38:36,412.37,Travel,8,8.5,1,0,43829.66
TXN-0000127,ACC-4094,2024-02-19 08:22:22,339.75,Electronics,12,2.1,0,0,14473.6
TXN-0000128,ACC-4662,2024-05-19 22:29:23,242.21,Electronics,17,28.1,0,0,32920.34
TXN-0000129,ACC-3503,2025-10-25 09:28:56,286.82,Online,7,14.7,0,0,10778.87
TXN-0000130,ACC-6239,2024-01-08 04:26:51,161.2,Restaurant,9,31.7,0,0,34425.8
TXN-0000131,ACC-2682,2024-07-25 03:38:59,464.97,Electronics,10,8.1,0,0,1587.57
TXN-0000132,ACC-4652,2025-02-26 19:19:42,121.24,Grocery,19,33.7,0,0,2150.74
TXN-0000133,ACC-6032,2024-04-08 01:47:30,288.37,Grocery,22,17.4,1,1,8173.68
TXN-0000134,ACC-2130,2025-10-09 18:53:10,201.07,Electronics,6,10.5,1,0,23736.62
TXN-0000135,ACC-3242,2025-09-06 15:42:46,243.53,Gas,8,0.4,0,0,9723.12
TXN-0000136,ACC-9036,2024-06-30 06:30:06,386.15,Restaurant,17,35.3,0,0,38673.41
TXN-0000137,ACC-5617,2024-03-29 04:01:29,52.04,Gas,16,30.2,0,0,31429.48
TXN-0000138,ACC-5121,2025-08-09 12:03:26,38.63,Electronics,14,40.5,0,0,37460.35
TXN-0000139,ACC-6098,2024-05-31 02:22:35,192.36,Travel,12,45.9,1,0,25195.11
TXN-0000140,ACC-9656,2024-04-26 04:47:21,211.46,Electronics,16,22.5,0,0,42035.95
TXN-0000141,ACC-3268,2025-12-12 04:50:06,351.89,Restaurant,21,8.1,1,0,41808.95
TXN-0000142,ACC-6234,2025-03-30 14:43:30,7412.43,Grocery,23,257,1,1,28297.57
TXN-0000143,ACC-9132,2025-07-08 19:33:20,198.33,Grocery,13,43.4,0,0,2993.59
TXN-0000144,ACC-9752,2025-01-15 13:08:20,271.4,Restaurant,8,39.3,0,0,11620.05
TXN-0000145,ACC-6919,2024-07-27 00:53:43,289.69,Online,7,44.6,0,0,49361.93
TXN-0000146,ACC-2485,2025-01-05 09:02:58,55.24,Electronics,22,37.2,1,0,34656.84
TXN-0000147,ACC-1398,2024-02-27 12:36:32,203.07,Grocery,11,31.6,0,0,40860.71
TXN-0000148,ACC-6995,2025-06-28 06:05:09,68.34,Electronics,18,43.7,1,0,8655.85
TXN-0000149,ACC-4368,2025-12-12 15:25:33,177.5,Online,14,42.8,0,0,28889.74
TXN-0000150,ACC-6642,2025-04-25 11:07:23,62.92,Grocery,7,37.3,1,0,42136.49
TXN-0000151,ACC-4553,2025-04-04 10:18:17,142.69,Online,15,14,0,0,7410.02
TXN-0000152,ACC-6557,2025-05-25 17:36:00,88.94,Grocery,13,4.9,0,0,39981.66
TXN-0000153,ACC-2502,2024-07-25 17:10:49,73.35,Online,22,38.3,1,0,3377.84
TXN-0000154,ACC-3825,2025-03-03 14:33:18,35.55,Electronics,8,44.4,1,0,18253.98
TXN-0000155,ACC-4238,2025-05-20 21:08:49,405.06,Grocery,8,3.9,1,0,41910.51
TXN-0000156,ACC-4886,2025-06-08 21:23:32,324.49,Gas,13,41.8,1,0,35067.2
TXN-0000157,ACC-8067,2024-02-07 17:18:02,280.59,Restaurant,22,7.4,1,0,20166.52
TXN-0000158,ACC-7371,2024-07-04 10:14:52,72.65,Gas,18,24.2,0,0,9069.5
TXN-0000159,ACC-6216,2024-05-13 02:17:12,420.48,Restaurant,20,43.2,0,0,6832.65
TXN-0000160,ACC-2599,2024-03-11 16:25:37,122.31,Grocery,14,19.3,0,0,32561.64
TXN-0000161,ACC-1529,2024-12-31 20:52:55,489.84,Gas,11,46.9,1,0,11525.57
TXN-0000162,ACC-4373,2024-11-24 20:43:43,35.53,Online,7,34.2,1,0,28945.74
TXN-0000163,ACC-3791,2025-05-12 07:46:35,397.73,Online,12,7,1,0,5878
TXN-0000164,ACC-7618,2025-03-07 05:31:15,318.14,Gas,7,26.8,0,0,30009.32
TXN-0000165,ACC-6128,2024-09-29 06:35:47,315.77,Gas,17,4.9,0,0,35086.74
TXN-0000166,ACC-9470,2024-06-07 07:50:03,268.49,Restaurant,12,43.4,1,0,49116.4
TXN-0000167,ACC-9994,2024-05-20 17:09:04,489.75,ATM,8,1.4,0,0,44655.89
TXN-0000168,ACC-2128,2024-08-05 23:51:33,249.2,ATM,12,25.4,0,0,48996.36
TXN-0000169,ACC-8419,2024-10-09 02:51:44,274.25,ATM,21,20.4,0,0,10057.03
TXN-0000170,ACC-8173,2025-08-04 20:04:40,332.99,Restaurant,12,40.3,0,0,33821.37
TXN-0000171,ACC-2695,2025-11-09 13:50:27,143.03,Travel,13,46.6,0,0,27766.87
TXN-0000172,ACC-7897,2024-02-21 08:12:55,475.39,Restaurant,7,27,0,0,48144.83
TXN-0000173,ACC-9201,2025-01-21 03:30:19,266.08,Restaurant,19,1.1,0,0,34296.72
TXN-0000174,ACC-3886,2025-11-06 11:44:56,286.25,Electronics,19,29.3,1,0,41803.19
TXN-0000175,ACC-8649,2025-02-16 10:46:15,152.17,ATM,15,29.4,0,0,18769.03
TXN-0000176,ACC-8782,2025-07-14 19:40:34,468.23,Electronics,11,41.1,1,0,37900.3
TXN-0000177,ACC-3192,2025-04-16 09:33:54,236.06,Online,6,19.1,0,0,33779.8
TXN-0000178,ACC-2123,2024-03-30 05:14:52,132.34,Restaurant,11,36.7,0,0,44138.01
TXN-0000179,ACC-6512,2025-12-05 03:05:49,474.56,ATM,11,44.1,0,0,35924.03
TXN-0000180,ACC-4447,2025-04-25 12:08:41,103.46,Travel,19,35.2,0,0,46117.21
TXN-0000181,ACC-4827,2024-05-17 17:42:51,470.76,ATM,9,38.8,0,0,45855.01
TXN-0000182,ACC-9341,2024-11-03 19:07:00,23.14,Gas,13,14.4,0,0,339.66
TXN-0000183,ACC-5305,2024-09-19 11:32:27,261.84,Grocery,19,49.3,1,0,42635.38
TXN-0000184,ACC-9720,2025-01-11 17:10:31,357.37,Restaurant,6,32.5,0,0,14043.34
TXN-0000185,ACC-1468,2024-09-11 01:45:22,473.94,ATM,10,43.2,0,0,17374.17
TXN-0000186,ACC-4483,2024-06-26 03:23:18,123.01,Gas,22,45.9,0,0,14351.19
TXN-0000187,ACC-2161,2024-01-22 13:27:50,370.65,ATM,14,10.4,0,0,20151.02
TXN-0000188,ACC-1796,2024-12-17 08:34:02,260.26,Gas,21,2.9,0,0,21091.12
TXN-0000189,ACC-1928,2024-09-29 16:24:42,400.14,Restaurant,16,7.9,0,0,13489.86
TXN-0000190,ACC-7700,2025-09-12 22:19:22,349.31,Restaurant,15,32.2,0,0,29069.06
TXN-0000191,ACC-7157,2025-08-11 08:45:25,286.83,Electronics,7,44.7,0,0,11621.97
TXN-0000192,ACC-2316,2025-11-01 00:11:02,245.36,Gas,16,33.6,0,0,38606.9
TXN-0000193,ACC-7822,2024-01-22 14:12:12,20.67,Gas,11,15.4,1,0,39332.23
TXN-0000194,ACC-3785,2024-11-24 16:41:01,407.83,Travel,19,46.2,1,0,25443.01
TXN-0000195,ACC-2572,2025-06-20 06:56:07,62.83,Online,14,21.2,0,0,31195.37
TXN-0000196,ACC-6826,2025-08-14 23:17:45,76.84,Online,14,38.6,0,0,15373.66
TXN-0000197,ACC-9844,2024-01-30 06:11:41,10022.77,Online,4,552,1,1,6885.88
TXN-0000198,ACC-1339,2025-07-04 13:05:53,464.45,Electronics,10,0.3,0,0,26269.49
TXN-0000199,ACC-7064,2024-02-28 10:15:30,268.84,Restaurant,11,27.9,0,0,39427.02
TXN-0000200,ACC-8835,2025-02-28 09:28:15,197.76,Grocery,18,43.1,0,0,12934.87
TXN-0000201,ACC-1284,2024-08-07 09:34:10,378.58,Electronics,18,26.1,0,0,30733.95
TXN-0000202,ACC-1468,2025-06-13 23:18:29,210.91,Electronics,20,27.1,1,0,8597.17
TXN-0000203,ACC-1960,2024-10-15 20:33:27,55.84,Electronics,18,42.5,0,0,9608.43
TXN-0000204,ACC-9159,2025-04-20 03:33:47,407.55,Online,11,47.5,0,0,8277.3
TXN-0000205,ACC-5936,2024-04-27 23:29:14,189.14,Electronics,20,31.8,0,0,29533.71
TXN-0000206,ACC-1506,2025-10-14 08:31:27,99.02,Online,20,1.1,1,0,8524.7
TXN-0000207,ACC-1613,2024-12-24 20:31:23,458.26,ATM,19,9.7,0,0,24307.42
TXN-0000208,ACC-6772,2024-08-18 07:00:00,146.24,Gas,18,32.4,1,0,25234.6
TXN-0000209,ACC-9618,2025-09-02 02:40:42,327.14,Grocery,7,36.1,0,0,32355.2
TXN-0000210,ACC-5954,2025-07-02 16:55:31,495.27,ATM,20,31.1,0,0,40262.49
TXN-0000211,ACC-7318,2024-05-07 14:19:12,98.95,ATM,7,20.6,0,0,34074.62
TXN-0000212,ACC-1960,2025-10-13 11:16:05,321.43,ATM,20,9.5,1,0,784.87
TXN-0000213,ACC-5249,2025-05-10 17:51:29,11.39,Online,17,31.6,0,0,30030.43
TXN-0000214,ACC-7355,2024-04-07 13:53:47,220.52,Restaurant,9,32.7,1,0,33579.02
TXN-0000215,ACC-5960,2024-08-02 03:20:32,59.03,ATM,19,35.8,0,0,12713.32
TXN-0000216,ACC-3559,2024-06-25 14:22:32,309.04,Gas,20,29.4,0,0,29312.83
TXN-0000217,ACC-8776,2024-04-22 02:20:26,399.34,Online,22,31.2,0,0,205.43
TXN-0000218,ACC-6110,2025-11-04 02:00:53,137.46,Electronics,9,46.8,0,0,9432.44
TXN-0000219,ACC-3988,2024-06-17 09:15:24,98.56,Restaurant,19,24.5,0,0,46543.07
TXN-0000220,ACC-3628,2024-11-27 03:59:44,105.62,Electronics,7,41.8,1,0,33868.58
TXN-0000221,ACC-7437,2025-12-19 18:38:31,468.83,Restaurant,8,10.3,0,0,18293.17
TXN-0000222,ACC-7819,2025-06-23 04:27:59,246.9,Grocery,12,19,0,0,24220.71
TXN-0000223,ACC-6946,2024-11-09 22:03:27,181.43,Restaurant,12,37.3,0,1,29889.89
TXN-0000224,ACC-6656,2024-08-13 20:49:57,155.26,Electronics,8,25.3,0,0,29892.82
TXN-0000225,ACC-4823,2024-04-22 12:21:37,12.75,Restaurant,22,9.5,0,0,2019.6
TXN-0000226,ACC-5340,2025-09-29 13:25:28,358.28,Online,18,11.5,0,0,26384.33
TXN-0000227,ACC-4573,2025-01-01 11:15:51,36.05,Restaurant,13,8,0,0,25644.05
TXN-0000228,ACC-6796,2024-07-22 10:31:47,184.64,Online,21,3.1,1,0,49404.1
TXN-0000229,ACC-1187,2025-01-24 13:09:18,419.9,Restaurant,19,11.1,0,0,4355.17
TXN-0000230,ACC-8412,2025-12-19 11:25:10,471.21,Gas,20,26.3,0,0,48112.56
TXN-0000231,ACC-3002,2025-03-02 00:07:39,481.31,Travel,15,42.4,0,0,17329.08
TXN-0000232,ACC-3222,2024-09-10 02:00:15,411.76,ATM,13,5.3,1,0,34163.6
TXN-0000233,ACC-5067,2024-12-20 05:07:30,9391.41,Gas,23,589,1,0,27613.65
TXN-0000234,ACC-3639,2025-01-13 17:09:33,14954.37,ATM,2,1693,1,1,48746.44
TXN-0000235,ACC-3138,2024-11-22 23:25:25,331.18,ATM,10,17.2,0,0,29627.14
TXN-0000236,ACC-8417,2025-01-07 00:31:14,399.34,Online,21,44.1,0,0,23866.55
TXN-0000237,ACC-6198,2025-06-13 19:47:16,12990.99,Travel,2,1819,1,1,609.43
TXN-0000238,ACC-7123,2024-06-09 12:24:21,74.42,Travel,21,8.9,0,0,27715.76
TXN-0000239,ACC-9685,2024-03-13 20:56:07,154.04,Gas,10,36.8,0,0,48530.35
TXN-0000240,ACC-1407,2024-10-18 01:02:27,70.25,ATM,13,49.2,0,0,13080.61
TXN-0000241,ACC-1148,2025-12-29 18:34:06,487.57,ATM,15,33.1,0,0,6292.65
TXN-0000242,ACC-9568,2025-06-17 12:44:44,19.12,Travel,16,12.1,1,1,18834.83
TXN-0000243,ACC-3942,2025-12-07 16:11:14,470.29,Grocery,22,17.7,0,0,12013.04
TXN-0000244,ACC-5407,2025-09-19 14:03:30,294.96,Restaurant,8,1.1,0,0,45925.41
TXN-0000245,ACC-3204,2024-06-10 09:13:27,151.46,Travel,10,29.5,1,0,5029.24
TXN-0000246,ACC-6363,2024-06-20 06:16:37,410.46,Travel,19,29.1,0,0,27529.67
TXN-0000247,ACC-7688,2024-01-19 20:57:43,497.22,Gas,14,47.3,0,0,30372.52
TXN-0000248,ACC-7146,2024-01-25 21:24:48,73.78,Restaurant,10,23.6,1,0,47023.48
TXN-0000249,ACC-8293,2024-10-27 14:11:12,141.57,Online,7,45.3,1,0,17836.4
TXN-0000250,ACC-6223,2025-01-20 06:08:31,460.42,Gas,18,18.4,0,0,46768.4
TXN-0000251,ACC-4040,2025-12-05 05:12:57,228.87,Restaurant,15,40.9,0,0,49749.37
TXN-0000252,ACC-2004,2025-11-21 17:55:16,401.64,Gas,16,22.6,0,1,14831.95
TXN-0000253,ACC-7106,2024-09-24 22:05:25,300.18,Grocery,17,34.2,0,0,42743.96
TXN-0000254,ACC-4592,2025-07-28 11:40:51,46.73,ATM,10,41.3,1,0,18192.58
TXN-0000255,ACC-6048,2025-02-12 14:11:23,356.55,Gas,12,48.8,0,0,14892.85
TXN-0000256,ACC-8396,2024-07-06 15:26:54,154.35,Gas,21,8.1,0,0,49591.25
TXN-0000257,ACC-6064,2025-10-30 11:16:33,450.11,Grocery,20,37.4,0,0,37389.7
TXN-0000258,ACC-6508,2025-12-04 18:33:09,314.67,Online,19,25.4,1,0,4606.21
TXN-0000259,ACC-1080,2025-04-04 13:18:28,326.71,Grocery,15,46.7,0,0,15566.73
TXN-0000260,ACC-7084,2025-06-17 19:44:41,5918.55,ATM,3,990,0,0,2609.34
TXN-0000261,ACC-3820,2025-04-13 11:19:49,170.32,Travel,8,36,0,0,35972.06
TXN-0000262,ACC-3658,2024-05-08 12:11:49,273.88,Travel,6,1.1,1,0,35294.15
TXN-0000263,ACC-4623,2024-01-14 22:55:01,15.99,Restaurant,16,16.4,0,0,48364.25
TXN-0000264,ACC-6961,2025-03-23 00:22:26,387.13,ATM,19,6.5,0,0,40259.56
TXN-0000265,ACC-5886,2025-08-24 20:23:57,465.19,Gas,12,31.7,0,0,16526.13
TXN-0000266,ACC-3229,2025-05-17 08:29:03,58.85,Restaurant,6,39.4,1,0,217.66
TXN-0000267,ACC-3027,2025-05-19 16:23:38,30.04,Electronics,8,17.9,0,0,7813.82
TXN-0000268,ACC-8049,2024-05-02 18:51:33,187.82,Online,17,32,1,0,17255.7
TXN-0000269,ACC-2379,2024-08-22 07:42:40,12578.03,Grocery,4,1562,1,0,13062.48
TXN-0000270,ACC-5461,2024-04-13 18:31:22,169.69,Restaurant,12,18.8,0,0,32903.38
