RecordId,Timestamp,Region,DayOfWeek,IsHoliday,DailySalesAmount
TS-000195,2022-07-14,West,Thu,0,17353
TS-000196,2022-07-15,South,Fri,0,18162
TS-000197,2022-07-16,South,Sat,0,20019
TS-000198,2022-07-17,Central,Sun,0,20667
TS-000199,2022-07-18,South,Mon,0,19241
TS-000200,2022-07-19,Central,Tue,0,16174
TS-000201,2022-07-20,North,Wed,0,17347
TS-000202,2022-07-21,East,Thu,0,17651
TS-000203,2022-07-22,North,Fri,0,18108
TS-000204,2022-07-23,South,Sat,0,21616
TS-000205,2022-07-24,East,Sun,0,20651
TS-000206,2022-07-25,Central,Mon,0,17055
TS-000207,2022-07-26,East,Tue,0,16253
TS-000208,2022-07-27,East,Wed,0,16823
TS-000209,2022-07-28,Central,Thu,0,17147
TS-000210,2022-07-29,South,Fri,0,15939
TS-000211,2022-07-30,West,Sat,0,21332
TS-000212,2022-07-31,North,Sun,0,19716
TS-000213,2022-08-01,South,Mon,0,15844
TS-000214,2022-08-02,West,Tue,0,15646
TS-000215,2022-08-03,West,Wed,0,15199
TS-000216,2022-08-04,North,Thu,0,15004
TS-000217,2022-08-05,Central,Fri,0,14902
TS-000218,2022-08-06,Central,Sat,0,20555
TS-000219,2022-08-07,East,Sun,0,17467
TS-000220,2022-08-08,Central,Mon,0,14359
TS-000221,2022-08-09,South,Tue,0,16777
TS-000222,2022-08-10,South,Wed,0,14915
TS-000223,2022-08-11,South,Thu,0,13635
TS-000224,2022-08-12,West,Fri,0,15731
TS-000225,2022-08-13,Central,Sat,0,17626
TS-000226,2022-08-14,Central,Sun,0,17304
TS-000227,2022-08-15,South,Mon,0,15360
TS-000228,2022-08-16,South,Tue,0,14422
TS-000229,2022-08-17,West,Wed,0,13722
TS-000230,2022-08-18,Central,Thu,0,14511
TS-000231,2022-08-19,South,Fri,1,14841
TS-000232,2022-08-20,East,Sat,0,18872
TS-000233,2022-08-21,South,Sun,0,16983
TS-000234,2022-08-22,East,Mon,0,14348
TS-000235,2022-08-23,West,Tue,0,14243
TS-000236,2022-08-24,Central,Wed,0,14057
TS-000237,2022-08-25,North,Thu,0,15200
TS-000238,2022-08-26,West,Fri,0,16701
TS-000239,2022-08-27,South,Sat,0,19490
TS-000240,2022-08-28,Central,Sun,0,20842
TS-000241,2022-08-29,South,Mon,0,15865
TS-000242,2022-08-30,North,Tue,0,15696
TS-000243,2022-08-31,North,Wed,0,16637
TS-000244,2022-09-01,South,Thu,0,17286
TS-000245,2022-09-02,East,Fri,0,16216
TS-000246,2022-09-03,East,Sat,0,20421
TS-000247,2022-09-04,West,Sun,0,21459
TS-000248,2022-09-05,Central,Mon,0,18971
TS-000249,2022-09-06,North,Tue,0,17655
TS-000250,2022-09-07,East,Wed,0,18938
TS-000251,2022-09-08,South,Thu,0,16875
TS-000252,2022-09-09,West,Fri,1,17410
TS-000253,2022-09-10,West,Sat,0,22386
TS-000254,2022-09-11,North,Sun,0,21536
TS-000255,2022-09-12,East,Mon,0,18299
TS-000256,2022-09-13,East,Tue,0,19484
TS-000257,2022-09-14,North,Wed,0,17086
TS-000258,2022-09-15,West,Thu,0,19641
TS-000259,2022-09-16,South,Fri,0,18490
TS-000260,2022-09-17,North,Sat,0,20558
TS-000261,2022-09-18,North,Sun,0,19994
TS-000262,2022-09-19,West,Mon,0,17311
TS-000263,2022-09-20,East,Tue,0,18016
TS-000264,2022-09-21,Central,Wed,0,17432
TS-000265,2022-09-22,East,Thu,0,17366
TS-000266,2022-09-23,Central,Fri,0,17668
TS-000267,2022-09-24,East,Sat,0,19552
TS-000268,2022-09-25,West,Sun,0,19587
TS-000269,2022-09-26,Central,Mon,0,17196
TS-000270,2022-09-27,West,Tue,0,16685
TS-000271,2022-09-28,Central,Wed,0,15587
TS-000272,2022-09-29,North,Thu,0,16429
TS-000273,2022-09-30,West,Fri,0,15971
TS-000274,2022-10-01,West,Sat,0,19756
TS-000275,2022-10-02,West,Sun,0,18802
TS-000276,2022-10-03,South,Mon,0,14494
TS-000277,2022-10-04,Central,Tue,0,16636
TS-000278,2022-10-05,West,Wed,0,14202
TS-000279,2022-10-06,South,Thu,0,15161
TS-000280,2022-10-07,North,Fri,0,15242
TS-000281,2022-10-08,Central,Sat,0,17109
TS-000282,2022-10-09,East,Sun,0,18820
TS-000283,2022-10-10,South,Mon,0,13869
TS-000284,2022-10-11,Central,Tue,0,14529
TS-000285,2022-10-12,North,Wed,0,16478
TS-000286,2022-10-13,South,Thu,0,13029
TS-000287,2022-10-14,North,Fri,0,14742
TS-000288,2022-10-15,East,Sat,1,17574
TS-000289,2022-10-16,Central,Sun,0,17398
TS-000290,2022-10-17,West,Mon,1,14204
TS-000291,2022-10-18,West,Tue,0,14425
TS-000292,2022-10-19,East,Wed,0,16009
TS-000293,2022-10-20,South,Thu,0,16247
TS-000294,2022-10-21,South,Fri,0,16952
TS-000295,2022-10-22,South,Sat,0,18719
TS-000296,2022-10-23,Central,Sun,0,18266
TS-000297,2022-10-24,Central,Mon,0,15901
TS-000298,2022-10-25,West,Tue,0,15442
TS-000299,2022-10-26,North,Wed,0,16284
TS-000300,2022-10-27,Central,Thu,0,16704
TS-000301,2022-10-28,Central,Fri,0,16617
TS-000302,2022-10-29,South,Sat,0,19643
TS-000303,2022-10-30,North,Sun,0,19033
TS-000304,2022-10-31,West,Mon,0,18418
TS-000305,2022-11-01,East,Tue,0,15932
TS-000306,2022-11-02,East,Wed,0,17066
TS-000307,2022-11-03,East,Thu,0,16475
TS-000308,2022-11-04,East,Fri,0,16889
TS-000309,2022-11-05,West,Sat,0,20280
TS-000310,2022-11-06,West,Sun,0,20735
TS-000311,2022-11-07,South,Mon,0,16459
TS-000312,2022-11-08,North,Tue,0,19377
TS-000313,2022-11-09,West,Wed,0,17336
TS-000314,2022-11-10,South,Thu,0,17042
TS-000315,2022-11-11,East,Fri,0,18742
TS-000316,2022-11-12,East,Sat,0,21241
TS-000317,2022-11-13,Central,Sun,0,20060
TS-000318,2022-11-14,West,Mon,0,18321
TS-000319,2022-11-15,East,Tue,0,17465
TS-000320,2022-11-16,North,Wed,0,17147
TS-000321,2022-11-17,South,Thu,0,17135
TS-000322,2022-11-18,South,Fri,0,17317
TS-000323,2022-11-19,Central,Sat,0,20448
TS-000324,2022-11-20,East,Sun,0,20119
TS-000325,2022-11-21,East,Mon,0,18052
TS-000326,2022-11-22,Central,Tue,0,17655
TS-000327,2022-11-23,Central,Wed,0,18101
TS-000328,2022-11-24,West,Thu,0,17846
TS-000329,2022-11-25,East,Fri,0,16420
TS-000330,2022-11-26,South,Sat,0,19280
TS-000331,2022-11-27,South,Sun,0,19683
TS-000332,2022-11-28,Central,Mon,0,16465
TS-000333,2022-11-29,West,Tue,0,15884
TS-000334,2022-11-30,South,Wed,0,16121
TS-000335,2022-12-01,West,Thu,0,16710
TS-000336,2022-12-02,North,Fri,0,15124
TS-000337,2022-12-03,Central,Sat,0,17978
TS-000338,2022-12-04,South,Sun,0,18055
TS-000339,2022-12-05,Central,Mon,0,15517
TS-000340,2022-12-06,West,Tue,0,15888
TS-000341,2022-12-07,South,Wed,0,13268
TS-000342,2022-12-08,South,Thu,0,14087
TS-000343,2022-12-09,Central,Fri,0,16302
TS-000344,2022-12-10,Central,Sat,0,19629
TS-000345,2022-12-11,Central,Sun,0,17179
TS-000346,2022-12-12,West,Mon,0,13748
TS-000347,2022-12-13,West,Tue,0,14760
TS-000348,2022-12-14,West,Wed,0,14876
TS-000349,2022-12-15,North,Thu,0,14245
TS-000350,2022-12-16,North,Fri,0,14341
TS-000351,2022-12-17,South,Sat,0,17711
TS-000352,2022-12-18,North,Sun,0,17476
TS-000353,2022-12-19,West,Mon,0,15654
TS-000354,2022-12-20,West,Tue,0,15684
TS-000355,2022-12-21,Central,Wed,0,15512
TS-000356,2022-12-22,East,Thu,0,14735
TS-000357,2022-12-23,West,Fri,0,16273
TS-000358,2022-12-24,East,Sat,0,20028
TS-000359,2022-12-25,North,Sun,0,18822
TS-000360,2022-12-26,East,Mon,0,16443
TS-000361,2022-12-27,South,Tue,0,17106
TS-000362,2022-12-28,Central,Wed,0,16107
TS-000363,2022-12-29,North,Thu,0,16361
TS-000364,2022-12-30,East,Fri,0,17533
TS-000365,2022-12-31,South,Sat,0,19798
TS-000366,2023-01-01,West,Sun,0,20232
TS-000367,2023-01-02,Central,Mon,0,16697
TS-000368,2023-01-03,Central,Tue,0,17189
TS-000369,2023-01-04,South,Wed,0,18292
TS-000370,2023-01-05,West,Thu,0,18099
TS-000371,2023-01-06,South,Fri,0,18714
TS-000372,2023-01-07,South,Sat,0,20460
TS-000373,2023-01-08,West,Sun,0,20272
TS-000374,2023-01-09,West,Mon,0,17359
TS-000375,2023-01-10,North,Tue,0,17473
TS-000376,2023-01-11,West,Wed,0,17294
TS-000377,2023-01-12,North,Thu,0,19070
TS-000378,2023-01-13,Central,Fri,0,17322
TS-000379,2023-01-14,South,Sat,1,20285
TS-000380,2023-01-15,South,Sun,0,21839
TS-000381,2023-01-16,South,Mon,0,16566
TS-000382,2023-01-17,North,Tue,0,19349
TS-000383,2023-01-18,North,Wed,0,17875
TS-000384,2023-01-19,East,Thu,0,18127
TS-000385,2023-01-20,North,Fri,0,17012
TS-000386,2023-01-21,North,Sat,0,20251
TS-000387,2023-01-22,West,Sun,0,19375
TS-000388,2023-01-23,East,Mon,0,16857
TS-000389,2023-01-24,South,Tue,0,16434
TS-000390,2023-01-25,North,Wed,0,16411
TS-000391,2023-01-26,South,Thu,0,16844
TS-000392,2023-01-27,East,Fri,0,16463
TS-000393,2023-01-28,East,Sat,0,19615
TS-000394,2023-01-29,South,Sun,0,20536
TS-000395,2023-01-30,North,Mon,0,17148
TS-000396,2023-01-31,West,Tue,0,16564
TS-000397,2023-02-01,East,Wed,0,15284
TS-000398,2023-02-02,West,Thu,0,14164
TS-000399,2023-02-03,East,Fri,0,12913
TS-000400,2023-02-04,Central,Sat,1,18468
TS-000401,2023-02-05,West,Sun,0,18045
TS-000402,2023-02-06,North,Mon,0,15593
TS-000403,2023-02-07,North,Tue,0,16261
TS-000404,2023-02-08,South,Wed,0,15357
TS-000405,2023-02-09,West,Thu,0,14252
TS-000406,2023-02-10,Central,Fri,0,14915
TS-000407,2023-02-11,Central,Sat,0,17594
TS-000408,2023-02-12,East,Sun,0,18855
TS-000409,2023-02-13,Central,Mon,0,15898
TS-000410,2023-02-14,South,Tue,0,15276
TS-000411,2023-02-15,East,Wed,0,14882
TS-000412,2023-02-16,Central,Thu,0,15177
TS-000413,2023-02-17,North,Fri,0,15739
TS-000414,2023-02-18,North,Sat,0,17571
TS-000415,2023-02-19,West,Sun,0,18986
TS-000416,2023-02-20,East,Mon,0,16115
TS-000417,2023-02-21,North,Tue,0,16781
TS-000418,2023-02-22,West,Wed,0,18038
TS-000419,2023-02-23,Central,Thu,0,14750
TS-000420,2023-02-24,Central,Fri,0,16449
TS-000421,2023-02-25,East,Sat,0,20195
TS-000422,2023-02-26,South,Sun,0,18689
TS-000423,2023-02-27,West,Mon,0,15854
TS-000424,2023-02-28,South,Tue,0,17382
TS-000425,2023-03-01,North,Wed,0,17058
TS-000426,2023-03-02,South,Thu,0,17232
TS-000427,2023-03-03,West,Fri,0,17329
TS-000428,2023-03-04,West,Sat,0,19777
TS-000429,2023-03-05,East,Sun,0,21760
TS-000430,2023-03-06,West,Mon,0,18044
TS-000431,2023-03-07,Central,Tue,0,18070
TS-000432,2023-03-08,South,Wed,0,19015
TS-000433,2023-03-09,East,Thu,0,18078
TS-000434,2023-03-10,West,Fri,0,16599
TS-000435,2023-03-11,North,Sat,0,19575
TS-000436,2023-03-12,East,Sun,0,22911
TS-000437,2023-03-13,South,Mon,0,18300
TS-000438,2023-03-14,West,Tue,0,18778
TS-000439,2023-03-15,North,Wed,0,18986
TS-000440,2023-03-16,West,Thu,0,19372
TS-000441,2023-03-17,South,Fri,0,17299
TS-000442,2023-03-18,South,Sat,0,22059
TS-000443,2023-03-19,North,Sun,0,21200
TS-000444,2023-03-20,North,Mon,0,18701
TS-000445,2023-03-21,Central,Tue,0,18218
TS-000446,2023-03-22,Central,Wed,0,16922
TS-000447,2023-03-23,South,Thu,0,17226
TS-000448,2023-03-24,East,Fri,0,18444
TS-000449,2023-03-25,Central,Sat,0,18538
TS-000450,2023-03-26,West,Sun,0,20391
TS-000451,2023-03-27,Central,Mon,0,16758
TS-000452,2023-03-28,South,Tue,0,15489
TS-000453,2023-03-29,East,Wed,0,16562
TS-000454,2023-03-30,East,Thu,0,16838
TS-000455,2023-03-31,East,Fri,0,16701
TS-000456,2023-04-01,Central,Sat,0,20812
TS-000457,2023-04-02,North,Sun,0,19061
TS-000458,2023-04-03,South,Mon,0,14336
TS-000459,2023-04-04,West,Tue,1,16277
TS-000460,2023-04-05,Central,Wed,0,15194
TS-000461,2023-04-06,Central,Thu,0,14163
TS-000462,2023-04-07,North,Fri,0,15775
TS-000463,2023-04-08,East,Sat,0,19417
TS-000464,2023-04-09,East,Sun,0,18035
TS-000465,2023-04-10,Central,Mon,0,14667
TS-000466,2023-04-11,Central,Tue,0,14633
TS-000467,2023-04-12,North,Wed,0,15429
TS-000468,2023-04-13,North,Thu,0,14292
TS-000469,2023-04-14,Central,Fri,0,15471
TS-000470,2023-04-15,East,Sat,0,18765
TS-000471,2023-04-16,Central,Sun,0,18669
TS-000472,2023-04-17,North,Mon,0,16148
TS-000473,2023-04-18,East,Tue,0,15147
TS-000474,2023-04-19,West,Wed,0,14681
TS-000475,2023-04-20,West,Thu,0,14813
TS-000476,2023-04-21,South,Fri,0,15646
TS-000477,2023-04-22,Central,Sat,0,19108
TS-000478,2023-04-23,North,Sun,0,19735
TS-000479,2023-04-24,South,Mon,0,15681
TS-000480,2023-04-25,North,Tue,0,17361
TS-000481,2023-04-26,South,Wed,0,17368
TS-000482,2023-04-27,South,Thu,0,17051
TS-000483,2023-04-28,East,Fri,0,15442
TS-000484,2023-04-29,North,Sat,0,19222
TS-000485,2023-04-30,South,Sun,0,21637
TS-000486,2023-05-01,South,Mon,0,18776
TS-000487,2023-05-02,North,Tue,0,17478
TS-000488,2023-05-03,East,Wed,0,17339
TS-000489,2023-05-04,North,Thu,0,18822
TS-000490,2023-05-05,North,Fri,0,17589
TS-000491,2023-05-06,North,Sat,0,22598
TS-000492,2023-05-07,North,Sun,0,21108
TS-000493,2023-05-08,North,Mon,0,19141
TS-000494,2023-05-09,South,Tue,0,18429
TS-000495,2023-05-10,Central,Wed,0,19476
TS-000496,2023-05-11,East,Thu,0,18866
TS-000497,2023-05-12,West,Fri,0,19203
TS-000498,2023-05-13,South,Sat,0,21994
TS-000499,2023-05-14,South,Sun,0,21735
TS-000500,2023-05-15,West,Mon,0,18077
TS-000501,2023-05-16,North,Tue,0,16858
TS-000502,2023-05-17,West,Wed,0,17219
TS-000503,2023-05-18,Central,Thu,0,17553
TS-000504,2023-05-19,West,Fri,0,18822
TS-000505,2023-05-20,East,Sat,0,21714
TS-000506,2023-05-21,West,Sun,0,20398
TS-000507,2023-05-22,South,Mon,0,17571
TS-000508,2023-05-23,East,Tue,0,18140
TS-000509,2023-05-24,South,Wed,0,17279
TS-000510,2023-05-25,North,Thu,0,16840
TS-000511,2023-05-26,South,Fri,0,16074
TS-000512,2023-05-27,Central,Sat,0,18546
TS-000513,2023-05-28,North,Sun,0,19152
TS-000514,2023-05-29,Central,Mon,0,15246
TS-000515,2023-05-30,East,Tue,1,16906
TS-000516,2023-05-31,North,Wed,0,16369
TS-000517,2023-06-01,South,Thu,0,14604
TS-000518,2023-06-02,Central,Fri,0,15502
TS-000519,2023-06-03,South,Sat,0,19265
TS-000520,2023-06-04,East,Sun,0,18311
TS-000521,2023-06-05,East,Mon,0,14636
TS-000522,2023-06-06,South,Tue,0,15152
TS-000523,2023-06-07,South,Wed,0,16108
TS-000524,2023-06-08,North,Thu,0,14574
TS-000525,2023-06-09,East,Fri,0,14504
TS-000526,2023-06-10,South,Sat,0,18161
TS-000527,2023-06-11,North,Sun,0,17129
TS-000528,2023-06-12,South,Mon,0,13909
TS-000529,2023-06-13,West,Tue,0,14902
TS-000530,2023-06-14,East,Wed,0,14613
TS-000531,2023-06-15,South,Thu,0,15409
TS-000532,2023-06-16,South,Fri,0,16077
TS-000533,2023-06-17,East,Sat,0,17333
TS-000534,2023-06-18,South,Sun,0,20939
TS-000535,2023-06-19,North,Mon,0,14303
TS-000536,2023-06-20,West,Tue,0,15568
TS-000537,2023-06-21,East,Wed,0,15691
TS-000538,2023-06-22,North,Thu,0,15455
TS-000539,2023-06-23,East,Fri,0,16489
TS-000540,2023-06-24,East,Sat,0,19473
