SearchId,ListingId,Bedrooms,Bathrooms,Price,DaysOnMarket,PhotoCount,WalkScore,SchoolRating,VirtualTourAvailable,ClickThroughScore
SRC-9335,LST-000028,2,3.6,367556,133,14,97,1.7,0,0.758
SRC-2777,LST-000029,6,1.2,487302,2,24,62,8,1,0.808
SRC-3447,LST-000030,4,3.4,858617,97,13,25,3.9,0,0.35
SRC-3563,LST-000031,6,2.4,175188,62,30,78,7.3,0,0.802
SRC-3331,LST-000032,3,3.5,437930,166,34,28,5.9,1,0.482
SRC-5995,LST-000033,4,3.8,349771,99,23,99,4.6,0,0.746
SRC-5688,LST-000034,1,3.6,1164703,144,20,100,4,0,0.73
SRC-3215,LST-000035,2,1.5,858182,139,7,27,3.4,1,0.338
SRC-9665,LST-000036,3,3.3,539158,117,16,85,6.3,0,0.67
SRC-7878,LST-000037,3,2.2,496756,22,32,78,6.8,1,0.982
SRC-9877,LST-000038,4,1.1,658500,49,31,77,9.4,1,0.718
SRC-5504,LST-000039,3,2.7,478494,124,21,97,9.7,0,0.708
SRC-7948,LST-000040,2,1,1038203,35,25,71,6.9,1,0.634
SRC-8980,LST-000041,2,3.7,705066,160,4,62,8.9,0,0.318
SRC-7603,LST-000042,2,1,1067809,31,12,34,7.3,1,0.316
SRC-3913,LST-000043,2,1.7,530221,58,26,74,3.1,0,0.756
SRC-9585,LST-000044,5,2.4,353523,125,18,80,5.5,0,0.52
SRC-1080,LST-000045,5,1.5,927110,38,40,29,4.5,0,0.686
SRC-3040,LST-000046,3,3,835550,125,39,21,6.3,1,0.584
SRC-2866,LST-000047,6,1.9,620969,60,40,100,7.8,1,0.91
SRC-3897,LST-000048,1,3.7,370628,169,9,21,9.4,0,0.394
SRC-3250,LST-000049,4,2.6,915224,129,33,84,2.4,1,0.676
SRC-2416,LST-000050,2,2,740882,163,5,95,9.8,0,0.66
SRC-5604,LST-000051,5,3.7,383673,135,9,46,4.1,1,0.414
SRC-8829,LST-000052,1,3.4,1015211,119,20,44,9.7,0,0.626
SRC-2055,LST-000053,2,2.8,848441,55,30,57,3.5,0,0.628
SRC-2702,LST-000054,1,2.3,1006422,9,4,22,6.6,0,0.308
SRC-8731,LST-000055,6,1.1,844809,50,3,25,7.2,1,0.25
SRC-8821,LST-000056,5,1.8,178608,176,39,58,6.2,0,0.822
SRC-5958,LST-000057,6,2.7,1132859,120,38,23,8.5,0,0.562
SRC-6060,LST-000058,1,1.7,372487,130,14,36,5.1,1,0.374
SRC-7278,LST-000059,1,1.4,1061088,146,20,73,3.2,1,0.612
SRC-8924,LST-000060,1,3.9,373721,66,23,55,3.4,1,0.55
SRC-4298,LST-000061,3,4,219848,82,20,43,7.7,0,0.502
SRC-5399,LST-000062,5,2.5,236619,58,32,63,2.4,0,0.702
SRC-6100,LST-000063,3,1.5,808656,46,18,77,8.4,0,0.568
SRC-9704,LST-000064,3,3.4,404712,12,25,73,1.4,0,0.942
SRC-2812,LST-000065,5,3,743287,134,30,29,5.4,1,0.596
SRC-7855,LST-000066,4,3.9,255235,131,24,28,8.9,1,0.572
SRC-2131,LST-000067,1,1.1,777018,85,23,29,3.8,0,0.366
SRC-1349,LST-000068,1,2.2,846955,44,18,62,8.1,0,0.498
SRC-1695,LST-000069,3,1.5,984044,114,30,45,2.7,0,0.69
SRC-9123,LST-000070,5,3.1,260511,30,18,81,9.4,1,0.514
SRC-6922,LST-000071,5,2.7,411079,142,35,100,8.4,0,0.95
SRC-6290,LST-000072,3,2.4,346769,180,32,71,8,1,0.774
SRC-6786,LST-000073,3,1,1149475,151,31,77,8.5,1,0.708
SRC-4720,LST-000074,2,3.5,691191,22,22,42,2.4,1,0.768
SRC-7900,LST-000075,4,2.8,262048,77,3,81,6.4,0,0.484
SRC-2554,LST-000076,5,3.4,467699,180,35,81,4.4,1,0.894
SRC-2007,LST-000077,6,1.2,416298,37,7,57,7.4,0,0.468
SRC-1047,LST-000078,3,2.3,674309,139,4,43,4.4,0,0.372
SRC-2029,LST-000079,5,1.5,1170394,87,11,22,5,0,0.338
SRC-2133,LST-000080,4,1.4,576811,20,40,61,2.5,1,1
SRC-3684,LST-000081,4,2.5,862362,135,29,51,5.8,0,0.624
SRC-3453,LST-000082,4,3.6,1095202,81,7,95,9.1,0,0.47
SRC-7258,LST-000083,1,2.8,741240,128,28,90,9.7,0,0.89
SRC-7132,LST-000084,5,2.4,908815,42,5,84,1.8,0,0.396
SRC-5863,LST-000085,6,2,788229,52,38,20,9,1,0.53
SRC-4535,LST-000086,6,3.4,608330,52,37,30,5.8,0,0.66
SRC-4273,LST-000087,3,1.6,770030,126,36,87,4.6,0,0.808
SRC-5841,LST-000088,3,2.7,720512,177,18,98,9.5,0,0.682
SRC-6571,LST-000089,4,2.7,303266,135,28,25,7.6,0,0.53
SRC-9175,LST-000090,6,3,617532,72,19,65,9.8,1,0.59
SRC-7645,LST-000091,3,2.5,738453,41,22,99,5.3,0,0.826
SRC-7879,LST-000092,1,2.5,1061338,152,22,75,2.2,0,0.69
SRC-8609,LST-000093,2,1.9,275755,30,29,42,2.8,0,0.558
SRC-7793,LST-000094,5,2.8,489566,171,21,51,8.4,0,0.534
SRC-9282,LST-000095,4,1.5,168180,166,22,100,8.9,0,0.7
SRC-7781,LST-000096,5,2.2,395200,163,35,43,9.1,0,0.532
SRC-5210,LST-000097,3,3.5,419564,4,12,65,5.2,1,0.54
SRC-3936,LST-000098,6,1.5,412157,87,11,66,7.9,1,0.384
SRC-9154,LST-000099,2,1.5,710544,75,23,59,6.7,0,0.486
SRC-5069,LST-000100,5,2.7,299189,132,30,62,5.2,0,0.598
SRC-6101,LST-000101,6,2,194790,99,29,48,8.3,0,0.662
SRC-2255,LST-000102,6,1.2,607005,41,13,99,2.1,0,0.746
SRC-4226,LST-000103,4,2.1,1037156,91,8,21,8.6,1,0.224
SRC-3636,LST-000104,2,1.3,1095429,69,33,68,8.2,0,0.612
SRC-7717,LST-000105,5,3,1079203,99,38,27,3.3,1,0.568
SRC-9073,LST-000106,4,2.6,1168402,64,11,84,4.7,0,0.566
SRC-9829,LST-000107,3,4,204065,130,8,90,4.8,0,0.61
SRC-9351,LST-000108,4,2.2,1085394,84,21,30,7.2,1,0.33
SRC-6009,LST-000109,4,1.5,612340,7,28,87,3.2,1,0.918
SRC-2527,LST-000110,3,2.3,933270,61,6,28,6.4,1,0.262
SRC-8719,LST-000111,6,3.1,895121,58,14,45,1.9,0,0.47
SRC-2510,LST-000112,6,2.3,513185,156,34,77,6.6,0,0.858
SRC-4054,LST-000113,2,3.6,915062,112,30,23,7.3,1,0.522
SRC-2219,LST-000114,1,2.5,629409,87,34,30,6,0,0.46
SRC-6490,LST-000115,4,2.6,688805,84,19,76,7.1,0,0.684
SRC-2911,LST-000116,1,3.6,686682,76,40,78,3.7,1,0.842
SRC-9687,LST-000117,3,2.3,368244,21,34,69,4.7,1,0.856
SRC-8855,LST-000118,6,3.7,969914,80,11,62,4.4,0,0.598
SRC-4397,LST-000119,2,2.4,409765,98,39,48,1.8,1,0.742
SRC-4936,LST-000120,6,3.3,324177,173,33,45,3.9,1,0.75
SRC-5786,LST-000121,2,1.6,428503,38,36,74,9.6,0,0.846
SRC-8281,LST-000122,1,2.4,239027,14,18,44,8.6,0,0.696
SRC-9338,LST-000123,6,3,600070,145,32,26,3.1,0,0.474
SRC-7606,LST-000124,3,2.5,829025,108,19,98,3.2,0,0.782
SRC-5231,LST-000125,3,2.3,548150,68,24,44,5.8,0,0.486
SRC-2672,LST-000126,2,3.9,509622,128,5,24,7.5,0,0.166
SRC-6906,LST-000127,5,1.4,1121542,42,35,92,7.7,1,0.958
SRC-3711,LST-000128,4,2.1,417635,149,27,86,7.2,1,0.754
SRC-9562,LST-000129,3,2.3,833963,1,20,59,2.3,1,0.736
SRC-9431,LST-000130,4,1.6,285548,165,10,32,6.6,1,0.228
SRC-2109,LST-000131,3,2.5,287789,44,40,78,9.9,0,0.942
SRC-6566,LST-000132,3,2.6,404223,161,15,50,1,0,0.39
SRC-9633,LST-000133,2,3.2,696463,113,21,47,4.2,1,0.568
SRC-3875,LST-000134,2,2.7,328076,11,8,23,9.3,0,0.512
SRC-4962,LST-000135,1,1.1,602847,54,17,21,7.3,0,0.364
SRC-7981,LST-000136,1,2.3,359586,72,40,80,3.4,0,0.79
SRC-1258,LST-000137,2,3.6,679112,112,8,23,1.3,1,0.412
SRC-5274,LST-000138,6,2.4,472074,107,14,90,7.7,1,0.73
SRC-6329,LST-000139,3,1.3,661018,35,24,79,7.4,0,0.766
SRC-4743,LST-000140,2,1.3,375513,172,3,30,3,0,0.3
SRC-5615,LST-000141,4,3.5,192701,20,39,87,8.7,0,0.918
SRC-8188,LST-000142,2,3.1,337033,28,12,85,7,1,0.66
SRC-9820,LST-000143,4,2.6,629955,80,10,98,4.7,0,0.732
SRC-9894,LST-000144,1,3.8,156266,103,35,26,1.7,0,0.644
SRC-3403,LST-000145,3,4,822255,52,28,61,9.5,0,0.624
SRC-2248,LST-000146,5,2.2,468544,176,31,83,9,0,0.752
SRC-1419,LST-000147,3,3.9,749687,63,33,40,7.6,0,0.71
SRC-4796,LST-000148,2,3.1,983044,148,14,25,4.3,0,0.35
SRC-7872,LST-000149,3,3.1,1195756,147,17,30,3.4,0,0.39
SRC-4483,LST-000150,5,3,1182398,121,32,48,1.3,1,0.712
SRC-4221,LST-000151,3,2.9,683527,142,8,84,5.8,0,0.476
SRC-1499,LST-000152,3,3.8,673447,160,20,75,2.7,1,0.62
SRC-5280,LST-000153,3,3.4,1044599,77,27,92,3.5,1,0.778
SRC-1364,LST-000154,1,3.1,1053447,153,24,29,6.3,0,0.446
SRC-8208,LST-000155,3,2.5,1123809,93,21,62,7.1,0,0.558
SRC-1263,LST-000156,1,1.2,358422,27,20,96,9.6,0,0.894
SRC-4303,LST-000157,1,3.1,233853,24,19,43,4.5,1,0.612
SRC-8266,LST-000158,6,1.7,669959,175,35,97,9.2,1,0.918
SRC-5584,LST-000159,1,2.2,511299,121,30,89,6.4,1,0.846
SRC-4417,LST-000160,1,2,381474,84,12,22,8.6,1,0.268
SRC-2022,LST-000161,2,2.1,399311,91,28,91,9.6,1,0.644
SRC-7029,LST-000162,4,1.4,151617,99,24,52,4.4,0,0.628
SRC-5272,LST-000163,3,2.5,748780,41,35,51,3.8,0,0.654
SRC-1786,LST-000164,1,2,1114577,88,37,65,3.2,0,0.81
SRC-5720,LST-000165,1,3,459945,28,23,80,5.1,0,0.76
SRC-6193,LST-000166,6,3.9,970517,82,8,84,7,0,0.606
SRC-3544,LST-000167,4,1.1,420764,67,4,85,8.5,0,0.39
SRC-7071,LST-000168,6,2.7,582993,122,31,41,7.2,1,0.524
SRC-6711,LST-000169,1,3.8,978295,152,14,20,8.6,1,0.25
SRC-8274,LST-000170,6,1.9,1090628,59,29,55,8.3,0,0.68
SRC-7310,LST-000171,1,1.7,296661,109,32,95,4.8,0,0.72
SRC-9377,LST-000172,5,1.5,395981,40,7,77,9.7,0,0.528
SRC-3490,LST-000173,3,1.4,214403,169,22,92,3.3,0,0.738
SRC-8061,LST-000174,5,3.1,778588,115,35,49,9.5,0,0.666
SRC-7541,LST-000175,1,2.3,925576,31,22,96,4.8,0,0.714
SRC-9098,LST-000176,1,2.4,1133772,131,8,41,9.9,1,0.474
SRC-6027,LST-000177,5,3,551939,60,16,30,5.5,1,0.38
SRC-9307,LST-000178,6,2,560814,44,32,61,9.7,1,0.584
SRC-5424,LST-000179,5,1.4,763300,94,11,86,6.8,1,0.644
SRC-4140,LST-000180,4,3.9,624126,2,27,25,6.1,1,0.7
SRC-2630,LST-000181,4,3.6,968284,40,32,59,5.8,1,0.706
SRC-6469,LST-000182,1,1.8,1135403,29,21,86,6.7,1,0.764
SRC-3237,LST-000183,3,3,524257,74,19,77,6.6,0,0.628
SRC-3760,LST-000184,2,1.2,875711,144,29,66,1.8,0,0.744
SRC-2891,LST-000185,6,2.9,478237,38,15,37,4.3,1,0.398
SRC-5689,LST-000186,4,3.4,496454,40,37,51,3.2,0,0.814
SRC-1982,LST-000187,6,3.3,892244,22,6,64,6.7,0,0.696
SRC-6973,LST-000188,3,3.6,628525,177,16,62,8.1,1,0.558
SRC-4851,LST-000189,4,2.6,581068,9,33,89,4.9,0,0.926
SRC-8025,LST-000190,5,2.7,764641,28,25,81,9.3,0,0.944
SRC-7063,LST-000191,3,4,604902,122,21,33,3.3,0,0.472
SRC-2240,LST-000192,6,2.5,730097,117,3,34,1.2,1,0.276
SRC-9420,LST-000193,4,1.4,587414,88,6,89,4.7,1,0.546
SRC-6408,LST-000194,5,1.7,994938,115,10,24,7.7,0,0.446
SRC-4868,LST-000195,1,1.8,778536,106,12,26,1.4,1,0.384
SRC-7997,LST-000196,1,1,347328,166,7,91,9,1,0.464
SRC-6052,LST-000197,4,1.8,424540,167,10,100,2.9,1,0.7
SRC-3980,LST-000198,3,3.6,223998,21,16,22,2.7,0,0.618
SRC-9545,LST-000199,5,3.8,718596,171,21,45,6.4,0,0.48
SRC-9885,LST-000200,6,2.8,818820,106,34,58,3.7,1,0.652
SRC-4509,LST-000201,3,3.3,724075,88,4,57,2.1,0,0.308
SRC-4128,LST-000202,5,2.4,1021458,72,27,70,2.4,1,0.74
SRC-8063,LST-000203,5,1.4,1185560,34,15,48,2.5,0,0.392
SRC-3112,LST-000204,2,3.1,158181,17,32,46,8,0,0.714
SRC-9949,LST-000205,3,1.1,959638,88,28,87,3.7,1,0.808
SRC-8275,LST-000206,6,3.7,1034376,62,18,85,8,0,0.62
SRC-2061,LST-000207,1,2.9,456118,19,16,50,5.9,1,0.61
SRC-1276,LST-000208,5,3.1,1050331,52,17,76,3.9,1,0.674
SRC-2453,LST-000209,4,2.3,808401,130,18,53,4.4,1,0.552
SRC-6662,LST-000210,2,1.7,395325,23,13,45,1.7,1,0.69
SRC-8515,LST-000211,3,3,518262,56,26,31,6.3,0,0.424
SRC-2621,LST-000212,6,3.1,333848,66,13,61,7.8,1,0.434
SRC-7478,LST-000213,3,2.3,960175,47,6,26,8.4,1,0.274
SRC-6280,LST-000214,5,3.4,744920,68,32,88,8.9,1,0.802
SRC-1144,LST-000215,1,3.5,461424,11,36,58,1,0,0.772
SRC-8323,LST-000216,5,1.9,955247,58,27,97,9.1,0,0.798
SRC-5991,LST-000217,6,3.9,762675,154,27,40,3.7,0,0.58
SRC-5212,LST-000218,4,3,1105966,176,25,56,4.5,0,0.664
SRC-6746,LST-000219,3,3.5,1143418,15,18,20,3.7,1,0.6
SRC-2464,LST-000220,2,3.1,334493,26,21,68,8.3,0,0.802
SRC-9984,LST-000221,1,1.8,295335,7,19,83,4.2,0,0.892
SRC-1336,LST-000222,1,2.6,186247,15,13,86,1,0,0.864
SRC-2549,LST-000223,5,3.5,899078,40,34,60,4.9,1,0.67
SRC-9854,LST-000224,3,3.6,943711,11,22,26,6.6,0,0.544
SRC-9764,LST-000225,4,2.4,741080,39,21,97,1.6,1,0.798
SRC-8294,LST-000226,1,1.3,554639,173,20,75,4.9,1,0.59
SRC-4363,LST-000227,5,3,594925,40,26,30,1.5,1,0.44
SRC-6511,LST-000228,1,2.7,232756,22,32,98,9.4,1,0.982
SRC-8598,LST-000229,4,2.9,961694,170,6,24,9.1,1,0.336
SRC-1057,LST-000230,6,2.4,1083866,56,30,25,1.5,0,0.62
SRC-3303,LST-000231,4,3.1,162759,67,8,35,8.9,0,0.24
SRC-8758,LST-000232,6,3.5,490222,117,6,63,8.1,0,0.452
SRC-5857,LST-000233,5,2.2,719432,44,33,72,3.8,0,0.728
SRC-1998,LST-000234,4,1.7,867256,135,14,45,2.3,0,0.33
SRC-6820,LST-000235,1,2.1,952844,16,10,20,1.2,0,0.36
SRC-6710,LST-000236,5,3.1,559629,166,14,91,8.5,0,0.514
SRC-7127,LST-000237,3,2.8,257688,70,18,29,5.1,0,0.376
SRC-6961,LST-000238,4,3.2,685548,87,12,93,6.3,0,0.732
SRC-9756,LST-000239,1,1.2,992004,32,37,89,4.3,0,0.766
SRC-7143,LST-000240,2,1.2,916661,74,5,36,7.6,1,0.344
SRC-5325,LST-000241,2,2.4,649549,117,9,29,1.6,1,0.386
SRC-6359,LST-000242,5,3.8,160242,44,27,34,9.2,1,0.526
SRC-9349,LST-000243,6,1.7,462672,43,27,26,2,0,0.404
SRC-9411,LST-000244,3,4,564010,96,5,33,5.3,0,0.262
SRC-1887,LST-000245,4,1.6,629640,93,32,38,4.8,1,0.692
SRC-8766,LST-000246,6,2.1,1047966,144,37,85,9.9,1,0.75
SRC-5188,LST-000247,5,3.1,194041,115,34,55,1.7,0,0.6
SRC-9640,LST-000248,3,3.5,724254,17,12,37,3.9,1,0.638
SRC-5456,LST-000249,5,3.2,999147,18,24,70,4.3,0,0.7
SRC-7253,LST-000250,2,1.8,1172394,171,35,74,3.1,0,0.656
SRC-1371,LST-000251,6,2.9,237204,56,18,55,2,1,0.52
SRC-5527,LST-000252,3,1.6,350993,58,26,88,2.4,1,0.662
SRC-8031,LST-000253,3,2.8,853033,133,24,94,1.3,1,0.646
SRC-1032,LST-000254,1,1.9,512006,99,10,44,5.9,1,0.396
SRC-4257,LST-000255,3,3.8,884619,61,9,46,4.4,1,0.404
SRC-4944,LST-000256,2,2.5,950133,164,32,30,5.4,0,0.58
SRC-1612,LST-000257,6,2.8,248027,159,28,32,2.5,0,0.458
SRC-2690,LST-000258,5,2.1,1189041,59,37,59,6.6,0,0.706
SRC-9366,LST-000259,5,3.6,673720,99,33,77,3.7,1,0.788
SRC-7182,LST-000260,5,3.8,261998,64,11,65,1.8,0,0.54
SRC-3166,LST-000261,4,1.6,860684,34,35,27,5.9,0,0.628
SRC-8550,LST-000262,5,3.4,341716,8,31,54,2.2,0,0.756
SRC-7382,LST-000263,5,3.8,821781,57,32,78,9.8,1,0.852
SRC-3994,LST-000264,2,1.1,165609,64,26,30,5.6,1,0.59
SRC-3560,LST-000265,3,3.6,264232,127,16,44,7.3,0,0.356
SRC-4365,LST-000266,5,1.3,966357,148,3,81,8.2,0,0.364
SRC-1191,LST-000267,3,1.4,323740,125,7,56,2.9,0,0.514
SRC-1984,LST-000268,5,4,754268,105,33,49,2.6,0,0.676
SRC-9256,LST-000269,5,1.9,1099783,81,12,84,2.8,0,0.556
SRC-6670,LST-000270,1,3.3,807299,177,29,49,2.3,0,0.546
SRC-9753,LST-000271,3,2,942371,89,18,25,7.1,0,0.43
SRC-8969,LST-000272,3,2.9,1087209,141,14,88,1.3,0,0.592
SRC-5632,LST-000273,1,1.4,540512,152,37,49,8.3,1,0.586
SRC-2649,LST-000274,5,3.6,444041,152,16,23,9.8,1,0.272
SRC-1198,LST-000275,4,1.5,453470,46,7,48,6.7,1,0.402
SRC-7098,LST-000276,3,3.4,1032481,151,31,94,5.7,0,0.696
SRC-9718,LST-000277,4,2.7,309227,33,30,99,2.8,1,0.896
SRC-1146,LST-000278,5,2.4,749818,62,8,38,2.2,0,0.432
SRC-8736,LST-000279,2,3.4,831067,70,33,42,9.1,0,0.658
SRC-7958,LST-000280,1,3.8,1009014,165,13,38,4.4,0,0.442
SRC-2535,LST-000281,1,1.2,716816,151,40,54,9.4,0,0.776
SRC-8869,LST-000282,2,2.8,841947,35,13,89,4.1,1,0.606
SRC-1268,LST-000283,1,1.4,620501,163,3,74,3.9,0,0.396
SRC-3577,LST-000284,4,3.2,1107041,94,39,89,2.4,0,0.926
SRC-1628,LST-000285,2,1.7,952616,147,25,28,7,1,0.462
SRC-6995,LST-000286,4,3.1,689661,154,17,78,8.1,1,0.632
SRC-3328,LST-000287,5,1.7,825168,55,24,38,5.7,1,0.582
SRC-8031,LST-000288,2,3,845699,126,28,41,9.7,0,0.574
SRC-7464,LST-000289,3,3.6,1171697,16,9,77,8.3,0,0.638
SRC-5671,LST-000290,3,1.5,1032279,27,28,92,7,0,0.838
SRC-9886,LST-000291,4,1.9,407500,125,38,41,9.8,0,0.664
SRC-9942,LST-000292,3,3.7,864255,5,19,75,3.3,1,0.87
SRC-1104,LST-000293,6,3.5,491212,162,21,31,8.5,1,0.554
SRC-5367,LST-000294,5,1.3,258665,45,26,85,6.6,0,0.82
SRC-3711,LST-000295,5,2.9,321047,137,40,87,2.9,1,0.908
SRC-7027,LST-000296,2,2,853495,83,7,69,4.4,0,0.456
SRC-1321,LST-000297,3,3,914555,108,19,49,1.8,1,0.566
SRC-3451,LST-000298,2,1.2,541962,67,31,98,4.8,1,0.892
SRC-4093,LST-000299,1,3.2,836442,134,36,73,8.8,1,0.872
SRC-7645,LST-000300,2,2.9,429294,154,40,100,6.1,0,1
SRC-3242,LST-000301,1,3.8,984206,122,15,80,1.1,0,0.6
SRC-9752,LST-000302,2,3.1,823293,87,15,28,1.2,1,0.312
SRC-3566,LST-000303,5,2.7,1039671,22,16,80,5.3,1,0.86
SRC-8542,LST-000304,5,1.8,876109,124,38,51,4.5,1,0.624
SRC-1010,LST-000305,6,1.5,918938,133,30,39,9.2,0,0.646
SRC-8102,LST-000306,6,2.9,727564,178,16,29,8.4,0,0.306
SRC-5931,LST-000307,4,2.9,916243,79,9,80,4.8,0,0.45
SRC-8800,LST-000308,1,3.1,525181,179,3,34,4.1,0,0.266
SRC-1446,LST-000309,6,3,891720,39,40,32,8.9,0,0.778
SRC-5832,LST-000310,6,1.6,384256,164,33,99,6.9,0,0.786
SRC-2561,LST-000311,4,1.4,694793,177,28,51,5.3,1,0.714
SRC-6040,LST-000312,4,2,729743,126,6,37,2.9,1,0.348
SRC-3305,LST-000313,6,1,1115661,12,25,93,4.1,0,0.932
SRC-5192,LST-000314,4,3.9,474771,87,30,42,2.1,0,0.588
SRC-1321,LST-000315,2,2.9,995039,64,24,33,5.1,1,0.482
SRC-5463,LST-000316,3,2.1,1083828,165,39,55,7.8,1,0.72
SRC-8506,LST-000317,4,1.4,1174465,109,12,81,6.2,1,0.464
SRC-7853,LST-000318,5,2.1,918107,4,22,71,2.9,0,0.784
SRC-6518,LST-000319,4,4,158201,33,20,47,7,1,0.528
SRC-9887,LST-000320,1,2.7,599585,121,34,39,1.6,1,0.516
SRC-1155,LST-000321,3,3.6,797920,122,26,31,3.5,1,0.554
SRC-1411,LST-000322,4,1,439105,29,37,61,3.2,1,1
SRC-9833,LST-000323,6,3.7,935867,26,3,22,7.3,1,0.488
SRC-2658,LST-000324,2,3.9,456510,103,5,53,7.8,0,0.492
SRC-9492,LST-000325,2,1.5,612261,61,3,26,3.9,1,0.194
SRC-1377,LST-000326,4,2.8,1007810,112,7,89,8.8,0,0.626
SRC-6700,LST-000327,3,2.1,373900,125,33,71,7.8,1,0.714
SRC-6482,LST-000328,5,3.1,189894,84,11,81,9.4,0,0.464
SRC-7072,LST-000329,5,1.1,933391,123,18,27,5.1,1,0.538
SRC-4629,LST-000330,4,2.8,263640,130,32,68,6.3,0,0.662
SRC-5587,LST-000331,1,3.6,1089786,82,34,52,6.6,0,0.788
SRC-6152,LST-000332,6,3.6,1009955,65,29,99,5.8,0,0.936
SRC-1874,LST-000333,4,2.7,400520,139,9,47,5.6,1,0.498
SRC-9065,LST-000334,3,2.6,942281,126,17,28,7.8,1,0.352
SRC-4315,LST-000335,4,2.9,525313,57,20,91,7.9,0,0.694
SRC-3108,LST-000336,2,3.8,1173584,161,24,86,7,0,0.734
SRC-7167,LST-000337,3,2.3,220615,8,11,95,2.8,0,0.77
SRC-6572,LST-000338,4,4,487990,1,39,57,3.3,1,0.818
SRC-4123,LST-000339,1,1,702797,43,40,96,3.4,1,0.854
SRC-9577,LST-000340,4,1.5,829553,168,38,72,6.3,0,0.798
SRC-8705,LST-000341,2,1.6,540491,26,27,73,9.3,0,0.922
SRC-3539,LST-000342,5,2.2,574739,52,7,87,4.6,1,0.448
SRC-8221,LST-000343,6,3.8,936511,101,6,64,7,1,0.496
SRC-8306,LST-000344,6,1.8,503984,85,23,35,6.5,0,0.51
SRC-8524,LST-000345,4,2.2,572040,66,3,28,4.6,1,0.302
SRC-9773,LST-000346,2,2.6,288552,119,14,90,5.4,0,0.64
SRC-5451,LST-000347,2,1,515294,43,4,98,7.8,1,0.682
SRC-2771,LST-000348,3,3.4,319797,118,20,93,5.3,0,0.642
SRC-3914,LST-000349,3,1.6,1097790,99,15,92,7.3,0,0.698
SRC-3061,LST-000350,1,3.6,1127211,72,22,49,6.4,1,0.576
SRC-4591,LST-000351,4,3.3,1144232,148,7,98,1.1,0,0.562
SRC-2334,LST-000352,2,2.4,912870,59,17,93,3.4,1,0.692
SRC-9717,LST-000353,6,1.1,183972,130,23,57,10,0,0.638
SRC-7712,LST-000354,3,2.8,1199301,127,34,75,7.1,1,0.84
SRC-9865,LST-000355,1,1.1,971583,8,20,25,2.6,0,0.6
SRC-4609,LST-000356,3,1.2,442916,104,35,68,8.7,1,0.822
SRC-1823,LST-000357,4,3.1,837370,111,26,32,3.5,1,0.388
SRC-6456,LST-000358,3,3.4,379244,93,19,50,8,0,0.42
SRC-8579,LST-000359,1,2.1,917721,127,17,27,5.8,1,0.468
SRC-4256,LST-000360,3,3.2,245470,95,9,59,9.7,0,0.366
SRC-5092,LST-000361,3,1.3,1146359,65,37,27,5.3,1,0.608
SRC-9036,LST-000362,2,2.8,658393,163,26,91,5,1,0.674
SRC-3435,LST-000363,5,3.4,806266,95,22,59,9.1,0,0.496
SRC-6742,LST-000364,6,1.2,202525,87,11,51,1.7,1,0.444
SRC-1419,LST-000365,1,1.2,265979,131,25,66,7.6,0,0.584
SRC-5243,LST-000366,3,3.5,1065488,37,34,30,1.8,1,0.59
