EmployeeId,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSincePromotion,WorkLifeBalance,JobSatisfaction,OverTime,BusinessTravel,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,HasLeft
EMP-00073,41,Research,Manager,10420,6.8,5.2,3,2,1,Non-Travel,13,9,4,3,1
EMP-00074,57,Operations,Technician,4121,10.3,9.6,3,2,0,Travel_Rarely,14,7,6,3,0
EMP-00075,24,HR,Analyst,11745,14.6,8.3,4,4,1,Travel_Rarely,25,3,6,4,0
EMP-00076,28,Research,Technician,5272,1.1,5.1,3,4,0,Travel_Rarely,3,3,2,3,0
EMP-00077,44,Research,Technician,13334,2.7,5.2,1,1,0,Travel_Frequently,18,8,2,3,1
EMP-00078,29,Sales,Manager,13561,5.6,5.9,4,4,1,Travel_Frequently,24,4,1,2,0
EMP-00079,56,Research,Director,9609,6.4,9.2,3,4,0,Non-Travel,30,5,2,4,0
EMP-00080,40,HR,Analyst,12281,8,1.1,4,3,0,Travel_Frequently,8,4,5,3,0
EMP-00081,54,HR,Technician,5730,6,3.2,4,4,0,Travel_Frequently,4,2,5,3,0
EMP-00082,49,Research,Director,10140,9.3,9.3,4,2,1,Non-Travel,12,4,6,3,1
EMP-00083,39,Sales,Manager,13056,3.7,0.6,1,1,0,Non-Travel,23,1,5,2,0
EMP-00084,22,Finance,Analyst,4389,6.5,6.3,1,1,0,Travel_Frequently,11,0,3,4,1
EMP-00085,41,IT,Manager,14544,10.9,5.8,2,1,0,Travel_Rarely,15,3,2,3,1
EMP-00086,32,Sales,Engineer,6135,2.8,1.2,2,1,0,Travel_Frequently,13,1,2,3,0
EMP-00087,47,Sales,Director,14463,11.5,4,1,4,0,Non-Travel,17,4,3,2,1
EMP-00088,57,HR,Technician,10326,5.8,5.2,3,3,0,Non-Travel,29,2,0,3,0
EMP-00089,54,HR,Representative,3476,13.3,2.8,2,3,0,Non-Travel,9,3,5,4,0
EMP-00090,25,IT,Analyst,8197,3.7,6.3,3,2,0,Non-Travel,11,3,6,3,1
EMP-00091,55,IT,Analyst,11909,5.7,2.9,2,3,0,Travel_Frequently,26,4,3,3,0
EMP-00092,60,Research,Technician,4442,15,8.9,1,4,0,Non-Travel,26,7,3,3,0
EMP-00093,49,Sales,Engineer,14413,1.9,0,1,2,0,Travel_Rarely,25,4,4,3,0
EMP-00094,32,HR,Director,5610,1,3.7,1,3,1,Travel_Frequently,10,0,1,4,0
EMP-00095,38,HR,Representative,7150,12.4,4.8,4,3,0,Travel_Rarely,26,9,5,4,0
EMP-00096,48,IT,Director,8506,6.9,8.4,2,3,0,Non-Travel,17,3,2,4,0
EMP-00097,26,Research,Analyst,12369,6.3,3.1,4,3,0,Travel_Rarely,10,3,0,4,0
EMP-00098,30,Research,Director,12656,5.1,6,2,4,0,Non-Travel,25,5,6,2,1
EMP-00099,23,IT,Analyst,9850,5.8,5.8,1,3,0,Travel_Rarely,23,3,2,4,1
EMP-00100,51,Finance,Technician,8699,9.3,0.4,2,3,0,Travel_Frequently,8,6,5,4,0
EMP-00101,57,Sales,Representative,2775,7.6,8.9,3,1,0,Travel_Frequently,27,0,6,4,0
EMP-00102,23,Finance,Representative,7965,12.9,9.8,3,3,0,Travel_Frequently,21,1,2,4,0
EMP-00103,22,Research,Director,3217,8.4,0.6,3,4,0,Travel_Frequently,4,5,2,4,0
EMP-00104,32,Operations,Engineer,4814,8.9,1.3,1,3,0,Non-Travel,4,3,4,2,0
EMP-00105,22,Operations,Technician,12835,2.7,3.7,2,4,0,Travel_Frequently,18,6,2,3,0
EMP-00106,25,Operations,Manager,10264,3.4,8.9,2,1,0,Non-Travel,27,6,0,3,0
EMP-00107,31,Operations,Engineer,4659,14.8,7.8,4,2,0,Travel_Rarely,25,3,0,3,1
EMP-00108,26,IT,Technician,6958,13.6,7.9,4,4,0,Travel_Frequently,4,0,0,3,0
EMP-00109,46,Operations,Representative,14748,13.4,5.9,1,1,0,Non-Travel,23,6,4,2,0
EMP-00110,36,IT,Technician,5448,14.3,4.3,1,3,0,Travel_Frequently,3,6,2,4,0
EMP-00111,45,Operations,Representative,12913,9.9,0,2,3,0,Travel_Frequently,20,8,3,3,0
EMP-00112,58,Research,Technician,8551,0.5,5.4,3,4,0,Non-Travel,24,9,6,3,0
EMP-00113,33,HR,Representative,5366,2.3,3.5,2,2,0,Travel_Rarely,5,1,1,3,0
EMP-00114,34,HR,Representative,13148,13.5,8.8,2,1,0,Travel_Rarely,13,9,3,2,0
EMP-00115,32,Finance,Engineer,12584,9.9,6.1,2,1,1,Non-Travel,3,8,2,2,1
EMP-00116,48,Finance,Technician,10629,0.9,1.8,3,4,0,Travel_Frequently,7,7,4,3,0
EMP-00117,42,Sales,Manager,6614,4.9,8,2,1,0,Non-Travel,5,9,4,3,0
EMP-00118,24,Research,Technician,13405,5,1.5,2,1,0,Non-Travel,18,0,4,3,0
EMP-00119,55,Operations,Representative,6070,12.7,3.4,2,3,0,Non-Travel,3,6,5,2,0
EMP-00120,49,IT,Analyst,9559,9.3,1.2,1,4,0,Travel_Frequently,9,8,0,2,0
EMP-00121,53,HR,Manager,10471,4.4,7.3,1,4,0,Non-Travel,2,0,5,2,0
EMP-00122,29,Sales,Technician,3858,14.7,8.8,3,2,1,Travel_Rarely,25,7,1,4,1
EMP-00123,49,Research,Manager,3813,5.3,1.2,2,3,1,Travel_Rarely,3,8,0,3,0
EMP-00124,54,Research,Director,6707,3.5,2.2,2,1,1,Travel_Rarely,11,5,5,2,0
EMP-00125,57,Finance,Engineer,5980,6.2,4,2,4,1,Travel_Frequently,12,6,5,3,0
EMP-00126,34,IT,Director,12004,7.9,2.3,4,3,0,Travel_Rarely,4,3,5,3,0
EMP-00127,58,IT,Director,7684,1.9,7.9,3,4,0,Travel_Rarely,11,5,5,2,1
EMP-00128,48,Operations,Engineer,6835,9.6,5.6,2,2,0,Non-Travel,4,2,4,3,0
EMP-00129,44,IT,Technician,12852,11.8,8.6,2,1,0,Non-Travel,28,9,6,3,0
EMP-00130,46,HR,Engineer,5758,4.5,2.1,1,4,0,Travel_Rarely,2,9,4,2,0
EMP-00131,60,Finance,Analyst,11238,5,4.1,3,3,0,Non-Travel,20,7,4,4,0
EMP-00132,55,HR,Representative,4398,10.1,5.4,3,1,0,Non-Travel,12,5,4,3,0
EMP-00133,30,Research,Manager,3031,11.5,3.4,1,2,1,Non-Travel,16,7,2,4,1
EMP-00134,28,Finance,Representative,12093,3.2,3.8,1,1,0,Non-Travel,19,7,4,2,0
EMP-00135,38,Sales,Manager,11467,13.4,9.3,1,4,0,Travel_Frequently,12,6,6,4,0
EMP-00136,60,Operations,Technician,5179,14.6,1.7,4,3,1,Travel_Rarely,14,1,2,4,0
EMP-00137,37,Sales,Analyst,9339,1.9,10,3,1,0,Travel_Frequently,21,3,2,3,0
EMP-00138,42,HR,Representative,4456,11.7,7.4,1,4,0,Non-Travel,24,9,1,3,0
EMP-00139,59,Operations,Analyst,10685,1.4,4.6,1,3,0,Travel_Rarely,6,7,4,3,0
EMP-00140,46,IT,Engineer,9484,1.6,0.9,2,3,1,Non-Travel,5,5,5,3,0
EMP-00141,37,Finance,Technician,6686,11.1,8.7,3,1,0,Non-Travel,17,4,5,3,0
EMP-00142,35,Sales,Manager,13012,11.6,9.2,1,4,1,Travel_Rarely,19,2,6,2,0
EMP-00143,49,HR,Engineer,8573,9.6,7.9,4,4,0,Travel_Rarely,30,7,2,3,1
EMP-00144,30,Research,Director,7837,11,6.6,4,3,0,Non-Travel,30,2,4,3,0
EMP-00145,55,Finance,Technician,8506,4.4,7.6,2,3,0,Travel_Rarely,11,5,2,3,0
EMP-00146,59,Sales,Director,6527,3.9,2.1,3,4,0,Travel_Rarely,12,3,6,3,0
EMP-00147,55,IT,Analyst,9591,4.6,1.7,2,2,1,Non-Travel,2,0,0,3,0
EMP-00148,25,Sales,Director,8951,1.1,3.6,3,3,0,Travel_Rarely,3,0,4,4,0
EMP-00149,47,Operations,Technician,7416,12.7,7.7,2,2,0,Non-Travel,21,9,6,3,1
EMP-00150,57,Operations,Representative,8520,3.9,8.7,2,1,0,Non-Travel,11,2,6,3,1
EMP-00151,57,HR,Technician,12863,1.4,9.6,2,2,0,Travel_Rarely,17,8,0,2,0
EMP-00152,48,IT,Representative,14894,5.5,4.1,2,2,0,Travel_Rarely,1,6,0,3,0
EMP-00153,37,Finance,Analyst,12721,14.6,4.5,2,3,0,Travel_Frequently,30,5,0,3,0
EMP-00154,29,Operations,Representative,6673,6.1,4.9,4,4,0,Non-Travel,26,2,2,3,0
EMP-00155,56,IT,Manager,9023,4.1,1.8,1,2,0,Travel_Frequently,25,9,4,3,0
EMP-00156,42,HR,Representative,10796,4.5,1.3,3,2,0,Non-Travel,20,7,4,4,0
EMP-00157,31,Operations,Director,5011,7.6,3.6,4,2,0,Travel_Rarely,12,3,4,3,0
EMP-00158,25,HR,Representative,11834,7,3.3,1,3,0,Non-Travel,18,3,5,3,0
EMP-00159,26,Research,Engineer,14597,1.4,5.6,4,3,0,Travel_Rarely,21,7,2,3,1
EMP-00160,42,Finance,Manager,4799,8.8,9.3,3,2,0,Travel_Frequently,26,8,2,3,0
EMP-00161,36,IT,Engineer,9530,11.4,8.8,2,2,0,Travel_Frequently,30,8,2,3,0
EMP-00162,47,Research,Engineer,14958,8.5,9.5,4,2,0,Non-Travel,25,8,6,2,0
EMP-00163,26,Operations,Representative,3656,3.7,9.7,3,2,0,Non-Travel,30,1,1,3,0
EMP-00164,34,Sales,Technician,13209,13.7,4.8,2,2,0,Travel_Frequently,11,8,5,2,0
EMP-00165,31,Sales,Manager,9975,6.7,4.8,3,2,0,Travel_Frequently,17,6,1,3,0
EMP-00166,29,HR,Representative,8916,14.7,9.2,3,4,0,Travel_Frequently,28,0,6,4,0
EMP-00167,34,Finance,Technician,2587,14.3,0.2,4,3,0,Non-Travel,9,2,1,2,0
EMP-00168,26,IT,Engineer,12128,5.6,7.2,3,3,0,Travel_Frequently,11,2,2,3,1
EMP-00169,46,HR,Representative,8577,2.1,8.1,2,4,0,Non-Travel,17,1,1,2,0
EMP-00170,39,Operations,Analyst,4777,3.8,6,1,2,0,Travel_Rarely,13,2,0,4,0
EMP-00171,29,Sales,Manager,4358,13,0.4,1,4,0,Travel_Rarely,21,7,5,3,0
EMP-00172,45,Finance,Manager,6993,10.6,4.4,2,2,0,Travel_Rarely,9,6,5,4,1
EMP-00173,57,Research,Engineer,3075,8.4,8.3,4,3,1,Travel_Rarely,20,5,0,2,1
EMP-00174,31,Operations,Manager,10954,9.9,2.6,3,4,0,Travel_Rarely,23,1,1,2,0
EMP-00175,32,Research,Representative,8774,0.7,5.9,4,4,1,Non-Travel,11,3,4,4,1
EMP-00176,55,Finance,Representative,11020,10.1,0.3,3,3,0,Travel_Frequently,27,3,3,3,0
EMP-00177,60,HR,Technician,12837,9,9.2,2,4,0,Travel_Frequently,9,1,1,4,0
EMP-00178,53,Sales,Engineer,12555,12.3,0.9,1,1,0,Travel_Rarely,2,7,1,4,0
EMP-00179,47,Finance,Analyst,10830,6.5,3.3,2,2,0,Travel_Rarely,26,4,1,4,1
EMP-00180,49,Research,Technician,13365,2.5,7.6,3,2,0,Travel_Frequently,12,8,4,4,0
EMP-00181,58,Sales,Analyst,9468,2.5,4,3,2,0,Non-Travel,21,4,2,3,0
EMP-00182,56,Research,Director,9937,7,3.5,1,1,1,Travel_Rarely,17,9,1,3,1
EMP-00183,33,IT,Technician,9836,2.5,7.7,3,1,0,Travel_Rarely,13,7,2,4,1
EMP-00184,34,Finance,Technician,4561,4.7,2.8,2,2,1,Non-Travel,12,9,1,2,1
EMP-00185,57,Sales,Technician,13967,10.2,0.2,4,1,0,Travel_Rarely,21,7,3,4,1
EMP-00186,50,Research,Director,13495,6.1,5.6,2,3,0,Travel_Frequently,30,4,0,3,0
EMP-00187,35,Sales,Technician,5168,11.6,8.7,3,3,0,Travel_Rarely,4,8,2,3,1
EMP-00188,52,Sales,Technician,6575,11.5,7.3,4,3,0,Travel_Frequently,28,4,5,3,0
EMP-00189,23,Sales,Technician,2571,5.3,4.6,1,1,0,Non-Travel,18,5,1,2,1
EMP-00190,43,IT,Representative,12524,3.2,3.9,4,1,1,Travel_Frequently,5,5,3,4,0
EMP-00191,58,Sales,Analyst,2751,5.4,5.5,4,2,0,Travel_Rarely,27,1,6,4,1
EMP-00192,23,Operations,Representative,13576,12.3,9.1,1,3,0,Travel_Rarely,8,3,4,3,0
EMP-00193,50,Finance,Analyst,13419,2.4,9.4,4,3,0,Travel_Rarely,12,1,2,4,0
EMP-00194,31,Research,Manager,4930,9.3,1.9,1,4,0,Travel_Rarely,8,0,6,3,0
EMP-00195,22,Finance,Director,8096,7.5,3.9,4,2,1,Travel_Frequently,4,0,3,4,0
EMP-00196,33,Operations,Director,12151,3.3,3.9,3,1,1,Non-Travel,28,7,5,4,1
EMP-00197,26,Sales,Technician,7861,8.9,2.2,4,1,0,Travel_Frequently,10,4,1,3,0
EMP-00198,57,IT,Technician,14479,14.3,0.7,1,3,0,Travel_Frequently,15,9,3,3,0
EMP-00199,28,Finance,Analyst,3976,7.1,8.7,1,2,1,Travel_Rarely,25,0,4,3,1
EMP-00200,53,Operations,Analyst,4550,13.8,6.7,1,1,0,Travel_Frequently,14,2,2,3,0
EMP-00201,31,HR,Engineer,9258,5.9,3.9,1,3,1,Travel_Rarely,13,5,3,4,0
EMP-00202,57,HR,Representative,6424,12,7.8,4,2,0,Travel_Rarely,24,8,3,3,0
EMP-00203,27,HR,Analyst,14806,4.6,0.5,1,2,0,Travel_Frequently,30,9,2,2,1
EMP-00204,57,Research,Manager,4891,1.9,4.9,2,4,1,Travel_Frequently,18,7,5,3,1
EMP-00205,35,Sales,Representative,10227,1.4,1.2,1,2,0,Non-Travel,12,6,5,3,0
EMP-00206,54,Sales,Director,9717,2.3,0.8,1,2,1,Non-Travel,14,8,0,3,1
EMP-00207,58,IT,Representative,11424,2.1,7.8,4,4,0,Travel_Rarely,12,9,3,3,1
EMP-00208,50,Operations,Analyst,6679,10,6.9,3,3,0,Travel_Frequently,21,2,3,3,0
EMP-00209,41,IT,Technician,12642,5.8,8.4,1,1,0,Non-Travel,11,7,6,4,1
EMP-00210,32,Operations,Manager,9398,8.1,4.6,4,4,0,Travel_Frequently,27,0,3,3,0
EMP-00211,60,HR,Analyst,6885,14.4,3.9,1,4,1,Travel_Frequently,6,5,6,3,1
EMP-00212,53,Finance,Analyst,4755,13.8,7.2,1,2,1,Travel_Rarely,9,0,4,2,1
EMP-00213,25,IT,Director,8291,8.6,5.2,4,4,1,Non-Travel,23,6,0,3,1
EMP-00214,30,Sales,Analyst,10622,10.6,0.2,4,2,1,Travel_Rarely,3,9,1,3,0
EMP-00215,24,Sales,Director,12638,13.7,5.7,1,3,0,Travel_Rarely,26,7,0,3,0
EMP-00216,23,Operations,Engineer,3780,2.8,2.9,1,1,0,Travel_Rarely,2,8,1,4,1
EMP-00217,38,Research,Analyst,6242,12.8,0.6,1,1,0,Travel_Rarely,1,2,1,4,0
EMP-00218,49,Operations,Technician,13808,4.5,7.1,3,3,1,Non-Travel,17,1,5,3,1
EMP-00219,30,Sales,Director,6806,12.9,10,1,4,1,Non-Travel,18,1,3,4,0
EMP-00220,35,HR,Representative,14315,12.6,2.8,2,3,1,Travel_Rarely,4,1,5,4,0
EMP-00221,23,Research,Manager,7517,11.7,5.6,3,3,0,Non-Travel,7,9,5,3,1
EMP-00222,38,Research,Representative,6369,4,8.9,1,4,0,Non-Travel,30,6,3,4,0
EMP-00223,49,HR,Representative,14396,4.1,1.5,4,4,1,Travel_Frequently,28,6,2,4,0
EMP-00224,30,Sales,Manager,5334,5.9,8.8,1,1,0,Travel_Frequently,17,1,6,4,1
EMP-00225,50,HR,Engineer,11779,2.3,1.9,3,4,0,Travel_Frequently,13,5,5,3,0
EMP-00226,52,HR,Technician,4601,0.7,7.2,2,1,1,Non-Travel,13,4,5,4,1
EMP-00227,53,HR,Representative,11368,13.6,7.2,1,2,0,Travel_Frequently,21,4,6,3,0
EMP-00228,57,HR,Analyst,12579,4.1,3.9,1,2,1,Travel_Rarely,9,1,1,3,1
EMP-00229,42,Research,Engineer,11615,12.1,3,3,1,0,Travel_Rarely,10,2,1,3,1
EMP-00230,32,Research,Engineer,9688,10.9,3.9,4,3,0,Travel_Frequently,3,8,5,3,0
EMP-00231,39,Research,Analyst,3332,15,7.6,3,3,0,Travel_Rarely,29,2,3,3,0
EMP-00232,55,Sales,Technician,11834,13.2,1.7,1,2,0,Travel_Rarely,27,4,6,4,1
EMP-00233,40,Operations,Technician,4082,11.8,0.3,4,4,1,Non-Travel,26,2,3,3,0
EMP-00234,33,Sales,Manager,11497,3.4,9.5,1,2,0,Travel_Rarely,26,1,4,3,1
EMP-00235,52,Research,Technician,10492,14.3,4.1,2,3,0,Travel_Frequently,5,8,0,3,0
EMP-00236,25,Finance,Analyst,5854,2.8,1.3,2,2,0,Travel_Rarely,10,2,2,4,0
EMP-00237,26,Sales,Analyst,5289,9.9,1.1,2,2,0,Non-Travel,7,6,0,4,1
EMP-00238,29,HR,Representative,5754,9.6,6.5,3,4,0,Travel_Rarely,27,3,3,4,0
EMP-00239,32,HR,Analyst,7868,3.2,1.9,3,1,1,Non-Travel,5,7,6,3,1
EMP-00240,41,IT,Technician,11275,10.2,6.9,4,1,0,Non-Travel,10,6,4,3,0
EMP-00241,46,IT,Director,11381,3.3,9.7,1,2,1,Non-Travel,22,9,3,3,1
EMP-00242,42,Finance,Analyst,5995,6.6,0.7,3,4,0,Travel_Rarely,18,6,2,4,0
EMP-00243,47,HR,Representative,3316,1.6,8.4,1,3,0,Travel_Frequently,1,9,1,2,0
EMP-00244,48,IT,Analyst,6341,11.8,8.5,1,3,0,Travel_Frequently,5,8,2,3,0
EMP-00245,53,IT,Manager,6978,2.8,7.2,1,1,0,Non-Travel,28,5,4,4,1
EMP-00246,35,Sales,Analyst,9371,3.5,3.8,3,2,0,Travel_Frequently,22,9,1,3,1
EMP-00247,32,Sales,Analyst,10073,11.4,8.4,1,1,0,Travel_Frequently,2,8,1,3,0
EMP-00248,32,Research,Analyst,13702,10,9.4,3,3,1,Non-Travel,3,4,4,3,1
EMP-00249,51,IT,Director,3708,5.3,9.2,2,1,0,Non-Travel,15,1,5,4,1
EMP-00250,22,Finance,Analyst,8975,1.1,2.2,3,4,0,Non-Travel,17,1,0,4,0
EMP-00251,56,Sales,Technician,6966,10.2,7.7,1,1,0,Non-Travel,4,8,6,4,1
EMP-00252,36,Finance,Manager,3154,14.1,4.5,2,1,0,Travel_Frequently,24,3,5,4,0
EMP-00253,38,HR,Technician,8044,2.8,9.2,2,1,1,Travel_Frequently,12,8,4,4,0
EMP-00254,35,HR,Director,12598,5.6,3.6,3,4,0,Non-Travel,15,9,5,3,0
EMP-00255,47,Operations,Director,12306,9.5,4.5,4,1,1,Travel_Rarely,2,6,5,4,1
EMP-00256,45,HR,Manager,12598,12,6.7,2,2,0,Travel_Rarely,4,5,5,3,1
EMP-00257,44,Sales,Representative,11587,10,7.3,1,4,0,Travel_Rarely,15,7,1,4,0
EMP-00258,43,Finance,Engineer,7762,7.7,5.9,3,2,0,Non-Travel,2,6,2,3,1
EMP-00259,58,IT,Technician,2738,13.4,3.8,1,3,1,Travel_Frequently,1,2,6,3,0
EMP-00260,25,Research,Representative,3797,1.2,1.3,2,1,0,Non-Travel,28,6,1,4,1
EMP-00261,36,HR,Director,14618,3.3,4.7,1,1,0,Travel_Frequently,24,6,0,4,0
EMP-00262,49,Finance,Engineer,2982,13.5,4.2,2,1,0,Travel_Frequently,27,0,5,4,1
EMP-00263,57,IT,Representative,8000,13.6,8.4,4,1,0,Non-Travel,2,1,1,3,0
EMP-00264,30,Finance,Analyst,5749,3.5,8.5,3,4,0,Travel_Frequently,1,4,6,3,0
EMP-00265,34,Operations,Analyst,8813,13.9,0.7,2,3,1,Travel_Rarely,7,0,1,4,0
EMP-00266,27,Sales,Director,13942,2.6,4,3,2,0,Travel_Frequently,13,2,0,3,1
