EventId,Timestamp,SourcePort,DestPort,Protocol,BytesSent,BytesReceived,DurationSeconds,FailedLogins,PacketCount,IsInternalIP,ServiceType
NET-0000087,2024-07-20 06:11:53,50294,80,UDP,1582,16494,228.07,2,2875,1,SSH
NET-0000088,2025-11-10 15:32:37,39101,80,TCP,1454692,339,1913.3,8,427334,1,SMTP
NET-0000089,2024-04-21 21:04:34,11176,80,ICMP,6016,18914,808.46,0,4373,1,Other
NET-0000090,2025-02-15 13:30:38,56447,443,UDP,27920,30396,926.8,1,2317,1,Other
NET-0000091,2024-09-28 11:16:34,56297,25820,TCP,3068836,564,1818.15,41,450800,1,HTTP
NET-0000092,2025-04-14 23:42:02,23209,8080,UDP,11713,24442,145.5,1,519,0,DNS
NET-0000093,2024-01-19 19:59:58,22539,8080,TCP,23361,41177,1382.22,0,4689,0,HTTPS
NET-0000094,2024-11-20 03:02:47,26603,17960,ICMP,20431,603,2441.92,1,100,1,FTP
NET-0000095,2025-06-09 12:00:02,42447,29842,TCP,40801,12981,181.37,2,3250,0,SSH
NET-0000096,2024-10-24 22:32:09,17857,3389,ICMP,959,21494,1816.73,1,4196,1,Other
NET-0000097,2024-11-19 17:05:02,61724,8080,ICMP,24189,3993,2552.49,1,2709,1,HTTP
NET-0000098,2025-12-12 16:43:47,14148,8080,TCP,4340,14849,595.39,1,3711,0,Other
NET-0000099,2025-12-23 17:27:17,35188,22,UDP,44665,33333,3499.28,1,2697,1,SSH
NET-0000100,2025-01-26 04:16:04,33467,80,ICMP,13614,31569,2448.94,1,2440,1,HTTP
NET-0000101,2025-03-22 09:10:37,47819,3389,TCP,33119,10174,653.86,0,505,1,Other
NET-0000102,2025-03-19 16:23:58,64620,4090,UDP,9221,43032,2348.85,0,1839,0,HTTPS
NET-0000103,2025-03-20 04:39:12,9382,3389,UDP,4339404,743,1212.57,6,50463,1,HTTPS
NET-0000104,2024-01-31 18:46:52,27795,443,UDP,23548,8889,1678.76,2,2358,0,SMTP
NET-0000105,2024-08-20 03:23:22,47656,22,ICMP,19642,18066,2231.41,1,1153,1,Other
NET-0000106,2024-09-30 00:27:05,35236,443,UDP,18583,712,2356.05,2,4198,1,HTTP
NET-0000107,2024-06-13 02:30:44,39412,54376,UDP,39641,41512,1334.27,2,1163,0,FTP
NET-0000108,2024-09-23 05:59:07,41248,80,ICMP,8871,36298,424.3,1,1080,0,Other
NET-0000109,2025-06-18 22:11:43,9696,22,ICMP,21973,13895,2232.9,2,74,0,FTP
NET-0000110,2024-10-27 18:19:34,58748,22,TCP,16174,18497,1732.64,1,495,1,HTTPS
NET-0000111,2025-11-27 10:16:08,9363,22,TCP,34757,13857,871.59,2,3950,1,HTTPS
NET-0000112,2025-10-05 02:05:50,10573,80,UDP,21906,33330,2094.65,1,1118,1,SMTP
NET-0000113,2025-12-17 22:01:33,56030,80,ICMP,27587,3640,1331.05,1,3848,1,SMTP
NET-0000114,2024-01-12 14:55:53,32291,80,ICMP,43945,37163,2142.94,2,1828,1,SMTP
NET-0000115,2025-08-03 04:39:32,22653,443,TCP,2672,32131,2369.64,1,2325,0,HTTPS
NET-0000116,2024-05-03 11:47:46,63892,22,ICMP,3566605,860,2577.64,10,162197,0,Other
NET-0000117,2025-07-24 02:24:26,4078,22,ICMP,1740,24961,716.92,1,807,1,FTP
NET-0000118,2025-09-16 09:22:55,21619,3389,TCP,20705,32258,608.33,0,108,0,HTTPS
NET-0000119,2024-02-27 19:57:54,5149,8080,TCP,18788,28551,2169.98,2,2796,0,HTTPS
NET-0000120,2024-02-23 19:27:12,3536,3389,TCP,37842,42967,596.29,2,3380,1,SSH
NET-0000121,2024-11-06 18:00:22,31757,22,TCP,40573,14015,3305.05,2,4119,1,DNS
NET-0000122,2025-07-21 14:04:22,42456,3389,UDP,1203,24935,1255.12,2,3725,1,SMTP
NET-0000123,2024-03-29 16:01:00,31350,3389,UDP,49220,27094,1875.72,0,1637,1,Other
NET-0000124,2024-01-03 05:00:59,10261,443,UDP,1326,49650,2609.69,0,3003,0,Other
NET-0000125,2024-09-25 08:43:17,49786,80,TCP,42882,1340,1823.75,0,799,1,DNS
NET-0000126,2025-01-06 12:51:36,65062,3389,ICMP,42952,1247,897.15,2,1005,1,DNS
NET-0000127,2024-04-29 01:19:36,22053,3389,UDP,29783,40589,1101.1,2,3295,1,SMTP
NET-0000128,2024-11-29 17:07:15,20210,3389,TCP,30413,17598,1664.72,0,4720,1,SSH
NET-0000129,2025-09-24 15:22:54,29894,22,UDP,7790,28053,749.77,1,4779,1,SSH
NET-0000130,2025-04-21 04:01:22,63374,22,TCP,4654,47280,2532.76,1,1607,1,HTTP
NET-0000131,2025-05-07 06:50:22,39707,8080,UDP,39705,35136,1590.8,2,3158,1,HTTPS
NET-0000132,2024-10-14 02:29:35,4311,8080,ICMP,42814,35417,1084.37,1,887,1,Other
NET-0000133,2024-08-19 06:02:32,41655,8080,UDP,46190,38655,1967.18,1,1686,1,DNS
NET-0000134,2025-01-31 21:59:59,6894,17394,ICMP,24618,48384,2189.62,1,241,1,Other
NET-0000135,2024-04-12 10:36:19,48303,8080,TCP,42435,24893,3468.55,2,3500,1,DNS
NET-0000136,2025-06-08 00:19:15,27118,3389,UDP,33179,34622,579.07,2,2955,1,HTTP
NET-0000137,2024-02-21 10:41:38,8537,22,UDP,22110,27449,3251.12,2,2799,0,HTTPS
NET-0000138,2025-06-30 03:50:25,11717,22,UDP,14758,47466,386.77,0,513,1,DNS
NET-0000139,2024-07-15 19:41:42,55234,17088,TCP,19889,12087,2044.65,2,3249,0,HTTP
NET-0000140,2024-10-16 22:47:31,4029,80,ICMP,30917,44216,548.73,2,957,0,Other
NET-0000141,2024-09-03 23:10:55,36327,80,UDP,27411,44037,2010.73,2,1065,1,HTTP
NET-0000142,2024-12-14 06:13:27,32428,8080,ICMP,27578,31848,938.02,2,3044,1,HTTP
NET-0000143,2024-04-20 17:23:17,52945,3389,UDP,19373,231,3398.72,2,3653,0,DNS
NET-0000144,2024-03-21 19:12:29,15292,22,TCP,27442,7527,2582.71,0,2468,1,Other
NET-0000145,2025-07-06 05:05:39,49305,8080,ICMP,40685,18059,140,2,4582,1,FTP
NET-0000146,2025-05-28 14:58:30,21049,3389,TCP,4581,28352,963.59,1,1062,1,SSH
NET-0000147,2025-09-20 14:38:50,23944,3389,UDP,48196,31719,2237.96,2,4930,1,SMTP
NET-0000148,2025-06-14 06:33:10,52316,8080,ICMP,40354,22691,431.05,1,3247,1,DNS
NET-0000149,2025-12-12 10:37:19,16458,22,UDP,33668,30833,3087.37,1,4580,1,HTTPS
NET-0000150,2024-06-12 08:09:51,52517,443,TCP,48385,39838,1659.42,2,3534,1,Other
NET-0000151,2024-03-26 10:52:32,38850,80,UDP,3905,6078,2293.82,1,4931,1,Other
NET-0000152,2024-04-17 15:38:48,43086,3389,UDP,16598,25262,219.73,2,4022,0,SSH
NET-0000153,2024-05-13 21:38:19,37650,443,TCP,12103,40375,1921.24,1,1411,0,DNS
NET-0000154,2025-06-29 10:22:38,24656,80,TCP,34500,11605,2973.68,1,4600,1,HTTPS
NET-0000155,2024-09-05 01:07:08,11017,443,UDP,3544178,988,303.46,30,67182,0,SMTP
NET-0000156,2025-04-17 17:10:08,32176,14066,ICMP,41919,22656,2399.94,0,1248,0,HTTPS
NET-0000157,2025-06-11 15:45:39,8535,22,TCP,43506,9124,2796.01,0,771,1,SMTP
NET-0000158,2025-12-09 04:57:01,11461,443,TCP,27244,14988,824.77,1,4325,1,HTTPS
NET-0000159,2024-03-16 03:38:47,20803,443,TCP,19103,40256,146.77,1,1018,1,FTP
NET-0000160,2025-12-06 06:17:25,46548,22,TCP,1616,9692,1131.18,2,2389,0,SMTP
NET-0000161,2024-07-26 08:25:23,55101,8080,UDP,40693,29637,991.79,0,4493,0,FTP
NET-0000162,2025-02-23 05:27:28,18384,22,TCP,34752,28516,2298.36,0,384,1,HTTPS
NET-0000163,2025-02-19 11:38:37,53931,443,ICMP,21541,37671,3270.03,1,2044,1,DNS
NET-0000164,2024-02-15 21:06:51,54930,80,UDP,29356,34815,600.51,2,3118,1,Other
NET-0000165,2024-12-15 07:06:22,2207,8080,TCP,28532,18262,141.66,1,783,1,HTTPS
NET-0000166,2025-01-25 18:49:00,34472,3389,ICMP,14492,6673,3487.98,1,4665,0,Other
NET-0000167,2024-11-11 07:06:02,50417,8080,UDP,2424,25126,663.25,2,2899,1,Other
NET-0000168,2025-11-28 08:56:51,15906,443,TCP,32345,48039,2832.88,1,1939,0,Other
NET-0000169,2024-05-16 10:26:02,11089,22,ICMP,24515,6244,1258.8,0,4271,0,FTP
NET-0000170,2024-02-13 04:18:40,3105,80,ICMP,27276,22856,734.91,0,3738,1,HTTP
NET-0000171,2024-01-31 20:02:49,20982,443,UDP,30323,18060,744.69,0,1806,1,DNS
NET-0000172,2024-10-15 10:49:16,16734,80,UDP,32850,4729,3232.29,0,2160,1,SMTP
NET-0000173,2025-11-06 08:54:05,52473,8080,ICMP,22393,26901,1545.29,1,3380,1,HTTP
NET-0000174,2025-05-25 06:33:37,48267,8080,ICMP,20421,43198,638.49,0,4985,1,HTTPS
NET-0000175,2025-07-10 16:02:26,43193,3389,UDP,32935,39548,1291.36,0,1871,1,SMTP
NET-0000176,2024-09-28 21:46:21,49417,8080,UDP,20295,28081,903.81,2,4588,0,Other
NET-0000177,2025-01-19 18:30:55,8339,22,TCP,16082,33427,638.72,1,400,1,DNS
NET-0000178,2025-07-17 20:44:49,37285,3389,TCP,2043,36802,574.69,1,247,1,SMTP
NET-0000179,2025-12-16 06:44:01,1376,3389,ICMP,27278,5257,2677.96,2,4735,0,FTP
NET-0000180,2025-10-05 20:39:03,43351,25389,ICMP,44488,34563,3293.58,1,1991,0,SSH
NET-0000181,2024-04-16 18:35:34,26937,3389,ICMP,13652,48053,469.05,2,3181,0,Other
NET-0000182,2024-08-15 14:53:36,10309,8080,ICMP,38765,20247,3185.09,1,2733,1,HTTP
NET-0000183,2025-07-04 10:02:54,45775,443,UDP,21654,5124,904.12,2,1076,0,HTTPS
NET-0000184,2025-08-19 11:03:02,10516,80,ICMP,38417,12863,1148.85,1,4658,1,FTP
NET-0000185,2025-10-07 00:21:19,24419,22,ICMP,37790,42163,887.12,1,4044,0,FTP
NET-0000186,2025-11-10 21:07:02,3501,8080,TCP,23111,19487,2706.28,1,2701,1,FTP
NET-0000187,2024-12-14 22:56:17,40064,80,UDP,9796,16905,754.2,1,3342,0,Other
NET-0000188,2025-02-28 04:58:38,49067,443,TCP,5291,36107,1596.57,2,3405,0,HTTP
NET-0000189,2025-01-10 15:48:17,40889,443,ICMP,19608,7683,84.69,1,857,1,FTP
NET-0000190,2024-05-15 18:01:32,21563,3389,TCP,4831012,256,2833.32,36,85627,1,DNS
NET-0000191,2025-09-06 20:00:31,25054,22,ICMP,35771,48469,2805.38,2,2321,0,FTP
NET-0000192,2025-03-09 02:21:33,6873,22,ICMP,13338,18638,374.92,1,2874,1,SMTP
NET-0000193,2024-07-08 18:45:40,33225,22,UDP,41095,46648,2929.04,1,147,0,HTTPS
NET-0000194,2024-01-20 10:52:00,10472,8080,UDP,3509,16605,2063.14,2,4172,1,Other
NET-0000195,2025-12-29 12:58:54,12047,22,TCP,38246,38133,1065.77,2,2467,0,DNS
NET-0000196,2025-12-02 07:10:07,26121,8080,TCP,10051,36868,3538.04,1,2419,1,SSH
NET-0000197,2025-08-02 23:47:12,16614,80,ICMP,36536,18657,1211.59,2,4479,1,SMTP
NET-0000198,2025-05-02 10:47:20,1841,443,ICMP,5084,3407,1431.32,1,671,0,SSH
NET-0000199,2024-10-27 08:20:24,43673,58178,TCP,27045,7757,673.46,0,3303,1,SSH
NET-0000200,2024-12-08 10:04:36,47615,443,UDP,26472,8824,1091.28,2,3059,1,HTTPS
NET-0000201,2025-06-28 17:29:58,47064,23276,ICMP,15987,28960,2802.15,0,3166,1,HTTP
NET-0000202,2024-03-20 21:59:59,17849,3389,ICMP,49450,30277,3289.72,2,2600,1,SMTP
NET-0000203,2025-02-18 14:57:04,17638,62610,UDP,312,3348,2444.37,1,4704,1,Other
NET-0000204,2025-07-11 02:02:08,44808,80,UDP,1974,44360,2500.88,0,4789,1,FTP
NET-0000205,2025-10-08 00:36:39,3824,3389,ICMP,32634,48499,1200.17,2,771,0,HTTPS
NET-0000206,2025-04-03 00:41:41,45643,3389,TCP,33062,9237,3245.47,1,3183,0,HTTPS
NET-0000207,2024-09-05 11:04:20,37693,38316,UDP,43463,19836,2532.67,1,2890,1,SSH
NET-0000208,2024-12-28 16:58:11,44948,8080,ICMP,3525,25978,77.38,2,1689,0,SMTP
NET-0000209,2025-12-08 19:29:11,54069,22,TCP,1968142,483,859.06,20,56163,1,HTTP
NET-0000210,2024-01-05 12:12:05,33882,443,TCP,46928,28020,2628.76,2,2903,1,HTTP
NET-0000211,2024-01-08 04:49:28,14639,443,ICMP,32537,29831,2879.42,0,882,0,SSH
NET-0000212,2025-05-11 00:46:51,8190,22,ICMP,48972,22321,2003.12,0,2277,0,SMTP
NET-0000213,2024-07-21 20:31:44,20372,8080,ICMP,32715,41464,1189.55,0,4577,1,Other
NET-0000214,2025-05-23 11:26:43,50500,80,TCP,29258,19343,807.55,0,1304,1,DNS
NET-0000215,2024-11-08 14:42:51,45953,80,UDP,18037,23566,2831.67,2,1173,1,DNS
NET-0000216,2025-11-23 21:54:49,30942,22,TCP,43586,36570,3402.02,2,2937,1,HTTPS
NET-0000217,2025-10-21 19:40:18,22254,3389,ICMP,27334,46381,2026.21,0,3055,1,Other
NET-0000218,2025-05-02 08:44:05,26735,3389,TCP,4291,15904,382.97,1,1182,1,HTTPS
NET-0000219,2024-02-05 15:53:12,59927,22,TCP,14200,6528,1895.14,0,3467,1,Other
NET-0000220,2025-01-14 15:43:50,16123,80,ICMP,40257,13670,2086.08,1,4360,0,HTTPS
NET-0000221,2025-11-03 19:17:41,33747,3389,UDP,43470,4928,301.03,2,692,1,Other
NET-0000222,2024-04-30 07:19:07,10298,3389,TCP,28566,20382,389,1,4425,0,HTTP
NET-0000223,2025-02-05 23:38:06,13012,80,ICMP,48842,20687,971.44,1,3272,1,SSH
NET-0000224,2024-01-19 02:50:05,11774,22,UDP,34469,29520,2828.23,0,2635,1,SSH
NET-0000225,2024-06-17 16:25:30,26265,80,TCP,4557,33873,4.59,0,1709,1,FTP
NET-0000226,2024-03-21 01:04:04,60746,443,TCP,325,16045,845.74,2,503,1,DNS
NET-0000227,2024-09-20 09:22:07,12886,8080,TCP,1095,1803,3155.65,2,3697,1,HTTPS
NET-0000228,2025-09-30 22:20:18,28834,80,TCP,40554,27206,3216.73,1,3609,1,DNS
NET-0000229,2025-05-13 03:30:40,15791,80,UDP,22446,38158,1468.32,1,2928,1,HTTPS
NET-0000230,2024-11-30 07:27:25,18616,80,ICMP,5569,7893,3226.13,0,4330,1,DNS
NET-0000231,2024-06-09 03:35:09,39643,80,ICMP,1969,23995,1208.38,0,3739,1,FTP
NET-0000232,2025-10-26 02:45:58,47943,80,ICMP,31759,14455,2520.13,1,4777,1,HTTPS
NET-0000233,2025-06-15 22:42:29,38511,80,TCP,33296,11754,1830.24,0,340,0,SSH
NET-0000234,2025-03-05 12:35:06,6803,58243,ICMP,48765,15479,2484.38,2,3806,1,SMTP
NET-0000235,2025-06-23 14:29:28,25419,22,ICMP,46265,26989,2619.67,0,333,1,Other
NET-0000236,2025-07-28 19:43:53,36601,3389,UDP,27327,27363,2033.81,1,4585,0,SSH
NET-0000237,2025-12-22 18:53:45,23671,443,UDP,36811,26218,3406,0,1905,1,HTTPS
NET-0000238,2025-06-24 16:48:25,57116,3389,ICMP,2421780,404,2447.2,50,437792,1,SSH
NET-0000239,2025-09-21 04:43:37,63041,443,ICMP,11900,182,1364.99,2,4098,0,Other
NET-0000240,2025-11-20 11:37:59,29600,11731,ICMP,48360,24697,2680.89,2,3726,1,SMTP
NET-0000241,2025-11-12 23:36:39,56783,22,UDP,26329,4241,263,2,2905,1,Other
NET-0000242,2025-05-14 19:46:10,48018,80,ICMP,19066,43221,411.5,0,3980,0,DNS
NET-0000243,2025-03-31 07:58:30,3026,8080,TCP,21629,10907,516.45,0,1405,0,Other
NET-0000244,2025-03-19 17:12:16,35599,22,UDP,35823,21680,1297.87,1,1877,0,Other
NET-0000245,2024-09-08 21:12:34,53303,8080,ICMP,22943,183,593.52,2,4752,1,SMTP
NET-0000246,2024-01-27 15:27:18,14641,443,TCP,38230,28245,79.1,1,3412,1,HTTP
NET-0000247,2024-03-21 06:09:03,5574,443,UDP,30300,6484,2653.86,1,2408,1,SSH
NET-0000248,2025-09-04 04:48:10,50468,80,ICMP,18824,22017,1580.54,2,1012,1,DNS
NET-0000249,2024-10-11 22:02:44,50323,80,TCP,30903,8787,2023.28,2,3200,1,SMTP
NET-0000250,2025-02-16 06:26:04,21469,3389,ICMP,28872,17118,444.43,2,2442,0,HTTP
NET-0000251,2024-03-29 11:18:44,42817,80,UDP,16763,31229,2626.86,1,4169,1,FTP
NET-0000252,2025-04-10 08:15:26,10156,80,UDP,33682,20834,1133.33,0,4007,1,SSH
NET-0000253,2025-06-13 09:18:48,35036,80,ICMP,28886,8277,1345.5,2,3278,0,HTTPS
NET-0000254,2025-02-17 01:40:43,21534,8080,TCP,39208,6667,1684.38,0,3823,1,Other
NET-0000255,2025-09-28 20:36:36,8543,22,ICMP,26371,48170,3450.75,0,1079,0,HTTPS
NET-0000256,2025-04-29 20:09:41,55006,443,UDP,1797485,940,3215.43,15,152293,0,SMTP
NET-0000257,2024-03-21 14:34:34,55949,80,TCP,21282,17461,3532.11,1,4356,1,HTTPS
NET-0000258,2025-04-07 13:14:27,45198,3389,UDP,44789,16400,3032.5,1,2471,1,SMTP
NET-0000259,2025-02-24 00:34:17,50035,443,TCP,41305,23135,786.19,2,738,0,FTP
NET-0000260,2025-07-10 04:27:38,59691,9144,ICMP,26673,42409,2047.17,2,747,0,FTP
NET-0000261,2024-05-02 09:23:32,60809,80,TCP,48669,27304,300.11,1,1130,0,SMTP
NET-0000262,2025-03-28 09:51:13,51196,8080,ICMP,46309,47048,983.43,1,4193,1,SSH
NET-0000263,2025-05-22 17:54:18,62884,22,UDP,43290,23640,1672.96,2,1623,1,SMTP
NET-0000264,2024-06-30 14:03:45,23926,80,ICMP,35782,47354,1933.65,2,1547,0,FTP
NET-0000265,2025-01-24 00:32:39,43402,443,ICMP,11508,24366,795.11,0,4980,1,SSH
NET-0000266,2024-02-10 07:10:53,36927,22,UDP,13508,47565,18.54,1,1133,1,HTTP
NET-0000267,2024-01-06 20:35:08,45569,80,UDP,25954,30634,2094.25,2,3765,1,HTTPS
