BatchId,Timestamp,TemperatureC,PressureBar,VibrationHz,HumidityPct,ProductionSpeedUnitsPerMin,MaterialBatchAge,OperatorShift,MaintenanceDaysSince
BAT-000028,2025-10-03 22:25:32,72.2,4.27,33.2,59,182.7,14,Day,46
BAT-000029,2024-01-21 01:13:18,68.7,4.11,29.5,61,185.4,1,Night,7
BAT-000030,2025-01-01 19:24:37,83.1,6.93,14.6,49,106,13,Evening,23
BAT-000031,2025-07-27 10:56:08,84.4,4,31.9,38,156.1,8,Day,37
BAT-000032,2024-05-21 15:24:56,63.8,4.93,31.7,45,152,12,Day,5
BAT-000033,2024-07-13 01:24:42,60.2,5.99,22.2,33,184.7,1,Day,50
BAT-000034,2025-10-25 12:31:13,64.4,5.79,32.6,61,146.4,6,Night,35
BAT-000035,2024-12-08 12:52:20,77.5,4.04,17.7,32,191.3,10,Evening,25
BAT-000036,2024-04-06 15:45:44,64.5,6.21,34,38,85.8,2,Night,56
BAT-000037,2024-02-18 21:53:51,78.7,6.97,20.8,60,170.7,5,Night,36
BAT-000038,2025-09-09 12:25:39,60.2,5.63,11.9,65,106.4,18,Night,52
BAT-000039,2025-07-20 14:38:21,60.5,6.43,20.3,62,175.5,21,Day,60
BAT-000040,2024-01-14 09:07:00,68,5.86,18.8,46,187.7,13,Night,56
BAT-000041,2024-05-07 08:18:25,112.1,13.92,108.2,43,132.1,6,Night,49
BAT-000042,2024-10-22 11:54:05,66.8,6.2,24.6,45,165.2,4,Day,31
BAT-000043,2025-11-14 02:05:26,67.2,5.98,24.5,32,135.7,26,Day,40
BAT-000044,2024-04-27 13:43:31,75.3,6.33,20,43,98,17,Evening,27
BAT-000045,2025-02-20 13:02:27,62.1,5.46,10.6,51,188.1,27,Evening,17
BAT-000046,2024-08-03 07:36:11,73.5,6.79,32.2,36,164.6,4,Evening,12
BAT-000047,2024-06-17 17:59:59,71.2,6.32,29,40,108.1,25,Evening,30
BAT-000048,2025-07-22 05:18:15,68.7,5.1,33,43,177.6,26,Evening,17
BAT-000049,2024-03-21 06:11:06,60.8,4.59,17.2,61,126.9,20,Night,43
BAT-000050,2025-01-14 00:51:44,83.3,4.85,26.8,34,157.9,13,Night,39
BAT-000051,2025-12-14 11:40:25,80.4,4.55,14.1,48,109.5,18,Evening,6
BAT-000052,2024-12-01 22:26:15,100.7,8.42,106.3,38,98.4,21,Day,59
BAT-000053,2024-12-24 11:12:53,80.5,5.33,22.4,55,119.2,29,Evening,47
BAT-000054,2024-08-26 21:28:37,61.7,5.39,16.5,60,126.7,1,Evening,36
BAT-000055,2025-10-14 09:42:17,61.6,6.19,18.9,65,165.9,7,Evening,3
BAT-000056,2024-10-11 18:39:18,83.1,4.54,26.5,55,128.8,11,Day,30
BAT-000057,2024-01-21 10:04:42,78,6.16,21.1,69,178.7,24,Evening,6
BAT-000058,2024-07-15 09:08:42,77.8,6.84,13.2,41,148.6,3,Night,39
BAT-000059,2024-04-30 22:33:23,69,5.66,32.9,32,142.9,17,Day,56
BAT-000060,2024-04-23 17:21:50,60.7,5.45,39.6,55,115.4,30,Day,29
BAT-000061,2024-05-23 18:31:16,73.4,5.93,19.7,41,147,16,Night,24
BAT-000062,2024-12-08 02:16:47,82.5,6.69,24.3,56,118.1,9,Evening,28
BAT-000063,2024-11-06 10:52:01,63.9,4.94,20.9,55,152.7,10,Evening,54
BAT-000064,2024-08-16 02:00:21,76,5.77,12.1,34,80.9,16,Night,13
BAT-000065,2024-04-06 17:44:33,64.6,4.29,14.4,30,116,25,Night,43
BAT-000066,2025-08-24 02:48:37,85,5,35.7,53,145.3,24,Day,13
BAT-000067,2025-03-11 14:06:01,76,4.18,36.8,68,194.4,19,Night,49
BAT-000068,2025-04-28 11:17:23,66.8,4.54,13.8,57,134.5,17,Day,17
BAT-000069,2024-01-09 05:24:10,84.9,5.28,36.8,54,194.8,15,Day,51
BAT-000070,2024-10-20 04:12:10,70.1,5.06,27.5,33,137.2,12,Day,7
BAT-000071,2024-12-18 00:03:04,75.3,5.57,37.3,43,116.9,6,Evening,27
BAT-000072,2025-04-17 07:51:17,64.1,4.98,16.3,70,162.1,23,Night,39
BAT-000073,2025-04-14 07:10:16,84.7,4.96,11.4,51,103.5,5,Night,46
BAT-000074,2025-12-11 04:30:11,63.9,6.82,18.2,41,163.8,15,Day,40
BAT-000075,2024-09-23 19:36:15,76.2,4.29,38,33,154.1,7,Evening,59
BAT-000076,2024-05-15 08:22:21,69.1,6.21,10.4,55,97.8,18,Evening,47
BAT-000077,2025-02-18 05:41:05,62.7,6.85,39.4,56,155.9,19,Night,56
BAT-000078,2024-01-19 19:00:24,64.5,5.75,26.9,56,197.5,12,Night,44
BAT-000079,2025-04-03 19:06:03,60.5,5.97,12.8,53,87.5,24,Day,49
BAT-000080,2024-08-18 19:41:53,79.7,6.03,26.4,70,197.7,4,Night,17
BAT-000081,2025-09-01 00:59:27,65.2,4.65,38.5,42,177.5,13,Day,42
BAT-000082,2025-04-07 16:42:53,66.7,6.17,28.8,43,135.6,1,Night,5
BAT-000083,2024-02-17 16:37:27,72.1,5.38,24.5,56,111.6,16,Day,59
BAT-000084,2024-06-19 08:35:17,74.4,4.65,30,39,168.7,6,Evening,0
BAT-000085,2025-12-28 03:06:18,64.9,5.09,24.8,46,144.2,26,Evening,0
BAT-000086,2024-07-23 19:31:03,66.2,6.1,37,32,172.9,23,Evening,54
BAT-000087,2025-07-29 00:49:09,61.2,6.61,37.4,60,147.5,26,Night,38
BAT-000088,2024-07-27 09:28:12,77.2,6.7,19,37,161.2,19,Evening,54
BAT-000089,2024-05-18 20:45:55,79.5,4.95,11.9,40,87.2,10,Day,56
BAT-000090,2025-12-15 09:41:03,76.7,6.96,26.7,52,149.8,13,Evening,27
BAT-000091,2025-06-03 02:08:04,119.7,12.44,68.2,31,159.4,24,Day,23
BAT-000092,2024-01-18 07:56:58,60.8,5.9,19.3,56,146.7,29,Evening,20
BAT-000093,2025-03-09 17:31:17,71.2,4.52,19.2,40,80.3,13,Evening,21
BAT-000094,2025-05-11 12:36:42,74.4,5.49,21.6,54,185.2,16,Evening,39
BAT-000095,2025-01-11 23:40:05,61.7,5.08,35.4,44,108,23,Day,38
BAT-000096,2024-01-19 17:57:42,70.3,4.73,13.8,31,113.1,30,Evening,35
BAT-000097,2025-12-14 07:29:36,68.5,5.49,34.6,62,134.5,11,Evening,15
BAT-000098,2024-12-30 17:04:43,68.2,6.22,23.7,62,158.8,14,Evening,12
BAT-000099,2025-12-07 13:12:36,65.4,5.11,31.8,40,191.3,9,Day,14
BAT-000100,2025-05-27 14:24:51,67,4.96,19.3,68,145.1,29,Evening,14
BAT-000101,2025-07-09 01:35:56,71.7,5.44,15,48,96.2,3,Day,42
BAT-000102,2025-10-15 16:28:35,83.3,6.89,32.4,36,154.6,16,Evening,9
BAT-000103,2024-10-22 11:06:48,75,5.18,10.2,63,153.1,11,Evening,12
BAT-000104,2025-05-20 12:18:14,63.2,5.25,11.1,30,143.9,2,Night,17
BAT-000105,2024-08-01 22:38:14,71.1,6.38,16,45,161.5,2,Night,3
BAT-000106,2024-11-25 15:13:51,65.2,4.89,18.6,66,102.9,5,Day,60
BAT-000107,2025-01-21 15:45:21,69.8,5.59,37.8,49,152.3,15,Night,27
BAT-000108,2024-01-14 14:43:36,81.4,6.95,32.8,41,118.5,2,Evening,59
BAT-000109,2025-01-26 19:39:22,78.9,4.33,17,44,111.9,14,Night,54
BAT-000110,2024-01-03 00:21:56,72.9,4.34,19.1,33,181.1,12,Night,4
BAT-000111,2024-01-16 08:57:12,78.8,5.94,33.7,58,182.3,9,Day,21
BAT-000112,2024-03-26 06:27:55,77.2,5.77,38.9,44,95.8,26,Day,38
BAT-000113,2024-08-29 12:26:30,83.5,4.63,37.8,42,153.5,1,Evening,40
BAT-000114,2025-02-25 13:39:17,79.5,6.99,30.2,34,116.3,14,Day,44
BAT-000115,2025-08-26 22:19:04,64.2,4.74,17.5,32,93.8,9,Night,18
BAT-000116,2025-10-31 07:37:44,69.4,4.49,37,49,146.9,21,Evening,33
BAT-000117,2025-10-02 11:24:57,61.7,4.85,13.9,59,151.4,29,Evening,34
BAT-000118,2025-04-16 21:25:15,115.3,14.3,98.9,39,151.2,30,Night,24
BAT-000119,2024-07-20 09:11:14,82.3,4.56,11.5,62,185.6,26,Day,30
BAT-000120,2024-03-01 13:35:48,82,4.82,19.1,30,136.3,28,Day,16
BAT-000121,2025-03-08 08:09:36,74.8,5.1,30.2,35,128.8,5,Evening,2
BAT-000122,2025-06-27 23:13:34,65.7,4.05,31.6,45,125.1,27,Evening,12
BAT-000123,2024-07-02 06:28:54,80.1,4.08,24.5,62,183.7,28,Evening,34
BAT-000124,2024-06-23 10:59:35,74.4,6.72,37.6,44,145,23,Day,49
BAT-000125,2024-10-17 06:55:54,84.7,4.18,38.9,46,146.7,28,Night,34
BAT-000126,2025-07-10 17:25:34,71.8,6.1,15.7,41,192.8,10,Evening,35
BAT-000127,2024-01-12 15:17:39,84.4,6.84,21.7,68,143.6,27,Night,14
BAT-000128,2024-02-11 10:15:21,82.4,11.25,66.3,48,154.5,26,Night,31
BAT-000129,2025-09-05 03:14:58,81,4.92,13.1,59,164.3,25,Night,22
BAT-000130,2025-11-04 21:09:45,75.3,5.16,37.1,32,186.5,14,Day,33
BAT-000131,2025-12-06 16:31:48,75.1,6.1,34.8,43,165.8,21,Day,16
BAT-000132,2025-09-10 02:46:35,78.7,6.15,22.7,34,120,12,Evening,28
BAT-000133,2024-04-07 15:18:02,78.6,6.98,11.8,49,95.8,28,Night,54
BAT-000134,2024-04-12 11:19:49,68.2,4.25,26.1,49,166.6,23,Night,15
BAT-000135,2024-09-03 02:15:39,76.4,6.06,39.9,61,127.9,19,Night,51
BAT-000136,2025-05-13 21:47:26,69.6,5.46,28.2,69,124.5,5,Evening,55
BAT-000137,2024-01-13 20:35:26,69.7,6.79,14.2,35,93.3,4,Night,14
BAT-000138,2024-09-26 21:04:45,60.1,6.96,22.5,69,112.1,12,Evening,34
BAT-000139,2025-12-09 06:03:24,64.1,5,33.2,46,169.7,13,Day,25
BAT-000140,2024-01-08 16:31:13,65.4,5.04,38.1,46,195.2,25,Day,5
BAT-000141,2025-09-24 01:51:21,64.3,5.7,39.6,65,179.2,23,Day,8
BAT-000142,2025-09-23 01:53:57,80.3,4.24,22.7,45,125.3,23,Evening,54
BAT-000143,2024-08-27 11:28:18,74.6,4.55,33.6,31,134.5,30,Day,0
BAT-000144,2024-04-18 04:58:42,61.2,5.26,11,55,158.1,28,Night,6
BAT-000145,2024-10-21 22:45:23,70.9,5.84,16.4,30,107.1,11,Evening,48
BAT-000146,2025-09-07 00:28:31,76.6,5.5,37,32,108.3,6,Evening,12
BAT-000147,2025-08-31 07:46:50,105.9,12.55,69.9,30,101.4,8,Evening,48
BAT-000148,2025-03-13 03:20:11,84.9,6.32,29.3,49,136.5,7,Night,59
BAT-000149,2024-01-19 06:17:52,70.1,5.76,18.8,57,140.3,21,Day,15
BAT-000150,2025-04-24 19:13:36,76,6.79,38,32,175.6,13,Evening,45
BAT-000151,2024-04-02 05:33:20,83.1,6.81,22.5,66,124,1,Evening,58
BAT-000152,2024-10-29 23:19:38,67.8,6.58,16.9,54,112.1,13,Night,45
BAT-000153,2024-09-24 08:23:55,76.1,6.32,30.6,64,170.7,29,Day,60
BAT-000154,2025-05-18 22:34:18,71.4,6.09,34.6,65,181.3,11,Evening,53
BAT-000155,2024-10-03 15:05:22,62.2,6.23,11.8,63,141.2,13,Day,15
BAT-000156,2024-09-13 20:04:12,80.6,6.87,17.4,42,142,4,Night,26
BAT-000157,2024-01-10 00:24:54,60.9,6.85,36.5,62,163,28,Evening,42
BAT-000158,2024-12-08 23:10:56,83.6,4.23,34,54,191.6,13,Day,38
BAT-000159,2025-07-24 07:57:35,73.1,4.36,27.9,70,149.7,29,Evening,31
BAT-000160,2025-11-27 08:25:23,84.3,4.52,34.1,64,191.9,15,Evening,29
BAT-000161,2025-02-26 11:33:20,77.8,4.96,25.2,41,100,17,Evening,9
BAT-000162,2024-10-22 09:56:46,65,5.59,25.2,56,108.7,3,Night,12
BAT-000163,2024-04-15 05:41:38,67.6,4.03,40,41,116.1,17,Day,54
BAT-000164,2024-07-03 22:36:56,68,5.29,35.6,67,125.7,7,Day,34
BAT-000165,2024-08-03 05:45:24,82.5,6.21,20.3,41,128.8,27,Night,44
BAT-000166,2025-11-09 15:29:54,63.2,4.72,26.8,40,167.2,21,Day,25
BAT-000167,2025-07-23 11:25:44,83.6,5.62,13.8,67,169.3,14,Day,30
BAT-000168,2024-12-08 01:05:13,75.2,4.86,32.5,34,103.4,10,Day,56
BAT-000169,2024-08-03 17:04:42,63.6,4.58,21.8,63,90.9,1,Evening,18
BAT-000170,2024-04-18 12:29:43,82.6,8.36,80,33,118.1,14,Night,54
BAT-000171,2024-06-09 03:42:20,75.1,5.46,24.4,34,82.5,7,Evening,27
BAT-000172,2024-10-10 17:14:57,72.7,6.3,25.2,36,80.1,27,Night,48
BAT-000173,2025-11-23 19:12:39,78.2,4.53,33.4,33,95.6,22,Night,38
BAT-000174,2025-09-24 21:48:17,73,6.78,15,56,124.2,9,Evening,22
BAT-000175,2024-09-09 08:53:03,80.1,6.61,32.8,40,157.6,16,Day,43
BAT-000176,2025-02-22 13:03:56,77.8,5.13,16.8,39,186.1,24,Day,5
BAT-000177,2024-09-19 07:42:22,75.8,4.86,32.6,60,132.1,24,Evening,38
BAT-000178,2024-12-11 11:45:47,81.3,5.87,13.5,33,156.8,16,Night,29
BAT-000179,2025-07-09 22:07:43,67.8,6.02,21.7,39,137.9,21,Day,22
BAT-000180,2024-06-28 04:33:02,77.7,6.1,29.9,65,96.9,21,Day,31
BAT-000181,2025-10-23 20:10:45,79.2,5.99,38.2,68,199.4,10,Day,17
BAT-000182,2025-08-07 10:32:40,61.5,4.79,37.3,46,184.3,23,Evening,25
BAT-000183,2025-06-08 04:56:59,82.9,5.62,23.3,55,95.3,12,Evening,28
BAT-000184,2025-09-27 15:37:39,81.1,5.8,33.3,70,150.6,12,Day,31
BAT-000185,2024-06-05 14:38:40,67.6,6.78,23.5,44,198,11,Evening,27
BAT-000186,2024-04-07 05:51:12,75.2,5.23,18,48,198.1,3,Night,32
BAT-000187,2025-05-23 17:29:08,80.3,4.91,36.1,58,91.9,6,Night,9
BAT-000188,2024-04-18 22:49:26,109.2,9.92,119.6,54,149.2,30,Evening,2
BAT-000189,2025-04-16 08:56:51,81.1,4.59,26.8,70,110.4,15,Night,58
BAT-000190,2024-04-15 23:33:13,60.3,6.27,16.8,50,99.4,14,Night,5
BAT-000191,2024-06-20 14:09:44,84,6.33,34.2,66,123.5,2,Evening,19
BAT-000192,2024-05-25 00:21:24,77.8,6.88,15.5,31,129.8,25,Night,33
BAT-000193,2024-07-30 09:54:31,74.2,4.99,14.7,40,123.2,7,Evening,26
BAT-000194,2025-08-04 14:13:36,61.2,5.52,11.3,59,135.9,10,Night,47
BAT-000195,2025-04-14 05:02:04,76,5.04,12.3,50,190.7,5,Day,5
BAT-000196,2024-09-27 11:16:45,66.5,5.89,13,33,131.5,22,Night,19
BAT-000197,2025-08-17 11:24:35,68.2,6.19,34.7,38,117.4,11,Night,8
BAT-000198,2025-11-08 17:01:24,61.2,6.7,19.2,47,87.5,4,Night,21
BAT-000199,2024-07-22 00:53:54,82.7,5.56,37.1,56,118.3,7,Day,42
BAT-000200,2025-07-11 07:10:45,68.8,6.93,32.7,68,174.7,10,Day,28
BAT-000201,2025-02-15 21:10:25,90.2,14.64,67.7,54,126.4,18,Night,15
BAT-000202,2025-07-05 15:50:06,84,4.1,20.4,51,134.8,14,Night,34
BAT-000203,2025-04-20 13:15:47,71.9,5.95,37.6,54,187.7,6,Evening,58
BAT-000204,2025-12-19 23:11:44,73.8,6.79,33.9,34,85.8,21,Evening,13
BAT-000205,2025-06-03 19:30:07,61.7,4.53,23.1,35,170.3,28,Night,12
BAT-000206,2025-01-21 09:43:31,65.3,4.02,22.7,66,166,5,Day,58
BAT-000207,2025-02-27 04:29:45,68.1,4.15,27.3,64,158.9,12,Day,17
BAT-000208,2024-12-03 09:54:36,68.4,4.33,33,36,185.1,21,Day,25
BAT-000209,2024-07-20 17:26:24,77.8,6.03,14.3,56,104.9,29,Evening,57
BAT-000210,2024-05-15 13:58:12,73.8,6.38,19.4,55,179.4,27,Evening,41
BAT-000211,2024-05-03 17:46:27,79.2,5.47,39.1,57,131.9,13,Day,1
BAT-000212,2024-03-04 12:52:20,67.1,5.91,25.8,44,88.1,7,Day,33
BAT-000213,2024-08-23 08:46:06,61.6,6.85,11.9,60,114.8,3,Day,48
BAT-000214,2024-04-12 13:35:46,75.1,6.68,27.9,69,147.9,1,Night,4
BAT-000215,2025-02-09 19:46:25,78.1,4.47,28.2,34,167.1,5,Day,18
BAT-000216,2025-09-28 04:29:55,82.8,6.2,28.6,65,160.9,23,Night,33
BAT-000217,2024-08-08 20:55:53,61.4,4.04,15.1,69,198.8,25,Day,23
BAT-000218,2024-06-15 00:50:35,70.5,5.15,38.9,69,160.5,24,Day,22
BAT-000219,2024-07-22 00:41:50,85,5.02,11.4,51,152.9,20,Day,1
BAT-000220,2025-01-07 19:23:09,73.9,6.71,15.6,59,137.6,7,Day,46
BAT-000221,2025-03-31 20:09:42,66.6,4.7,36.3,52,119.6,24,Day,49
BAT-000222,2025-05-09 23:44:02,79.4,6.72,35.8,62,170.5,9,Night,48
BAT-000223,2024-04-11 00:17:00,72.6,6.61,13.9,67,195.9,7,Day,12
BAT-000224,2025-05-02 03:56:03,65.3,4.79,13.3,60,185.5,29,Day,3
BAT-000225,2024-04-21 19:16:15,71.7,6.63,28.7,32,105.7,3,Evening,24
BAT-000226,2024-10-26 07:33:22,61.7,6.49,33.2,32,82.6,8,Day,4
BAT-000227,2024-05-01 19:48:20,82.1,6.73,12.5,48,149.8,15,Night,31
BAT-000228,2025-04-26 02:59:59,60.1,6.19,11,65,117.2,15,Night,5
BAT-000229,2024-04-01 04:14:17,83.4,6.87,32.4,58,172.9,13,Evening,8
BAT-000230,2024-03-02 09:51:34,73,6.12,24.7,44,146.1,10,Day,60
BAT-000231,2024-06-29 07:19:02,74.5,4.8,17.5,44,185.7,11,Evening,51
BAT-000232,2025-09-11 03:17:22,77.2,4.46,34.2,54,170,6,Day,55
BAT-000233,2025-11-27 21:52:52,73.4,4.5,36.3,51,184.9,27,Evening,44
BAT-000234,2024-11-19 15:56:55,83.5,6.79,35.9,67,159.7,14,Day,43
BAT-000235,2024-09-23 14:36:12,61.1,6.13,17.3,41,163.6,3,Evening,59
BAT-000236,2025-01-05 18:19:50,83,5.37,36.2,57,173.5,15,Night,3
BAT-000237,2025-11-21 21:14:04,62.4,5.65,10.7,61,159.6,21,Evening,23
BAT-000238,2025-07-16 03:25:19,73.4,5.64,28.8,57,143.6,16,Evening,53
BAT-000239,2024-11-11 17:14:29,97.3,12.34,62.6,33,182.7,23,Evening,5
BAT-000240,2024-06-29 08:55:56,117.2,9.2,86.1,45,116.2,26,Night,50
BAT-000241,2024-10-27 04:28:32,67,6.49,35.8,44,176.4,19,Night,25
BAT-000242,2025-10-12 07:00:24,67.2,6.2,23,69,124,26,Evening,15
BAT-000243,2024-06-10 01:31:22,66.4,4.89,27.4,39,150,26,Day,32
BAT-000244,2024-11-26 01:48:42,115.1,10.4,116.4,39,192.5,1,Night,34
BAT-000245,2024-08-14 19:09:42,107.8,11.04,118.9,60,153.1,25,Night,25
BAT-000246,2024-04-28 05:26:02,64.8,4.14,33.4,68,122.6,30,Night,20
BAT-000247,2025-06-22 16:54:50,71.9,6.36,12.2,64,142.2,2,Night,36
BAT-000248,2025-04-12 15:47:11,82,4.06,25.1,36,172.4,22,Evening,55
BAT-000249,2024-10-09 00:28:04,75.2,4.34,28.2,63,185.3,14,Night,58
BAT-000250,2024-04-15 23:29:57,64.9,6.75,35.6,31,196.6,18,Night,48
BAT-000251,2024-05-24 21:04:47,62.3,5.73,32.2,36,165.5,16,Night,35
BAT-000252,2025-05-14 13:55:20,69.9,4.29,26,48,150.9,8,Evening,28
BAT-000253,2024-06-22 18:44:01,75.9,5.94,32.5,35,144.8,18,Day,42
BAT-000254,2024-08-19 01:56:01,73,5.49,17.7,63,101.9,1,Night,47
BAT-000255,2025-01-05 13:52:53,72.8,6.61,31.2,60,109.1,6,Day,46
BAT-000256,2024-06-20 07:43:56,61.1,4.99,31.2,63,198.2,28,Night,35
BAT-000257,2024-04-14 09:34:43,80.4,5.36,16.9,44,177.1,10,Night,34
BAT-000258,2024-06-29 03:14:41,63.1,5.54,34.2,33,114.5,27,Night,24
BAT-000259,2025-02-18 18:47:06,79.3,6.23,28.3,31,154.8,21,Day,54
BAT-000260,2024-07-06 16:24:21,62.2,5.96,27.8,43,143.8,15,Day,50
BAT-000261,2024-05-16 04:51:39,117.4,11.01,92.6,35,152.5,20,Day,29
BAT-000262,2025-12-06 23:15:20,66.3,6.58,23.2,34,138.9,9,Night,18
BAT-000263,2025-06-08 10:30:36,62.9,6.95,16.8,54,159.4,6,Night,29
BAT-000264,2025-05-17 00:13:23,84.7,5.74,23.3,33,86.5,13,Night,24
BAT-000265,2024-05-04 01:49:27,61.7,6.31,29.4,53,116.4,9,Evening,49
BAT-000266,2024-02-05 14:49:38,63.3,6.26,25.2,67,134.1,15,Day,38
BAT-000267,2024-11-26 14:39:12,81.4,6.61,18.4,45,107.4,28,Night,1
BAT-000268,2024-10-13 11:53:52,80.4,5.16,38.1,40,124.4,24,Day,12
BAT-000269,2024-09-21 18:14:13,82,5.92,24.2,58,108.8,3,Evening,49
BAT-000270,2025-09-14 23:39:34,70.2,6.72,37.9,32,167.2,9,Evening,15
BAT-000271,2025-07-22 12:49:15,71.7,4.06,24.8,45,103,24,Day,55
BAT-000272,2025-04-12 11:24:40,68.4,6.25,11.1,46,131.2,23,Evening,31
BAT-000273,2024-06-01 02:01:23,77.1,6.92,27.9,54,153.4,20,Evening,43
BAT-000274,2025-06-07 16:39:57,76,6.44,29,61,185.1,19,Day,53
BAT-000275,2025-12-21 08:50:19,65.3,6.34,16.3,53,127.3,23,Evening,14
BAT-000276,2025-11-20 13:13:32,63.5,6.79,21.2,34,114.7,6,Evening,5
BAT-000277,2025-03-26 06:32:49,72.8,5.98,38.7,37,196.1,10,Day,38
BAT-000278,2025-11-18 09:43:04,76,4.85,12,30,164.7,4,Day,9
BAT-000279,2025-03-09 05:55:30,73.9,5.54,27.4,68,106,19,Night,25
BAT-000280,2025-03-17 00:43:06,75.4,4.72,29.2,43,164.7,26,Evening,32
BAT-000281,2025-10-29 13:35:16,75.7,6.96,39.3,50,95.1,26,Evening,60
BAT-000282,2024-09-21 09:12:22,61.7,4.8,27.2,53,179.3,21,Night,47
BAT-000283,2025-08-30 22:09:25,79.1,6.68,32,55,93.7,19,Day,4
BAT-000284,2025-07-03 06:15:02,60.4,4.15,37.6,47,151.9,29,Evening,10
BAT-000285,2025-03-25 16:29:58,68.4,6.93,16.6,59,108.8,7,Evening,21
BAT-000286,2025-11-26 22:28:51,83.7,6.7,17.6,51,123.9,22,Evening,16
BAT-000287,2025-06-02 08:20:57,60.1,6.53,12.8,44,163.4,1,Day,53
BAT-000288,2024-09-22 08:26:04,74.6,5.81,13.2,42,110.8,22,Day,12
BAT-000289,2025-06-04 04:37:47,81.7,5.58,39.1,31,138.3,5,Day,40
BAT-000290,2025-09-06 10:42:57,65.3,5.35,26.4,62,101.8,11,Night,3
BAT-000291,2024-03-28 03:07:56,64.3,4.37,29.1,51,165.8,2,Evening,46
BAT-000292,2025-02-16 08:00:13,75.1,6.49,22.7,48,172.3,18,Evening,19
BAT-000293,2024-01-15 10:36:30,63.4,6.7,35.9,45,114.8,2,Day,18
BAT-000294,2025-10-29 11:44:17,72.1,5.02,34.1,40,175,6,Day,1
BAT-000295,2024-12-27 09:09:28,75.3,5.91,29.2,50,174.8,2,Evening,55
BAT-000296,2024-03-02 22:56:22,72.5,4.56,34.7,47,155.3,20,Day,59
BAT-000297,2024-08-11 13:49:03,69.9,4.65,33.9,46,97.1,13,Evening,44
BAT-000298,2025-08-26 03:10:11,78.6,6.65,25.7,62,191.3,16,Evening,31
BAT-000299,2024-07-15 03:16:13,74.1,6.96,39.6,31,90,6,Evening,1
BAT-000300,2024-02-28 07:31:01,60.6,6.03,39.5,30,90.5,25,Evening,6
BAT-000301,2025-01-14 05:23:12,60.9,5.58,30.1,50,148,9,Day,58
BAT-000302,2024-05-26 03:04:08,83.8,5.17,29.2,48,115.7,10,Night,17
BAT-000303,2025-02-05 16:53:10,62.1,5.98,15,62,168.2,10,Evening,37
BAT-000304,2025-02-15 21:07:59,70.6,4.43,21.3,39,136.8,14,Night,56
BAT-000305,2024-09-08 11:37:42,84.9,4.79,22.7,42,163.4,8,Night,39
BAT-000306,2024-09-08 19:25:56,61.3,6.36,29,38,179.7,17,Night,51
BAT-000307,2025-08-23 14:28:35,61.5,6.14,24.4,43,185.9,13,Day,1
BAT-000308,2024-08-15 15:49:38,82.2,4.73,38.1,53,166.1,3,Night,32
