RecordId,Timestamp,Region,DayOfWeek,IsHoliday,CommodityPrice
TS-000134,2022-05-14,South,Sat,0,5011
TS-000135,2022-05-15,West,Sun,0,8240
TS-000136,2022-05-16,Central,Mon,0,9152
TS-000137,2022-05-17,East,Tue,0,5730
TS-000138,2022-05-18,East,Wed,0,2569
TS-000139,2022-05-19,South,Thu,0,2230
TS-000140,2022-05-20,North,Fri,0,6278
TS-000141,2022-05-21,South,Sat,0,5173
TS-000142,2022-05-22,South,Sun,0,1205
TS-000143,2022-05-23,East,Mon,0,4550
TS-000144,2022-05-24,South,Tue,0,3442
TS-000145,2022-05-25,East,Wed,0,2754
TS-000146,2022-05-26,South,Thu,0,4626
TS-000147,2022-05-27,Central,Fri,0,3667
TS-000148,2022-05-28,East,Sat,0,2328
TS-000149,2022-05-29,West,Sun,1,1705
TS-000150,2022-05-30,North,Mon,0,1475
TS-000151,2022-05-31,South,Tue,0,619
TS-000152,2022-06-01,West,Wed,0,-369
TS-000153,2022-06-02,West,Thu,0,-715
TS-000154,2022-06-03,North,Fri,0,-757
TS-000155,2022-06-04,South,Sat,0,-976
TS-000156,2022-06-05,Central,Sun,0,-2536
TS-000157,2022-06-06,East,Mon,0,-3244
TS-000158,2022-06-07,Central,Tue,0,-4667
TS-000159,2022-06-08,North,Wed,0,-4243
TS-000160,2022-06-09,South,Thu,0,-1522
TS-000161,2022-06-10,North,Fri,0,-4366
TS-000162,2022-06-11,East,Sat,0,-4214
TS-000163,2022-06-12,South,Sun,0,-5577
TS-000164,2022-06-13,South,Mon,0,-2753
TS-000165,2022-06-14,North,Tue,0,-4669
TS-000166,2022-06-15,South,Wed,0,-3918
TS-000167,2022-06-16,South,Thu,0,-4874
TS-000168,2022-06-17,North,Fri,0,-2097
TS-000169,2022-06-18,North,Sat,1,-6029
TS-000170,2022-06-19,Central,Sun,0,-3657
TS-000171,2022-06-20,East,Mon,0,-3967
TS-000172,2022-06-21,South,Tue,0,-6282
TS-000173,2022-06-22,Central,Wed,0,-2394
TS-000174,2022-06-23,North,Thu,0,-3190
TS-000175,2022-06-24,South,Fri,0,-4425
TS-000176,2022-06-25,West,Sat,0,730
TS-000177,2022-06-26,East,Sun,0,-564
TS-000178,2022-06-27,West,Mon,0,-4126
TS-000179,2022-06-28,Central,Tue,0,623
TS-000180,2022-06-29,North,Wed,0,-7
TS-000181,2022-06-30,East,Thu,0,630
TS-000182,2022-07-01,South,Fri,0,4203
TS-000183,2022-07-02,Central,Sat,0,1791
TS-000184,2022-07-03,Central,Sun,0,3217
TS-000185,2022-07-04,Central,Mon,0,2017
TS-000186,2022-07-05,Central,Tue,0,3940
TS-000187,2022-07-06,Central,Wed,0,3552
TS-000188,2022-07-07,North,Thu,0,3926
TS-000189,2022-07-08,Central,Fri,0,4826
TS-000190,2022-07-09,East,Sat,0,4380
TS-000191,2022-07-10,North,Sun,0,6844
TS-000192,2022-07-11,South,Mon,0,5075
TS-000193,2022-07-12,East,Tue,0,7020
TS-000194,2022-07-13,Central,Wed,0,9015
TS-000195,2022-07-14,South,Thu,0,6788
TS-000196,2022-07-15,North,Fri,0,6837
TS-000197,2022-07-16,West,Sat,0,7119
TS-000198,2022-07-17,East,Sun,0,6842
TS-000199,2022-07-18,East,Mon,0,6350
TS-000200,2022-07-19,North,Tue,0,6201
TS-000201,2022-07-20,Central,Wed,0,5390
TS-000202,2022-07-21,West,Thu,0,3971
TS-000203,2022-07-22,South,Fri,0,4908
TS-000204,2022-07-23,East,Sat,0,5121
TS-000205,2022-07-24,North,Sun,0,3103
TS-000206,2022-07-25,Central,Mon,0,5659
TS-000207,2022-07-26,Central,Tue,0,4675
TS-000208,2022-07-27,West,Wed,0,2761
TS-000209,2022-07-28,South,Thu,0,2199
TS-000210,2022-07-29,South,Fri,0,1584
TS-000211,2022-07-30,South,Sat,0,4473
TS-000212,2022-07-31,Central,Sun,0,886
TS-000213,2022-08-01,Central,Mon,0,-188
TS-000214,2022-08-02,West,Tue,0,-2733
TS-000215,2022-08-03,South,Wed,0,-1195
TS-000216,2022-08-04,East,Thu,0,-150
TS-000217,2022-08-05,East,Fri,0,-1501
TS-000218,2022-08-06,Central,Sat,0,-2039
TS-000219,2022-08-07,Central,Sun,0,-5738
TS-000220,2022-08-08,North,Mon,0,-5730
TS-000221,2022-08-09,West,Tue,0,-4069
TS-000222,2022-08-10,West,Wed,0,-5613
TS-000223,2022-08-11,Central,Thu,0,-3408
TS-000224,2022-08-12,South,Fri,0,-4199
TS-000225,2022-08-13,Central,Sat,0,-6133
TS-000226,2022-08-14,West,Sun,0,-4042
TS-000227,2022-08-15,North,Mon,0,-4616
TS-000228,2022-08-16,Central,Tue,1,-7411
TS-000229,2022-08-17,South,Wed,0,-5600
TS-000230,2022-08-18,West,Thu,0,-6565
TS-000231,2022-08-19,South,Fri,0,-4539
TS-000232,2022-08-20,East,Sat,0,-5757
TS-000233,2022-08-21,South,Sun,0,-3296
TS-000234,2022-08-22,South,Mon,0,-1465
TS-000235,2022-08-23,East,Tue,0,-1811
TS-000236,2022-08-24,West,Wed,0,-2225
TS-000237,2022-08-25,Central,Thu,0,-2500
TS-000238,2022-08-26,West,Fri,0,1328
TS-000239,2022-08-27,Central,Sat,0,-3131
TS-000240,2022-08-28,East,Sun,0,351
TS-000241,2022-08-29,West,Mon,0,1826
TS-000242,2022-08-30,East,Tue,0,2293
TS-000243,2022-08-31,South,Wed,0,3584
TS-000244,2022-09-01,South,Thu,0,2962
TS-000245,2022-09-02,East,Fri,0,3046
TS-000246,2022-09-03,West,Sat,0,4184
TS-000247,2022-09-04,South,Sun,0,5868
TS-000248,2022-09-05,East,Mon,0,6721
TS-000249,2022-09-06,Central,Tue,0,4597
TS-000250,2022-09-07,South,Wed,1,6566
TS-000251,2022-09-08,West,Thu,0,5910
TS-000252,2022-09-09,Central,Fri,0,3395
TS-000253,2022-09-10,East,Sat,0,5545
TS-000254,2022-09-11,West,Sun,0,5544
TS-000255,2022-09-12,South,Mon,0,4559
TS-000256,2022-09-13,North,Tue,0,4994
TS-000257,2022-09-14,West,Wed,0,6636
TS-000258,2022-09-15,South,Thu,0,6710
TS-000259,2022-09-16,West,Fri,0,8076
TS-000260,2022-09-17,North,Sat,0,4829
TS-000261,2022-09-18,East,Sun,0,6583
TS-000262,2022-09-19,Central,Mon,0,7763
TS-000263,2022-09-20,West,Tue,0,5138
TS-000264,2022-09-21,Central,Wed,0,3988
TS-000265,2022-09-22,East,Thu,0,4384
TS-000266,2022-09-23,South,Fri,0,5782
TS-000267,2022-09-24,North,Sat,0,3798
TS-000268,2022-09-25,East,Sun,0,3525
TS-000269,2022-09-26,South,Mon,0,2422
TS-000270,2022-09-27,South,Tue,0,786
TS-000271,2022-09-28,Central,Wed,0,1860
TS-000272,2022-09-29,East,Thu,0,-94
TS-000273,2022-09-30,Central,Fri,0,1381
TS-000274,2022-10-01,North,Sat,0,-268
TS-000275,2022-10-02,West,Sun,0,-414
TS-000276,2022-10-03,South,Mon,0,-1592
TS-000277,2022-10-04,West,Tue,0,-1095
TS-000278,2022-10-05,South,Wed,0,-2907
TS-000279,2022-10-06,Central,Thu,0,-3777
TS-000280,2022-10-07,West,Fri,0,-3500
TS-000281,2022-10-08,Central,Sat,0,-4105
TS-000282,2022-10-09,Central,Sun,1,-3117
TS-000283,2022-10-10,West,Mon,0,-6252
TS-000284,2022-10-11,Central,Tue,0,-2955
TS-000285,2022-10-12,West,Wed,0,-5242
TS-000286,2022-10-13,South,Thu,0,-4804
TS-000287,2022-10-14,East,Fri,0,-5505
TS-000288,2022-10-15,North,Sat,0,-2761
TS-000289,2022-10-16,East,Sun,0,-4605
TS-000290,2022-10-17,South,Mon,0,-4587
TS-000291,2022-10-18,West,Tue,0,-3696
TS-000292,2022-10-19,East,Wed,0,-5797
TS-000293,2022-10-20,Central,Thu,0,-3491
TS-000294,2022-10-21,South,Fri,0,-2947
TS-000295,2022-10-22,North,Sat,0,-3546
TS-000296,2022-10-23,West,Sun,0,-916
TS-000297,2022-10-24,Central,Mon,1,-905
TS-000298,2022-10-25,North,Tue,0,-731
TS-000299,2022-10-26,North,Wed,0,769
TS-000300,2022-10-27,West,Thu,0,-523
TS-000301,2022-10-28,Central,Fri,0,633
TS-000302,2022-10-29,East,Sat,0,-1970
TS-000303,2022-10-30,Central,Sun,0,693
TS-000304,2022-10-31,South,Mon,0,2553
TS-000305,2022-11-01,South,Tue,0,4871
TS-000306,2022-11-02,South,Wed,0,4365
TS-000307,2022-11-03,West,Thu,0,4497
TS-000308,2022-11-04,West,Fri,0,1876
TS-000309,2022-11-05,Central,Sat,0,5906
TS-000310,2022-11-06,East,Sun,0,6836
TS-000311,2022-11-07,South,Mon,0,6259
TS-000312,2022-11-08,West,Tue,0,6100
TS-000313,2022-11-09,North,Wed,0,8509
TS-000314,2022-11-10,South,Thu,0,6090
TS-000315,2022-11-11,North,Fri,0,6338
TS-000316,2022-11-12,North,Sat,0,8390
TS-000317,2022-11-13,Central,Sun,0,6908
TS-000318,2022-11-14,East,Mon,0,7658
TS-000319,2022-11-15,East,Tue,0,7289
TS-000320,2022-11-16,West,Wed,0,6404
TS-000321,2022-11-17,Central,Thu,0,6292
TS-000322,2022-11-18,Central,Fri,0,6394
TS-000323,2022-11-19,East,Sat,0,5310
TS-000324,2022-11-20,West,Sun,0,5947
TS-000325,2022-11-21,Central,Mon,0,6755
TS-000326,2022-11-22,Central,Tue,0,4634
TS-000327,2022-11-23,Central,Wed,0,1752
TS-000328,2022-11-24,West,Thu,0,3196
TS-000329,2022-11-25,Central,Fri,0,1726
TS-000330,2022-11-26,North,Sat,0,4348
TS-000331,2022-11-27,East,Sun,0,-376
TS-000332,2022-11-28,Central,Mon,0,269
TS-000333,2022-11-29,West,Tue,0,269
TS-000334,2022-11-30,East,Wed,0,-921
TS-000335,2022-12-01,Central,Thu,0,-514
TS-000336,2022-12-02,Central,Fri,0,-432
TS-000337,2022-12-03,South,Sat,0,-2042
TS-000338,2022-12-04,East,Sun,0,-3336
TS-000339,2022-12-05,Central,Mon,0,-4308
TS-000340,2022-12-06,South,Tue,0,-618
TS-000341,2022-12-07,West,Wed,0,-2688
TS-000342,2022-12-08,Central,Thu,0,-3454
TS-000343,2022-12-09,North,Fri,0,-5309
TS-000344,2022-12-10,West,Sat,0,-5745
TS-000345,2022-12-11,East,Sun,0,-3461
TS-000346,2022-12-12,West,Mon,0,-4438
TS-000347,2022-12-13,East,Tue,0,-3067
TS-000348,2022-12-14,South,Wed,0,-4898
TS-000349,2022-12-15,East,Thu,0,-3678
TS-000350,2022-12-16,East,Fri,0,-3588
TS-000351,2022-12-17,North,Sat,0,-3207
TS-000352,2022-12-18,Central,Sun,0,-3127
TS-000353,2022-12-19,South,Mon,0,-2055
TS-000354,2022-12-20,North,Tue,0,-2447
TS-000355,2022-12-21,Central,Wed,0,-3416
TS-000356,2022-12-22,East,Thu,0,-1693
TS-000357,2022-12-23,West,Fri,0,-2103
TS-000358,2022-12-24,North,Sat,0,-84
TS-000359,2022-12-25,North,Sun,0,-782
TS-000360,2022-12-26,West,Mon,0,-10
TS-000361,2022-12-27,West,Tue,0,110
TS-000362,2022-12-28,Central,Wed,0,350
TS-000363,2022-12-29,North,Thu,0,4047
TS-000364,2022-12-30,South,Fri,0,3612
TS-000365,2022-12-31,West,Sat,0,1641
TS-000366,2023-01-01,East,Sun,0,1793
TS-000367,2023-01-02,East,Mon,0,5747
TS-000368,2023-01-03,West,Tue,0,8244
TS-000369,2023-01-04,South,Wed,0,4817
TS-000370,2023-01-05,East,Thu,0,6421
TS-000371,2023-01-06,East,Fri,0,6268
TS-000372,2023-01-07,West,Sat,0,4162
TS-000373,2023-01-08,Central,Sun,0,7031
TS-000374,2023-01-09,South,Mon,0,6968
TS-000375,2023-01-10,West,Tue,0,7101
TS-000376,2023-01-11,North,Wed,0,8466
TS-000377,2023-01-12,North,Thu,0,7120
TS-000378,2023-01-13,West,Fri,0,9453
TS-000379,2023-01-14,Central,Sat,0,5739
TS-000380,2023-01-15,West,Sun,1,8015
TS-000381,2023-01-16,North,Mon,0,5912
TS-000382,2023-01-17,West,Tue,0,6702
TS-000383,2023-01-18,Central,Wed,0,3717
TS-000384,2023-01-19,South,Thu,0,6678
TS-000385,2023-01-20,Central,Fri,0,5945
TS-000386,2023-01-21,South,Sat,0,2450
TS-000387,2023-01-22,East,Sun,0,2319
TS-000388,2023-01-23,North,Mon,0,1198
TS-000389,2023-01-24,South,Tue,0,4525
TS-000390,2023-01-25,South,Wed,0,2008
TS-000391,2023-01-26,South,Thu,0,4210
TS-000392,2023-01-27,South,Fri,0,1412
TS-000393,2023-01-28,East,Sat,0,-1022
TS-000394,2023-01-29,East,Sun,0,475
TS-000395,2023-01-30,East,Mon,0,-2068
TS-000396,2023-01-31,South,Tue,0,-1691
TS-000397,2023-02-01,North,Wed,1,-3473
TS-000398,2023-02-02,West,Thu,0,-3204
TS-000399,2023-02-03,South,Fri,0,-4641
TS-000400,2023-02-04,North,Sat,0,-2647
