QueryId,ProductId,QueryText,ProductTitle,CategoryMatch,Price,ReviewScore,SalesRank,ClickCount30d,CartAdds30d,RelevanceScore
QRY-273,PRD-000059,wireless headphones,EcoTherm Smart Stat,1,669,4.3,21040,1427,94,1
QRY-246,PRD-000060,organic coffee beans,TechBook 16 Laptop,0,563.21,3.4,41676,1309,219,0.8159
QRY-984,PRD-000061,running shoes men,NovaSound Pro Headphones,1,903.41,2.7,49463,3189,243,1
QRY-278,PRD-000062,organic coffee beans,Mountain Roast Coffee,1,472,3.9,14490,2367,554,1
QRY-814,PRD-000063,laptop 16gb ram,NovaSound Pro Headphones,0,371.26,4.6,27409,752,442,1
QRY-570,PRD-000064,laptop 16gb ram,NovaSound Pro Headphones,0,848.05,3.8,24723,692,257,0.792
QRY-182,PRD-000065,laptop 16gb ram,TechBook 16 Laptop,0,88.43,3,45131,1013,107,0.7903
QRY-403,PRD-000066,running shoes men,EcoTherm Smart Stat,1,965.26,2.9,47152,3515,613,1
QRY-619,PRD-000067,laptop 16gb ram,Mountain Roast Coffee,0,481.94,3.3,47395,750,201,0.9088
QRY-184,PRD-000068,wireless headphones,Mountain Roast Coffee,0,304.38,3.1,49173,241,31,0.8642
QRY-825,PRD-000069,wireless headphones,TechBook 16 Laptop,1,832.03,4.5,37200,2483,557,1
QRY-148,PRD-000070,wireless headphones,Mountain Roast Coffee,0,247.45,3.2,43918,1855,623,0.8934
QRY-563,PRD-000071,running shoes men,EcoTherm Smart Stat,1,145.73,2.8,26488,3557,585,0.9976
QRY-104,PRD-000072,organic coffee beans,EcoTherm Smart Stat,1,850.46,4.3,22505,4969,507,1
QRY-850,PRD-000073,running shoes men,TechBook 16 Laptop,1,313.02,4.9,26208,2822,465,1
QRY-282,PRD-000074,smart thermostat,NovaSound Pro Headphones,1,620.72,3.5,30700,988,598,1
QRY-783,PRD-000075,wireless headphones,TechBook 16 Laptop,1,431.36,2.7,39596,3935,103,1
QRY-392,PRD-000076,organic coffee beans,Mountain Roast Coffee,1,162.79,4.2,39186,606,431,1
QRY-481,PRD-000077,laptop 16gb ram,Mountain Roast Coffee,0,126.27,4.5,27371,4325,547,1
QRY-175,PRD-000078,organic coffee beans,Mountain Roast Coffee,0,134.26,3.3,13609,534,743,0.6614
QRY-414,PRD-000079,laptop 16gb ram,TechBook 16 Laptop,0,580.35,2.8,21755,195,197,0.6346
QRY-582,PRD-000080,wireless headphones,Mountain Roast Coffee,0,358.71,2.8,31274,908,414,0.8079
QRY-212,PRD-000081,wireless headphones,EcoTherm Smart Stat,1,396.39,3.9,27750,2627,684,1
QRY-813,PRD-000082,running shoes men,TrailMax Running Shoes,0,845.75,2.8,31146,734,90,0.7433
QRY-404,PRD-000083,wireless headphones,NovaSound Pro Headphones,0,37.13,3.7,8152,1635,31,0.9957
QRY-890,PRD-000084,organic coffee beans,TechBook 16 Laptop,1,502.48,3.1,36946,4403,601,1
QRY-749,PRD-000085,smart thermostat,NovaSound Pro Headphones,0,280.54,3.8,47529,659,321,0.931
QRY-289,PRD-000086,organic coffee beans,EcoTherm Smart Stat,1,545.99,2.8,28349,3150,324,1
QRY-203,PRD-000087,wireless headphones,TrailMax Running Shoes,0,558.89,4,6519,1043,649,0.9509
QRY-818,PRD-000088,smart thermostat,Mountain Roast Coffee,0,963.94,4.7,30618,2134,128,1
QRY-980,PRD-000089,smart thermostat,NovaSound Pro Headphones,1,382.67,3.1,38293,3409,619,1
QRY-295,PRD-000090,laptop 16gb ram,TrailMax Running Shoes,1,896.47,2.6,45603,3153,128,1
QRY-663,PRD-000091,running shoes men,EcoTherm Smart Stat,0,277.85,4.6,24155,3198,639,0.9653
QRY-886,PRD-000092,organic coffee beans,TechBook 16 Laptop,0,249.48,4,40096,1801,683,0.7728
QRY-347,PRD-000093,wireless headphones,NovaSound Pro Headphones,1,538.82,2.6,45540,1364,277,1
QRY-664,PRD-000094,organic coffee beans,TechBook 16 Laptop,1,252.68,3.5,33543,4074,224,1
QRY-270,PRD-000095,laptop 16gb ram,TechBook 16 Laptop,0,639.6,4.5,49008,4955,98,1
QRY-510,PRD-000096,laptop 16gb ram,EcoTherm Smart Stat,1,201.9,4.3,18147,1294,206,1
QRY-358,PRD-000097,running shoes men,TechBook 16 Laptop,0,643.46,3.4,17707,4405,519,0.7822
QRY-475,PRD-000098,wireless headphones,TechBook 16 Laptop,1,790.93,4.3,33783,1597,31,1
QRY-514,PRD-000099,laptop 16gb ram,NovaSound Pro Headphones,0,865.19,4.4,47957,1244,711,0.9248
QRY-428,PRD-000100,laptop 16gb ram,Mountain Roast Coffee,0,567.01,2.6,45748,2476,487,0.7397
QRY-707,PRD-000101,organic coffee beans,EcoTherm Smart Stat,1,325.57,3.3,32808,1606,137,1
QRY-339,PRD-000102,organic coffee beans,NovaSound Pro Headphones,0,230.62,4.6,20374,3059,24,1
QRY-885,PRD-000103,running shoes men,NovaSound Pro Headphones,1,14,3.7,1422,550,671,1
QRY-319,PRD-000104,laptop 16gb ram,TrailMax Running Shoes,1,375.22,3.5,23299,692,84,1
QRY-928,PRD-000105,smart thermostat,NovaSound Pro Headphones,1,846.95,3.9,9694,4630,360,1
QRY-162,PRD-000106,wireless headphones,TechBook 16 Laptop,1,826.37,4.1,40142,4450,51,1
QRY-202,PRD-000107,running shoes men,TechBook 16 Laptop,1,426.01,2.9,24074,2825,570,1
QRY-595,PRD-000108,laptop 16gb ram,TrailMax Running Shoes,0,819.26,4.1,17704,277,431,0.8672
QRY-290,PRD-000109,smart thermostat,TechBook 16 Laptop,1,91,4.3,43020,4474,518,1
QRY-456,PRD-000110,running shoes men,Mountain Roast Coffee,1,949.17,3.9,40908,1451,177,1
QRY-946,PRD-000111,wireless headphones,NovaSound Pro Headphones,0,611.66,3.3,22934,94,260,0.6239
QRY-956,PRD-000112,wireless headphones,NovaSound Pro Headphones,0,313.86,4.6,5662,3483,48,1
QRY-617,PRD-000113,laptop 16gb ram,NovaSound Pro Headphones,1,424.97,3.5,20500,1181,607,1
QRY-437,PRD-000114,wireless headphones,TechBook 16 Laptop,1,19.46,3.7,41290,2112,186,1
QRY-326,PRD-000115,wireless headphones,TrailMax Running Shoes,0,499.47,3.2,18664,3424,346,0.8967
QRY-415,PRD-000116,wireless headphones,EcoTherm Smart Stat,1,129.24,2.7,44842,2340,184,1
QRY-515,PRD-000117,running shoes men,EcoTherm Smart Stat,1,491.34,4.5,37061,4843,401,1
QRY-741,PRD-000118,smart thermostat,TechBook 16 Laptop,1,178.58,2.6,33989,1270,14,0.9652
QRY-617,PRD-000119,running shoes men,TechBook 16 Laptop,0,127.42,3.9,41894,3645,539,0.8131
QRY-255,PRD-000120,organic coffee beans,NovaSound Pro Headphones,1,415.05,3.5,34443,4196,440,1
QRY-697,PRD-000121,wireless headphones,EcoTherm Smart Stat,1,826.29,4.7,6248,1897,654,1
QRY-300,PRD-000122,running shoes men,TechBook 16 Laptop,1,18.69,4.6,21531,12,164,1
QRY-231,PRD-000123,smart thermostat,Mountain Roast Coffee,0,998.99,3.1,26883,2568,152,0.7155
QRY-141,PRD-000124,smart thermostat,Mountain Roast Coffee,1,875.82,3.3,41046,3378,778,1
QRY-860,PRD-000125,wireless headphones,Mountain Roast Coffee,1,565.39,4.6,604,962,528,1
QRY-484,PRD-000126,running shoes men,TechBook 16 Laptop,0,564.48,3.6,5626,864,60,0.8869
QRY-660,PRD-000127,smart thermostat,NovaSound Pro Headphones,1,356.12,2.7,48279,2900,701,1
QRY-747,PRD-000128,laptop 16gb ram,TrailMax Running Shoes,0,523.88,3.7,19179,2619,485,0.7359
QRY-800,PRD-000129,running shoes men,NovaSound Pro Headphones,0,670.52,2.9,31381,1382,252,0.782
QRY-215,PRD-000130,organic coffee beans,EcoTherm Smart Stat,0,203.42,2.9,48317,1823,501,0.8381
QRY-927,PRD-000131,organic coffee beans,Mountain Roast Coffee,1,597.31,4.6,24979,1940,357,1
QRY-897,PRD-000132,laptop 16gb ram,Mountain Roast Coffee,1,667.18,2.5,21576,980,245,1
QRY-192,PRD-000133,running shoes men,NovaSound Pro Headphones,0,916.46,2.8,43038,1380,796,0.877
QRY-463,PRD-000134,smart thermostat,TrailMax Running Shoes,1,116.17,3.6,17144,4060,586,1
QRY-869,PRD-000135,smart thermostat,EcoTherm Smart Stat,1,693.57,4.8,24533,3098,746,1
QRY-945,PRD-000136,laptop 16gb ram,TechBook 16 Laptop,1,885.43,3.4,25211,3517,229,1
QRY-223,PRD-000137,organic coffee beans,TrailMax Running Shoes,0,767.29,4.5,49389,694,533,1
QRY-520,PRD-000138,wireless headphones,TrailMax Running Shoes,0,491.54,4.6,45820,4537,460,1
QRY-965,PRD-000139,laptop 16gb ram,TechBook 16 Laptop,0,346.72,5,19715,365,274,1
QRY-895,PRD-000140,running shoes men,TrailMax Running Shoes,1,698.07,4.3,40376,1116,663,1
QRY-787,PRD-000141,organic coffee beans,Mountain Roast Coffee,0,551.92,4.6,21814,1877,702,0.9637
QRY-986,PRD-000142,laptop 16gb ram,Mountain Roast Coffee,1,581.91,2.6,11597,2573,358,1
QRY-127,PRD-000143,wireless headphones,TrailMax Running Shoes,1,802.85,4.8,20768,1988,81,1
QRY-657,PRD-000144,wireless headphones,TrailMax Running Shoes,0,716.85,4,11064,2471,727,0.9497
QRY-199,PRD-000145,organic coffee beans,NovaSound Pro Headphones,0,721.82,4.1,35494,1423,334,0.9927
QRY-923,PRD-000146,running shoes men,Mountain Roast Coffee,1,919.55,4.1,48492,861,189,1
QRY-382,PRD-000147,organic coffee beans,NovaSound Pro Headphones,1,819.24,2.8,43301,688,211,1
QRY-531,PRD-000148,running shoes men,NovaSound Pro Headphones,1,673.68,2.7,3610,3053,488,1
QRY-986,PRD-000149,smart thermostat,TechBook 16 Laptop,1,176.11,4.2,34935,3174,191,1
QRY-319,PRD-000150,wireless headphones,Mountain Roast Coffee,1,536.26,3,31553,367,367,1
QRY-888,PRD-000151,smart thermostat,Mountain Roast Coffee,1,788.9,3,31996,1516,546,1
QRY-432,PRD-000152,laptop 16gb ram,TechBook 16 Laptop,1,611.65,4.1,41373,1526,382,1
QRY-495,PRD-000153,smart thermostat,TrailMax Running Shoes,1,48.93,4.5,15380,1572,328,1
QRY-577,PRD-000154,organic coffee beans,TrailMax Running Shoes,1,849.13,4.6,25347,4354,495,1
QRY-419,PRD-000155,running shoes men,NovaSound Pro Headphones,0,549.77,4.3,37943,303,296,1
QRY-451,PRD-000156,laptop 16gb ram,TrailMax Running Shoes,1,22.04,2.7,15376,2582,169,1
QRY-225,PRD-000157,wireless headphones,Mountain Roast Coffee,1,150.05,4.5,7925,3312,649,1
QRY-459,PRD-000158,running shoes men,Mountain Roast Coffee,0,61.99,3.2,14357,3614,697,0.8279
QRY-956,PRD-000159,wireless headphones,NovaSound Pro Headphones,1,430.33,3.1,45169,46,544,1
QRY-613,PRD-000160,smart thermostat,Mountain Roast Coffee,0,962.01,4.4,22910,4884,326,1
QRY-886,PRD-000161,smart thermostat,EcoTherm Smart Stat,1,256,4.2,6179,1895,273,1
QRY-346,PRD-000162,laptop 16gb ram,EcoTherm Smart Stat,1,281.21,3,17203,753,749,1
QRY-640,PRD-000163,running shoes men,TechBook 16 Laptop,1,45.31,2.9,40742,2182,739,1
QRY-539,PRD-000164,organic coffee beans,TechBook 16 Laptop,1,336.1,4.7,10745,745,505,1
QRY-530,PRD-000165,organic coffee beans,EcoTherm Smart Stat,1,670.17,3.1,49217,2477,119,1
QRY-695,PRD-000166,organic coffee beans,NovaSound Pro Headphones,1,278.2,2.5,28612,2857,498,1
QRY-945,PRD-000167,wireless headphones,TechBook 16 Laptop,0,624.39,3.1,44812,619,725,0.7146
QRY-407,PRD-000168,wireless headphones,NovaSound Pro Headphones,0,835.16,3.6,36651,327,383,0.9558
QRY-841,PRD-000169,laptop 16gb ram,TechBook 16 Laptop,0,970.74,3,38049,4051,292,0.7804
QRY-653,PRD-000170,organic coffee beans,TrailMax Running Shoes,1,581.22,4.1,14338,1329,515,1
QRY-979,PRD-000171,organic coffee beans,EcoTherm Smart Stat,1,539.19,3.8,1546,4986,634,1
QRY-733,PRD-000172,wireless headphones,TechBook 16 Laptop,1,500.15,4.8,20362,1186,561,1
QRY-877,PRD-000173,running shoes men,NovaSound Pro Headphones,1,181.43,3,3874,4825,10,1
QRY-254,PRD-000174,organic coffee beans,TechBook 16 Laptop,0,777.03,3.4,11291,2878,570,0.843
QRY-681,PRD-000175,wireless headphones,EcoTherm Smart Stat,0,576.77,3.3,334,420,745,0.7462
QRY-205,PRD-000176,wireless headphones,Mountain Roast Coffee,1,905.74,3.3,3500,4734,200,1
QRY-333,PRD-000177,running shoes men,TrailMax Running Shoes,1,697.1,3.7,40787,4277,47,1
QRY-792,PRD-000178,laptop 16gb ram,NovaSound Pro Headphones,1,378,4,19069,496,93,1
QRY-314,PRD-000179,laptop 16gb ram,TechBook 16 Laptop,1,620.59,2.5,13064,1395,160,1
QRY-700,PRD-000180,laptop 16gb ram,NovaSound Pro Headphones,1,574.46,4.1,25914,4303,255,1
QRY-661,PRD-000181,organic coffee beans,TechBook 16 Laptop,1,994.98,5,20493,3735,94,1
QRY-637,PRD-000182,wireless headphones,Mountain Roast Coffee,1,621.53,2.7,11431,2321,455,1
QRY-281,PRD-000183,wireless headphones,TechBook 16 Laptop,0,618.89,2.8,2166,3349,172,0.7763
QRY-553,PRD-000184,laptop 16gb ram,TrailMax Running Shoes,1,615.03,4.8,20827,1139,726,1
QRY-519,PRD-000185,smart thermostat,TrailMax Running Shoes,1,788.94,3.7,17864,4137,36,1
QRY-355,PRD-000186,organic coffee beans,EcoTherm Smart Stat,0,615.3,4.6,49544,268,69,0.8115
QRY-156,PRD-000187,organic coffee beans,Mountain Roast Coffee,0,735.81,4.2,2530,3657,545,0.8282
QRY-496,PRD-000188,running shoes men,EcoTherm Smart Stat,1,669.27,4.5,2149,3046,203,1
QRY-166,PRD-000189,wireless headphones,TrailMax Running Shoes,0,586.23,3.1,27718,1106,151,0.6772
QRY-857,PRD-000190,running shoes men,EcoTherm Smart Stat,0,172.82,4.9,40922,727,794,1
QRY-841,PRD-000191,laptop 16gb ram,Mountain Roast Coffee,1,522,3.5,44692,4558,331,1
QRY-179,PRD-000192,wireless headphones,TrailMax Running Shoes,0,582,2.6,1803,4519,588,0.6228
QRY-660,PRD-000193,wireless headphones,Mountain Roast Coffee,1,682.82,5,1496,601,139,1
QRY-470,PRD-000194,running shoes men,EcoTherm Smart Stat,1,558.82,3.3,25686,554,256,1
QRY-555,PRD-000195,organic coffee beans,TrailMax Running Shoes,1,480.86,3.5,4263,2993,533,1
QRY-623,PRD-000196,wireless headphones,NovaSound Pro Headphones,1,562.42,4.7,3895,969,454,1
QRY-128,PRD-000197,smart thermostat,TrailMax Running Shoes,0,656.65,4,11883,2538,700,0.9202
QRY-761,PRD-000198,running shoes men,NovaSound Pro Headphones,1,928.77,4.1,14277,4796,418,1
QRY-848,PRD-000199,running shoes men,Mountain Roast Coffee,1,610,2.8,31611,1176,609,1
QRY-873,PRD-000200,organic coffee beans,TechBook 16 Laptop,1,838.92,3.1,6537,2230,635,1
QRY-601,PRD-000201,laptop 16gb ram,EcoTherm Smart Stat,1,965.06,4.6,15143,1971,294,1
QRY-807,PRD-000202,smart thermostat,TrailMax Running Shoes,1,179.27,3.7,31827,1350,401,1
QRY-848,PRD-000203,smart thermostat,EcoTherm Smart Stat,0,390.26,2.8,13040,2574,514,0.7405
QRY-601,PRD-000204,organic coffee beans,Mountain Roast Coffee,1,364.34,3.9,12584,2095,571,1
QRY-142,PRD-000205,organic coffee beans,NovaSound Pro Headphones,1,620.61,4.9,32740,4452,516,1
QRY-565,PRD-000206,laptop 16gb ram,TrailMax Running Shoes,0,34.38,4.7,33310,2064,489,0.9207
QRY-744,PRD-000207,laptop 16gb ram,EcoTherm Smart Stat,1,185.17,4.8,23252,4965,242,1
QRY-785,PRD-000208,smart thermostat,TechBook 16 Laptop,1,495.69,3.3,25317,542,602,1
QRY-693,PRD-000209,running shoes men,TrailMax Running Shoes,1,380.62,3,48393,3708,611,1
QRY-805,PRD-000210,wireless headphones,EcoTherm Smart Stat,1,833.38,4.3,21429,3933,631,1
QRY-395,PRD-000211,organic coffee beans,Mountain Roast Coffee,1,321.93,3.4,32796,2374,189,1
QRY-284,PRD-000212,laptop 16gb ram,NovaSound Pro Headphones,0,571.38,4.4,6136,1970,187,0.9747
QRY-917,PRD-000213,smart thermostat,NovaSound Pro Headphones,0,877.1,3.6,10278,2911,379,1
QRY-141,PRD-000214,laptop 16gb ram,TrailMax Running Shoes,1,796.21,4.4,39623,811,491,1
QRY-877,PRD-000215,organic coffee beans,NovaSound Pro Headphones,0,822.48,4.3,32770,1574,45,0.9649
QRY-719,PRD-000216,organic coffee beans,TechBook 16 Laptop,1,249.25,2.7,47038,2663,440,1
QRY-394,PRD-000217,laptop 16gb ram,TechBook 16 Laptop,0,353.54,3.6,38362,810,582,0.7555
QRY-654,PRD-000218,smart thermostat,TrailMax Running Shoes,1,435.16,2.6,2118,2570,554,1
QRY-607,PRD-000219,running shoes men,Mountain Roast Coffee,0,348.33,3.3,1296,872,704,0.8921
QRY-771,PRD-000220,running shoes men,EcoTherm Smart Stat,1,765.02,3.7,37057,1872,339,1
QRY-588,PRD-000221,running shoes men,NovaSound Pro Headphones,1,806.68,3.4,11841,2783,695,1
QRY-951,PRD-000222,organic coffee beans,EcoTherm Smart Stat,1,12.82,4.2,35428,2486,288,1
QRY-220,PRD-000223,smart thermostat,Mountain Roast Coffee,0,852.54,2.8,6143,3442,709,0.8868
QRY-340,PRD-000224,wireless headphones,TechBook 16 Laptop,1,473.17,2.9,33607,356,594,1
QRY-715,PRD-000225,smart thermostat,NovaSound Pro Headphones,1,114.51,4.6,49522,4672,447,1
QRY-175,PRD-000226,running shoes men,TechBook 16 Laptop,1,110.65,4.8,33119,737,179,1
QRY-257,PRD-000227,laptop 16gb ram,Mountain Roast Coffee,1,879.62,3.5,11935,4469,133,1
QRY-548,PRD-000228,wireless headphones,TechBook 16 Laptop,1,773.75,4.5,44687,1191,795,1
QRY-313,PRD-000229,wireless headphones,Mountain Roast Coffee,1,400.51,3.1,38985,4419,174,1
QRY-935,PRD-000230,smart thermostat,TrailMax Running Shoes,0,100.75,4.7,25051,604,332,0.8841
QRY-752,PRD-000231,running shoes men,Mountain Roast Coffee,1,658.63,2.9,28879,377,148,1
QRY-246,PRD-000232,organic coffee beans,EcoTherm Smart Stat,1,30.78,2.7,20903,944,670,1
QRY-790,PRD-000233,running shoes men,TechBook 16 Laptop,0,841.69,4.5,3948,1507,662,0.9339
QRY-501,PRD-000234,laptop 16gb ram,TrailMax Running Shoes,1,643.82,2.8,3111,1774,500,1
QRY-922,PRD-000235,running shoes men,TrailMax Running Shoes,0,516.98,3.9,21672,241,109,0.9142
QRY-688,PRD-000236,wireless headphones,NovaSound Pro Headphones,1,318.04,4.5,6931,3033,53,1
QRY-421,PRD-000237,running shoes men,Mountain Roast Coffee,1,546.02,2.6,18263,934,590,1
QRY-613,PRD-000238,wireless headphones,TechBook 16 Laptop,0,492.01,3.7,19118,4408,50,0.9772
QRY-188,PRD-000239,smart thermostat,Mountain Roast Coffee,0,876.3,4.1,41228,878,39,0.9822
QRY-293,PRD-000240,organic coffee beans,TechBook 16 Laptop,1,392.47,4.7,9660,2971,98,1
QRY-640,PRD-000241,wireless headphones,NovaSound Pro Headphones,1,419.64,2.9,22758,2581,591,1
QRY-532,PRD-000242,laptop 16gb ram,Mountain Roast Coffee,1,634.29,4.6,6048,3923,3,1
QRY-929,PRD-000243,running shoes men,TrailMax Running Shoes,1,922.44,3.8,33263,488,220,1
QRY-554,PRD-000244,laptop 16gb ram,TrailMax Running Shoes,1,43.45,2.7,1543,3221,371,1
QRY-266,PRD-000245,organic coffee beans,TrailMax Running Shoes,1,781.93,4.9,4268,2771,544,1
QRY-112,PRD-000246,wireless headphones,EcoTherm Smart Stat,1,590.83,2.8,40493,186,741,0.9636
QRY-109,PRD-000247,wireless headphones,TechBook 16 Laptop,1,358.18,3.7,2380,3068,493,1
QRY-140,PRD-000248,smart thermostat,TrailMax Running Shoes,1,845.59,2.7,7898,372,403,1
QRY-252,PRD-000249,wireless headphones,EcoTherm Smart Stat,1,57.36,2.7,9166,2688,774,1
QRY-818,PRD-000250,smart thermostat,NovaSound Pro Headphones,1,958.26,5,1417,972,107,1
QRY-563,PRD-000251,organic coffee beans,Mountain Roast Coffee,0,897.59,3,7927,3675,118,0.7183
QRY-369,PRD-000252,laptop 16gb ram,EcoTherm Smart Stat,1,302.78,4.7,49171,1290,790,1
QRY-524,PRD-000253,wireless headphones,TechBook 16 Laptop,1,366.54,4.2,47930,121,720,1
QRY-567,PRD-000254,organic coffee beans,TechBook 16 Laptop,1,368.69,3.6,12447,3627,423,1
QRY-280,PRD-000255,smart thermostat,NovaSound Pro Headphones,1,300.9,4.7,31815,1856,225,1
QRY-753,PRD-000256,organic coffee beans,TrailMax Running Shoes,1,779.16,3.5,23297,464,251,1
QRY-824,PRD-000257,wireless headphones,Mountain Roast Coffee,0,858.72,4,49542,2155,650,1
QRY-412,PRD-000258,wireless headphones,TrailMax Running Shoes,1,694.15,2.9,35259,1039,772,1
QRY-556,PRD-000259,wireless headphones,TechBook 16 Laptop,1,266.24,4.5,27609,1924,184,1
QRY-912,PRD-000260,smart thermostat,NovaSound Pro Headphones,0,346.55,4.6,38968,1509,102,1
