CustomerId,RecencyDays,Frequency,MonetaryTotal,AvgOrderValue,NumReturns,EmailOpenRate,LoyaltyPoints,PreferredChannel,SegmentLabel
CUST-00047,305,23,20659.17,175.41,5,0.44,44809,InStore,HighValue
CUST-00048,275,33,8022.45,208.79,4,0.47,23173,Online,LoyalRegular
CUST-00049,134,22,13589.37,298.82,6,0.45,10721,InStore,HighValue
CUST-00050,166,57,8872.52,398.44,1,0.06,31338,Online,LoyalRegular
CUST-00051,330,55,5196.11,375.11,0,0.59,40590,Phone,LoyalRegular
CUST-00052,59,1,358.13,110.24,6,0.51,47310,MobileApp,NewCustomer
CUST-00053,26,35,21827.68,361.36,0,0.57,13435,Online,HighValue
CUST-00054,183,3,11611.21,245.04,2,0.6,35705,MobileApp,NewCustomer
CUST-00055,283,28,226.2,201.03,6,0.5,13157,Phone,LoyalRegular
CUST-00056,248,53,17455.79,494.77,2,0.12,5098,Phone,HighValue
CUST-00057,263,53,9044.13,210.97,3,0.18,47181,MobileApp,LoyalRegular
CUST-00058,172,28,21061.07,411.55,0,0.47,35172,MobileApp,HighValue
CUST-00059,91,2,23295.19,431.83,3,0.54,46814,Online,NewCustomer
CUST-00060,181,30,7589.14,374.91,8,0.37,12911,InStore,HighValue
CUST-00061,78,19,22530.6,308.72,3,0.54,34090,InStore,HighValue
CUST-00062,160,26,7736.6,93.35,6,0.34,6456,InStore,LoyalRegular
CUST-00063,304,36,6354.67,155.8,0,0.48,9759,Online,HighValue
CUST-00064,303,57,22026.41,89.03,3,0.38,1136,Online,HighValue
CUST-00065,318,47,21401.31,372.08,6,0.46,48625,Online,HighValue
CUST-00066,111,44,9221.05,260.7,2,0.26,13418,Phone,LoyalRegular
CUST-00067,179,34,9895.32,271.05,0,0.31,47005,Online,LoyalRegular
CUST-00068,362,8,14683.75,131.9,5,0.06,17231,InStore,AtRisk
CUST-00069,73,16,1887.02,480.9,4,0.49,30140,Phone,AtRisk
CUST-00070,340,56,18452.22,421.29,1,0.27,46671,Phone,HighValue
CUST-00071,292,18,13026.59,158.5,8,0.52,13236,MobileApp,HighValue
CUST-00072,99,4,7315.32,393.88,5,0.05,31643,InStore,AtRisk
CUST-00073,259,20,158.86,303.56,3,0.34,10671,MobileApp,BargainHunter
CUST-00074,163,25,18195.69,436.67,8,0.33,5802,Online,HighValue
CUST-00075,51,57,15243.95,101.62,3,0.64,45206,Phone,HighValue
CUST-00076,201,43,3203.73,106.07,0,0.21,37353,Online,LoyalRegular
CUST-00077,284,42,13975.49,235.34,2,0.26,15625,MobileApp,HighValue
CUST-00078,93,14,20844.58,229.87,2,0.62,12508,InStore,AtRisk
CUST-00079,157,16,4500.91,475.09,8,0.23,37053,MobileApp,AtRisk
CUST-00080,273,47,6900.3,213.89,5,0.54,15173,MobileApp,LoyalRegular
CUST-00081,293,17,24044.81,447.29,3,0.19,14177,Online,HighValue
CUST-00082,297,23,14017.08,98.97,0,0.06,13071,Phone,HighValue
CUST-00083,5,9,6933.33,390.36,3,0.2,2631,MobileApp,AtRisk
CUST-00084,320,58,12633.46,310.79,4,0.18,30814,MobileApp,HighValue
CUST-00085,14,4,20122.03,298.16,8,0.41,32952,Online,AtRisk
CUST-00086,169,19,4589.08,104.34,1,0.43,47841,InStore,AtRisk
CUST-00087,66,51,16432.24,29.1,7,0.59,20256,Phone,HighValue
CUST-00088,180,33,14265.09,189.68,1,0.1,40104,Online,HighValue
CUST-00089,360,5,11898.56,326.86,5,0.17,23783,InStore,AtRisk
CUST-00090,74,43,9378.68,146.46,1,0.64,25505,Phone,LoyalRegular
CUST-00091,19,37,21687.06,168.01,1,0.34,12957,Online,HighValue
CUST-00092,330,34,11611.03,333.54,8,0.21,1155,MobileApp,HighValue
CUST-00093,249,19,23630.64,96.19,7,0.37,33922,MobileApp,HighValue
CUST-00094,4,17,17281.29,229.51,8,0.19,29599,Phone,HighValue
CUST-00095,48,4,16350.31,467.46,7,0.61,20490,InStore,NewCustomer
CUST-00096,119,14,6276.4,437.03,5,0.43,37585,InStore,AtRisk
CUST-00097,334,25,11818.02,185.88,4,0.43,19421,Online,HighValue
CUST-00098,290,23,19864.12,216.08,1,0.64,25799,Online,HighValue
CUST-00099,157,41,24174.58,461.01,7,0.36,32545,Online,HighValue
CUST-00100,353,7,9100.64,60.05,6,0.03,13454,Online,AtRisk
CUST-00101,149,18,16422.81,345.23,1,0.29,41843,Online,HighValue
CUST-00102,345,19,18493.46,100.04,6,0.55,28841,MobileApp,HighValue
CUST-00103,67,16,15855.75,83.92,1,0.54,24296,Online,HighValue
CUST-00104,95,56,12419.19,75.31,0,0.23,17103,InStore,HighValue
CUST-00105,349,33,13569.78,228.24,2,0.49,4200,Online,HighValue
CUST-00106,325,31,6179.54,95.84,5,0.63,32859,Online,LoyalRegular
CUST-00107,352,3,14796.1,289.93,8,0.16,45217,Phone,AtRisk
CUST-00108,133,8,756.48,381.69,7,0.43,23541,Phone,AtRisk
CUST-00109,40,22,4671.99,403.93,5,0.37,38881,Online,LoyalRegular
CUST-00110,57,25,7750.42,26.47,5,0.21,48711,Phone,LoyalRegular
CUST-00111,71,13,19133.06,459.49,7,0.44,30019,Online,AtRisk
CUST-00112,258,10,9707.57,83.95,5,0.15,575,InStore,AtRisk
CUST-00113,105,5,2707.3,334.6,2,0.51,19707,InStore,AtRisk
CUST-00114,47,44,1901.66,342.53,2,0.33,1380,InStore,LoyalRegular
CUST-00115,116,1,16562.91,439.32,5,0.49,11539,InStore,NewCustomer
CUST-00116,100,56,16520.14,221.64,3,0.26,18785,InStore,HighValue
CUST-00117,314,38,888.52,82.15,7,0.03,46380,MobileApp,LoyalRegular
CUST-00118,292,35,23003.15,277.47,1,0.18,16794,MobileApp,HighValue
CUST-00119,303,30,19911.82,294.04,4,0.43,43639,InStore,HighValue
CUST-00120,108,37,6676.02,176.38,1,0.38,4792,MobileApp,AtRisk
CUST-00121,27,25,20636.89,396,5,0.03,9208,InStore,HighValue
CUST-00122,45,57,5590.12,118.87,8,0.1,7255,MobileApp,LoyalRegular
CUST-00123,195,36,2681.8,87.29,3,0.64,38986,MobileApp,LoyalRegular
CUST-00124,244,7,1253.94,223.05,6,0.24,7693,MobileApp,AtRisk
CUST-00125,38,28,6975.85,176.53,5,0.46,29739,Phone,LoyalRegular
CUST-00126,7,18,305.89,481.04,5,0.21,39704,MobileApp,BargainHunter
CUST-00127,365,4,6526.5,316.08,1,0.05,645,MobileApp,AtRisk
CUST-00128,76,60,1245.98,219.39,6,0.1,5597,MobileApp,LoyalRegular
CUST-00129,211,37,15135.24,395.27,1,0.1,14699,MobileApp,HighValue
CUST-00130,49,36,6694.04,297.79,7,0.01,9001,InStore,LoyalRegular
CUST-00131,24,47,18270.01,74.83,3,0.45,13684,Online,HighValue
CUST-00132,86,43,9892.3,498.47,2,0.27,48406,InStore,LoyalRegular
CUST-00133,116,29,16098.94,205.59,6,0.46,47545,Phone,HighValue
CUST-00134,48,53,3595,378.12,7,0.33,13715,MobileApp,LoyalRegular
CUST-00135,51,31,23880.69,62.89,6,0.55,43004,MobileApp,HighValue
CUST-00136,342,6,11201.1,406.21,2,0.1,4085,Online,AtRisk
CUST-00137,333,60,11770.81,116.52,2,0.61,31062,InStore,HighValue
CUST-00138,140,6,1131.63,75.62,8,0.23,8697,Online,AtRisk
CUST-00139,72,12,564.82,52.06,5,0.28,39206,MobileApp,AtRisk
CUST-00140,236,40,11951.17,136.87,5,0.17,32678,Phone,HighValue
CUST-00141,364,15,23496.11,221.43,8,0.42,32386,InStore,AtRisk
CUST-00142,302,18,19901.12,332.75,6,0.19,2959,MobileApp,HighValue
CUST-00143,266,60,19588.77,363.5,1,0.57,44020,Phone,HighValue
CUST-00144,295,52,8986.27,97.03,1,0.2,14956,InStore,LoyalRegular
CUST-00145,229,7,1389.96,316.11,8,0.33,42949,Online,AtRisk
CUST-00146,300,47,7940.59,134.07,1,0.56,49792,MobileApp,LoyalRegular
CUST-00147,311,15,15046,330.08,7,0.59,5414,Phone,AtRisk
CUST-00148,201,55,12443.19,41.88,0,0.55,49362,MobileApp,HighValue
CUST-00149,243,47,23087.43,32.26,2,0.64,47254,Online,HighValue
CUST-00150,83,4,20311.67,21.14,8,0.02,33943,Phone,AtRisk
CUST-00151,301,45,5088.8,429.5,0,0.13,24703,InStore,LoyalRegular
CUST-00152,70,28,23474.26,423.1,0,0.46,37076,Online,HighValue
CUST-00153,252,10,18329.67,337.09,2,0.03,30982,MobileApp,AtRisk
CUST-00154,121,56,3534.14,196.36,8,0.15,21883,Phone,LoyalRegular
CUST-00155,258,5,11013.98,456.75,2,0.53,15512,MobileApp,AtRisk
CUST-00156,185,52,12235.9,269.29,6,0.18,10547,InStore,NewCustomer
CUST-00157,101,37,15511.17,15.9,8,0.46,8953,Phone,HighValue
CUST-00158,99,14,13679.54,370.67,3,0.33,32071,InStore,NewCustomer
CUST-00159,137,20,23866.35,114.36,2,0.05,43041,Phone,HighValue
CUST-00160,319,56,11906.71,380.67,5,0.25,39857,InStore,HighValue
CUST-00161,110,32,4532.29,303.8,7,0.17,4171,InStore,LoyalRegular
CUST-00162,76,31,20699.59,74.56,5,0.32,10214,MobileApp,NewCustomer
CUST-00163,301,16,2645.75,466.79,5,0.36,13374,Online,AtRisk
CUST-00164,183,34,18231.71,168.29,6,0.33,37523,Online,HighValue
CUST-00165,167,43,17492.64,29.32,8,0.37,42795,InStore,HighValue
CUST-00166,118,14,6387.6,435.01,0,0.38,29276,InStore,AtRisk
CUST-00167,300,52,2620.12,306.45,5,0.25,20995,MobileApp,LoyalRegular
CUST-00168,171,37,16281.65,254.24,3,0.47,38644,Online,HighValue
CUST-00169,96,36,9462.66,448.28,2,0.51,48663,MobileApp,LoyalRegular
CUST-00170,120,48,2793.2,407.79,0,0.43,15488,InStore,LoyalRegular
CUST-00171,255,58,1739.21,303.3,1,0.54,11268,Phone,LoyalRegular
CUST-00172,16,43,2809,102.46,8,0.39,37457,Online,LoyalRegular
CUST-00173,84,48,14213.17,466.57,4,0.38,15766,Phone,HighValue
CUST-00174,105,7,15031.55,123.58,5,0.39,25801,MobileApp,AtRisk
CUST-00175,166,7,8438.66,24.76,4,0.08,42628,Online,AtRisk
CUST-00176,220,38,22636.06,321.66,5,0.38,41981,Phone,HighValue
CUST-00177,133,1,6833.86,79.77,0,0.27,4914,MobileApp,NewCustomer
CUST-00178,81,18,14909.82,263.28,6,0.07,21558,Phone,HighValue
CUST-00179,228,14,13593.73,182.41,6,0.25,14155,Online,AtRisk
CUST-00180,265,23,3022.99,141.72,6,0.26,7190,InStore,LoyalRegular
CUST-00181,205,48,864.02,449.13,8,0.36,31169,Phone,LoyalRegular
CUST-00182,86,54,18670.18,24.1,4,0.02,21062,Phone,HighValue
CUST-00183,291,54,22081.97,183.48,7,0.64,44064,Phone,HighValue
CUST-00184,86,55,21808.99,51.41,4,0.57,42234,Online,HighValue
CUST-00185,246,30,15835.49,221.99,7,0.5,11986,Online,HighValue
CUST-00186,341,14,21830.08,246.19,8,0.14,39815,MobileApp,AtRisk
CUST-00187,291,18,18372.11,51.77,8,0.44,13288,InStore,HighValue
CUST-00188,273,47,6149.3,243.76,5,0.03,20758,Online,LoyalRegular
CUST-00189,119,9,13610.67,233.41,0,0.18,5035,Online,NewCustomer
CUST-00190,191,23,16013.63,303.28,6,0.4,11209,Phone,HighValue
CUST-00191,76,52,7082.26,190.1,8,0.01,35944,MobileApp,LoyalRegular
CUST-00192,212,35,20185.62,329.94,2,0.27,4839,Phone,HighValue
CUST-00193,102,4,15035.97,31.43,5,0.05,8317,Phone,AtRisk
CUST-00194,207,44,17788.48,76.92,5,0.43,8346,InStore,HighValue
CUST-00195,35,4,17347.66,176.84,8,0.28,44423,Online,AtRisk
CUST-00196,142,44,14194.83,212.93,3,0.21,41029,Phone,HighValue
CUST-00197,297,14,10644.69,468.35,4,0.13,41997,MobileApp,AtRisk
CUST-00198,58,57,23313.53,371.8,2,0.07,5877,MobileApp,HighValue
CUST-00199,258,32,21327.61,56.11,2,0.02,40154,MobileApp,HighValue
CUST-00200,17,6,4804.67,22.78,6,0.56,47931,MobileApp,AtRisk
CUST-00201,101,5,23613.5,213.93,7,0.18,13903,MobileApp,AtRisk
CUST-00202,246,44,9569.3,154.42,7,0.51,33251,Online,LoyalRegular
CUST-00203,172,45,20489.56,25.82,0,0.42,27246,Phone,HighValue
CUST-00204,359,7,18534.78,344.46,6,0.19,2244,InStore,AtRisk
CUST-00205,345,59,14583.42,177.73,7,0.16,30473,Online,HighValue
CUST-00206,365,20,21710.17,72.08,8,0.16,16923,Online,HighValue
CUST-00207,186,10,18612.43,154.71,1,0.48,48799,Online,AtRisk
CUST-00208,141,35,22845.97,425.84,0,0.34,2960,MobileApp,HighValue
CUST-00209,282,14,23515.13,326.57,5,0.54,1901,MobileApp,AtRisk
CUST-00210,275,11,19933.9,103.89,6,0.07,34943,Online,AtRisk
CUST-00211,80,18,14140.31,156.1,6,0.21,33996,Online,HighValue
CUST-00212,346,3,10294.69,17.25,1,0.64,22336,MobileApp,AtRisk
CUST-00213,323,16,7101.29,171.58,0,0.6,8674,Phone,AtRisk
CUST-00214,115,16,15855.15,106.21,5,0.28,8441,InStore,HighValue
CUST-00215,199,18,787.9,346.88,0,0.31,10934,InStore,AtRisk
CUST-00216,99,18,15024.29,184.24,7,0.34,1423,Phone,HighValue
CUST-00217,108,44,13401.99,299.18,3,0.21,5772,Phone,HighValue
CUST-00218,315,16,20696.72,93.05,2,0.11,19988,Phone,HighValue
CUST-00219,278,45,22640.98,430.2,0,0.59,25319,MobileApp,HighValue
CUST-00220,76,1,7831.36,19.05,1,0.24,24837,InStore,NewCustomer
CUST-00221,165,32,23598.63,169.66,1,0.23,12575,Online,HighValue
CUST-00222,278,28,15921.34,339.23,2,0.21,9134,Online,HighValue
CUST-00223,131,50,24890.59,223.32,8,0.63,17188,Online,HighValue
CUST-00224,123,1,21254.46,480.08,2,0.29,27164,Phone,NewCustomer
CUST-00225,225,38,13540.56,191.27,8,0.14,4428,InStore,HighValue
CUST-00226,238,13,10681.82,257.15,8,0.32,39350,Online,AtRisk
CUST-00227,126,21,57.61,148.69,0,0.44,32486,MobileApp,LoyalRegular
CUST-00228,297,17,5605.44,143.91,1,0.49,31535,InStore,AtRisk
CUST-00229,181,39,11531.22,283.74,4,0.19,47374,MobileApp,HighValue
CUST-00230,290,30,15429.63,474.94,1,0.25,31747,Online,HighValue
CUST-00231,68,2,9737.09,360.07,7,0.3,987,MobileApp,NewCustomer
CUST-00232,77,27,15825.01,445.47,6,0.15,28778,InStore,HighValue
CUST-00233,228,47,2214.96,482.11,4,0.21,17779,MobileApp,LoyalRegular
CUST-00234,353,19,17886.43,443.74,1,0.16,22877,MobileApp,HighValue
CUST-00235,321,39,16654.15,230.47,2,0.42,27119,InStore,HighValue
CUST-00236,322,10,1074.35,62.47,5,0.47,48606,MobileApp,AtRisk
CUST-00237,142,60,5296.89,19.8,2,0.01,6324,MobileApp,LoyalRegular
CUST-00238,203,39,21185.44,301.72,4,0.13,20865,InStore,HighValue
CUST-00239,233,18,20134.97,276.72,5,0.19,16576,MobileApp,HighValue
CUST-00240,145,16,7216.29,30.06,6,0.42,12709,Phone,AtRisk
CUST-00241,308,51,17564.9,309.59,4,0.17,13555,InStore,HighValue
CUST-00242,341,9,1374.47,413.05,3,0.63,38067,InStore,AtRisk
CUST-00243,19,31,7150.27,254.66,0,0.54,28747,Phone,LoyalRegular
CUST-00244,138,5,4303.55,103.08,2,0.1,20337,MobileApp,AtRisk
CUST-00245,103,18,15367.73,152.58,4,0.31,45248,Online,HighValue
CUST-00246,209,59,17334.34,34.73,0,0.32,28054,Phone,HighValue
CUST-00247,10,34,9657.62,256.1,8,0.01,37948,Phone,LoyalRegular
CUST-00248,159,21,24463.3,197.65,6,0.09,18498,InStore,HighValue
CUST-00249,258,12,12613.95,106.21,3,0.06,47143,Online,AtRisk
CUST-00250,211,1,21312.66,458.75,2,0.22,9604,InStore,NewCustomer
CUST-00251,220,18,5912.15,360.66,2,0.22,35612,InStore,AtRisk
CUST-00252,313,1,19534.95,212.38,2,0.37,14811,Online,NewCustomer
CUST-00253,89,2,5954.49,217.97,7,0.19,37396,InStore,NewCustomer
CUST-00254,133,52,5097.34,204.6,7,0.58,22631,MobileApp,LoyalRegular
CUST-00255,170,11,6486,373.43,3,0.1,1252,Online,AtRisk
CUST-00256,204,58,3626.81,65,3,0.09,17421,MobileApp,LoyalRegular
CUST-00257,312,28,23758.94,485.97,0,0.53,46525,MobileApp,HighValue
CUST-00258,111,59,12223.78,274.77,7,0.05,6274,Online,HighValue
CUST-00259,200,54,14527.91,331.82,7,0.28,43484,MobileApp,HighValue
CUST-00260,97,5,9504.08,352.19,7,0.56,19461,MobileApp,AtRisk
CUST-00261,28,51,11502.07,48.64,3,0.64,36154,InStore,HighValue
CUST-00262,309,51,1065.59,357.7,1,0.11,2935,InStore,LoyalRegular
CUST-00263,64,46,2074.07,440.47,6,0.4,36236,MobileApp,LoyalRegular
CUST-00264,331,14,1123,415.4,5,0.13,5399,InStore,AtRisk
CUST-00265,61,18,18811.28,463.17,6,0.19,736,MobileApp,HighValue
CUST-00266,281,11,2736.24,497.98,5,0.24,15700,Phone,AtRisk
CUST-00267,277,7,4487.86,460.09,0,0.61,26173,Phone,AtRisk
CUST-00268,141,41,13771.6,218.19,5,0.1,9552,InStore,HighValue
CUST-00269,57,16,1578.16,333.46,0,0.56,43145,Online,AtRisk
CUST-00270,171,18,14057.08,472.68,7,0.06,26240,InStore,HighValue
CUST-00271,281,21,23673.63,210.62,8,0.06,19201,InStore,HighValue
CUST-00272,262,23,23894.81,218.37,2,0.43,20420,Phone,HighValue
CUST-00273,324,52,11808.71,290.56,8,0.54,47437,Online,HighValue
CUST-00274,305,58,18403.97,78.42,3,0.42,25945,Online,HighValue
CUST-00275,293,11,8125.32,388.86,4,0.15,48880,InStore,AtRisk
CUST-00276,184,49,2072.4,106.98,1,0.17,27271,MobileApp,LoyalRegular
CUST-00277,205,7,1193.51,25.86,7,0.28,35674,Phone,AtRisk
CUST-00278,125,23,9878.63,85.91,7,0.15,47855,Phone,LoyalRegular
CUST-00279,249,59,9974.14,461.33,5,0.65,4475,MobileApp,LoyalRegular
CUST-00280,349,19,6238.07,90.06,3,0.5,18015,MobileApp,AtRisk
CUST-00281,114,5,2418.33,58.33,1,0.4,49557,MobileApp,AtRisk
CUST-00282,268,11,7540.41,487.05,8,0.2,34649,InStore,AtRisk
CUST-00283,296,8,18877.94,44.3,7,0.13,43000,Phone,AtRisk
CUST-00284,208,5,16106.82,134.45,5,0.14,31133,Online,AtRisk
CUST-00285,365,31,20013.87,427.07,4,0.12,730,Phone,HighValue
CUST-00286,95,49,1143.01,257.33,0,0.05,32604,MobileApp,LoyalRegular
CUST-00287,340,10,13319.73,472.09,3,0.24,4560,MobileApp,AtRisk
CUST-00288,243,60,23000.93,442.43,2,0.35,42506,Online,HighValue
CUST-00289,321,6,10304.6,478.58,5,0.41,42874,MobileApp,AtRisk
CUST-00290,170,54,23783.24,239.66,4,0.62,47918,Phone,HighValue
CUST-00291,34,60,24161.95,266.06,6,0.47,32971,MobileApp,HighValue
CUST-00292,328,3,3642.18,107.64,3,0.35,46190,Phone,AtRisk
CUST-00293,81,7,15112.49,418.64,4,0.04,31639,InStore,AtRisk
CUST-00294,7,35,14656.93,83.39,2,0.55,22431,Online,HighValue
CUST-00295,313,33,2301.96,423.9,8,0.14,8514,InStore,LoyalRegular
CUST-00296,45,42,20364.07,405.37,5,0.4,5454,Phone,HighValue
CUST-00297,37,34,12069.06,302.73,2,0.38,22843,MobileApp,HighValue
CUST-00298,80,18,15087.64,385.65,3,0.3,10274,Phone,HighValue
CUST-00299,108,42,15153.68,358.52,7,0.31,30772,InStore,HighValue
CUST-00300,61,33,24334.83,149.15,3,0.29,38115,Phone,HighValue
CUST-00301,237,40,22679.75,244.11,8,0.04,42748,MobileApp,HighValue
CUST-00302,226,53,10811.38,391.46,4,0.21,21008,Online,HighValue
CUST-00303,77,14,4977.08,113.74,3,0.08,45036,MobileApp,AtRisk
CUST-00304,222,33,3699.91,86.15,4,0.19,22753,Online,LoyalRegular
CUST-00305,162,25,9402.86,466.4,5,0.07,39123,MobileApp,LoyalRegular
CUST-00306,201,55,9909.12,419.88,2,0.39,37275,Phone,LoyalRegular
CUST-00307,111,29,13989.34,126.83,6,0.56,19892,InStore,HighValue
CUST-00308,121,60,11064,352.04,4,0.65,47354,MobileApp,HighValue
CUST-00309,178,24,1633.35,485.26,6,0.39,15183,Online,LoyalRegular
CUST-00310,282,51,5448.11,402.2,7,0.51,34600,Phone,LoyalRegular
CUST-00311,71,31,12275.9,169.99,3,0.26,29616,Online,HighValue
CUST-00312,256,14,20470.98,73.99,0,0.19,5934,Online,AtRisk
CUST-00313,193,41,4773.91,450.27,6,0.43,34562,Online,LoyalRegular
CUST-00314,72,55,8915.36,49.57,8,0.23,47844,InStore,LoyalRegular
CUST-00315,291,38,4425.66,465.94,1,0.2,9967,Phone,LoyalRegular
CUST-00316,321,35,15464.36,256.83,7,0.05,24323,InStore,HighValue
CUST-00317,6,43,13283.03,182.14,6,0.01,41097,InStore,HighValue
CUST-00318,63,59,4996.96,425.43,7,0.24,28080,MobileApp,LoyalRegular
CUST-00319,85,20,13285.13,200.71,0,0.37,6098,MobileApp,LoyalRegular
CUST-00320,160,29,5903.29,100.76,2,0.31,17574,MobileApp,LoyalRegular
CUST-00321,174,58,18363.57,369.05,1,0.58,3370,Online,HighValue
CUST-00322,129,23,2885.89,318.27,8,0.13,23054,InStore,LoyalRegular
CUST-00323,173,34,10371.44,59.17,3,0.57,1145,Phone,HighValue
CUST-00324,325,54,13572.38,203.48,4,0.24,21161,MobileApp,HighValue
CUST-00325,182,21,7630.63,290.91,2,0.59,38467,Online,LoyalRegular
CUST-00326,189,60,14350.19,56.57,4,0.41,4568,Online,HighValue
CUST-00327,111,47,15782.45,423.07,1,0.49,15124,MobileApp,NewCustomer
CUST-00328,159,41,22165.88,374.49,7,0.28,47713,Online,HighValue
CUST-00329,163,36,8909.25,166.7,6,0.58,21388,Online,LoyalRegular
CUST-00330,273,18,13136.8,139.27,2,0.38,46447,Online,HighValue
CUST-00331,273,54,3692.72,374.32,7,0.22,13679,Online,LoyalRegular
CUST-00332,328,51,9598.89,131.84,1,0.43,41197,MobileApp,LoyalRegular
CUST-00333,269,58,19809.6,478.2,3,0.28,18615,InStore,HighValue
CUST-00334,18,51,16826.26,216.12,8,0.2,38395,Phone,HighValue
CUST-00335,121,10,21009.47,83.18,8,0.15,2436,Online,AtRisk
CUST-00336,299,10,15454.28,379.09,1,0.2,13453,Online,AtRisk
CUST-00337,170,17,7194.91,54.4,7,0.63,4173,Online,AtRisk
CUST-00338,320,34,7506.76,262.11,7,0.06,7259,InStore,LoyalRegular
CUST-00339,139,40,2790.53,452.38,4,0.5,13489,Online,BargainHunter
CUST-00340,9,4,21212.74,483.46,4,0.09,19467,Online,AtRisk
CUST-00341,313,1,7283.5,167.49,5,0.2,41651,MobileApp,NewCustomer
CUST-00342,94,30,14143.98,438.92,0,0.21,30199,Online,HighValue
CUST-00343,17,34,12883.58,378.82,7,0.12,6272,InStore,NewCustomer
CUST-00344,106,37,2393.35,121.45,8,0.35,35645,Phone,AtRisk
CUST-00345,112,46,19202.62,402.85,5,0.36,24923,Phone,HighValue
CUST-00346,287,9,17255.32,44.6,3,0.41,1094,Phone,AtRisk
CUST-00347,210,23,9303.06,404.1,4,0.15,32101,MobileApp,LoyalRegular
CUST-00348,122,45,6561.63,483.59,0,0.37,19058,InStore,LoyalRegular
CUST-00349,262,7,12143.64,304.6,0,0.14,45477,MobileApp,AtRisk
CUST-00350,225,5,21846.34,24.39,1,0.64,31605,Phone,AtRisk
CUST-00351,35,28,17107.57,109.03,8,0.52,18732,Phone,HighValue
CUST-00352,63,4,4679.65,495.7,3,0.32,9500,MobileApp,AtRisk
